C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Ag in He.vms
Ag3d
	Characteristic Energy eV	1486.61	Acquisition Time s	0.3
KE_Ag3d	BE_Ag3d	CPS_Ag3d
1036.61	450	71460.4
1036.71	449.9	71583.1
1036.81	449.8	71921.9
1036.91	449.7	71459.5
1037.01	449.6	71437.3
1037.11	449.5	71666.8
1037.21	449.4	71860.5
1037.31	449.3	71886.9
1037.41	449.2	71635.1
1037.51	449.1	71656
1037.61	449	72101.8
1037.71	448.9	72328.9
1037.81	448.8	72346
1037.91	448.7	71667.2
1038.01	448.6	71672.8
1038.11	448.5	71733.9
1038.21	448.4	71916.8
1038.31	448.3	71934.6
1038.41	448.2	71790.8
1038.51	448.1	71775.7
1038.61	448	71917.3
1038.71	447.9	71738.7
1038.81	447.8	72032.1
1038.91	447.7	72552.2
1039.01	447.6	72292.3
1039.11	447.5	71924.2
1039.21	447.4	71857.9
1039.31	447.3	71995.5
1039.41	447.2	71957.5
1039.51	447.1	71551.7
1039.61	447	71603.4
1039.71	446.9	71964.5
1039.81	446.8	71940.4
1039.91	446.7	72254.4
1040.01	446.6	72367
1040.11	446.5	72085.7
1040.21	446.4	72359.2
1040.31	446.3	71938
1040.41	446.2	71858.1
1040.51	446.1	72225.6
1040.61	446	71803
1040.71	445.9	71870.4
1040.81	445.8	72075.7
1040.91	445.7	72176.9
1041.01	445.6	72088.7
1041.11	445.5	71776.8
1041.21	445.4	71895.5
1041.31	445.3	71614.1
1041.41	445.2	71856.9
1041.51	445.1	72217.9
1041.61	445	72172.4
1041.71	444.9	72091.2
1041.81	444.8	72325.1
1041.91	444.7	72109.5
1042.01	444.6	71641.7
1042.11	444.5	71710
1042.21	444.4	72316.9
1042.31	444.3	71796.1
1042.41	444.2	72715.5
1042.51	444.1	72603.6
1042.61	444	72034.5
1042.71	443.9	72122.3
1042.81	443.8	72527.9
1042.91	443.7	72333.6
1043.01	443.6	72594.7
1043.11	443.5	72569.5
1043.21	443.4	72414.1
1043.31	443.3	72156.3
1043.41	443.2	72275.7
1043.51	443.1	71973.8
1043.61	443	71717.2
1043.71	442.9	72313.9
1043.81	442.8	72251.5
1043.91	442.7	72152.9
1044.01	442.6	71829.5
1044.11	442.5	72087.7
1044.21	442.4	72038
1044.31	442.3	72404.3
1044.41	442.2	72410.9
1044.51	442.1	72681.1
1044.61	442	72322.5
1044.71	441.9	72278.1
1044.81	441.8	72368.8
1044.91	441.7	72843.2
1045.01	441.6	72515.3
1045.11	441.5	72324.6
1045.21	441.4	71985.3
1045.31	441.3	72342.9
1045.41	441.2	72271.7
