C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Ag3d
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Ag3d	BE_Pr:Ag3d	CPS_Pr:Ag3d
1036.61	450	1001.13
1036.71	449.9	1014.29
1036.81	449.8	999.657
1036.91	449.7	1000.54
1037.01	449.6	1005.02
1037.11	449.5	999.268
1037.21	449.4	1020.24
1037.31	449.3	1005.97
1037.41	449.2	987.004
1037.51	449.1	997.431
1037.61	449	992.67
1037.71	448.9	993.966
1037.81	448.8	1007.76
1037.91	448.7	1010.79
1038.01	448.6	1019.29
1038.11	448.5	1015.82
1038.21	448.4	1011.16
1038.31	448.3	996.525
1038.41	448.2	1007.1
1038.51	448.1	1008.93
1038.61	448	1006.07
1038.71	447.9	1006.53
1038.81	447.8	1032.72
1038.91	447.7	1019.03
1039.01	447.6	1008.1
1039.11	447.5	1014.91
1039.21	447.4	1009.79
1039.31	447.3	1001.33
1039.41	447.2	1015.33
1039.51	447.1	1010.77
1039.61	447	1018.45
1039.71	446.9	992.926
1039.81	446.8	1017.31
1039.91	446.7	1021.42
1040.01	446.6	1021.93
1040.11	446.5	1026.67
1040.21	446.4	998.806
1040.31	446.3	1008.8
1040.41	446.2	1015.55
1040.51	446.1	995.445
1040.61	446	991.232
1040.71	445.9	999.67
1040.81	445.8	1011.91
1040.91	445.7	996.937
1041.01	445.6	1014.63
1041.11	445.5	1007.98
1041.21	445.4	1016.91
1041.31	445.3	1019.93
1041.41	445.2	1009.09
1041.51	445.1	1008.5
1041.61	445	1015.02
1041.71	444.9	999.302
1041.81	444.8	1010.26
1041.91	444.7	1001.34
1042.01	444.6	1019.08
1042.11	444.5	1016.81
1042.21	444.4	1006.25
1042.31	444.3	1015.17
1042.41	444.2	1019.59
1042.51	444.1	1017
1042.61	444	996.284
1042.71	443.9	999.126
1042.81	443.8	1022.54
