C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Ag in He.vms
Ag3d
	Characteristic Energy eV	1486.61	Acquisition Time s	0.3
KE_Ag3d	BE_Ag3d	CPS_Ag3d
1036.61	450	76546.8
1036.71	449.9	76147.6
1036.81	449.8	76139.3
1036.91	449.7	75848
1037.01	449.6	76924.6
1037.11	449.5	76910.8
1037.21	449.4	76445
1037.31	449.3	77140
1037.41	449.2	77431.8
1037.51	449.1	77545.1
1037.61	449	77544.3
1037.71	448.9	77007.8
1037.81	448.8	76658.5
1037.91	448.7	77104.2
1038.01	448.6	76424.5
1038.11	448.5	76651
1038.21	448.4	77171.3
1038.31	448.3	76833.9
1038.41	448.2	77418.3
1038.51	448.1	77547.2
1038.61	448	76491.5
1038.71	447.9	77287.6
1038.81	447.8	77319.9
1038.91	447.7	76354.6
1039.01	447.6	76884.4
1039.11	447.5	76739.9
1039.21	447.4	76528.7
1039.31	447.3	76702.6
1039.41	447.2	76874.4
1039.51	447.1	76450.6
1039.61	447	76871.7
1039.71	446.9	76931
1039.81	446.8	76857.1
1039.91	446.7	77442.9
1040.01	446.6	77246.8
1040.11	446.5	76773.7
1040.21	446.4	77278.6
1040.31	446.3	77782.8
1040.41	446.2	77633.6
1040.51	446.1	76652.7
1040.61	446	77100.1
1040.71	445.9	76543.4
1040.81	445.8	76987.1
1040.91	445.7	77219.5
1041.01	445.6	77043.4
1041.11	445.5	77423.9
1041.21	445.4	77546.5
1041.31	445.3	77287.1
1041.41	445.2	77264
1041.51	445.1	77079.1
1041.61	445	76187.1
1041.71	444.9	76701.8
1041.81	444.8	77278.2
1041.91	444.7	77549.4
1042.01	444.6	77299
1042.11	444.5	77502.9
1042.21	444.4	77833.3
1042.31	444.3	77510.9
1042.41	444.2	77167.9
1042.51	444.1	76573.2
1042.61	444	77317
1042.71	443.9	77466.4
1042.81	443.8	77106.3
1042.91	443.7	76990.5
1043.01	443.6	77078.5
1043.11	443.5	77501
1043.21	443.4	77943.6
1043.31	443.3	78610.8
1043.41	443.2	78058.6
1043.51	443.1	77509.9
1043.61	443	76873.2
1043.71	442.9	77028.7
1043.81	442.8	77424.6
1043.91	442.7	77331.7
1044.01	442.6	77866.4
1044.11	442.5	77737.5
1044.21	442.4	77495.9
1044.31	442.3	78061
1044.41	442.2	78229.5
1044.51	442.1	78023.5
1044.61	442	77784.8
1044.71	441.9	77716.9
1044.81	441.8	77365.5
1044.91	441.7	76974.3
1045.01	441.6	77866
1045.11	441.5	77710.8
1045.21	441.4	77041.8
1045.31	441.3	76230.5
1045.41	441.2	76886.8
1045.51	441.1	77898.5
1045.61	441	77990.4
1045.71	440.9	77723.8
1045.81	440.8	77068.4
1045.91	440.7	77914.2
1046.01	440.6	78484.2
1046.11	440.5	77598.2
1046.21	440.4	76744
1046.31	440.3	77235.8
1046.41	440.2	77422.4
1046.51	440.1	77581.4
1046.61	440	77207.2
1046.71	439.9	76971.6
1046.81	439.8	76814.9
1046.91	439.7	77482.1
1047.01	439.6	77633.6
1047.11	439.5	77430.6
1047.21	439.4	78247
1047.31	439.3	78023.7
1047.41	439.2	78119.4
1047.51	439.1	77665.5
1047.61	439	77608.7
1047.71	438.9	77516.7
1047.81	438.8	77834.8
1047.91	438.7	78196.2
1048.01	438.6	78171.7
1048.11	438.5	78347.6
1048.21	438.4	77738.3
1048.31	438.3	77448.5
1048.41	438.2	77650.8
1048.51	438.1	77145.6
1048.61	438	76707.6
1048.71	437.9	77242.3
1048.81	437.8	77795.7
1048.91	437.7	77588.7
1049.01	437.6	77543.4
1049.11	437.5	77375.1
1049.21	437.4	77803.6
1049.31	437.3	77493.1
1049.41	437.2	78225.6
1049.51	437.1	77860.9
1049.61	437	77740.1
1049.71	436.9	77345.9
1049.81	436.8	77712.3
1049.91	436.7	77268.1
1050.01	436.6	77476.6
1050.11	436.5	77604.2
1050.21	436.4	77639.9
1050.31	436.3	77138.2
1050.41	436.2	77864.1
1050.51	436.1	77690.9
1050.61	436	77763.9
1050.71	435.9	77950.9
1050.81	435.8	78065.1
1050.91	435.7	77393.5
1051.01	435.6	77694
1051.11	435.5	77905.5
1051.21	435.4	77933.8
1051.31	435.3	77639.2
1051.41	435.2	77859.3
1051.51	435.1	78336.4
1051.61	435	77696.9
1051.71	434.9	77200.9
1051.81	434.8	78022
1051.91	434.7	77973.6
1052.01	434.6	78009
1052.11	434.5	77763.8
1052.21	434.4	77235.2
1052.31	434.3	77508
1052.41	434.2	77394
1052.51	434.1	77660.2
1052.61	434	77832.8
1052.71	433.9	78721.5
1052.81	433.8	78028.4
1052.91	433.7	78717.2
1053.01	433.6	78375.2
1053.11	433.5	77682.5
1053.21	433.4	77885
1053.31	433.3	77638.1
1053.41	433.2	77937.7
1053.51	433.1	78208.4
1053.61	433	77849.2
1053.71	432.9	77636
1053.81	432.8	77828
1053.91	432.7	77700.9
1054.01	432.6	77561.1
1054.11	432.5	77626.6
1054.21	432.4	77553.1
1054.31	432.3	77487.9
1054.41	432.2	77532.9
1054.51	432.1	77390.9
1054.61	432	77742.4
1054.71	431.9	77860.2
1054.81	431.8	78403.8
1054.91	431.7	78542.1
1055.01	431.6	78373.7
1055.11	431.5	77687.4
1055.21	431.4	77893.1
1055.31	431.3	77610.2
1055.41	431.2	78340.6
1055.51	431.1	77726.7
1055.61	431	76743.2
1055.71	430.9	77298.5
1055.81	430.8	78645.3
1055.91	430.7	79215.7
1056.01	430.6	78410
1056.11	430.5	78852.2
1056.21	430.4	78848.1
1056.31	430.3	78877.6
1056.41	430.2	78511.7
1056.51	430.1	78371.8
1056.61	430	78359.6
1056.71	429.9	77941.6
1056.81	429.8	78049.8
1056.91	429.7	78370.8
1057.01	429.6	78141.6
1057.11	429.5	78937.1
1057.21	429.4	79431.7
1057.31	429.3	78960.8
1057.41	429.2	79389.3
1057.51	429.1	78916.5
1057.61	429	78634.4
1057.71	428.9	78642.7
1057.81	428.8	79061.9
1057.91	428.7	79048.9
1058.01	428.6	78076.1
1058.11	428.5	79027.9
1058.21	428.4	78762.8
1058.31	428.3	78002.6
1058.41	428.2	78515.7
1058.51	428.1	78744
1058.61	428	79014.2
1058.71	427.9	79409.7
1058.81	427.8	78956.4
1058.91	427.7	79031.7
1059.01	427.6	79100.4
1059.11	427.5	78646.9
1059.21	427.4	78687.5
