C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Ag3d
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Ag3d	BE_Pr:Ag3d	CPS_Pr:Ag3d
1036.61	450	3453.09
1036.71	449.9	3458.88
1036.81	449.8	3459.9
1036.91	449.7	3465.76
1037.01	449.6	3489.14
1037.11	449.5	3468.21
1037.21	449.4	3471.88
1037.31	449.3	3445.41
1037.41	449.2	3462.6
1037.51	449.1	3463.65
1037.61	449	3492.58
1037.71	448.9	3500.02
1037.81	448.8	3474.36
1037.91	448.7	3484.55
1038.01	448.6	3500.36
1038.11	448.5	3462.57
1038.21	448.4	3487.63
1038.31	448.3	3499.17
1038.41	448.2	3472.56
1038.51	448.1	3456.05
1038.61	448	3471.68
1038.71	447.9	3475.43
1038.81	447.8	3477.72
1038.91	447.7	3455.51
1039.01	447.6	3466.23
1039.11	447.5	3468.38
1039.21	447.4	3475.97
1039.31	447.3	3499.03
1039.41	447.2	3481.78
1039.51	447.1	3472.26
1039.61	447	3474.44
1039.71	446.9	3456.42
1039.81	446.8	3446.29
1039.91	446.7	3469.78
1040.01	446.6	3474.21
1040.11	446.5	3474.25
1040.21	446.4	3469.45
1040.31	446.3	3489.96
1040.41	446.2	3473.25
1040.51	446.1	3489.75
1040.61	446	3480.46
1040.71	445.9	3480.62
1040.81	445.8	3478.68
1040.91	445.7	3461.16
1041.01	445.6	3466.04
1041.11	445.5	3503.62
1041.21	445.4	3454.64
1041.31	445.3	3451.49
1041.41	445.2	3477.45
1041.51	445.1	3491.65
1041.61	445	3469.71
1041.71	444.9	3474.19
1041.81	444.8	3502.43
1041.91	444.7	3476.5
1042.01	444.6	3492.59
1042.11	444.5	3486.15
1042.21	444.4	3486.39
1042.31	444.3	3488.32
1042.41	444.2	3489.92
1042.51	444.1	3488.96
1042.61	444	3475.99
1042.71	443.9	3479.79
1042.81	443.8	3495.6
1042.91	443.7	3492.54
1043.01	443.6	3511.24
1043.11	443.5	3477.01
1043.21	443.4	3496.26
1043.31	443.3	3489.65
1043.41	443.2	3480.11
1043.51	443.1	3459.72
1043.61	443	3475.96
1043.71	442.9	3467.78
1043.81	442.8	3489.61
1043.91	442.7	3491.68
1044.01	442.6	3473.58
1044.11	442.5	3470.28
1044.21	442.4	3486.54
1044.31	442.3	3500.06
1044.41	442.2	3487.75
1044.51	442.1	3482.15
1044.61	442	3472.07
1044.71	441.9	3470.16
1044.81	441.8	3480.22
1044.91	441.7	3497.23
1045.01	441.6	3511.05
1045.11	441.5	3499.07
1045.21	441.4	3476.77
1045.31	441.3	3485.26
1045.41	441.2	3485.22
1045.51	441.1	3488.84
1045.61	441	3497.89
1045.71	440.9	3496.44
1045.81	440.8	3488.99
1045.91	440.7	3474.33
1046.01	440.6	3514.85
1046.11	440.5	3492.12
1046.21	440.4	3469.72
1046.31	440.3	3479.12
1046.41	440.2	3483.68
1046.51	440.1	3473.69
1046.61	440	3468.74
1046.71	439.9	3481.19
1046.81	439.8	3483.62
1046.91	439.7	3477.02
1047.01	439.6	3481.62
1047.11	439.5	3497.66
1047.21	439.4	3482.46
1047.31	439.3	3487.56
1047.41	439.2	3503.43
1047.51	439.1	3478.87
1047.61	439	3483.71
1047.71	438.9	3503.16
1047.81	438.8	3484.48
1047.91	438.7	3475.06
1048.01	438.6	3489.97
1048.11	438.5	3479.01
1048.21	438.4	3465.06
1048.31	438.3	3476.45
1048.41	438.2	3488.71
1048.51	438.1	3505.67
1048.61	438	3474.31
1048.71	437.9	3454.76
1048.81	437.8	3490.15
1048.91	437.7	3509.9
1049.01	437.6	3485.5
1049.11	437.5	3488.97
1049.21	437.4	3492.63
1049.31	437.3	3498.13
1049.41	437.2	3491.75
1049.51	437.1	3511.94
1049.61	437	3508.47
1049.71	436.9	3491.68
1049.81	436.8	3482.24
1049.91	436.7	3514.43
1050.01	436.6	3505
1050.11	436.5	3522.55
1050.21	436.4	3513.23
1050.31	436.3	3489.35
1050.41	436.2	3492.13
1050.51	436.1	3476.87
1050.61	436	3513.74
1050.71	435.9	3485.14
1050.81	435.8	3468.83
1050.91	435.7	3453.22
1051.01	435.6	3469.39
1051.11	435.5	3508.12
1051.21	435.4	3520.42
1051.31	435.3	3498.45
1051.41	435.2	3497.37
1051.51	435.1	3498.91
1051.61	435	3496.06
1051.71	434.9	3502.94
1051.81	434.8	3512.63
1051.91	434.7	3488.76
1052.01	434.6	3466.45
1052.11	434.5	3489.55
1052.21	434.4	3507.73
1052.31	434.3	3507.99
1052.41	434.2	3499.5
1052.51	434.1	3504.38
1052.61	434	3511.31
1052.71	433.9	3486.32
1052.81	433.8	3510.05
1052.91	433.7	3506.11
1053.01	433.6	3478.39
1053.11	433.5	3498.51
1053.21	433.4	3508.64
1053.31	433.3	3495.48
1053.41	433.2	3510.97
1053.51	433.1	3487.04
1053.61	433	3507.54
1053.71	432.9	3506.67
1053.81	432.8	3474.61
1053.91	432.7	3502.92
1054.01	432.6	3513.78
1054.11	432.5	3527.98
1054.21	432.4	3504.19
1054.31	432.3	3500.17
1054.41	432.2	3517.37
1054.51	432.1	3509.84
1054.61	432	3501.43
1054.71	431.9	3479.57
1054.81	431.8	3504.19
1054.91	431.7	3503.1
1055.01	431.6	3519.82
1055.11	431.5	3525.39
1055.21	431.4	3516.28
1055.31	431.3	3519.83
1055.41	431.2	3523.96
1055.51	431.1	3516.6
1055.61	431	3526.41
1055.71	430.9	3562.55
1055.81	430.8	3527.64
1055.91	430.7	3514.64
1056.01	430.6	3519.36
1056.11	430.5	3527.93
1056.21	430.4	3523.18
1056.31	430.3	3544.37
1056.41	430.2	3522.56
1056.51	430.1	3500.54
1056.61	430	3527.57
1056.71	429.9	3518.06
1056.81	429.8	3518.58
1056.91	429.7	3555.52
1057.01	429.6	3547.83
1057.11	429.5	3546.01
1057.21	429.4	3535.56
1057.31	429.3	3528.69
1057.41	429.2	3539.06
1057.51	429.1	3527.54
1057.61	429	3531.72
1057.71	428.9	3550.97
1057.81	428.8	3523.9
1057.91	428.7	3492.81
1058.01	428.6	3507.18
1058.11	428.5	3526.69
1058.21	428.4	3531.55
1058.31	428.3	3542.93
1058.41	428.2	3548.82
1058.51	428.1	3539.78
1058.61	428	3533.88
1058.71	427.9	3540.38
1058.81	427.8	3522.63
1058.91	427.7	3541.01
1059.01	427.6	3575.25
1059.11	427.5	3555.54
1059.21	427.4	3533.34
1059.31	427.3	3540.23
1059.41	427.2	3561.32
1059.51	427.1	3563.35
1059.61	427	3534.02
1059.71	426.9	3562.38
1059.81	426.8	3570.24
1059.91	426.7	3537.61
1060.01	426.6	3545.6
1060.11	426.5	3548.44
1060.21	426.4	3567.09
1060.31	426.3	3524.55
1060.41	426.2	3535.44
1060.51	426.1	3531.51
1060.61	426	3531.03
1060.71	425.9	3526.1
1060.81	425.8	3552.11
1060.91	425.7	3549.04
1061.01	425.6	3562.24
1061.11	425.5	3563.78
1061.21	425.4	3532.27
1061.31	425.3	3553.97
1061.41	425.2	3574.86
1061.51	425.1	3573.07
1061.61	425	3559.66
1061.71	424.9	3542.27
1061.81	424.8	3565.97
1061.91	424.7	3571.48
1062.01	424.6	3551.07
1062.11	424.5	3544.87
1062.21	424.4	3566.35
1062.31	424.3	3569.6
1062.41	424.2	3579.97
1062.51	424.1	3586.95
1062.61	424	3581.32
1062.71	423.9	3572.77
1062.81	423.8	3570.22
1062.91	423.7	3578.79
1063.01	423.6	3592.98
1063.11	423.5	3571.34
1063.21	423.4	3592.75
1063.31	423.3	3584.42
1063.41	423.2	3567.46
1063.51	423.1	3578.2
1063.61	423	3580.26
1063.71	422.9	3580.89
1063.81	422.8	3589.1
1063.91	422.7	3592.65
1064.01	422.6	3603.07
1064.11	422.5	3589.25
1064.21	422.4	3566.87
1064.31	422.3	3564.38
1064.41	422.2	3559.75
1064.51	422.1	3625.61
1064.61	422	3591.75
1064.71	421.9	3569.57
1064.81	421.8	3576.43
1064.91	421.7	3588.27
1065.01	421.6	3594.12
1065.11	421.5	3585.77
1065.21	421.4	3562.02
1065.31	421.3	3573.7
1065.41	421.2	3601.03
1065.51	421.1	3587.89
1065.61	421	3585.8
1065.71	420.9	3603.06
1065.81	420.8	3621.42
1065.91	420.7	3585.32
1066.01	420.6	3559.96
1066.11	420.5	3569.98
1066.21	420.4	3578.47
1066.31	420.3	3567.23
1066.41	420.2	3547.65
1066.51	420.1	3563.9
1066.61	420	3585.35
1066.71	419.9	3600.6
1066.81	419.8	3566.23
1066.91	419.7	3555.28
1067.01	419.6	3568.03
1067.11	419.5	3561.16
1067.21	419.4	3558.3
1067.31	419.3	3597.87
1067.41	419.2	3550.93
1067.51	419.1	3566.6
1067.61	419	3598.14
1067.71	418.9	3573.22
1067.81	418.8	3573.31
1067.91	418.7	3562.91
1068.01	418.6	3539.47
1068.11	418.5	3585.38
1068.21	418.4	3574
1068.31	418.3	3564.88
1068.41	418.2	3571.68
1068.51	418.1	3564.7
1068.61	418	3574.24
1068.71	417.9	3592.08
1068.81	417.8	3592.56
1068.91	417.7	3597.32
1069.01	417.6	3581.26
1069.11	417.5	3583.96
1069.21	417.4	3574.07
1069.31	417.3	3566.38
1069.41	417.2	3582.32
1069.51	417.1	3569.73
1069.61	417	3580.82
1069.71	416.9	3562.95
1069.81	416.8	3564.33
1069.91	416.7	3578.86
1070.01	416.6	3578.35
1070.11	416.5	3581.97
1070.21	416.4	3574.87
1070.31	416.3	3584.15
1070.41	416.2	3584.71
1070.51	416.1	3619.75
1070.61	416	3591.79
1070.71	415.9	3611.68
1070.81	415.8	3613.21
1070.91	415.7	3610.29
1071.01	415.6	3623.3
1071.11	415.5	3615.89
1071.21	415.4	3599.03
1071.31	415.3	3590.38
1071.41	415.2	3589.83
1071.51	415.1	3609.26
1071.61	415	3619.67
1071.71	414.9	3634.46
1071.81	414.8	3575.44
1071.91	414.7	3620.89
1072.01	414.6	3605.78
1072.11	414.5	3615.53
1072.21	414.4	3605.81
1072.31	414.3	3607.59
1072.41	414.2	3602.88
1072.51	414.1	3601.83
1072.61	414	3588.93
1072.71	413.9	3629.57
1072.81	413.8	3629.62
1072.91	413.7	3613.17
1073.01	413.6	3610.47
1073.11	413.5	3585.38
1073.21	413.4	3600.62
1073.31	413.3	3637.99
1073.41	413.2	3634.6
1073.51	413.1	3614.03
1073.61	413	3631.61
1073.71	412.9	3613.88
1073.81	412.8	3625.24
1073.91	412.7	3640.9
1074.01	412.6	3624.62
1074.11	412.5	3635.2
1074.21	412.4	3618.43
1074.31	412.3	3622.1
1074.41	412.2	3633.66
1074.51	412.1	3625.82
1074.61	412	3630.06
1074.71	411.9	3654.62
1074.81	411.8	3618.78
1074.91	411.7	3645.01
1075.01	411.6	3612.89
1075.11	411.5	3623.51
1075.21	411.4	3642.36
1075.31	411.3	3652.53
1075.41	411.2	3650.65
1075.51	411.1	3674.54
1075.61	411	3644.58
1075.71	410.9	3649.11
1075.81	410.8	3633.05
1075.91	410.7	3648.87
1076.01	410.6	3668.04
1076.11	410.5	3682.22
1076.21	410.4	3681.64
1076.31	410.3	3685.63
1076.41	410.2	3677.53
1076.51	410.1	3696.85
1076.61	410	3668.28
1076.71	409.9	3673.05
1076.81	409.8	3679.25
1076.91	409.7	3689.09
1077.01	409.6	3707.23
1077.11	409.5	3731.45
1077.21	409.4	3712.31
1077.31	409.3	3678.16
1077.41	409.2	3718.92
1077.51	409.1	3723.13
1077.61	409	3709.27
1077.71	408.9	3680.26
1077.81	408.8	3696.5
1077.91	408.7	3726.16
1078.01	408.6	3711.73
1078.11	408.5	3719.04
1078.21	408.4	3693.7
1078.31	408.3	3731.14
1078.41	408.2	3731.78
1078.51	408.1	3743.64
1078.61	408	3736.44
1078.71	407.9	3743.81
1078.81	407.8	3724.41
1078.91	407.7	3730.86
1079.01	407.6	3752.5
1079.11	407.5	3731.94
1079.21	407.4	3723.39
1079.31	407.3	3761.98
1079.41	407.2	3728.24
1079.51	407.1	3739.98
1079.61	407	3748.43
1079.71	406.9	3738.98
1079.81	406.8	3773.19
1079.91	406.7	3762.5
1080.01	406.6	3757.6
1080.11	406.5	3766.07
1080.21	406.4	3760.26
1080.31	406.3	3793.97
1080.41	406.2	3777.46
1080.51	406.1	3762.48
1080.61	406	3778.35
1080.71	405.9	3750.26
1080.81	405.8	3751.25
1080.91	405.7	3771.2
1081.01	405.6	3764.04
1081.11	405.5	3759.16
1081.21	405.4	3784.33
1081.31	405.3	3816.35
1081.41	405.2	3794.06
1081.51	405.1	3790.84
1081.61	405	3791.49
1081.71	404.9	3787.47
1081.81	404.8	3824.1
1081.91	404.7	3814.44
1082.01	404.6	3824.76
1082.11	404.5	3819.96
1082.21	404.4	3819.55
1082.31	404.3	3821.62
1082.41	404.2	3831.48
1082.51	404.1	3815.31
1082.61	404	3837.46
1082.71	403.9	3850.13
1082.81	403.8	3833.5
1082.91	403.7	3818.14
1083.01	403.6	3818.27
1083.11	403.5	3858.33
1083.21	403.4	3877.61
1083.31	403.3	3833.84
1083.41	403.2	3854.62
1083.51	403.1	3849.79
1083.61	403	3897.83
1083.71	402.9	3879.09
1083.81	402.8	3862.14
1083.91	402.7	3865.16
1084.01	402.6	3860.25
1084.11	402.5	3887.37
1084.21	402.4	3878.76
1084.31	402.3	3903.8
1084.41	402.2	3906.75
1084.51	402.1	3919.05
1084.61	402	3898.92
1084.71	401.9	3916.02
1084.81	401.8	3926.76
1084.91	401.7	3923.67
1085.01	401.6	3937.42
1085.11	401.5	3927.52
1085.21	401.4	3956.86
1085.31	401.3	3960.24
1085.41	401.2	3976.96
1085.51	401.1	4021.11
1085.61	401	4018.59
1085.71	400.9	4026.99
1085.81	400.8	3998.1
1085.91	400.7	4015.28
1086.01	400.6	3985.13
1086.11	400.5	4004.48
1086.21	400.4	4013.97
1086.31	400.3	4028.04
1086.41	400.2	4031.54
1086.51	400.1	4035
1086.61	400	4059.86
1086.71	399.9	4069.6
1086.81	399.8	4064.97
1086.91	399.7	4027.76
1087.01	399.6	4014.59
1087.11	399.5	4042.76
1087.21	399.4	4055.87
1087.31	399.3	4063.9
1087.41	399.2	4032.79
1087.51	399.1	4029.36
1087.61	399	4048.93
1087.71	398.9	4066.01
1087.81	398.8	4072.94
1087.91	398.7	4066.5
1088.01	398.6	4076.5
1088.11	398.5	4093.22
1088.21	398.4	4080.91
1088.31	398.3	4038.5
1088.41	398.2	4048.41
1088.51	398.1	4048.27
1088.61	398	4066.18
1088.71	397.9	4091.13
1088.81	397.8	4054.18
1088.91	397.7	4034.98
1089.01	397.6	4035.49
1089.11	397.5	4067.31
1089.21	397.4	4025.28
1089.31	397.3	4045.69
1089.41	397.2	4036.81
1089.51	397.1	4037.22
1089.61	397	4006.34
1089.71	396.9	4027.97
1089.81	396.8	3997.35
1089.91	396.7	4006.42
1090.01	396.6	4041.51
1090.11	396.5	4021.29
1090.21	396.4	4017.54
1090.31	396.3	4037.93
1090.41	396.2	4027.37
1090.51	396.1	4059.26
1090.61	396	4071.25
1090.71	395.9	4056.69
1090.81	395.8	4044.29
1090.91	395.7	4082.14
1091.01	395.6	4062.81
1091.11	395.5	4055.9
1091.21	395.4	4076.91
1091.31	395.3	4092.25
1091.41	395.2	4097.61
1091.51	395.1	4136.93
1091.61	395	4142.49
1091.71	394.9	4147.44
1091.81	394.8	4121.46
1091.91	394.7	4189.87
1092.01	394.6	4203.42
1092.11	394.5	4176.26
1092.21	394.4	4225.25
1092.31	394.3	4196.88
1092.41	394.2	4178.35
1092.51	394.1	4209.83
1092.61	394	4190.19
1092.71	393.9	4201.11
1092.81	393.8	4204.51
1092.91	393.7	4218.57
1093.01	393.6	4224.05
1093.11	393.5	4225.72
1093.21	393.4	4221.38
1093.31	393.3	4215.96
1093.41	393.2	4233.33
1093.51	393.1	4273.43
1093.61	393	4237.11
1093.71	392.9	4227.52
1093.81	392.8	4221.1
1093.91	392.7	4223.29
1094.01	392.6	4207.05
1094.11	392.5	4217.07
1094.21	392.4	4197.71
1094.31	392.3	4179.53
1094.41	392.2	4186.43
1094.51	392.1	4166.72
1094.61	392	4163.84
1094.71	391.9	4177.46
1094.81	391.8	4173.33
1094.91	391.7	4170.71
1095.01	391.6	4137.3
1095.11	391.5	4150.54
1095.21	391.4	4146.95
1095.31	391.3	4129.21
1095.41	391.2	4106.06
1095.51	391.1	4117.34
1095.61	391	4118.19
1095.71	390.9	4126.2
1095.81	390.8	4108.15
1095.91	390.7	4111.86
1096.01	390.6	4134.53
1096.11	390.5	4098.52
1096.21	390.4	4069.09
1096.31	390.3	4066.53
1096.41	390.2	4075.07
1096.51	390.1	4056.35
1096.61	390	4038.96
1096.71	389.9	4037.41
1096.81	389.8	4040.93
1096.91	389.7	4036.75
1097.01	389.6	4005.94
1097.11	389.5	3994.77
1097.21	389.4	4032.42
1097.31	389.3	4011.18
1097.41	389.2	4000.06
1097.51	389.1	3998.88
1097.61	389	4014.87
1097.71	388.9	3976.51
1097.81	388.8	4002.9
1097.91	388.7	3996.16
1098.01	388.6	4010.35
1098.11	388.5	3986.06
1098.21	388.4	3997.9
1098.31	388.3	4002.39
1098.41	388.2	3991.04
1098.51	388.1	3973.09
1098.61	388	3967.96
1098.71	387.9	4003.07
1098.81	387.8	3990.55
1098.91	387.7	4030.05
1099.01	387.6	4031.51
1099.11	387.5	4027.18
1099.21	387.4	4016.23
1099.31	387.3	4024.05
1099.41	387.2	4046.64
1099.51	387.1	4057.78
1099.61	387	4026.21
1099.71	386.9	4016.78
1099.81	386.8	4010.23
1099.91	386.7	4000.08
1100.01	386.6	3996.44
1100.11	386.5	4008.42
1100.21	386.4	3978.12
1100.31	386.3	3961.18
1100.41	386.2	3975.84
1100.51	386.1	3932.01
1100.61	386	3968.23
1100.71	385.9	3952.88
1100.81	385.8	3911.62
1100.91	385.7	3900.34
1101.01	385.6	3892.3
1101.11	385.5	3905.68
1101.21	385.4	3895.45
1101.31	385.3	3876.46
1101.41	385.2	3864.87
1101.51	385.1	3866.3
1101.61	385	3844.6
1101.71	384.9	3831.76
1101.81	384.8	3843.1
1101.91	384.7	3823.58
1102.01	384.6	3799.62
1102.11	384.5	3828.76
1102.21	384.4	3819.74
1102.31	384.3	3826.75
1102.41	384.2	3868.77
1102.51	384.1	3821.58
1102.61	384	3804.28
1102.71	383.9	3818.48
1102.81	383.8	3826.96
1102.91	383.7	3837.44
1103.01	383.6	3831.76
1103.11	383.5	3851.68
1103.21	383.4	3833.27
1103.31	383.3	3847.77
1103.41	383.2	3864.61
1103.51	383.1	3864.92
1103.61	383	3904
1103.71	382.9	3855.68
1103.81	382.8	3848.65
1103.91	382.7	3881.71
1104.01	382.6	3880.13
1104.11	382.5	3818.91
1104.21	382.4	3836.12
1104.31	382.3	3884.14
1104.41	382.2	3869.09
1104.51	382.1	3841.39
1104.61	382	3846.52
1104.71	381.9	3836.12
1104.81	381.8	3825.3
1104.91	381.7	3835.8
1105.01	381.6	3820.02
1105.11	381.5	3801.8
1105.21	381.4	3791.22
1105.31	381.3	3759.64
1105.41	381.2	3752.04
1105.51	381.1	3749.61
1105.61	381	3763.7
1105.71	380.9	3730.23
1105.81	380.8	3713.86
1105.91	380.7	3724.86
1106.01	380.6	3670.26
1106.11	380.5	3654.35
1106.21	380.4	3672.16
1106.31	380.3	3629.83
1106.41	380.2	3603.78
1106.51	380.1	3584.67
1106.61	380	3591.05
1106.71	379.9	3604.47
1106.81	379.8	3589.4
1106.91	379.7	3596.58
1107.01	379.6	3582.6
1107.11	379.5	3594.05
1107.21	379.4	3560.73
1107.31	379.3	3601.37
1107.41	379.2	3625.91
1107.51	379.1	3613.78
1107.61	379	3648.93
1107.71	378.9	3668.04
1107.81	378.8	3660.79
1107.91	378.7	3742.77
1108.01	378.6	3797.36
1108.11	378.5	3875.54
1108.21	378.4	3919.52
1108.31	378.3	4036.23
1108.41	378.2	4154.48
1108.51	378.1	4265.16
1108.61	378	4312.86
1108.71	377.9	4346.22
1108.81	377.8	4343.08
1108.91	377.7	4259.54
1109.01	377.6	4191.31
1109.11	377.5	4086.03
1109.21	377.4	3980.76
1109.31	377.3	3877.88
1109.41	377.2	3830.32
1109.51	377.1	3775
1109.61	377	3736.49
1109.71	376.9	3755.08
1109.81	376.8	3782.56
1109.91	376.7	3825.79
1110.01	376.6	3853.9
1110.11	376.5	3891.13
1110.21	376.4	3954.45
1110.31	376.3	4049.21
1110.41	376.2	4113.67
1110.51	376.1	4192.47
1110.61	376	4290.32
1110.71	375.9	4444.08
1110.81	375.8	4547.12
1110.91	375.7	4705.72
1111.01	375.6	4910.26
1111.11	375.5	5182.82
1111.21	375.4	5508.15
1111.31	375.3	5880.8
1111.41	375.2	6499.78
1111.51	375.1	7352.54
1111.61	375	8608.59
1111.71	374.9	10528.4
1111.81	374.8	13381.4
1111.91	374.7	17445.5
1112.01	374.6	22779
1112.11	374.5	28958
1112.21	374.4	35063.1
1112.31	374.3	39616.8
1112.41	374.2	41153.3
1112.51	374.1	39013.7
1112.61	374	33851.3
1112.71	373.9	27164.5
