C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Ag in He.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey
800.11	686.5	81863.4
800.61	686	82077
801.11	685.5	82299.7
801.61	685	82489.8
802.11	684.5	83032
802.61	684	82835.5
803.11	683.5	83313.1
803.61	683	82717.3
804.11	682.5	82613.6
804.61	682	82482.7
805.11	681.5	82825
805.61	681	83676
806.11	680.5	83298.3
806.61	680	83168.2
807.11	679.5	83535.6
807.61	679	83450
808.11	678.5	83947.9
808.61	678	83908.2
809.11	677.5	83982.4
809.61	677	83609.4
810.11	676.5	83765.2
810.61	676	83965.8
811.11	675.5	83644.7
811.61	675	84070.7
812.11	674.5	84133.4
812.61	674	83670.5
813.11	673.5	84071.2
813.61	673	84822.2
814.11	672.5	84789.6
814.61	672	84952.5
815.11	671.5	85104.6
815.61	671	84877.1
816.11	670.5	85192.1
816.61	670	85526.4
817.11	669.5	85180.8
817.61	669	85258.6
818.11	668.5	85611
818.61	668	85280.6
819.11	667.5	85782.5
819.61	667	85586.5
820.11	666.5	86227.8
820.61	666	86038.8
821.11	665.5	86209.4
821.61	665	86211.9
822.11	664.5	86738.3
822.61	664	86198.8
823.11	663.5	86178.8
823.61	663	86614.8
824.11	662.5	86496.8
824.61	662	87148.3
825.11	661.5	86994.7
825.61	661	86858.2
826.11	660.5	87198.4
826.61	660	87593.7
827.11	659.5	87559.2
827.61	659	87476.9
828.11	658.5	87620.5
828.61	658	87838.4
829.11	657.5	88004.6
829.61	657	88150
830.11	656.5	87903
830.61	656	88182
831.11	655.5	88610
831.61	655	88541.7
832.11	654.5	88553.7
832.61	654	89145.3
833.11	653.5	88595.3
833.61	653	88406.4
834.11	652.5	88918.6
834.61	652	89571.8
835.11	651.5	89629.4
835.61	651	89550.4
836.11	650.5	89582.7
836.61	650	89578.2
837.11	649.5	89473.2
837.61	649	89554.9
838.11	648.5	89700.6
838.61	648	90023.8
839.11	647.5	89757.3
839.61	647	89827
840.11	646.5	89910.8
840.61	646	89720.1
841.11	645.5	90325.1
841.61	645	90728.2
842.11	644.5	90469.6
842.61	644	90611.1
843.11	643.5	90486.1
843.61	643	90649.2
844.11	642.5	91013.4
844.61	642	91214.7
845.11	641.5	91134.1
845.61	641	91334.8
846.11	640.5	91534.2
846.61	640	91506.5
847.11	639.5	91591.5
847.61	639	91456.9
848.11	638.5	91919.1
848.61	638	92161.4
849.11	637.5	92543.3
849.61	637	92513.8
850.11	636.5	92774.5
850.61	636	93149.5
851.11	635.5	93433.6
851.61	635	93687.7
852.11	634.5	94025.7
852.61	634	93411.3
853.11	633.5	93513.4
853.61	633	94278.8
854.11	632.5	94530.7
854.61	632	94694.1
855.11	631.5	94709
855.61	631	95280.4
856.11	630.5	95181.4
856.61	630	95312
857.11	629.5	95955.9
857.61	629	96237.3
858.11	628.5	96608.3
858.61	628	96990.6
859.11	627.5	96768
859.61	627	96603.2
860.11	626.5	97052.1
860.61	626	97208.4
861.11	625.5	96926.3
861.61	625	97278.1
862.11	624.5	97310.4
862.61	624	96166
863.11	623.5	95861.9
863.61	623	95350.9
864.11	622.5	94878.6
864.61	622	94970.3
865.11	621.5	94970.3
865.61	621	95001.1
866.11	620.5	94679
866.61	620	94242.6
867.11	619.5	94220.7
867.61	619	94353
868.11	618.5	94765.5
868.61	618	95113
869.11	617.5	94979.3
869.61	617	95482.8
870.11	616.5	95463.6
870.61	616	95625
871.11	615.5	96181.2
871.61	615	95913
872.11	614.5	96075.5
872.61	614	96538.9
873.11	613.5	97134.9
873.61	613	97571.9
874.11	612.5	97740.4
874.61	612	98418.5
875.11	611.5	99073.3
875.61	611	99961.1
876.11	610.5	100450
876.61	610	101014
877.11	609.5	102068
877.61	609	103474
878.11	608.5	105186
878.61	608	106821
879.11	607.5	108563
879.61	607	112241
880.11	606.5	116995
880.61	606	123927
881.11	605.5	132570
881.61	605	142580
882.11	604.5	150479
882.61	604	154258
883.11	603.5	152670
883.61	603	144125
884.11	602.5	133894
884.61	602	122994
885.11	601.5	113977
885.61	601	108941
886.11	600.5	104774
886.61	600	101969
887.11	599.5	100023
887.61	599	98643.2
888.11	598.5	97388.5
888.61	598	97305.5
889.11	597.5	96851.1
889.61	597	96302.7
890.11	596.5	95771.4
890.61	596	95758.8
891.11	595.5	95826.6
891.61	595	95675.7
892.11	594.5	94952.5
892.61	594	94355.1
893.11	593.5	93843.1
893.61	593	92110.2
894.11	592.5	90684.6
894.61	592	89968.9
895.11	591.5	88707.5
895.61	591	88449.9
896.11	590.5	87907.5
896.61	590	87626.5
897.11	589.5	87492.3
897.61	589	87352.5
898.11	588.5	87170.8
898.61	588	87100.8
899.11	587.5	87068.6
899.61	587	87205.2
900.11	586.5	87400.9
900.61	586	87430.6
901.11	585.5	87610.7
901.61	585	87793.3
902.11	584.5	88635
902.61	584	88963.6
903.11	583.5	88784.3
903.61	583	89941.5
904.11	582.5	90080.9
904.61	582	90748
905.11	581.5	91502.5
