C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Ag in He.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey
800.11	686.5	98014.9
800.61	686	97763.5
801.11	685.5	97850.6
801.61	685	97906.7
802.11	684.5	98507.5
802.61	684	98932.4
803.11	683.5	98855.6
803.61	683	98526.6
804.11	682.5	98908.6
804.61	682	98701.1
805.11	681.5	98404.7
805.61	681	98530.8
806.11	680.5	98806.6
806.61	680	98901.2
807.11	679.5	99476.4
807.61	679	98704.8
808.11	678.5	99132.7
808.61	678	99349.5
809.11	677.5	98635.9
809.61	677	99240.7
810.11	676.5	99936.5
810.61	676	99408.8
811.11	675.5	99186
811.61	675	99576
812.11	674.5	99466.1
812.61	674	99536.3
813.11	673.5	99629
813.61	673	100449
814.11	672.5	100072
814.61	672	100074
815.11	671.5	100382
815.61	671	100642
816.11	670.5	100777
816.61	670	100810
817.11	669.5	100977
817.61	669	101054
818.11	668.5	101416
818.61	668	101009
819.11	667.5	101029
819.61	667	101144
820.11	666.5	101210
820.61	666	100414
821.11	665.5	101808
821.61	665	101717
822.11	664.5	102078
822.61	664	101895
823.11	663.5	101872
823.61	663	102354
824.11	662.5	102469
824.61	662	103180
825.11	661.5	103013
825.61	661	102449
826.11	660.5	103211
826.61	660	102871
827.11	659.5	102948
827.61	659	103189
828.11	658.5	103971
828.61	658	103183
829.11	657.5	103179
829.61	657	103982
830.11	656.5	103819
830.61	656	103817
831.11	655.5	103737
831.61	655	103587
832.11	654.5	103761
832.61	654	104285
833.11	653.5	104423
833.61	653	104298
834.11	652.5	104401
834.61	652	104772
835.11	651.5	104273
835.61	651	104596
836.11	650.5	105095
836.61	650	104890
837.11	649.5	105520
837.61	649	105540
838.11	648.5	104896
838.61	648	105103
839.11	647.5	105063
839.61	647	105120
840.11	646.5	105468
840.61	646	105353
841.11	645.5	105441
841.61	645	106543
842.11	644.5	105908
842.61	644	106186
843.11	643.5	107077
843.61	643	107011
844.11	642.5	107279
844.61	642	107205
845.11	641.5	106677
845.61	641	106786
846.11	640.5	106951
846.61	640	107296
847.11	639.5	107889
847.61	639	108102
848.11	638.5	107906
848.61	638	108462
849.11	637.5	108219
849.61	637	107793
850.11	636.5	108417
850.61	636	107999
851.11	635.5	108630
851.61	635	108878
852.11	634.5	108495
852.61	634	108805
853.11	633.5	109559
853.61	633	110246
854.11	632.5	109844
854.61	632	109059
855.11	631.5	110099
855.61	631	110956
856.11	630.5	111255
856.61	630	110795
857.11	629.5	111356
857.61	629	111745
858.11	628.5	111593
858.61	628	112210
859.11	627.5	111939
859.61	627	111965
860.11	626.5	112015
860.61	626	111669
861.11	625.5	111565
861.61	625	111903
862.11	624.5	111988
862.61	624	112224
863.11	623.5	112202
863.61	623	112042
864.11	622.5	113214
864.61	622	113846
865.11	621.5	113351
865.61	621	113654
866.11	620.5	113547
866.61	620	113719
867.11	619.5	114125
867.61	619	114055
868.11	618.5	113509
868.61	618	113619
869.11	617.5	114418
869.61	617	114849
870.11	616.5	114943
870.61	616	115062
871.11	615.5	114296
871.61	615	115557
872.11	614.5	116003
872.61	614	116557
873.11	613.5	117573
873.61	613	117863
874.11	612.5	118797
874.61	612	119016
875.11	611.5	119732
875.61	611	119997
876.11	610.5	121509
876.61	610	122372
877.11	609.5	123420
877.61	609	125457
878.11	608.5	127339
878.61	608	130851
879.11	607.5	134008
879.61	607	138309
880.11	606.5	145135
880.61	606	155474
881.11	605.5	168732
881.61	605	183248
882.11	604.5	196158
882.61	604	200449
883.11	603.5	196526
883.61	603	185049
884.11	602.5	168373
884.61	602	151705
885.11	601.5	139252
885.61	601	131229
886.11	600.5	125069
886.61	600	120956
887.11	599.5	118256
887.61	599	115767
888.11	598.5	114003
888.61	598	112891
889.11	597.5	112258
889.61	597	112208
890.11	596.5	110739
890.61	596	109332
891.11	595.5	109278
891.61	595	109138
892.11	594.5	108985
892.61	594	108522
893.11	593.5	108616
893.61	593	108403
894.11	592.5	108423
894.61	592	108823
895.11	591.5	109034
895.61	591	108937
896.11	590.5	108868
896.61	590	109393
897.11	589.5	109538
897.61	589	109276
898.11	588.5	109051
898.61	588	109617
899.11	587.5	109799
899.61	587	109344
900.11	586.5	109066
900.61	586	109351
901.11	585.5	108920
901.61	585	110537
902.11	584.5	110727
902.61	584	111236
903.11	583.5	112091
903.61	583	112094
904.11	582.5	112211
904.61	582	114079
905.11	581.5	114571
905.61	581	116019
906.11	580.5	117350
906.61	580	118570
907.11	579.5	120721
907.61	579	121933
908.11	578.5	124424
908.61	578	128677
909.11	577.5	132841
909.61	577	138122
910.11	576.5	147613
910.61	576	157865
911.11	575.5	173470
911.61	575	196519
912.11	574.5	224145
912.61	574	251248
913.11	573.5	269447
913.61	573	272750
914.11	572.5	257769
914.61	572	230020
915.11	571.5	197317
915.61	571	167176
916.11	570.5	143951
916.61	570	128093
917.11	569.5	116191
917.61	569	108205
918.11	568.5	101156
918.61	568	97004.9
919.11	567.5	92658.7
919.61	567	90251
920.11	566.5	88426.2
920.61	566	86763.3
921.11	565.5	85080.5
921.61	565	83323.5
922.11	564.5	82323.9
922.61	564	82305.4
923.11	563.5	81683.1
923.61	563	80747.8
924.11	562.5	80150.1
924.61	562	80159.7
925.11	561.5	79590.9
925.61	561	79516.5
926.11	560.5	79248.4
926.61	560	79418.2
927.11	559.5	79039.5
927.61	559	78425.9
928.11	558.5	78292.8
928.61	558	78833
929.11	557.5	78499.5
929.61	557	78458.6
930.11	556.5	78121.3
930.61	556	78244.9
931.11	555.5	77975.9
931.61	555	78165.4
932.11	554.5	77710.4
932.61	554	77504.2
933.11	553.5	77801
933.61	553	77360.1
934.11	552.5	77788.1
934.61	552	77190.4
935.11	551.5	78124
935.61	551	78096.1
936.11	550.5	78022.5
936.61	550	77603.4
937.11	549.5	77709.5
937.61	549	78063.7
938.11	548.5	78079.6
938.61	548	77955.3
939.11	547.5	78213.4
939.61	547	77870
940.11	546.5	77972.2
940.61	546	78072
941.11	545.5	78164.2
941.61	545	78555.5
942.11	544.5	78255.5
942.61	544	78080.7
943.11	543.5	78166.2
943.61	543	79254.9
944.11	542.5	78486
944.61	542	78489
945.11	541.5	78663.4
945.61	541	78552.1
946.11	540.5	78796.7
946.61	540	79025.9
947.11	539.5	79229.8
947.61	539	79106.5
948.11	538.5	78816.6
948.61	538	79357.5
949.11	537.5	79553.1
949.61	537	79194.4
