C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Survey	BE_Pr:Survey	CPS_Pr:Survey	Background_Pr:Survey
967.11	519.5	4652.16	4652.16
967.61	519	4658.52	4658.52
968.11	518.5	4641.71	4641.71
968.61	518	4656.27	4656.27
969.11	517.5	4644.33	4644.33
969.61	517	4653.04	4653.04
970.11	516.5	4649.71	4649.71
970.61	516	4673.25	4673.25
971.11	515.5	4651.22	4651.22
971.61	515	4670.87	4670.87
972.11	514.5	4671.6	4671.6
972.61	514	4688.22	4688.22
973.11	513.5	4674	4674
973.61	513	4619.04	4619.04
974.11	512.5	4684.47	4684.47
974.61	512	4717.42	4717.42
975.11	511.5	4690.95	4690.95
975.61	511	4726.84	4726.84
976.11	510.5	4758.35	4758.35
976.61	510	4748.53	4748.53
977.11	509.5	4729.64	4729.64
977.61	509	4754.04	4754.04
978.11	508.5	4774.21	4774.21
978.61	508	4754.18	4754.18
979.11	507.5	4749.86	4749.86
979.61	507	4817.66	4817.66
980.11	506.5	4814.56	4814.56
980.61	506	4759.93	4759.93
981.11	505.5	4787.19	4787.19
981.61	505	4810.53	4810.53
982.11	504.5	4850.25	4850.25
982.61	504	4849.77	4849.77
983.11	503.5	4828.61	4828.61
983.61	503	4815.36	4815.36
984.11	502.5	4818.03	4818.03
984.61	502	4853.76	4853.76
985.11	501.5	4850	4850
985.61	501	4822.14	4822.14
986.11	500.5	4903.73	4903.73
986.61	500	4833.52	4833.52
987.11	499.5	4861.01	4861.01
987.61	499	4908.39	4908.39
988.11	498.5	4878.87	4878.87
988.61	498	4909.79	4909.79
989.11	497.5	4888.28	4888.28
989.61	497	4893.45	4893.45
990.11	496.5	4874.57	4874.57
990.61	496	4926.71	4926.71
991.11	495.5	4918.51	4918.51
991.61	495	4921.73	4921.73
992.11	494.5	4885.05	4885.05
992.61	494	4914.13	4914.13
993.11	493.5	4931.99	4931.99
993.61	493	4913.64	4913.64
994.11	492.5	4972	4972
994.61	492	5036.76	5036.76
995.11	491.5	5059.82	5059.82
995.61	491	5002.78	5002.78
996.11	490.5	4984.84	4984.84
996.61	490	4992.77	4992.77
997.11	489.5	5017.67	5017.67
997.61	489	5008.79	5008.79
998.11	488.5	5038.33	5038.33
998.61	488	5019.07	5019.07
999.11	487.5	5064.39	5064.39
999.61	487	5057.72	5057.72
1000.11	486.5	4973.97	4973.97
1000.61	486	5001.6	5001.6
