C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Survey	BE_Pr:Survey	CPS_Pr:Survey	Background_Pr:Survey
967.11	519.5	9885.82	9885.82
967.61	519	9864.11	9864.11
968.11	518.5	9786.5	9786.5
968.61	518	9823.97	9823.97
969.11	517.5	9813.31	9813.31
969.61	517	9862.55	9862.55
970.11	516.5	9929.29	9929.29
970.61	516	9911.83	9911.83
971.11	515.5	9912.47	9912.47
971.61	515	9939.03	9939.03
972.11	514.5	9922.83	9922.83
972.61	514	9862.32	9862.32
973.11	513.5	9889.59	9889.59
973.61	513	9901.66	9901.66
974.11	512.5	9946.29	9946.29
974.61	512	9957.91	9957.91
975.11	511.5	9942.17	9942.17
975.61	511	9942.11	9942.11
976.11	510.5	10008.9	10008.9
976.61	510	10003.7	10003.7
977.11	509.5	10025.2	10025.2
977.61	509	9967.73	9967.73
978.11	508.5	9988.53	9988.53
978.61	508	10014.7	10014.7
979.11	507.5	10122	10122
979.61	507	10033.9	10033.9
980.11	506.5	10030.9	10030.9
980.61	506	10013.8	10013.8
981.11	505.5	10006.5	10006.5
981.61	505	9991.81	9991.81
982.11	504.5	10010.5	10010.5
982.61	504	10089.3	10089.3
983.11	503.5	10110.5	10110.5
983.61	503	10115.7	10115.7
984.11	502.5	10091.2	10091.2
984.61	502	10033.9	10033.9
985.11	501.5	10034.6	10034.6
985.61	501	10111.6	10111.6
986.11	500.5	10148.4	10148.4
986.61	500	10218.3	10218.3
987.11	499.5	10178.6	10178.6
987.61	499	10254.2	10254.2
988.11	498.5	10228.5	10228.5
988.61	498	10218.1	10218.1
989.11	497.5	10236.5	10236.5
989.61	497	10206.7	10206.7
990.11	496.5	10225.8	10225.8
990.61	496	10296.8	10296.8
991.11	495.5	10221.6	10221.6
991.61	495	10265.6	10265.6
992.11	494.5	10223.2	10223.2
992.61	494	10261.3	10261.3
993.11	493.5	10254.9	10254.9
993.61	493	10307.2	10307.2
994.11	492.5	10296.8	10296.8
994.61	492	10344.1	10344.1
995.11	491.5	10414.1	10414.1
995.61	491	10400.4	10400.4
996.11	490.5	10391.3	10391.3
996.61	490	10345.3	10345.3
997.11	489.5	10340.3	10340.3
997.61	489	10388	10388
998.11	488.5	10337.6	10337.6
998.61	488	10455.3	10455.3
999.11	487.5	10427.8	10427.8
999.61	487	10422.3	10422.3
1000.11	486.5	10489.8	10489.8
1000.61	486	10527.3	10527.3
1001.11	485.5	10486.2	10486.2
1001.61	485	10502.8	10502.8
1002.11	484.5	10515.4	10515.4
1002.61	484	10502.8	10502.8
1003.11	483.5	10481	10481
1003.61	483	10561.1	10561.1
1004.11	482.5	10638.1	10638.1
1004.61	482	10541.5	10541.5
1005.11	481.5	10522.3	10522.3
1005.61	481	10525.1	10525.1
1006.11	480.5	10575.6	10575.6
1006.61	480	10572.7	10572.7
1007.11	479.5	10556.6	10556.6
1007.61	479	10610.5	10610.5
1008.11	478.5	10657.1	10657.1
1008.61	478	10630.5	10630.5
1009.11	477.5	10634.8	10634.8
1009.61	477	10750.2	10750.2
1010.11	476.5	10722.9	10722.9
1010.61	476	10717.1	10717.1
1011.11	475.5	10746.1	10746.1
1011.61	475	10676.1	10676.1
1012.11	474.5	10748.4	10748.4
1012.61	474	10759	10759
1013.11	473.5	10713.2	10713.2
1013.61	473	10740.1	10740.1
1014.11	472.5	10814.6	10814.6
1014.61	472	10722.1	10722.1
1015.11	471.5	10785.3	10785.3
1015.61	471	10837.2	10837.2
1016.11	470.5	10787.6	10787.6
1016.61	470	10781.7	10781.7
1017.11	469.5	10818.5	10818.5
1017.61	469	10828.3	10828.3
1018.11	468.5	10838.6	10838.6
1018.61	468	10910.2	10910.2
1019.11	467.5	10921.4	10921.4
1019.61	467	10913.2	10913.2
1020.11	466.5	10902.6	10902.6
1020.61	466	10868.6	10868.6
1021.11	465.5	10890.3	10890.3
1021.61	465	10966.4	10966.4
1022.11	464.5	10941.3	10941.3
1022.61	464	11006.9	11006.9
1023.11	463.5	11003.4	11003.4
1023.61	463	10980.4	10980.4
1024.11	462.5	11001.8	11001.8
1024.61	462	11035.9	11035.9
1025.11	461.5	10955.5	10955.5
1025.61	461	10987.9	10987.9
1026.11	460.5	11010.7	11010.7
1026.61	460	10965.7	10965.7
1027.11	459.5	11058	11058
1027.61	459	11081.9	11081.9
1028.11	458.5	11114.6	11114.6
1028.61	458	11119.5	11119.5
1029.11	457.5	11135.1	11135.1
1029.61	457	11166.5	11166.5
1030.11	456.5	11122	11122
1030.61	456	11145.4	11145.4
1031.11	455.5	11230.8	11230.8
1031.61	455	11218.3	11218.3
1032.11	454.5	11199.1	11199.1
1032.61	454	11181.5	11181.5
1033.11	453.5	11305.3	11305.3
1033.61	453	11368.5	11368.5
1034.11	452.5	11315.1	11315.1
1034.61	452	11423.5	11423.5
1035.11	451.5	11429.6	11429.6
1035.61	451	11342.7	11342.7
1036.11	450.5	11302	11302
1036.61	450	11377.4	11377.4
1037.11	449.5	11411.8	11411.8
1037.61	449	11374.1	11374.1
1038.11	448.5	11403.9	11403.9
1038.61	448	11409.3	11409.3
1039.11	447.5	11445.8	11445.8
1039.61	447	11465.9	11465.9
1040.11	446.5	11466.8	11466.8
1040.61	446	11546.4	11546.4
1041.11	445.5	11498.7	11498.7
1041.61	445	11538.8	11538.8
1042.11	444.5	11577.7	11577.7
1042.61	444	11557.9	11557.9
1043.11	443.5	11563.5	11563.5
1043.61	443	11598	11598
1044.11	442.5	11628.6	11628.6
1044.61	442	11699.6	11699.6
1045.11	441.5	11532.4	11532.4
1045.61	441	11566.3	11566.3
1046.11	440.5	11650.8	11650.8
1046.61	440	11711.2	11711.2
1047.11	439.5	11685.8	11685.8
1047.61	439	11728.5	11728.5
1048.11	438.5	11703.7	11703.7
1048.61	438	11734.8	11734.8
1049.11	437.5	11746.6	11746.6
1049.61	437	11759.7	11759.7
1050.11	436.5	11776.5	11776.5
1050.61	436	11884.6	11884.6
1051.11	435.5	11898	11898
1051.61	435	11807.9	11807.9
1052.11	434.5	11808	11808
1052.61	434	11826.6	11826.6
1053.11	433.5	11838.4	11838.4
1053.61	433	11964.7	11964.7
1054.11	432.5	11947.9	11947.9
1054.61	432	11950.9	11950.9
1055.11	431.5	12025.2	12025.2
1055.61	431	11969.2	11969.2
1056.11	430.5	11981.3	11981.3
1056.61	430	12060	12060
1057.11	429.5	12129.3	12129.3
1057.61	429	12060.8	12060.8
1058.11	428.5	12149.1	12149.1
1058.61	428	12162.2	12162.2
1059.11	427.5	12101.4	12101.4
1059.61	427	12151.8	12151.8
1060.11	426.5	12133.5	12133.5
1060.61	426	12186	12186
1061.11	425.5	12214.2	12214.2
1061.61	425	12175.1	12175.1
1062.11	424.5	12216	12216
1062.61	424	12168.1	12168.1
1063.11	423.5	12296.7	12296.7
1063.61	423	12313.8	12313.8
1064.11	422.5	12374.9	12374.9
1064.61	422	12402	12402
1065.11	421.5	12396	12396
1065.61	421	12390.5	12390.5
1066.11	420.5	12378.5	12378.5
1066.61	420	12428.3	12428.3
1067.11	419.5	12448.1	12448.1
1067.61	419	12469	12469
1068.11	418.5	12535.9	12535.9
1068.61	418	12480.4	12480.4
1069.11	417.5	12558.2	12558.2
1069.61	417	12555.6	12555.6
1070.11	416.5	12482.6	12482.6
1070.61	416	12537	12537
1071.11	415.5	12579.4	12579.4
1071.61	415	12559.8	12559.8
1072.11	414.5	12618.2	12618.2
1072.61	414	12604.8	12604.8
1073.11	413.5	12618.7	12618.7
1073.61	413	12672.9	12672.9
1074.11	412.5	12732.8	12732.8
1074.61	412	12739.6	12739.6
1075.11	411.5	12805.9	12805.9
1075.61	411	12809.2	12809.2
1076.11	410.5	12690.7	12690.7
1076.61	410	12734.6	12734.6
1077.11	409.5	12835.7	12835.7
1077.61	409	12780.2	12780.2
1078.11	408.5	12809.7	12809.7
1078.61	408	12861.9	12861.9
1079.11	407.5	12832.5	12832.5
1079.61	407	12931.5	12931.5
1080.11	406.5	12939.1	12939.1
1080.61	406	12923.3	12923.3
1081.11	405.5	12970.8	12970.8
1081.61	405	13085.3	13085.3
1082.11	404.5	13008.2	13008.2
1082.61	404	13154.4	13154.4
1083.11	403.5	13172.9	13172.9
1083.61	403	13148.8	13148.8
1084.11	402.5	13162.6	13162.6
1084.61	402	13177.7	13177.7
1085.11	401.5	13111.1	13111.1
1085.61	401	13189.9	13189.9
1086.11	400.5	13250.6	13250.6
1086.61	400	13297.2	13297.2
1087.11	399.5	13222.8	13222.8
1087.61	399	13311.2	13311.2
1088.11	398.5	13362.2	13362.2
1088.61	398	13409	13409
1089.11	397.5	13434.8	13434.8
1089.61	397	13490.1	13490.1
1090.11	396.5	13432.6	13432.6
1090.61	396	13532.4	13532.4
1091.11	395.5	13553.3	13553.3
1091.61	395	13489.4	13489.4
1092.11	394.5	13521.4	13521.4
1092.61	394	13547.7	13547.7
1093.11	393.5	13640.8	13640.8
1093.61	393	13640	13640
1094.11	392.5	13645	13645
1094.61	392	13777.7	13777.7
1095.11	391.5	13775.9	13775.9
1095.61	391	13843.1	13843.1
1096.11	390.5	13861.5	13861.5
1096.61	390	13866.4	13866.4
1097.11	389.5	14007.7	14007.7
1097.61	389	13977	13977
1098.11	388.5	13931.6	13931.6
1098.61	388	13996.1	13996.1
1099.11	387.5	14002	14002
1099.61	387	14062	14062
1100.11	386.5	13987.7	13987.7
1100.61	386	14147.8	14147.8
1101.11	385.5	14099.9	14099.9
1101.61	385	14114.3	14114.3
1102.11	384.5	14138.3	14138.3
1102.61	384	14231.6	14231.6
1103.11	383.5	14218.3	14218.3
1103.61	383	14235.9	14235.9
1104.11	382.5	14299.7	14299.7
1104.61	382	14372.3	14372.3
1105.11	381.5	14310.3	14310.3
1105.61	381	14375.7	14375.7
1106.11	380.5	14400.9	14400.9
1106.61	380	14458.9	14458.9
1107.11	379.5	14473.1	14473.1
1107.61	379	14509.3	14509.3
1108.11	378.5	14529.3	14529.3
1108.61	378	14673.3	14673.3
1109.11	377.5	14546.5	14546.5
1109.61	377	14627	14627
1110.11	376.5	14736.9	14736.9
