C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Au4f	BE_Pr:Au4f	CPS_Pr:Au4f
1311.61	175	1666.84
1311.71	174.9	1684.11
1311.81	174.8	1680.05
1311.91	174.7	1696.75
1312.01	174.6	1678.54
1312.11	174.5	1671.09
1312.21	174.4	1697.3
1312.31	174.3	1682.69
1312.41	174.2	1705.58
1312.51	174.1	1667.02
1312.61	174	1697.43
1312.71	173.9	1682.36
1312.81	173.8	1690.14
1312.91	173.7	1669.79
1313.01	173.6	1678.39
1313.11	173.5	1686.65
1313.21	173.4	1693.93
1313.31	173.3	1696.99
1313.41	173.2	1687.07
1313.51	173.1	1670.93
1313.61	173	1671.49
1313.71	172.9	1698.4
1313.81	172.8	1697.62
1313.91	172.7	1721.67
1314.01	172.6	1678.62
1314.11	172.5	1665.4
1314.21	172.4	1711.57
1314.31	172.3	1699.73
1314.41	172.2	1691.91
1314.51	172.1	1692.3
1314.61	172	1686.11
1314.71	171.9	1694.07
1314.81	171.8	1682.92
1314.91	171.7	1695.79
1315.01	171.6	1704.18
1315.11	171.5	1707.22
1315.21	171.4	1692.68
1315.31	171.3	1691.55
1315.41	171.2	1696.33
1315.51	171.1	1676.1
1315.61	171	1689.5
1315.71	170.9	1686.47
1315.81	170.8	1689.67
1315.91	170.7	1718.61
1316.01	170.6	1690.85
1316.11	170.5	1699.06
1316.21	170.4	1689.82
1316.31	170.3	1691.44
1316.41	170.2	1732.33
1316.51	170.1	1695.25
1316.61	170	1678.23
1316.71	169.9	1704.98
1316.81	169.8	1711.46
1316.91	169.7	1703.01
1317.01	169.6	1695.17
1317.11	169.5	1707.06
1317.21	169.4	1696.4
1317.31	169.3	1700.1
1317.41	169.2	1716.65
1317.51	169.1	1724
1317.61	169	1713.46
1317.71	168.9	1698.55
1317.81	168.8	1690.72
1317.91	168.7	1689.47
1318.01	168.6	1709.13
1318.11	168.5	1701.79
1318.21	168.4	1715.51
1318.31	168.3	1693.23
1318.41	168.2	1708.46
1318.51	168.1	1716.05
1318.61	168	1695.86
1318.71	167.9	1729.77
1318.81	167.8	1719.88
1318.91	167.7	1704.72
1319.01	167.6	1716.41
1319.11	167.5	1722.77
1319.21	167.4	1736.81
1319.31	167.3	1692.35
1319.41	167.2	1676.16
1319.51	167.1	1710.95
1319.61	167	1729.78
1319.71	166.9	1742.11
1319.81	166.8	1735.18
1319.91	166.7	1725.73
1320.01	166.6	1729.77
1320.11	166.5	1716.18
1320.21	166.4	1698.91
1320.31	166.3	1727.79
1320.41	166.2	1724.33
1320.51	166.1	1730.48
1320.61	166	1703.37
1320.71	165.9	1706.1
1320.81	165.8	1725.97
1320.91	165.7	1741.35
1321.01	165.6	1717.59
1321.11	165.5	1744.12
1321.21	165.4	1732.25
1321.31	165.3	1691.04
1321.41	165.2	1722.45
1321.51	165.1	1723.82
1321.61	165	1696.48
1321.71	164.9	1708.37
1321.81	164.8	1714.43
1321.91	164.7	1727.92
1322.01	164.6	1714.35
1322.11	164.5	1752.85
1322.21	164.4	1735.81
1322.31	164.3	1745.27
1322.41	164.2	1750.66
1322.51	164.1	1754.72
1322.61	164	1727.56
1322.71	163.9	1730.8
1322.81	163.8	1722.83
1322.91	163.7	1724.56
1323.01	163.6	1738.85
1323.11	163.5	1747.53
1323.21	163.4	1743.39
1323.31	163.3	1742.97
1323.41	163.2	1751.03
1323.51	163.1	1753.1
1323.61	163	1746.4
1323.71	162.9	1732.42
1323.81	162.8	1754.18
1323.91	162.7	1744.42
1324.01	162.6	1733.9
1324.11	162.5	1735.75
1324.21	162.4	1733.58
1324.31	162.3	1701.81
1324.41	162.2	1706.47
1324.51	162.1	1728.03
1324.61	162	1751.02
1324.71	161.9	1744.58
1324.81	161.8	1753.78
1324.91	161.7	1731.42
1325.01	161.6	1740.95
1325.11	161.5	1738.07
1325.21	161.4	1755.02
1325.31	161.3	1756.57
1325.41	161.2	1743.81
1325.51	161.1	1736.33
1325.61	161	1712.99
1325.71	160.9	1735.61
1325.81	160.8	1730.56
1325.91	160.7	1734.75
1326.01	160.6	1763.52
1326.11	160.5	1736.92
1326.21	160.4	1740.57
1326.31	160.3	1762.56
1326.41	160.2	1785.83
1326.51	160.1	1735.75
1326.61	160	1753.83
1326.71	159.9	1735.47
1326.81	159.8	1739.1
1326.91	159.7	1735.57
1327.01	159.6	1757.17
1327.11	159.5	1778.82
1327.21	159.4	1780.78
1327.31	159.3	1767.39
1327.41	159.2	1741.67
1327.51	159.1	1768.14
1327.61	159	1776.39
1327.71	158.9	1765.23
1327.81	158.8	1746.3
1327.91	158.7	1752.92
1328.01	158.6	1771.99
1328.11	158.5	1766.68
1328.21	158.4	1757.9
1328.31	158.3	1762.03
1328.41	158.2	1770.62
1328.51	158.1	1768.84
1328.61	158	1757.19
1328.71	157.9	1767.09
1328.81	157.8	1781.89
1328.91	157.7	1784.93
1329.01	157.6	1756.42
1329.11	157.5	1774.47
1329.21	157.4	1763.34
1329.31	157.3	1762.65
1329.41	157.2	1781.23
1329.51	157.1	1780.03
1329.61	157	1779.97
1329.71	156.9	1768.25
1329.81	156.8	1763.54
1329.91	156.7	1767.85
1330.01	156.6	1760
1330.11	156.5	1762.28
1330.21	156.4	1772.27
1330.31	156.3	1788.73
1330.41	156.2	1782.59
1330.51	156.1	1781.45
1330.61	156	1771.49
