C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Au4f	BE_Pr:Au4f	CPS_Pr:Au4f
1311.61	175	941.125
1311.71	174.9	936.803
1311.81	174.8	943.494
1311.91	174.7	946.486
1312.01	174.6	946.615
1312.11	174.5	950.475
1312.21	174.4	930.473
1312.31	174.3	938.153
1312.41	174.2	946.618
1312.51	174.1	945.21
1312.61	174	957.684
1312.71	173.9	946.013
1312.81	173.8	946.586
1312.91	173.7	956.149
1313.01	173.6	943.068
1313.11	173.5	942.82
1313.21	173.4	940.916
1313.31	173.3	958.239
1313.41	173.2	958.421
1313.51	173.1	948.578
1313.61	173	951.549
1313.71	172.9	956.257
1313.81	172.8	957.093
1313.91	172.7	957.8
1314.01	172.6	953.354
1314.11	172.5	951.929
1314.21	172.4	962.464
1314.31	172.3	965.402
1314.41	172.2	963.695
1314.51	172.1	936.328
1314.61	172	941.675
1314.71	171.9	936.602
1314.81	171.8	954.997
1314.91	171.7	948.928
1315.01	171.6	951.117
1315.11	171.5	951.937
1315.21	171.4	961.816
1315.31	171.3	952.748
1315.41	171.2	961.468
1315.51	171.1	953.972
1315.61	171	948.739
1315.71	170.9	954.296
1315.81	170.8	952.647
1315.91	170.7	957.354
1316.01	170.6	946.598
1316.11	170.5	962.067
1316.21	170.4	975.172
1316.31	170.3	958.895
1316.41	170.2	948.749
1316.51	170.1	943.188
1316.61	170	946.9
1316.71	169.9	952.192
1316.81	169.8	950.355
1316.91	169.7	956.656
1317.01	169.6	949.237
1317.11	169.5	933.637
1317.21	169.4	953.599
1317.31	169.3	957.136
1317.41	169.2	946.304
1317.51	169.1	949.991
1317.61	169	958.121
1317.71	168.9	958.48
1317.81	168.8	953.027
1317.91	168.7	966.895
1318.01	168.6	964.331
1318.11	168.5	956.695
1318.21	168.4	949.185
1318.31	168.3	965.969
1318.41	168.2	956.805
1318.51	168.1	962.887
1318.61	168	951.376
1318.71	167.9	962.596
1318.81	167.8	963.329
1318.91	167.7	946.981
1319.01	167.6	959.478
1319.11	167.5	964.121
1319.21	167.4	948.101
1319.31	167.3	961.715
1319.41	167.2	949.058
1319.51	167.1	953.535
1319.61	167	961.081
1319.71	166.9	961.56
1319.81	166.8	947.424
1319.91	166.7	958.147
1320.01	166.6	944.815
1320.11	166.5	965.704
1320.21	166.4	956.475
1320.31	166.3	966.842
1320.41	166.2	985.797
1320.51	166.1	954.864
1320.61	166	961.241
1320.71	165.9	963.859
1320.81	165.8	964.796
1320.91	165.7	961.228
1321.01	165.6	965.697
1321.11	165.5	960.187
1321.21	165.4	959.87
1321.31	165.3	969.893
1321.41	165.2	962.661
1321.51	165.1	960.368
1321.61	165	946.412
1321.71	164.9	963.464
1321.81	164.8	970.503
1321.91	164.7	956.392
1322.01	164.6	963.371
1322.11	164.5	965.283
1322.21	164.4	963.129
1322.31	164.3	962.38
1322.41	164.2	954.147
1322.51	164.1	963.313
1322.61	164	960.909
1322.71	163.9	968.522
1322.81	163.8	971.694
1322.91	163.7	976.816
1323.01	163.6	967.371
1323.11	163.5	974.701
1323.21	163.4	967.079
1323.31	163.3	956.662
1323.41	163.2	972.33
1323.51	163.1	970.876
1323.61	163	972.676
1323.71	162.9	964.934
1323.81	162.8	957.357
1323.91	162.7	958.801
1324.01	162.6	963.108
1324.11	162.5	960.473
1324.21	162.4	955.848
1324.31	162.3	968.001
1324.41	162.2	972.134
1324.51	162.1	973.692
1324.61	162	966.907
1324.71	161.9	960.969
1324.81	161.8	975.869
1324.91	161.7	979.933
1325.01	161.6	963.153
