CasaXP2
Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	0.3
KE_Au4f	BE_Au4f	CPS_Au4f
1311.61	175	11650.7
1311.71	174.9	11651.4
1311.81	174.8	11666.5
1311.91	174.7	11535.4
1312.01	174.6	11574.2
1312.11	174.5	11595.5
1312.21	174.4	11533.6
1312.31	174.3	11528.5
1312.41	174.2	11592.3
1312.51	174.1	11614.3
1312.61	174	11570.1
1312.71	173.9	11509.3
1312.81	173.8	11619.7
1312.91	173.7	11711.8
1313.01	173.6	11707.2
1313.11	173.5	11726.9
1313.21	173.4	11727
1313.31	173.3	11678.8
1313.41	173.2	11720.2
1313.51	173.1	11675.9
1313.61	173	11603.8
1313.71	172.9	11682
1313.81	172.8	11629.2
1313.91	172.7	11636.9
1314.01	172.6	11772.7
1314.11	172.5	11771.3
1314.21	172.4	11750.3
1314.31	172.3	11667.7
1314.41	172.2	11708
1314.51	172.1	11818.8
1314.61	172	11710.5
1314.71	171.9	11678.2
1314.81	171.8	11715.9
1314.91	171.7	11728.7
1315.01	171.6	11692.2
1315.11	171.5	11662.4
1315.21	171.4	11758.4
1315.31	171.3	11756.5
1315.41	171.2	11651.6
1315.51	171.1	11693.4
1315.61	171	11806.9
1315.71	170.9	11793.5
1315.81	170.8	11789.2
1315.91	170.7	11763.9
1316.01	170.6	11773.8
1316.11	170.5	11796.1
1316.21	170.4	11736.4
1316.31	170.3	11782.4
1316.41	170.2	11771.5
1316.51	170.1	11765.9
1316.61	170	11712.8
1316.71	169.9	11651.3
1316.81	169.8	11743.6
1316.91	169.7	11760.1
1317.01	169.6	11737.1
1317.11	169.5	11823.7
1317.21	169.4	11811
1317.31	169.3	11789.9
1317.41	169.2	11881
1317.51	169.1	11809.1
1317.61	169	11819.6
1317.71	168.9	11863.7
1317.81	168.8	11744
1317.91	168.7	11771
1318.01	168.6	11688.2
1318.11	168.5	11770.8
1318.21	168.4	11722.5
1318.31	168.3	11828.8
1318.41	168.2	11779.8
1318.51	168.1	11902.1
1318.61	168	11880.4
1318.71	167.9	11833.2
1318.81	167.8	11897.9
1318.91	167.7	11904.2
1319.01	167.6	11809.3
1319.11	167.5	11790.3
1319.21	167.4	11787.7
1319.31	167.3	11826.8
1319.41	167.2	11846.5
1319.51	167.1	11863.4
1319.61	167	11925.1
1319.71	166.9	11886.5
1319.81	166.8	11843
1319.91	166.7	11835.2
1320.01	166.6	11795.2
1320.11	166.5	11883.5
1320.21	166.4	11912.7
1320.31	166.3	11855.6
1320.41	166.2	11758.2
1320.51	166.1	11901.7
1320.61	166	11850.5
1320.71	165.9	11901.4
1320.81	165.8	11887.3
1320.91	165.7	11905.3
1321.01	165.6	11962.7
1321.11	165.5	11943.8
1321.21	165.4	11970.5
1321.31	165.3	11940.3
1321.41	165.2	11993.7
1321.51	165.1	11947.8
1321.61	165	11883.7
1321.71	164.9	11883.3
1321.81	164.8	11998.8
1321.91	164.7	11989.2
1322.01	164.6	11924.9
1322.11	164.5	11904.2
1322.21	164.4	11990.6
1322.31	164.3	12018
1322.41	164.2	11964.3
1322.51	164.1	12011.8
1322.61	164	11933
1322.71	163.9	11958.7
1322.81	163.8	12037.5
1322.91	163.7	11929.8
1323.01	163.6	11917.7
1323.11	163.5	12015.4
1323.21	163.4	12012.5
1323.31	163.3	12010.2
1323.41	163.2	12012.9
1323.51	163.1	12061.8
1323.61	163	12029.3
1323.71	162.9	12034.6
1323.81	162.8	12112.6
1323.91	162.7	11998.7
1324.01	162.6	12006.6
1324.11	162.5	12013.2
1324.21	162.4	12140
1324.31	162.3	12070.2
1324.41	162.2	12011.1
1324.51	162.1	12039.5
1324.61	162	12053.7
1324.71	161.9	12086.3
1324.81	161.8	12026.6
1324.91	161.7	12053.8
1325.01	161.6	11978.5
1325.11	161.5	11985.6
1325.21	161.4	12095.6
1325.31	161.3	12053.3
1325.41	161.2	12107.6
1325.51	161.1	12182.8
1325.61	161	12149.6
1325.71	160.9	12077.2
1325.81	160.8	12173.4
1325.91	160.7	12243.9
1326.01	160.6	12098.4
1326.11	160.5	12033.7
1326.21	160.4	12129.8
1326.31	160.3	12136
1326.41	160.2	12099
1326.51	160.1	12045.6
1326.61	160	12129.4
1326.71	159.9	12168.1
1326.81	159.8	12153.3
1326.91	159.7	12178.4
1327.01	159.6	12201.2
1327.11	159.5	12152.6
1327.21	159.4	12065.7
1327.31	159.3	12081.6
1327.41	159.2	12121.3
1327.51	159.1	12169.4
1327.61	159	12240.2
1327.71	158.9	12224
1327.81	158.8	12178
1327.91	158.7	12178.7
1328.01	158.6	12321.2
1328.11	158.5	12281.6
1328.21	158.4	12242.4
1328.31	158.3	12162.7
1328.41	158.2	12260.4
1328.51	158.1	12282.8
1328.61	158	12229.1
1328.71	157.9	12323.3
1328.81	157.8	12297
1328.91	157.7	12300.2
1329.01	157.6	12214.2
1329.11	157.5	12292.3
1329.21	157.4	12348.9
1329.31	157.3	12344.7
1329.41	157.2	12425
1329.51	157.1	12362.6
1329.61	157	12337.4
1329.71	156.9	12303.2
1329.81	156.8	12274.1
1329.91	156.7	12235.4
1330.01	156.6	12233.7
1330.11	156.5	12285.7
1330.21	156.4	12314.6
1330.31	156.3	12317
1330.41	156.2	12311.9
1330.51	156.1	12386.5
1330.61	156	12426.6
1330.71	155.9	12466.6
1330.81	155.8	12399.4
1330.91	155.7	12452.1
1331.01	155.6	12413.5
1331.11	155.5	12429.9
1331.21	155.4	12439.4
1331.31	155.3	12473.5
1331.41	155.2	12454.1
1331.51	155.1	12438.9
1331.61	155	12473.4
1331.71	154.9	12402.5
1331.81	154.8	12348.2
1331.91	154.7	12344.2
1332.01	154.6	12444.9
1332.11	154.5	12442.3
1332.21	154.4	12386.1
1332.31	154.3	12346.3
1332.41	154.2	12431.3
1332.51	154.1	12492.9
1332.61	154	12442.3
1332.71	153.9	12433.2
1332.81	153.8	12465
1332.91	153.7	12533.6
1333.01	153.6	12516.2
1333.11	153.5	12551.2
1333.21	153.4	12587.1
1333.31	153.3	12556.8
1333.41	153.2	12535.5
1333.51	153.1	12606.6
1333.61	153	12566.6
1333.71	152.9	12551.1
1333.81	152.8	12570.5
1333.91	152.7	12589.3
1334.01	152.6	12570.6
1334.11	152.5	12602.2
1334.21	152.4	12541.4
1334.31	152.3	12542
1334.41	152.2	12622.7
1334.51	152.1	12638.4
1334.61	152	12697.3
1334.71	151.9	12642.1
1334.81	151.8	12656.8
1334.91	151.7	12620
1335.01	151.6	12616.9
1335.11	151.5	12588.8
1335.21	151.4	12679.5
1335.31	151.3	12610.2
1335.41	151.2	12706.3
1335.51	151.1	12708.5
1335.61	151	12601.8
1335.71	150.9	12560
1335.81	150.8	12642.9
1335.91	150.7	12700.8
1336.01	150.6	12697.2
