C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Au4f	BE_Pr:Au4f	CPS_Pr:Au4f
1311.61	175	3015.58
1311.71	174.9	2987.05
1311.81	174.8	3016.88
1311.91	174.7	3029.62
1312.01	174.6	3007.29
1312.11	174.5	3030.7
1312.21	174.4	3049.87
1312.31	174.3	3052.69
1312.41	174.2	3044.58
1312.51	174.1	3024.61
1312.61	174	3048.1
1312.71	173.9	3045.53
1312.81	173.8	3042.21
1312.91	173.7	3011.94
1313.01	173.6	3033.13
1313.11	173.5	3029.88
1313.21	173.4	3021.36
1313.31	173.3	3027.93
1313.41	173.2	3039.94
1313.51	173.1	3064.7
1313.61	173	3027.77
1313.71	172.9	3040.33
1313.81	172.8	3047.62
1313.91	172.7	3063.85
1314.01	172.6	3062.96
1314.11	172.5	3014.92
1314.21	172.4	3032.69
1314.31	172.3	3050.02
1314.41	172.2	3036.57
1314.51	172.1	3004.88
1314.61	172	3018.39
1314.71	171.9	3026.51
1314.81	171.8	3043.38
1314.91	171.7	3053.87
1315.01	171.6	3039.05
1315.11	171.5	3041.81
1315.21	171.4	3046.82
1315.31	171.3	3105.6
1315.41	171.2	3079.53
1315.51	171.1	3083.85
1315.61	171	3090.17
1315.71	170.9	3053.86
1315.81	170.8	3039.77
1315.91	170.7	3038.4
1316.01	170.6	3034.68
1316.11	170.5	3079.94
1316.21	170.4	3045.97
1316.31	170.3	3077.73
1316.41	170.2	3085.21
1316.51	170.1	3057.43
1316.61	170	3008.38
1316.71	169.9	3041.45
1316.81	169.8	3076.68
1316.91	169.7	3026.23
1317.01	169.6	3029.43
1317.11	169.5	3073.16
1317.21	169.4	3034.28
1317.31	169.3	3061.7
1317.41	169.2	3032.21
1317.51	169.1	3078.6
1317.61	169	3079.01
1317.71	168.9	3069.93
1317.81	168.8	3071.14
1317.91	168.7	3068.32
1318.01	168.6	3046.49
1318.11	168.5	3043.93
1318.21	168.4	3058.22
1318.31	168.3	3088.28
1318.41	168.2	3093.88
1318.51	168.1	3066.86
1318.61	168	3057.1
1318.71	167.9	3067.46
1318.81	167.8	3092
1318.91	167.7	3062.33
1319.01	167.6	3054.25
1319.11	167.5	3097.13
1319.21	167.4	3092.55
1319.31	167.3	3093.07
1319.41	167.2	3091.38
1319.51	167.1	3122.47
1319.61	167	3075.56
1319.71	166.9	3116.81
1319.81	166.8	3083.36
1319.91	166.7	3100.82
1320.01	166.6	3079.07
1320.11	166.5	3062.07
1320.21	166.4	3061.97
1320.31	166.3	3077.18
1320.41	166.2	3080.27
1320.51	166.1	3055.99
1320.61	166	3045.77
1320.71	165.9	3061.62
1320.81	165.8	3094.64
1320.91	165.7	3084.99
1321.01	165.6	3075.12
1321.11	165.5	3071.46
1321.21	165.4	3061.69
1321.31	165.3	3063.21
1321.41	165.2	3050.51
1321.51	165.1	3094.15
1321.61	165	3049.06
1321.71	164.9	3033.08
1321.81	164.8	3094.03
1321.91	164.7	3111.21
1322.01	164.6	3124.17
1322.11	164.5	3111.52
1322.21	164.4	3077.89
1322.31	164.3	3055.74
1322.41	164.2	3107.82
1322.51	164.1	3152.52
1322.61	164	3094.7
1322.71	163.9	3094.63
1322.81	163.8	3082.73
1322.91	163.7	3103.59
1323.01	163.6	3105.73
1323.11	163.5	3129.9
1323.21	163.4	3107.21
1323.31	163.3	3109.53
1323.41	163.2	3114.03
1323.51	163.1	3125.63
1323.61	163	3123.5
1323.71	162.9	3108.51
1323.81	162.8	3119.92
1323.91	162.7	3119.55
1324.01	162.6	3132.56
1324.11	162.5	3086.81
1324.21	162.4	3136
1324.31	162.3	3135.24
1324.41	162.2	3132.59
1324.51	162.1	3139.9
1324.61	162	3123.85
1324.71	161.9	3137.11
1324.81	161.8	3115.61
1324.91	161.7	3124.87
1325.01	161.6	3112.03
1325.11	161.5	3113.57
1325.21	161.4	3092.95
1325.31	161.3	3132.23
1325.41	161.2	3125.97
1325.51	161.1	3177.3
1325.61	161	3136.18
1325.71	160.9	3120.66
1325.81	160.8	3111.54
1325.91	160.7	3112.59
1326.01	160.6	3118.6
1326.11	160.5	3139.05
1326.21	160.4	3108.47
1326.31	160.3	3135.49
1326.41	160.2	3100.31
1326.51	160.1	3114.89
1326.61	160	3136.39
1326.71	159.9	3148.99
1326.81	159.8	3150.7
1326.91	159.7	3179.42
1327.01	159.6	3149.83
1327.11	159.5	3172.02
1327.21	159.4	3126.35
1327.31	159.3	3158.23
1327.41	159.2	3182.13
1327.51	159.1	3159.63
1327.61	159	3156.9
1327.71	158.9	3169.46
1327.81	158.8	3208.34
1327.91	158.7	3144.8
1328.01	158.6	3141.09
1328.11	158.5	3162.33
1328.21	158.4	3148.38
1328.31	158.3	3146.95
1328.41	158.2	3195.18
1328.51	158.1	3181.37
1328.61	158	3152.35
1328.71	157.9	3185.82
1328.81	157.8	3152.18
1328.91	157.7	3146.81
1329.01	157.6	3124.93
1329.11	157.5	3153.58
1329.21	157.4	3098.92
1329.31	157.3	3172.91
1329.41	157.2	3155.11
1329.51	157.1	3186.88
1329.61	157	3182.23
1329.71	156.9	3184.13
1329.81	156.8	3206.55
1329.91	156.7	3189.96
1330.01	156.6	3187.49
1330.11	156.5	3212.46
1330.21	156.4	3244.97
1330.31	156.3	3227.97
1330.41	156.2	3181.66
1330.51	156.1	3214.05
1330.61	156	3177.29
1330.71	155.9	3161.96
1330.81	155.8	3166.82
1330.91	155.7	3190.08
1331.01	155.6	3182.87
1331.11	155.5	3187.98
1331.21	155.4	3227.92
1331.31	155.3	3221.62
1331.41	155.2	3193.69
1331.51	155.1	3198.13
1331.61	155	3191.85
1331.71	154.9	3209.81
1331.81	154.8	3175.84
1331.91	154.7	3212.59
1332.01	154.6	3197.3
1332.11	154.5	3241.09
1332.21	154.4	3258.46
1332.31	154.3	3207.8
1332.41	154.2	3234.48
1332.51	154.1	3226.77
1332.61	154	3205.59
1332.71	153.9	3210.01
1332.81	153.8	3279.79
1332.91	153.7	3259.86
1333.01	153.6	3222.58
1333.11	153.5	3191.8
1333.21	153.4	3205.64
1333.31	153.3	3246.92
1333.41	153.2	3245.27
1333.51	153.1	3236.8
1333.61	153	3255.58
1333.71	152.9	3227.15
1333.81	152.8	3241.04
1333.91	152.7	3225.99
1334.01	152.6	3232.97
1334.11	152.5	3230.77
1334.21	152.4	3266.86
1334.31	152.3	3252.94
1334.41	152.2	3239.66
1334.51	152.1	3244.3
1334.61	152	3239.78
1334.71	151.9	3300.43
1334.81	151.8	3264.78
1334.91	151.7	3246.77
1335.01	151.6	3280.14
1335.11	151.5	3289.33
1335.21	151.4	3301.86
1335.31	151.3	3277.77
1335.41	151.2	3296.97
1335.51	151.1	3258.3
1335.61	151	3266.78
1335.71	150.9	3312.46
1335.81	150.8	3268.53
1335.91	150.7	3264.77
1336.01	150.6	3263.85
1336.11	150.5	3282.89
1336.21	150.4	3294.31
1336.31	150.3	3258.86
1336.41	150.2	3302.61
1336.51	150.1	3274.3
1336.61	150	3241.84
1336.71	149.9	3264.45
1336.81	149.8	3258.26
1336.91	149.7	3250.35
1337.01	149.6	3263.1
1337.11	149.5	3271.81
1337.21	149.4	3298.66
1337.31	149.3	3312.64
1337.41	149.2	3308.4
1337.51	149.1	3295.32
1337.61	149	3283.81
1337.71	148.9	3258.29
1337.81	148.8	3280.67
1337.91	148.7	3250.04
1338.01	148.6	3271.12
1338.11	148.5	3317.51
1338.21	148.4	3298.73
1338.31	148.3	3264.24
1338.41	148.2	3280.61
1338.51	148.1	3284.91
1338.61	148	3298.85
1338.71	147.9	3257.07
1338.81	147.8	3272.16
1338.91	147.7	3254.44
1339.01	147.6	3315.58
1339.11	147.5	3300.08
1339.21	147.4	3330.18
1339.31	147.3	3306.46
1339.41	147.2	3339.3
1339.51	147.1	3343.23
1339.61	147	3293.71
1339.71	146.9	3329.23
1339.81	146.8	3293.07
1339.91	146.7	3319.43
1340.01	146.6	3327.48
1340.11	146.5	3325.63
1340.21	146.4	3302.98
1340.31	146.3	3305.84
1340.41	146.2	3299.34
1340.51	146.1	3307.44
1340.61	146	3313.55
1340.71	145.9	3337.04
1340.81	145.8	3319.31
1340.91	145.7	3302.57
1341.01	145.6	3311.86
1341.11	145.5	3311.99
1341.21	145.4	3346.99
1341.31	145.3	3335.61
1341.41	145.2	3284.86
1341.51	145.1	3304.59
1341.61	145	3327.71
1341.71	144.9	3325.91
1341.81	144.8	3353.22
1341.91	144.7	3313.74
1342.01	144.6	3301.07
1342.11	144.5	3322.97
1342.21	144.4	3353.13
1342.31	144.3	3316.13
1342.41	144.2	3293.01
1342.51	144.1	3320.85
1342.61	144	3302.27
1342.71	143.9	3295.05
1342.81	143.8	3301.06
1342.91	143.7	3346.07
1343.01	143.6	3297.42
1343.11	143.5	3346.76
1343.21	143.4	3325.11
1343.31	143.3	3342.92
1343.41	143.2	3376.15
1343.51	143.1	3326.53
1343.61	143	3347.82
1343.71	142.9	3355.84
1343.81	142.8	3331.24
1343.91	142.7	3324.92
1344.01	142.6	3342.53
1344.11	142.5	3337.2
1344.21	142.4	3334.74
1344.31	142.3	3357.21
1344.41	142.2	3286.65
1344.51	142.1	3355.44
1344.61	142	3354.39
1344.71	141.9	3297.33
1344.81	141.8	3298.64
1344.91	141.7	3345.47
1345.01	141.6	3321.26
1345.11	141.5	3380.4
1345.21	141.4	3367.11
1345.31	141.3	3322.74
1345.41	141.2	3335.79
1345.51	141.1	3320.06
1345.61	141	3332.37
1345.71	140.9	3353.24
1345.81	140.8	3326.35
1345.91	140.7	3348.74
1346.01	140.6	3354.79
1346.11	140.5	3363.88
1346.21	140.4	3367.78
1346.31	140.3	3344.27
1346.41	140.2	3357.79
1346.51	140.1	3367.23
1346.61	140	3361.66
1346.71	139.9	3348.12
1346.81	139.8	3365.22
1346.91	139.7	3332.76
1347.01	139.6	3361.9
1347.11	139.5	3354.06
1347.21	139.4	3361.53
1347.31	139.3	3375.33
1347.41	139.2	3373.87
1347.51	139.1	3381.21
1347.61	139	3372.44
1347.71	138.9	3347.04
1347.81	138.8	3383.51
1347.91	138.7	3400.7
1348.01	138.6	3368.07
1348.11	138.5	3382.1
1348.21	138.4	3386.52
1348.31	138.3	3410.9
1348.41	138.2	3432.29
1348.51	138.1	3393.03
1348.61	138	3352.62
1348.71	137.9	3339.86
1348.81	137.8	3409.61
1348.91	137.7	3454.74
1349.01	137.6	3411.28
1349.11	137.5	3415.02
1349.21	137.4	3377.27
1349.31	137.3	3386.21
1349.41	137.2	3418.23
1349.51	137.1	3435.98
1349.61	137	3411.06
1349.71	136.9	3410.56
1349.81	136.8	3413.24
1349.91	136.7	3392.88
1350.01	136.6	3391.77
1350.11	136.5	3389.8
1350.21	136.4	3388.94
1350.31	136.3	3380.96
1350.41	136.2	3379.02
1350.51	136.1	3436.23
1350.61	136	3452.89
1350.71	135.9	3449.71
1350.81	135.8	3422.48
1350.91	135.7	3407.89
1351.01	135.6	3407.96
1351.11	135.5	3442.26
1351.21	135.4	3412.67
1351.31	135.3	3461.88
1351.41	135.2	3475.34
1351.51	135.1	3382.16
1351.61	135	3426.43
1351.71	134.9	3397.78
1351.81	134.8	3449.35
1351.91	134.7	3434.23
1352.01	134.6	3417.66
1352.11	134.5	3430.98
1352.21	134.4	3415.75
1352.31	134.3	3441.88
1352.41	134.2	3448.16
1352.51	134.1	3442.24
1352.61	134	3449.43
1352.71	133.9	3472.47
1352.81	133.8	3497.74
1352.91	133.7	3436.46
1353.01	133.6	3435.22
1353.11	133.5	3440.46
1353.21	133.4	3457.76
1353.31	133.3	3454.81
1353.41	133.2	3438.98
1353.51	133.1	3401.86
1353.61	133	3472.45
1353.71	132.9	3471.74
1353.81	132.8	3434.64
1353.91	132.7	3424.44
1354.01	132.6	3479.29
1354.11	132.5	3457.82
1354.21	132.4	3482.4
1354.31	132.3	3460.58
1354.41	132.2	3466.63
1354.51	132.1	3483.61
1354.61	132	3490.27
1354.71	131.9	3478.6
1354.81	131.8	3523.56
1354.91	131.7	3479.2
1355.01	131.6	3495.57
1355.11	131.5	3483.82
1355.21	131.4	3482.61
1355.31	131.3	3507.81
1355.41	131.2	3483.26
1355.51	131.1	3543.31
1355.61	131	3511.52
1355.71	130.9	3471.86
1355.81	130.8	3508.82
1355.91	130.7	3491.96
1356.01	130.6	3484.29
1356.11	130.5	3483.72
1356.21	130.4	3495.81
1356.31	130.3	3505.21
1356.41	130.2	3539.83
1356.51	130.1	3489.1
1356.61	130	3506.92
1356.71	129.9	3518.62
1356.81	129.8	3527.36
1356.91	129.7	3516.32
1357.01	129.6	3512.47
1357.11	129.5	3510.88
1357.21	129.4	3502.13
1357.31	129.3	3523.61
1357.41	129.2	3551.5
1357.51	129.1	3506.42
1357.61	129	3522.22
1357.71	128.9	3530.85
1357.81	128.8	3550.09
1357.91	128.7	3547.59
1358.01	128.6	3546.21
1358.11	128.5	3541.23
1358.21	128.4	3576.63
1358.31	128.3	3544.81
1358.41	128.2	3541.89
1358.51	128.1	3589.95
1358.61	128	3524.38
1358.71	127.9	3548.78
1358.81	127.8	3515.18
1358.91	127.7	3571.85
1359.01	127.6	3570.74
1359.11	127.5	3546.89
1359.21	127.4	3578.09
1359.31	127.3	3579.45
1359.41	127.2	3597.63
1359.51	127.1	3589.75
1359.61	127	3580.59
1359.71	126.9	3565.61
1359.81	126.8	3589.16
1359.91	126.7	3596.23
1360.01	126.6	3572.02
1360.11	126.5	3559.21
1360.21	126.4	3586.71
1360.31	126.3	3614
1360.41	126.2	3628.63
1360.51	126.1	3599.93
1360.61	126	3601.23
1360.71	125.9	3643.58
1360.81	125.8	3625.71
1360.91	125.7	3644.88
1361.01	125.6	3638.3
1361.11	125.5	3607.84
1361.21	125.4	3612.32
1361.31	125.3	3643.35
1361.41	125.2	3650.03
1361.51	125.1	3636.6
1361.61	125	3652.91
1361.71	124.9	3640.56
1361.81	124.8	3656.83
1361.91	124.7	3666.29
1362.01	124.6	3632.62
1362.11	124.5	3616.65
1362.21	124.4	3652.97
1362.31	124.3	3684.75
1362.41	124.2	3681.15
1362.51	124.1	3713.09
1362.61	124	3702.31
1362.71	123.9	3738
1362.81	123.8	3679.15
1362.91	123.7	3695.71
1363.01	123.6	3710.79
1363.11	123.5	3725.06
1363.21	123.4	3679.82
1363.31	123.3	3728.89
1363.41	123.2	3693.63
1363.51	123.1	3741.03
1363.61	123	3793.63
1363.71	122.9	3735.49
1363.81	122.8	3716.13
1363.91	122.7	3757.13
1364.01	122.6	3755.34
1364.11	122.5	3767.54
1364.21	122.4	3734.82
1364.31	122.3	3772.91
1364.41	122.2	3822.29
1364.51	122.1	3811.15
1364.61	122	3790.98
1364.71	121.9	3738.49
1364.81	121.8	3745.7
1364.91	121.7	3794.56
1365.01	121.6	3829.41
1365.11	121.5	3826.59
1365.21	121.4	3795.42
1365.31	121.3	3814.3
1365.41	121.2	3804.64
1365.51	121.1	3792.32
1365.61	121	3835.74
1365.71	120.9	3812.85
1365.81	120.8	3846.26
1365.91	120.7	3820.13
1366.01	120.6	3861.88
1366.11	120.5	3847.88
1366.21	120.4	3836.5
1366.31	120.3	3866.05
1366.41	120.2	3866.36
1366.51	120.1	3812.17
1366.61	120	3862.18
1366.71	119.9	3853.67
1366.81	119.8	3858.91
1366.91	119.7	3854.87
1367.01	119.6	3875.85
1367.11	119.5	3876.63
1367.21	119.4	3853.88
1367.31	119.3	3869.27
1367.41	119.2	3889.88
1367.51	119.1	3887.95
1367.61	119	3919.26
1367.71	118.9	3898.36
1367.81	118.8	3839.56
1367.91	118.7	3810.27
1368.01	118.6	3855.72
1368.11	118.5	3882.38
1368.21	118.4	3868.95
1368.31	118.3	3899.54
1368.41	118.2	3880.65
1368.51	118.1	3917.66
1368.61	118	3869.09
1368.71	117.9	3890.72
1368.81	117.8	3864.86
1368.91	117.7	3868.65
1369.01	117.6	3858.96
1369.11	117.5	3909
1369.21	117.4	3948.71
1369.31	117.3	3897.77
1369.41	117.2	3890.86
1369.51	117.1	3890.07
1369.61	117	3910.88
1369.71	116.9	3884.07
1369.81	116.8	3857.06
1369.91	116.7	3934.82
1370.01	116.6	3931.78
1370.11	116.5	3941.77
1370.21	116.4	3932.8
1370.31	116.3	3919.46
1370.41	116.2	3915.47
1370.51	116.1	3880.89
1370.61	116	3903.94
1370.71	115.9	3937.42
1370.81	115.8	3923.85
1370.91	115.7	3890.32
1371.01	115.6	3930.65
1371.11	115.5	3958.41
1371.21	115.4	3961.97
1371.31	115.3	3912.9
1371.41	115.2	3950.91
1371.51	115.1	3964.04
1371.61	115	3941.89
1371.71	114.9	3927.15
1371.81	114.8	3912.27
1371.91	114.7	3930.24
1372.01	114.6	3981.35
1372.11	114.5	3957.12
1372.21	114.4	3962.03
1372.31	114.3	3955.58
1372.41	114.2	3943.26
1372.51	114.1	3976.1
1372.61	114	3943.99
1372.71	113.9	4004.82
1372.81	113.8	4000.95
1372.91	113.7	4019.2
1373.01	113.6	3954.02
1373.11	113.5	3993.71
1373.21	113.4	4000.88
1373.31	113.3	4047.65
1373.41	113.2	4033.83
1373.51	113.1	4016.92
1373.61	113	4030.29
1373.71	112.9	4055.42
1373.81	112.8	4034.2
