C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\Au in He 800um nozzle\Experiment 2019-01-28_Au in He 800 um nozzle - Selection.vms
Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	0.4
KE_Au4f	BE_Au4f	CPS_Au4f
1356.66	129.95	1918.72
1356.71	129.9	1883.54
1356.76	129.85	1887.98
1356.81	129.8	1909.2
1356.86	129.75	1933.98
1356.91	129.7	1871.92
1356.96	129.65	1898.43
1357.01	129.6	1900.41
1357.06	129.55	1883.54
1357.11	129.5	1856.81
1357.16	129.45	1913.04
1357.21	129.4	1885.36
1357.26	129.35	1923.85
1357.31	129.3	1894.41
1357.36	129.25	1855.95
1357.41	129.2	1902.73
1357.46	129.15	1847.05
1357.51	129.1	1948.59
1357.56	129.05	1892.53
1357.61	129	1882.03
1357.66	128.95	1874.42
1357.71	128.9	1896.16
1357.76	128.85	1922.33
1357.81	128.8	1896.98
1357.86	128.75	1877.76
1357.91	128.7	1933.11
1357.96	128.65	1968.29
1358.01	128.6	1933.46
1358.06	128.55	1887.54
1358.11	128.5	1937.9
1358.16	128.45	1948.73
1358.21	128.4	1904.64
1358.26	128.35	1901.9
1358.31	128.3	1834.76
1358.36	128.25	1875.18
1358.41	128.2	1861.07
1358.46	128.15	1875.73
1358.51	128.1	1951.07
1358.56	128.05	1942.6
1358.61	128	1918.66
1358.66	127.95	1897.01
1358.71	127.9	1901.45
1358.76	127.85	1893.17
1358.81	127.8	1925.03
1358.86	127.75	1943.61
1358.91	127.7	1928.44
1358.96	127.65	1879.41
1359.01	127.6	1906.07
1359.06	127.55	1918
1359.11	127.5	1929.59
1359.16	127.45	1906.2
1359.21	127.4	1911.89
1359.26	127.35	1947.34
1359.31	127.3	1918.55
1359.36	127.25	1942.87
1359.41	127.2	1891.12
1359.46	127.15	1890.24
1359.51	127.1	1912.85
1359.56	127.05	1920.75
1359.61	127	1952.08
1359.66	126.95	1919.61
1359.71	126.9	1924.44
1359.76	126.85	1941.46
1359.81	126.8	1968.09
1359.86	126.75	1959.21
1359.91	126.7	1932.14
1359.96	126.65	1906.73
1360.01	126.6	1937.16
1360.06	126.55	1925.44
1360.11	126.5	1889.82
1360.16	126.45	1904.79
1360.21	126.4	1917.38
1360.26	126.35	1941.3
1360.31	126.3	1893.32
1360.36	126.25	1908.6
1360.41	126.2	1928.53
1360.46	126.15	1968.24
1360.51	126.1	1956.62
1360.56	126.05	1969.92
1360.61	126	1964.46
1360.66	125.95	1935.56
1360.71	125.9	1940.45
1360.76	125.85	1990.66
1360.81	125.8	1921.93
1360.86	125.75	1926.96
1360.91	125.7	1940.6
1360.96	125.65	1927.55
1361.01	125.6	1961.63
1361.06	125.55	1956.1
1361.11	125.5	1923.48
1361.16	125.45	2014.21
1361.21	125.4	1945.34
1361.26	125.35	1882.42
1361.31	125.3	1935.04
1361.36	125.25	1936.64
1361.41	125.2	1898.54
1361.46	125.15	1957.77
1361.51	125.1	1934.78
1361.56	125.05	1883.63
1361.61	125	1998.83
1361.66	124.95	1976.76
1361.71	124.9	2004.33
1361.76	124.85	1984.2
1361.81	124.8	1974.24
1361.86	124.75	1977.04
1361.91	124.7	1950.02
1361.96	124.65	2058.17
1362.01	124.6	2013.58
1362.06	124.55	1963.84
1362.11	124.5	1954.93
1362.16	124.45	1954.73
1362.21	124.4	1952.8
1362.26	124.35	2016.59
1362.31	124.3	1977.47
1362.36	124.25	1916.88
1362.41	124.2	2000.44
1362.46	124.15	2030.76
1362.51	124.1	1992.2
1362.56	124.05	1983.47
1362.61	124	2060.54
1362.66	123.95	1977.11
1362.71	123.9	2040.48
1362.76	123.85	2000.33
1362.81	123.8	1983.4
1362.86	123.75	1967.04
1362.91	123.7	1946.37
1362.96	123.65	1949.39
1363.01	123.6	1942.67
1363.06	123.55	2030.82
1363.11	123.5	1931.53
1363.16	123.45	2002.95
1363.21	123.4	1991.94
1363.26	123.35	1984.38
1363.31	123.3	2005.47
1363.36	123.25	1983
1363.41	123.2	1991.78
1363.46	123.15	2049.72
1363.51	123.1	1970.11
1363.56	123.05	1982.5
1363.61	123	2015.9
1363.66	122.95	2016.09
1363.71	122.9	2000.25
1363.76	122.85	1992.03
1363.81	122.8	1989.42
1363.86	122.75	1972.67
1363.91	122.7	2071.68
1363.96	122.65	2053.99
1364.01	122.6	2033.32
1364.06	122.55	2013.44
1364.11	122.5	1974.69
1364.16	122.45	1970.81
1364.21	122.4	1988.4
1364.26	122.35	1969.14
1364.31	122.3	1991.95
1364.36	122.25	2030.21
1364.41	122.2	1984.34
1364.46	122.15	2034.18
1364.51	122.1	1971.53
1364.56	122.05	2026.66
1364.61	122	2027.59
1364.66	121.95	2023.6
1364.71	121.9	2035.57
1364.76	121.85	2010.22
1364.81	121.8	2045.64
1364.86	121.75	2027.44
1364.91	121.7	2061.73
1364.96	121.65	2044.33
1365.01	121.6	2054.88
1365.06	121.55	2043.11
1365.11	121.5	1973.78
1365.16	121.45	1994.73
1365.21	121.4	2057.58
1365.26	121.35	2006.17
1365.31	121.3	2004.15
1365.36	121.25	2039.67
1365.41	121.2	2071.42
1365.46	121.15	2128.12
1365.51	121.1	2071.16
1365.56	121.05	2086.01
1365.61	121	2060.47
1365.66	120.95	2075.3
1365.71	120.9	2060.66
1365.76	120.85	2032.34
1365.81	120.8	2036.23
1365.86	120.75	2017.15
1365.91	120.7	2039.92
1365.96	120.65	2067.5
1366.01	120.6	2026.77
1366.06	120.55	2048.26
1366.11	120.5	2115.42
1366.16	120.45	2090.17
1366.21	120.4	2080.52
1366.26	120.35	2034.78
1366.31	120.3	2051.79
1366.36	120.25	2055.19
1366.41	120.2	2068.18
1366.46	120.15	2088.22
1366.51	120.1	2050.57
1366.56	120.05	2011.55
1366.61	120	2076.67
1366.66	119.95	2029.78
1366.71	119.9	2047.97
1366.76	119.85	2055.94
1366.81	119.8	2040.32
1366.86	119.75	2029.72
1366.91	119.7	2022.23
1366.96	119.65	2021.79
1367.01	119.6	2059.63
1367.06	119.55	2049.31
1367.11	119.5	2037.82
1367.16	119.45	2087.84
1367.21	119.4	2023.98
1367.26	119.35	2017.27
1367.31	119.3	2047.54
1367.36	119.25	2088.04
1367.41	119.2	2026.94
1367.46	119.15	2088.83
1367.51	119.1	2086.16
1367.56	119.05	2046.95
1367.61	119	2095.04
1367.66	118.95	2083.19
1367.71	118.9	2038.54
1367.76	118.85	2081.82
1367.81	118.8	2102.21
1367.86	118.75	2079.22
1367.91	118.7	2047.34
1367.96	118.65	2107.11
1368.01	118.6	2067.87
1368.06	118.55	2066.78
1368.11	118.5	2122.85
1368.16	118.45	2090.64
1368.21	118.4	2027.78
1368.26	118.35	2034.02
1368.31	118.3	1973.78
1368.36	118.25	2073.61
1368.41	118.2	2092.43
1368.46	118.15	2102.3
1368.51	118.1	2065.01
1368.56	118.05	2024.83
1368.61	118	2140.95
1368.66	117.95	2134.13
1368.71	117.9	2039.62
1368.76	117.85	2045.47
1368.81	117.8	2070.44
1368.86	117.75	2159.41
1368.91	117.7	2099.68
1368.96	117.65	2146.66
1369.01	117.6	2104.99
1369.06	117.55	2083.07
1369.11	117.5	2149.92
1369.16	117.45	2055.72
1369.21	117.4	2065.36
1369.26	117.35	2136.63
1369.31	117.3	2089.88
1369.36	117.25	2091.71
1369.41	117.2	2042.05
1369.46	117.15	2070.29
1369.51	117.1	2103.45
1369.56	117.05	2102.41
1369.61	117	2039.68
1369.66	116.95	2122.15
1369.71	116.9	2037.06
1369.76	116.85	2114.09
1369.81	116.8	2079.93
1369.86	116.75	2038.89
1369.91	116.7	2093.9
1369.96	116.65	2024.73
1370.01	116.6	2067.11
1370.06	116.55	2067.63
1370.11	116.5	2024.73
1370.16	116.45	2064.86
1370.21	116.4	2146.56
1370.26	116.35	2090.92
1370.31	116.3	2088.51
1370.36	116.25	2155.34
1370.41	116.2	2107.92
1370.46	116.15	2117.71
1370.51	116.1	2136.91
1370.56	116.05	2129.63
1370.61	116	2124.92
1370.66	115.95	2095.22
1370.71	115.9	2160.26
1370.76	115.85	2157.34
1370.81	115.8	2130.09
1370.86	115.75	2130.1
1370.91	115.7	2121.17
1370.96	115.65	2071.09
1371.01	115.6	2109.39
1371.06	115.55	2109.58
1371.11	115.5	2118.65
1371.16	115.45	2079.39
1371.21	115.4	2057.29
1371.26	115.35	2118.17
1371.31	115.3	2085.66
1371.36	115.25	2045
1371.41	115.2	2113.27
1371.46	115.15	2131.03
1371.51	115.1	2084.12
1371.56	115.05	2136.84
1371.61	115	2088.85
1371.66	114.95	2039.59
1371.71	114.9	2065.46
1371.76	114.85	2119.06
1371.81	114.8	2095.24
1371.86	114.75	2126.22
1371.91	114.7	2099.56
1371.96	114.65	2093.92
1372.01	114.6	2169.07
1372.06	114.55	2093.45
1372.11	114.5	2106.16
1372.16	114.45	2136.53
1372.21	114.4	2153.08
1372.26	114.35	2148.03
1372.31	114.3	2131.06
1372.36	114.25	2153.62
1372.41	114.2	2105.2
1372.46	114.15	2145.77
1372.51	114.1	2124.19
1372.56	114.05	2177.06
1372.61	114	2126.56
1372.66	113.95	2191.76
1372.71	113.9	2165.12
1372.76	113.85	2173.71
1372.81	113.8	2185.91
1372.86	113.75	2144.66
1372.91	113.7	2136.55
1372.96	113.65	2105.32
1373.01	113.6	2139.45
1373.06	113.55	2144.85
1373.11	113.5	2138.26
1373.16	113.45	2166.14
1373.21	113.4	2131.84
1373.26	113.35	2159.72
1373.31	113.3	2121.14
1373.36	113.25	2184.73
1373.41	113.2	2145.09
1373.46	113.15	2147.46
1373.51	113.1	2132.28
1373.56	113.05	2157.45
1373.61	113	2149.95
1373.66	112.95	2189.3
1373.71	112.9	2126.09
1373.76	112.85	2196.88
1373.81	112.8	2107.61
1373.86	112.75	2142.82
1373.91	112.7	2168.61
1373.96	112.65	2180.76
1374.01	112.6	2161.29
1374.06	112.55	2170.89
1374.11	112.5	2165.71
1374.16	112.45	2168.54
1374.21	112.4	2152.27
1374.26	112.35	2120.65
1374.31	112.3	2121.7
1374.36	112.25	2142.72
1374.41	112.2	2138.31
1374.46	112.15	2116.48
1374.51	112.1	2146.62
1374.56	112.05	2240.79
1374.61	112	2215.68
1374.66	111.95	2115.34
1374.71	111.9	2135.31
