experiment 2019-01-28_au in o2 800um nozzle_irregular-January212020161648				
Pr:Counts per Second				
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Counts per Second	BE_Pr:Counts per Second	CPS_Pr:Counts per Second		
1306.61	180	1564.43		
1306.71	179.9	1628.94		
1306.81	179.8	1671.69		
1306.91	179.7	1644.42		
1307.01	179.6	1696.04		
1307.11	179.5	1616.51		
1307.21	179.4	1632.72		
1307.31	179.3	1650.7		
1307.41	179.2	1653.73		
1307.51	179.1	1693.21		
1307.61	179	1673.44		
1307.71	178.9	1632.57		
1307.81	178.8	1654.59		
1307.91	178.7	1671.51		
1308.01	178.6	1662.13		
1308.11	178.5	1640.37		
1308.21	178.4	1656.13		
1308.31	178.3	1659.88		
1308.41	178.2	1676.46		
1308.51	178.1	1646.77		
1308.61	178	1651.07		
1308.71	177.9	1655.62		
1308.81	177.8	1638.37		
1308.91	177.7	1645.77		
1309.01	177.6	1638.27		
1309.11	177.5	1647.73		
1309.21	177.4	1655.93		
1309.31	177.3	1649.72		
1309.41	177.2	1638.42		
1309.51	177.1	1661.79		
1309.61	177	1648.25		
1309.71	176.9	1629.53		
1309.81	176.8	1636.92		
1309.91	176.7	1723.05		
1310.01	176.6	1647		
1310.11	176.5	1653.06		
1310.21	176.4	1647.89		
1310.31	176.3	1645.76		
1310.41	176.2	1676.31		
1310.51	176.1	1655.33		
1310.61	176	1650.77		
1310.71	175.9	1710.6		
1310.81	175.8	1649.32		
1310.91	175.7	1674.47		
1311.01	175.6	1713.98		
1311.11	175.5	1659.82		
1311.21	175.4	1604.19		
1311.31	175.3	1681.98		
1311.41	175.2	1674.58		
1311.51	175.1	1651.31		
1311.61	175	1673.22		
1311.71	174.9	1702.87		
1311.81	174.8	1675.57		
1311.91	174.7	1687.5		
1312.01	174.6	1735.04		
1312.11	174.5	1712.87		
1312.21	174.4	1691.22		
1312.31	174.3	1738.19		
1312.41	174.2	1669.07		
1312.51	174.1	1663.5		
1312.61	174	1649.1		
1312.71	173.9	1649		
1312.81	173.8	1638.72		
1312.91	173.7	1652.32		
1313.01	173.6	1651.84		
1313.11	173.5	1669.18		
1313.21	173.4	1678.25		
1313.31	173.3	1667.79		
1313.41	173.2	1666.54		
1313.51	173.1	1690.99		
1313.61	173	1662.96		
1313.71	172.9	1703.58		
1313.81	172.8	1695.72		
1313.91	172.7	1694.24		
1314.01	172.6	1685.46		
1314.11	172.5	1720.27		
1314.21	172.4	1659.67		
1314.31	172.3	1664.05		
1314.41	172.2	1689.84		
1314.51	172.1	1683.73		
1314.61	172	1656.22		
1314.71	171.9	1690.32		
1314.81	171.8	1703.48		
1314.91	171.7	1680.68		
1315.01	171.6	1714.22		
1315.11	171.5	1701.16		
1315.21	171.4	1653.69		
