c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex191_cec356 au in he_1200um.vms
Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	0.4
KE_Au4f	BE_Au4f	CPS_Au4f
1306.61	180	5377.6
1306.66	179.95	5324.25
1306.71	179.9	5361.9
1306.76	179.85	5394.32
1306.81	179.8	5351.77
1306.86	179.75	5350.13
1306.91	179.7	5361.55
1306.96	179.65	5347.27
1307.01	179.6	5369.57
1307.06	179.55	5368.37
1307.11	179.5	5350.95
1307.16	179.45	5382.63
1307.21	179.4	5369.2
1307.26	179.35	5378.5
1307.31	179.3	5377.6
1307.36	179.25	5354.92
1307.41	179.2	5346.6
1307.46	179.15	5358.52
1307.51	179.1	5356.12
1307.56	179.05	5399.75
1307.61	179	5372.37
1307.66	178.95	5335.35
1307.71	178.9	5360.7
1307.76	178.85	5369.62
1307.81	178.8	5332.7
1307.86	178.75	5355.2
1307.91	178.7	5400.27
1307.96	178.65	5383.6
1308.01	178.6	5419.3
1308.06	178.55	5396.1
1308.11	178.5	5355.5
1308.16	178.45	5373.6
1308.21	178.4	5369.42
1308.26	178.35	5378.32
1308.31	178.3	5380.3
1308.36	178.25	5381.68
1308.41	178.2	5354.45
1308.46	178.15	5378.52
1308.51	178.1	5368.8
1308.56	178.05	5340.65
1308.61	178	5362.17
1308.66	177.95	5370.67
1308.71	177.9	5385.2
1308.76	177.85	5371.35
1308.81	177.8	5417.6
1308.86	177.75	5403.15
1308.91	177.7	5409.45
1308.96	177.65	5392.97
1309.01	177.6	5399.07
1309.06	177.55	5371.07
1309.11	177.5	5397.6
1309.16	177.45	5384.4
1309.21	177.4	5411.07
1309.26	177.35	5400.57
1309.31	177.3	5365.55
1309.36	177.25	5381.68
1309.41	177.2	5416.82
1309.46	177.15	5421.97
1309.51	177.1	5433.65
1309.56	177.05	5401.63
1309.61	177	5384.62
1309.66	176.95	5386.07
1309.71	176.9	5428.57
1309.76	176.85	5430.57
1309.81	176.8	5408.07
1309.86	176.75	5453.35
1309.91	176.7	5440.77
1309.96	176.65	5416.63
1310.01	176.6	5419.6
1310.06	176.55	5429.8
1310.11	176.5	5428.62
1310.16	176.45	5441.52
1310.21	176.4	5397.3
1310.26	176.35	5383.35
1310.31	176.3	5434.55
1310.36	176.25	5411.52
1310.41	176.2	5414.45
1310.46	176.15	5418
1310.51	176.1	5412.32
1310.56	176.05	5423.37
1310.61	176	5454.07
1310.66	175.95	5433.07
1310.71	175.9	5419.4
1310.76	175.85	5434.87
1310.81	175.8	5448.45
1310.86	175.75	5420.5
1310.91	175.7	5429.62
1310.96	175.65	5441.4
1311.01	175.6	5425.05
1311.06	175.55	5441.07
1311.11	175.5	5406.5
1311.16	175.45	5412.37
1311.21	175.4	5448.35
1311.26	175.35	5436.45
1311.31	175.3	5459.7
1311.36	175.25	5420.67
1311.41	175.2	5447.63
1311.46	175.15	5430.03
1311.51	175.1	5442.93
1311.56	175.05	5461.65
1311.61	175	5425.03
1311.66	174.95	5399.02
1311.71	174.9	5440.23
1311.76	174.85	5441.75
1311.81	174.8	5462.17
1311.86	174.75	5453.9
1311.91	174.7	5454.07
1311.96	174.65	5458.93
1312.01	174.6	5457.17
1312.06	174.55	5445.45
1312.11	174.5	5418.35
1312.16	174.45	5415.75
1312.21	174.4	5460.9
1312.26	174.35	5467.88
1312.31	174.3	5465.8
1312.36	174.25	5440.77
1312.41	174.2	5438.98
1312.46	174.15	5402.55
1312.51	174.1	5396.68
1312.56	174.05	5428.62
1312.61	174	5476.3
1312.66	173.95	5471.35
1312.71	173.9	5415.2
1312.76	173.85	5464.45
1312.81	173.8	5457.6
1312.86	173.75	5437.1
1312.91	173.7	5505.15
1312.96	173.65	5469.7
1313.01	173.6	5460.13
1313.06	173.55	5426.88
1313.11	173.5	5466.97
1313.16	173.45	5523.02
1313.21	173.4	5501.8
1313.26	173.35	5447.9
1313.31	173.3	5484.6
1313.36	173.25	5454.47
1313.41	173.2	5483.75
1313.46	173.15	5481.4
1313.51	173.1	5473.57
1313.56	173.05	5452.35
1313.61	173	5443.35
1313.66	172.95	5459.05
1313.71	172.9	5467.2
1313.76	172.85	5434.82
1313.81	172.8	5475.9
1313.86	172.75	5460.3
1313.91	172.7	5518.9
1313.96	172.65	5497.8
1314.01	172.6	5514.45
1314.06	172.55	5467.53
1314.11	172.5	5481.4
1314.16	172.45	5481.52
1314.21	172.4	5530.05
1314.26	172.35	5529.62
1314.31	172.3	5477.45
1314.36	172.25	5455.3
1314.41	172.2	5473.9
1314.46	172.15	5496.55
1314.51	172.1	5462.05
1314.56	172.05	5472.07
1314.61	172	5495.72
1314.66	171.95	5502.35
1314.71	171.9	5477.73
1314.76	171.85	5463.88
1314.81	171.8	5492.82
1314.86	171.75	5469.87
1314.91	171.7	5475.75
1314.96	171.65	5477.73
1315.01	171.6	5476.22
1315.06	171.55	5488.6
1315.11	171.5	5480.05
1315.16	171.45	5467.93
1315.21	171.4	5478.25
1315.26	171.35	5450.82
1315.31	171.3	5442.35
1315.36	171.25	5475.23
1315.41	171.2	5507.15
1315.46	171.15	5485.63
1315.51	171.1	5469.02
1315.56	171.05	5476.52
1315.61	171	5488.3
1315.66	170.95	5491.8
1315.71	170.9	5467.1
1315.76	170.85	5509.92
1315.81	170.8	5508.72
1315.86	170.75	5497.32
1315.91	170.7	5476.92
1315.96	170.65	5481.68
1316.01	170.6	5503.67
1316.06	170.55	5496.9
1316.11	170.5	5470.07
1316.16	170.45	5466.32
1316.21	170.4	5537.25
1316.26	170.35	5501.43
1316.31	170.3	5491.85
1316.36	170.25	5504.82
1316.41	170.2	5492.97
1316.46	170.15	5483.67
1316.51	170.1	5502.32
1316.56	170.05	5522.12
1316.61	170	5523.42
1316.66	169.95	5528.13
1316.71	169.9	5518.47
1316.76	169.85	5491.4
1316.81	169.8	5496.48
1316.86	169.75	5482
1316.91	169.7	5529.72
1316.96	169.65	5551.82
1317.01	169.6	5537.88
1317.06	169.55	5531.6
1317.11	169.5	5504.27
1317.16	169.45	5510.25
1317.21	169.4	5557.37
1317.26	169.35	5546.5
1317.31	169.3	5525.45
1317.36	169.25	5518.75
1317.41	169.2	5499.5
1317.46	169.15	5510.75
1317.51	169.1	5513.85
1317.56	169.05	5525.92
1317.61	169	5510.1
1317.66	168.95	5464.35
1317.71	168.9	5475.45
1317.76	168.85	5532.47
1317.81	168.8	5569.72
1317.86	168.75	5565.23
1317.91	168.7	5572.47
1317.96	168.65	5554.25
1318.01	168.6	5526.35
1318.06	168.55	5517.85
1318.11	168.5	5550.5
1318.16	168.45	5498.02
1318.21	168.4	5470.3
1318.26	168.35	5537.7
1318.31	168.3	5502.8
1318.36	168.25	5532.7
1318.41	168.2	5516.25
1318.46	168.15	5554.87
1318.51	168.1	5519.38
1318.56	168.05	5517.65
1318.61	168	5539.6
1318.66	167.95	5592.65
1318.71	167.9	5530.13
1318.76	167.85	5528.25
1318.81	167.8	5489.45
1318.86	167.75	5530.7
1318.91	167.7	5518.22
1318.96	167.65	5541.8
1319.01	167.6	5510.8
1319.06	167.55	5534.55
1319.11	167.5	5545.07
1319.16	167.45	5514.75
1319.21	167.4	5527.7
1319.26	167.35	5544
1319.31	167.3	5507.3
1319.36	167.25	5504.7
1319.41	167.2	5493.7
1319.46	167.15	5536.22
1319.51	167.1	5549.32
1319.56	167.05	5534.55
1319.61	167	5542.5
1319.66	166.95	5580.65
1319.71	166.9	5546.38
1319.76	166.85	5539.57
1319.81	166.8	5568.2
1319.86	166.75	5536.85
1319.91	166.7	5550.7
1319.96	166.65	5530.13
1320.01	166.6	5523.8
1320.06	166.55	5530.07
1320.11	166.5	5543.02
1320.16	166.45	5553.07
1320.21	166.4	5550
1320.26	166.35	5556.85
1320.31	166.3	5561.52
1320.36	166.25	5572.3
1320.41	166.2	5546.88
1320.46	166.15	5556.97
1320.51	166.1	5577.05
1320.56	166.05	5573.1
1320.61	166	5569.18
1320.66	165.95	5557.45
1320.71	165.9	5558.67
1320.76	165.85	5588.42
1320.81	165.8	5594.5
1320.86	165.75	5569.15
1320.91	165.7	5553.02
1320.96	165.65	5560.38
1321.01	165.6	5582.57
1321.06	165.55	5604.82
1321.11	165.5	5564.62
1321.16	165.45	5578.78
1321.21	165.4	5591.48
1321.26	165.35	5569.77
1321.31	165.3	5558.82
1321.36	165.25	5586.7
1321.41	165.2	5616.7
1321.46	165.15	5576.38
1321.51	165.1	5594.07
1321.56	165.05	5602.3
1321.61	165	5557.02
1321.66	164.95	5612.32
1321.71	164.9	5598.88
1321.76	164.85	5546.22
1321.81	164.8	5569.6
1321.86	164.75	5580.43
1321.91	164.7	5552.73
1321.96	164.65	5566.35
1322.01	164.6	5562.65
1322.06	164.55	5573.02
1322.11	164.5	5561.65
1322.16	164.45	5592.42
1322.21	164.4	5598.47
1322.26	164.35	5591.7
1322.31	164.3	5562.05
1322.36	164.25	5604.13
1322.41	164.2	5623.9
1322.46	164.15	5588.05
1322.51	164.1	5605.05
1322.56	164.05	5581.9
1322.61	164	5608.9
1322.66	163.95	5615.27
1322.71	163.9	5592.15
1322.76	163.85	5593.7
1322.81	163.8	5639.38
1322.86	163.75	5628.85
1322.91	163.7	5598.37
1322.96	163.65	5625.87
1323.01	163.6	5639.95
1323.06	163.55	5628.1
1323.11	163.5	5631.17
1323.16	163.45	5590.92
1323.21	163.4	5591.95
1323.26	163.35	5570.6
1323.31	163.3	5619.8
1323.36	163.25	5602.88
1323.41	163.2	5597.17
1323.46	163.15	5584.07
1323.51	163.1	5596.68
1323.56	163.05	5625.92
1323.61	163	5620.85
1323.66	162.95	5623.4
1323.71	162.9	5620.45
1323.76	162.85	5623.27
1323.81	162.8	5615.2
1323.86	162.75	5608.3
1323.91	162.7	5589.72
1323.96	162.65	5612.55
1324.01	162.6	5663.7
1324.06	162.55	5635.03
1324.11	162.5	5620.55
1324.16	162.45	5625.13
1324.21	162.4	5597.15
1324.26	162.35	5634.97
1324.31	162.3	5647.37
1324.36	162.25	5660.65
1324.41	162.2	5661.12
1324.46	162.15	5653.45
1324.51	162.1	5646.4
1324.56	162.05	5662.2
1324.61	162	5658.37
1324.66	161.95	5630.75
1324.71	161.9	5673.82
1324.76	161.85	5652.93
1324.81	161.8	5629.6
1324.86	161.75	5651.3
1324.91	161.7	5672.6
1324.96	161.65	5678.57
1325.01	161.6	5640.82
1325.06	161.55	5659.75
1325.11	161.5	5673
1325.16	161.45	5646.82
1325.21	161.4	5622.12
1325.26	161.35	5668.72
1325.31	161.3	5671.82
1325.36	161.25	5658.78
1325.41	161.2	5663.22
1325.46	161.15	5639.9
1325.51	161.1	5658.67
1325.56	161.05	5659.85
1325.61	161	5626.22
1325.66	160.95	5687.35
1325.71	160.9	5675.67
1325.76	160.85	5685.38
1325.81	160.8	5661.48
1325.86	160.75	5683.02
1325.91	160.7	5653.2
1325.96	160.65	5672.17
1326.01	160.6	5664.47
1326.06	160.55	5619.27
1326.11	160.5	5675.03
1326.16	160.45	5687.25
1326.21	160.4	5675.4
1326.26	160.35	5699.15
1326.31	160.3	5673.07
1326.36	160.25	5695.9
1326.41	160.2	5661.95
1326.46	160.15	5644.47
1326.51	160.1	5686.9
1326.56	160.05	5658.25
1326.61	160	5664.75
1326.66	159.95	5655.57
1326.71	159.9	5692.1
1326.76	159.85	5683.5
1326.81	159.8	5711.65
1326.86	159.75	5717.97
1326.91	159.7	5703.07
1326.96	159.65	5679.45
1327.01	159.6	5663.57
1327.06	159.55	5681
1327.11	159.5	5687.45
1327.16	159.45	5700.4
1327.21	159.4	5711.43
1327.26	159.35	5701.97
1327.31	159.3	5696.52
1327.36	159.25	5692.7
1327.41	159.2	5714.75
1327.46	159.15	5722.15
1327.51	159.1	5709.05
1327.56	159.05	5707.27
1327.61	159	5672.93
1327.66	158.95	5669.55
1327.71	158.9	5691.6
1327.76	158.85	5705.45
1327.81	158.8	5713.27
1327.86	158.75	5681.95
1327.91	158.7	5671.5
1327.96	158.65	5721.9
1328.01	158.6	5716.25
1328.06	158.55	5704.82
1328.11	158.5	5680.35
1328.16	158.45	5685.45
1328.21	158.4	5761.8
1328.26	158.35	5719.02
1328.31	158.3	5727.57
1328.36	158.25	5729.72
1328.41	158.2	5718.7
1328.46	158.15	5718.52
1328.51	158.1	5733.1
1328.56	158.05	5706.48
1328.61	158	5710.82
1328.66	157.95	5697.68
1328.71	157.9	5728.8
1328.76	157.85	5715.27
1328.81	157.8	5739.6
1328.86	157.75	5727.1
1328.91	157.7	5706.82
1328.96	157.65	5717.7
1329.01	157.6	5714.25
1329.06	157.55	5672.25
1329.11	157.5	5712.5
1329.16	157.45	5728.85
1329.21	157.4	5735.92
1329.26	157.35	5769.72
1329.31	157.3	5735.13
1329.36	157.25	5755.97
1329.41	157.2	5730.43
1329.46	157.15	5732.75
1329.51	157.1	5751.07
1329.56	157.05	5734.97
1329.61	157	5739.45
1329.66	156.95	5725.18
1329.71	156.9	5750.2
1329.76	156.85	5778.3
1329.81	156.8	5717.97
1329.86	156.75	5748.52
1329.91	156.7	5775.3
1329.96	156.65	5766.7
1330.01	156.6	5757.6
1330.06	156.55	5729.65
1330.11	156.5	5757.53
1330.16	156.45	5756.5
1330.21	156.4	5756.9
1330.26	156.35	5740.87
1330.31	156.3	5749
1330.36	156.25	5751.12
1330.41	156.2	5767.27
1330.46	156.15	5795.07
1330.51	156.1	5781.77
1330.56	156.05	5736.92
1330.61	156	5750.82
1330.66	155.95	5743.75
1330.71	155.9	5739.5
1330.76	155.85	5765.85
1330.81	155.8	5742.27
1330.86	155.75	5767.9
1330.91	155.7	5793.2
1330.96	155.65	5770.87
1331.01	155.6	5771.38
1331.06	155.55	5817.63
