experiment 2019-01-28_au in o2 800um nozzle_irregular-January212020161648				
Counts per Second				
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Counts per Second	BE_Counts per Second	CPS_Counts per Second	Background_Counts per Second	
1306.61	180	1021.48	989.847	
1306.71	179.9	1015.41	1043.01	
1306.81	179.8	1015.83	993.842	
1306.91	179.7	1002.79	1025.93	
1307.01	179.6	995.625	1000.08	
1307.11	179.5	990.726	996.755	
1307.21	179.4	995.56	973.115	
1307.31	179.3	1021.38	979.732	
1307.41	179.2	991.408	919.145	
1307.51	179.1	1010.43	1029.75	
1307.61	179	1000.15	1002.84	
1307.71	178.9	1006.98	975.202	
1307.81	178.8	1013.54	1032.09	
1307.91	178.7	1026.04	1026.55	
1308.01	178.6	1021.23	1038.19	
1308.11	178.5	1050.16	1098.24	
1308.21	178.4	1039.47	958.055	
1308.31	178.3	1033.73	1005.98	
1308.41	178.2	1032.92	1038.54	
1308.51	178.1	1018.36	1036.92	
1308.61	178	1031.47	1012.17	
1308.71	177.9	1023.7	958.167	
1308.81	177.8	1024.64	1039.45	
1308.91	177.7	1033.16	1077.78	
1309.01	177.6	1032.77	987.545	
1309.11	177.5	1029.31	1017	
1309.21	177.4	1024.3	1058.59	
1309.31	177.3	1030.97	1042	
1309.41	177.2	1051.41	1096.4	
1309.51	177.1	1012.16	1066.4	
1309.61	177	1011.25	900.77	
1309.71	176.9	1028	1039	
1309.81	176.8	1035.4	1073.67	
1309.91	176.7	1035.49	1075.05	
1310.01	176.6	1042.51	1049.72	
1310.11	176.5	1008.24	1042.51	
1310.21	176.4	1027.77	1118.85	
1310.31	176.3	1004.72	1048.94	
1310.41	176.2	1010.92	1023.82	
1310.51	176.1	995.132	874.95	
1310.61	176	1010.22	1005.11	
1310.71	175.9	1030.53	1050.51	
1310.81	175.8	1033.66	1064.78	
1310.91	175.7	1011.34	1021.8	
1311.01	175.6	1014.37	983.565	
1311.11	175.5	1017.42	1046.42	
1311.21	175.4	1025.95	1048.95	
1311.31	175.3	1035.96	988.893	
1311.41	175.2	1011.06	981.42	
1311.51	175.1	1022.88	1023.85	
1311.61	175	1015.63	1058.76	
1311.71	174.9	1024.95	1021.79	
1311.81	174.8	1003.69	1030.5	
1311.91	174.7	1017.27	1040.42	
1312.01	174.6	1030.3	1137.26	
1312.11	174.5	1018.9	1035.64	
1312.21	174.4	1043.05	950.732	
1312.31	174.3	1014.07	977.097	
1312.41	174.2	1027.74	1064.68	
1312.51	174.1	1037.57	988.55	
1312.61	174	1043.02	972.938	
1312.71	173.9	1025.41	1061.17	
1312.81	173.8	1028.68	1090.7	
1312.91	173.7	1041.58	1101.42	
1313.01	173.6	1031.24	1026.55	
1313.11	173.5	1033.6	1056.23	
1313.21	173.4	1034.91	1001.29	
1313.31	173.3	1029.13	997.41	
1313.41	173.2	1041.87	1053.08	
1313.51	173.1	1035.92	1051.65	
1313.61	173	1053.23	1038.11	
1313.71	172.9	1024.81	1061.21	
1313.81	172.8	1027.6	981.903	
1313.91	172.7	1038.43	995.65	
1314.01	172.6	1055.44	1079.33	
1314.11	172.5	1050.31	1062.65	
1314.21	172.4	1018.86	953.632	
1314.31	172.3	1025.12	978.847	
1314.41	172.2	1039.36	1058.38	
1314.51	172.1	1069.16	1117.71	
1314.61	172	1045.21	1040.05	
1314.71	171.9	1059.59	1068.49	
1314.81	171.8	1055.36	1060.19	
1314.91	171.7	1039.83	1080.01	
1315.01	171.6	1030.65	1043.77	
1315.11	171.5	1025.42	936.86	
1315.21	171.4	1038.34	1008.74	
1315.31	171.3	1039.57	1042.29	
1315.41	171.2	1029.88	960.977	
1315.51	171.1	1055.15	1015.01	
1315.61	171	1024.91	986.737	
1315.71	170.9	1042.15	1064.85	
1315.81	170.8	1050.36	1081.58	
1315.91	170.7	1054.57	1016.1	
1316.01	170.6	1024.44	1046.43	
1316.11	170.5	1026.34	1042.36	
1316.21	170.4	1021.16	1015.64	
1316.31	170.3	1051.7	1039.65	
1316.41	170.2	1014	1027.34	
1316.51	170.1	1016.28	992.422	
1316.61	170	1039.15	1019.76	
1316.71	169.9	1076.62	1066.56	
1316.81	169.8	1070.09	1088.94	
1316.91	169.7	1040.35	1018.32	
1317.01	169.6	1043.48	1017.39	
1317.11	169.5	1041.09	996.945	
1317.21	169.4	1035.62	989.197	
1317.31	169.3	1045.11	1074.16	
1317.41	169.2	1018.85	1003.66	
1317.51	169.1	1047.1	1042.04	
1317.61	169	1050.9	1061.29	
1317.71	168.9	1009	1053.4	
1317.81	168.8	1037.92	1011.65	
1317.91	168.7	1032.91	1065.66	
1318.01	168.6	1028.68	1020.77	
1318.11	168.5	1055.27	1063.19	
1318.21	168.4	1043.78	1090.04	
1318.31	168.3	1046.4	1105.73	
1318.41	168.2	1030.58	1039.17	
1318.51	168.1	1013.02	949.335	
1318.61	168	1035.68	1034.88	
1318.71	167.9	1010.92	1031.43	
1318.81	167.8	1036.75	1126.22	
