c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex191_cec356 au in he_1200um.vms
Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	0.4
KE_Au4f	BE_Au4f	CPS_Au4f
1306.61	180	4884.22
1306.66	179.95	4877.65
1306.71	179.9	4933.7
1306.76	179.85	4972.77
1306.81	179.8	4939.2
1306.86	179.75	4811.95
1306.91	179.7	4870.25
1306.96	179.65	4889.95
1307.01	179.6	4870.32
1307.06	179.55	4947.27
1307.11	179.5	4929.65
1307.16	179.45	4936
1307.21	179.4	4936.45
1307.26	179.35	4900.1
1307.31	179.3	4919.47
1307.36	179.25	4939.85
1307.41	179.2	4934.05
1307.46	179.15	4919.05
1307.51	179.1	4895.77
1307.56	179.05	4919.57
1307.61	179	4965.27
1307.66	178.95	4910.67
1307.71	178.9	4902.02
1307.76	178.85	4912.05
1307.81	178.8	4866.8
1307.86	178.75	4969.57
1307.91	178.7	4946.9
1307.96	178.65	4904.6
1308.01	178.6	4896.07
1308.06	178.55	4926.18
1308.11	178.5	4925.67
1308.16	178.45	4864.1
1308.21	178.4	4905.32
1308.26	178.35	4915.47
1308.31	178.3	4935.67
1308.36	178.25	4955.45
1308.41	178.2	4938.68
1308.46	178.15	4999.93
1308.51	178.1	4906
1308.56	178.05	4856.2
1308.61	178	4921.72
1308.66	177.95	4941.82
1308.71	177.9	4914.45
1308.76	177.85	4944.65
1308.81	177.8	4929.3
1308.86	177.75	4984.32
1308.91	177.7	4983.7
1308.96	177.65	4939.55
1309.01	177.6	4895.52
1309.06	177.55	4900.72
1309.11	177.5	4971.42
1309.16	177.45	4948.9
1309.21	177.4	4973.2
1309.26	177.35	4983.45
1309.31	177.3	4992
1309.36	177.25	4936.02
1309.41	177.2	4909.02
1309.46	177.15	4924.4
1309.51	177.1	5010.92
1309.56	177.05	4949.65
1309.61	177	4963.9
1309.66	176.95	4985.27
1309.71	176.9	4972.57
1309.76	176.85	5053.77
1309.81	176.8	4999.65
1309.86	176.75	4966.1
1309.91	176.7	4875.98
1309.96	176.65	4917.45
1310.01	176.6	4935.65
1310.06	176.55	4929.32
1310.11	176.5	4990.67
1310.16	176.45	4965.67
1310.21	176.4	5007.82
1310.26	176.35	4961.32
1310.31	176.3	4951.88
1310.36	176.25	5023.4
1310.41	176.2	4993.75
1310.46	176.15	4953.63
1310.51	176.1	4920.8
1310.56	176.05	4984.85
1310.61	176	4962.45
1310.66	175.95	4946.97
1310.71	175.9	4932.23
1310.76	175.85	5019.8
1310.81	175.8	5051.8
1310.86	175.75	4922.12
1310.91	175.7	4948.72
1310.96	175.65	4963.05
1311.01	175.6	4959.55
1311.06	175.55	4997.88
1311.11	175.5	4996.57
1311.16	175.45	5030.43
1311.21	175.4	5035
1311.26	175.35	4963.3
1311.31	175.3	5002.15
1311.36	175.25	5030.07
1311.41	175.2	5000.7
1311.46	175.15	4985.95
1311.51	175.1	4971.13
1311.56	175.05	4995.8
1311.61	175	5015.52
1311.66	174.95	4954.73
1311.71	174.9	4970.2
1311.76	174.85	4990.77
1311.81	174.8	4972.82
1311.86	174.75	5041.47
1311.91	174.7	5036.27
1311.96	174.65	4999.22
1312.01	174.6	5038.7
1312.06	174.55	4994.25
1312.11	174.5	4955.95
1312.16	174.45	4972.63
1312.21	174.4	5069.67
1312.26	174.35	5058.52
1312.31	174.3	5044.3
1312.36	174.25	5010.3
1312.41	174.2	5022.85
1312.46	174.15	5027.77
1312.51	174.1	4920.17
1312.56	174.05	5038.48
1312.61	174	4996.9
1312.66	173.95	4990.25
1312.71	173.9	5002.63
1312.76	173.85	5009.32
1312.81	173.8	5011.42
1312.86	173.75	5010.92
1312.91	173.7	5034.3
1312.96	173.65	4988.05
1313.01	173.6	4988.07
1313.06	173.55	4973.17
1313.11	173.5	4954.1
1313.16	173.45	5006.75
1313.21	173.4	4993.57
1313.26	173.35	4977.67
1313.31	173.3	5010.13
1313.36	173.25	5035.67
1313.41	173.2	5052.75
1313.46	173.15	4986.4
1313.51	173.1	5021.05
1313.56	173.05	5075.2
1313.61	173	5042.23
1313.66	172.95	5021.75
1313.71	172.9	4973.32
1313.76	172.85	5016.15
1313.81	172.8	5051.72
1313.86	172.75	5052.05
1313.91	172.7	5058.9
1313.96	172.65	5010.95
1314.01	172.6	5029.65
1314.06	172.55	5037.4
1314.11	172.5	5008.7
1314.16	172.45	4943.52
1314.21	172.4	4974.5
1314.26	172.35	5023.6
1314.31	172.3	5025.98
1314.36	172.25	5007.4
1314.41	172.2	5021.95
1314.46	172.15	4937.82
1314.51	172.1	5083.27
1314.56	172.05	5045.6
1314.61	172	5020.87
1314.66	171.95	5096.57
1314.71	171.9	5051.05
1314.76	171.85	5003.65
1314.81	171.8	5014.82
1314.86	171.75	5045.27
1314.91	171.7	5039.97
1314.96	171.65	5004.38
1315.01	171.6	5059.52
1315.06	171.55	5043.52
1315.11	171.5	5005.15
1315.16	171.45	4981.02
1315.21	171.4	5036.38
1315.26	171.35	5040.22
1315.31	171.3	4978.82
1315.36	171.25	5015.47
1315.41	171.2	5040.63
1315.46	171.15	5030.82
1315.51	171.1	5048.7
1315.56	171.05	5070.65
1315.61	171	5028.63
1315.66	170.95	5050.92
1315.71	170.9	4997.8
1315.76	170.85	5014.65
1315.81	170.8	5064.5
1315.86	170.75	5047.97
1315.91	170.7	5044.45
1315.96	170.65	5045.07
1316.01	170.6	5043.05
1316.06	170.55	5031.55
1316.11	170.5	5068.45
1316.16	170.45	5085.07
1316.21	170.4	5080.82
1316.26	170.35	5104.95
1316.31	170.3	5070.67
1316.36	170.25	5036.65
1316.41	170.2	5031.27
1316.46	170.15	5052.2
1316.51	170.1	5045.8
1316.56	170.05	5059.88
1316.61	170	5081.82
1316.66	169.95	5138.85
1316.71	169.9	5039.55
1316.76	169.85	5043.27
1316.81	169.8	5088.5
1316.86	169.75	5080.15
1316.91	169.7	5033.85
1316.96	169.65	5102.8
1317.01	169.6	5150.97
1317.06	169.55	5080.6
1317.11	169.5	5089.55
1317.16	169.45	5091.22
1317.21	169.4	5095.45
1317.26	169.35	5031.45
1317.31	169.3	5098.9
1317.36	169.25	5125.1
1317.41	169.2	5039.1
1317.46	169.15	5099.55
1317.51	169.1	5108.68
1317.56	169.05	5118.9
1317.61	169	5059.6
1317.66	168.95	5066.82
1317.71	168.9	5078.32
1317.76	168.85	5068.42
1317.81	168.8	5058.07
1317.86	168.75	5093.77
1317.91	168.7	5125.75
1317.96	168.65	5102.32
1318.01	168.6	5085.35
1318.06	168.55	5118.52
1318.11	168.5	5092.52
1318.16	168.45	5097.9
1318.21	168.4	5055
1318.26	168.35	5107.3
1318.31	168.3	5081.3
1318.36	168.25	5077.6
1318.41	168.2	5050.98
1318.46	168.15	5128.47
1318.51	168.1	5067.52
1318.56	168.05	5071.72
1318.61	168	5052.9
1318.66	167.95	5120.47
1318.71	167.9	5065.35
1318.76	167.85	4988.63
1318.81	167.8	4977.75
1318.86	167.75	5039.25
1318.91	167.7	5091.7
1318.96	167.65	5118.72
1319.01	167.6	5127.95
1319.06	167.55	5089.4
1319.11	167.5	5082.95
1319.16	167.45	5086.65
1319.21	167.4	5090.27
1319.26	167.35	5102.3
1319.31	167.3	5103.02
1319.36	167.25	5095.45
1319.41	167.2	5079.75
1319.46	167.15	5097.25
1319.51	167.1	5102.45
1319.56	167.05	5086.95
1319.61	167	5066.32
1319.66	166.95	5113.37
1319.71	166.9	5101.1
1319.76	166.85	5068.07
1319.81	166.8	5112.45
1319.86	166.75	5078.48
1319.91	166.7	5050.22
1319.96	166.65	5056.85
1320.01	166.6	5048.85
1320.06	166.55	5067.77
1320.11	166.5	5149.55
1320.16	166.45	5130.38
1320.21	166.4	5106.6
1320.26	166.35	5132.93
1320.31	166.3	5164.87
1320.36	166.25	5189.05
1320.41	166.2	5133.25
1320.46	166.15	5074.38
1320.51	166.1	5149.1
1320.56	166.05	5127.6
1320.61	166	5090.47
1320.66	165.95	5130.45
1320.71	165.9	5107
1320.76	165.85	5142.45
1320.81	165.8	5091.15
1320.86	165.75	5139.27
1320.91	165.7	5086.8
1320.96	165.65	5129.47
1321.01	165.6	5117.97
1321.06	165.55	5114.45
1321.11	165.5	5156.17
1321.16	165.45	5181.4
1321.21	165.4	5081.38
1321.26	165.35	5088.97
1321.31	165.3	5163.7
1321.36	165.25	5126.38
1321.41	165.2	5077.1
1321.46	165.15	5115.17
1321.51	165.1	5089.35
1321.56	165.05	5180.2
1321.61	165	5166.43
1321.66	164.95	5128.78
1321.71	164.9	5132.42
1321.76	164.85	5085.9
1321.81	164.8	5055.98
1321.86	164.75	5121.4
1321.91	164.7	5120.97
1321.96	164.65	5077.88
1322.01	164.6	5048.25
1322.06	164.55	5113.57
1322.11	164.5	5145.05
1322.16	164.45	5170.75
1322.21	164.4	5142.95
1322.26	164.35	5172.45
1322.31	164.3	5069.2
1322.36	164.25	5133.65
1322.41	164.2	5159.75
1322.46	164.15	5129.4
1322.51	164.1	5165.9
1322.56	164.05	5097.55
1322.61	164	5084.42
1322.66	163.95	5152.9
1322.71	163.9	5126.92
1322.76	163.85	5092.05
1322.81	163.8	5132.02
1322.86	163.75	5128.5
1322.91	163.7	5136.3
1322.96	163.65	5186.5
1323.01	163.6	5149.27
1323.06	163.55	5160.38
1323.11	163.5	5156.15
1323.16	163.45	5188.72
1323.21	163.4	5147.32
1323.26	163.35	5122.2
1323.31	163.3	5144.67
1323.36	163.25	5202.5
1323.41	163.2	5197.22
1323.46	163.15	5129.9
1323.51	163.1	5151.75
1323.56	163.05	5168.8
1323.61	163	5168.62
1323.66	162.95	5084.5
1323.71	162.9	5119.82
1323.76	162.85	5171.5
1323.81	162.8	5202.15
1323.86	162.75	5170.03
1323.91	162.7	5219.72
1323.96	162.65	5191.4
1324.01	162.6	5222.25
1324.06	162.55	5213.85
1324.11	162.5	5217.68
1324.16	162.45	5171.22
1324.21	162.4	5227.05
1324.26	162.35	5183.98
1324.31	162.3	5194.67
1324.36	162.25	5192.53
1324.41	162.2	5224.97
1324.46	162.15	5168.62
1324.51	162.1	5132.45
1324.56	162.05	5214.95
1324.61	162	5166.85
1324.66	161.95	5192.4
1324.71	161.9	5188.05
1324.76	161.85	5169.35
1324.81	161.8	5147.4
1324.86	161.75	5185.05
1324.91	161.7	5199.32
1324.96	161.65	5209.1
1325.01	161.6	5208.62
1325.06	161.55	5201.3
1325.11	161.5	5183.13
1325.16	161.45	5170.45
1325.21	161.4	5203.47
1325.26	161.35	5226.9
1325.31	161.3	5187.85
1325.36	161.25	5202
1325.41	161.2	5180.38
1325.46	161.15	5225.7
1325.51	161.1	5202.42
1325.56	161.05	5248.55
1325.61	161	5139.22
1325.66	160.95	5175.75
1325.71	160.9	5198.42
1325.76	160.85	5199.7
1325.81	160.8	5186.12
1325.86	160.75	5208.95
1325.91	160.7	5251.7
1325.96	160.65	5200.27
1326.01	160.6	5223.32
1326.06	160.55	5224.6
1326.11	160.5	5227.32
1326.16	160.45	5198.67
1326.21	160.4	5198.4
1326.26	160.35	5215.05
1326.31	160.3	5231.05
1326.36	160.25	5233.42
1326.41	160.2	5194.55
1326.46	160.15	5199.45
1326.51	160.1	5226.28
1326.56	160.05	5236.85
1326.61	160	5191.97
1326.66	159.95	5236.9
1326.71	159.9	5212.5
1326.76	159.85	5260.15
1326.81	159.8	5215.27
1326.86	159.75	5227.17
1326.91	159.7	5246.77
1326.96	159.65	5237.5
1327.01	159.6	5234
1327.06	159.55	5204.9
1327.11	159.5	5230.2
1327.16	159.45	5193
1327.21	159.4	5212.2
1327.26	159.35	5229.18
1327.31	159.3	5230.77
1327.36	159.25	5130.38
1327.41	159.2	5184.62
1327.46	159.15	5271.5
1327.51	159.1	5259.95
1327.56	159.05	5251.7
1327.61	159	5200.82
1327.66	158.95	5203.67
1327.71	158.9	5259.45
1327.76	158.85	5271.05
1327.81	158.8	5264.87
1327.86	158.75	5248.98
1327.91	158.7	5182.85
1327.96	158.65	5229.05
1328.01	158.6	5243.88
1328.06	158.55	5261.38
1328.11	158.5	5283.72
1328.16	158.45	5143.95
1328.21	158.4	5299.22
1328.26	158.35	5299.2
1328.31	158.3	5257.77
1328.36	158.25	5196.02
1328.41	158.2	5224.47
1328.46	158.15	5236.48
1328.51	158.1	5301.7
1328.56	158.05	5276.4
1328.61	158	5183.57
1328.66	157.95	5239.57
1328.71	157.9	5249.3
1328.76	157.85	5249.75
1328.81	157.8	5264.7
1328.86	157.75	5350.35
1328.91	157.7	5233.32
1328.96	157.65	5194.72
1329.01	157.6	5207.57
1329.06	157.55	5228.35
1329.11	157.5	5281.43
1329.16	157.45	5176.72
1329.21	157.4	5226.38
1329.26	157.35	5219.65
1329.31	157.3	5218.37
1329.36	157.25	5252.85
1329.41	157.2	5228.95
1329.46	157.15	5290.13
1329.51	157.1	5271.02
1329.56	157.05	5280.18
1329.61	157	5225.9
1329.66	156.95	5293.4
1329.71	156.9	5272.2
1329.76	156.85	5289.3
1329.81	156.8	5342.12
1329.86	156.75	5267.85
1329.91	156.7	5307.3
1329.96	156.65	5323.52
1330.01	156.6	5295.38
1330.06	156.55	5269
