c:\users\mark\owncloud\muelheim group\projects\gas phase background\au in he 800um nozzle\experiment 2019-01-28_au in he 800 um nozzle - selection.vms
Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	0.4
KE_Au4f	BE_Au4f	CPS_Au4f
1356.66	129.95	1682.45
1356.71	129.9	1689.82
1356.76	129.85	1688.46
1356.81	129.8	1713.15
1356.86	129.75	1706.84
1356.91	129.7	1679.58
1356.96	129.65	1703.42
1357.01	129.6	1685.98
1357.06	129.55	1702.34
1357.11	129.5	1697.49
1357.16	129.45	1670.4
1357.21	129.4	1673.06
1357.26	129.35	1675.67
1357.31	129.3	1662.4
1357.36	129.25	1669.48
1357.41	129.2	1717.44
1357.46	129.15	1697.46
1357.51	129.1	1685.62
1357.56	129.05	1704.9
1357.61	129	1706.74
1357.66	128.95	1697.01
1357.71	128.9	1684.8
1357.76	128.85	1689.6
1357.81	128.8	1677.1
1357.86	128.75	1679.92
1357.91	128.7	1722.9
1357.96	128.65	1691.53
1358.01	128.6	1720.62
1358.06	128.55	1707.02
1358.11	128.5	1684.44
1358.16	128.45	1675.88
1358.21	128.4	1697.8
1358.26	128.35	1701.64
1358.31	128.3	1698.23
1358.36	128.25	1680.01
1358.41	128.2	1694.5
1358.46	128.15	1678.02
1358.51	128.1	1688.89
1358.56	128.05	1709.1
1358.61	128	1700.83
1358.66	127.95	1682.87
1358.71	127.9	1687.24
1358.76	127.85	1684.23
1358.81	127.8	1689.86
1358.86	127.75	1682.51
1358.91	127.7	1684.65
1358.96	127.65	1703.06
1359.01	127.6	1707.63
1359.06	127.55	1705.58
1359.11	127.5	1722.13
1359.16	127.45	1694.62
1359.21	127.4	1676.32
1359.26	127.35	1682.34
1359.31	127.3	1665.96
1359.36	127.25	1677.29
1359.41	127.2	1694.83
1359.46	127.15	1700.19
1359.51	127.1	1700.58
1359.56	127.05	1724.32
1359.61	127	1716.51
1359.66	126.95	1689.31
1359.71	126.9	1722.86
1359.76	126.85	1722.3
1359.81	126.8	1738.4
1359.86	126.75	1742.02
1359.91	126.7	1719.77
1359.96	126.65	1702.33
1360.01	126.6	1725.12
1360.06	126.55	1706.49
1360.11	126.5	1702.44
1360.16	126.45	1717.32
1360.21	126.4	1733.46
1360.26	126.35	1741.74
1360.31	126.3	1717.6
1360.36	126.25	1696.19
1360.41	126.2	1716.09
1360.46	126.15	1716.33
1360.51	126.1	1719.85
1360.56	126.05	1700.21
1360.61	126	1723.87
1360.66	125.95	1726.6
