c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex191_cec356 au in he_1200um.vms
Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	0.4
KE_Au4f	BE_Au4f	CPS_Au4f
1306.61	180	5644.52
1306.66	179.95	5579.77
1306.71	179.9	5601.45
1306.76	179.85	5610.2
1306.81	179.8	5613.65
1306.86	179.75	5661.88
1306.91	179.7	5646
1306.96	179.65	5562.25
1307.01	179.6	5656.6
1307.06	179.55	5632.57
1307.11	179.5	5604.62
1307.16	179.45	5581.97
1307.21	179.4	5629.85
1307.26	179.35	5666.43
1307.31	179.3	5669.8
1307.36	179.25	5551.77
1307.41	179.2	5621.63
1307.46	179.15	5658.17
1307.51	179.1	5689.07
1307.56	179.05	5599.57
1307.61	179	5624.6
1307.66	178.95	5585.15
1307.71	178.9	5613.05
1307.76	178.85	5597.25
1307.81	178.8	5645.35
1307.86	178.75	5618
1307.91	178.7	5623.35
1307.96	178.65	5641.8
1308.01	178.6	5681.52
1308.06	178.55	5596.12
1308.11	178.5	5541.05
1308.16	178.45	5603.85
1308.21	178.4	5636.07
1308.26	178.35	5649.2
1308.31	178.3	5629.8
1308.36	178.25	5557.77
1308.41	178.2	5617.65
1308.46	178.15	5609.82
1308.51	178.1	5634.87
1308.56	178.05	5680.45
1308.61	178	5672.22
1308.66	177.95	5648.82
1308.71	177.9	5670.18
1308.76	177.85	5627.45
1308.81	177.8	5620.8
1308.86	177.75	5630.52
1308.91	177.7	5649.65
1308.96	177.65	5643.65
1309.01	177.6	5663.4
1309.06	177.55	5727.1
1309.11	177.5	5663.25
1309.16	177.45	5662.57
1309.21	177.4	5726.3
1309.26	177.35	5717.97
1309.31	177.3	5633.42
1309.36	177.25	5632.4
1309.41	177.2	5701.4
1309.46	177.15	5685.87
1309.51	177.1	5631.1
1309.56	177.05	5654.1
1309.61	177	5684.18
1309.66	176.95	5611.17
1309.71	176.9	5651.77
1309.76	176.85	5633.37
1309.81	176.8	5587.73
1309.86	176.75	5677.4
1309.91	176.7	5721.6
1309.96	176.65	5707.02
1310.01	176.6	5645.3
