C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\CasaXP2.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey
861.11	625.5	98622.3
861.61	625	98357.3
862.11	624.5	97931.5
862.61	624	98622.6
863.11	623.5	98596
863.61	623	98715
864.11	622.5	98692.8
864.61	622	99203.7
865.11	621.5	99229.3
865.61	621	99071.5
866.11	620.5	99239.4
866.61	620	99286.9
867.11	619.5	98966.8
867.61	619	99228.2
868.11	618.5	99313.2
868.61	618	99238.2
869.11	617.5	99472.5
869.61	617	99551.1
870.11	616.5	99960
870.61	616	99863.4
871.11	615.5	99845.4
871.61	615	100130
872.11	614.5	100455
872.61	614	100692
873.11	613.5	100581
873.61	613	100408
874.11	612.5	100818
874.61	612	100903
875.11	611.5	100921
875.61	611	101343
876.11	610.5	101059
876.61	610	101152
877.11	609.5	101362
877.61	609	101740
878.11	608.5	101626
878.61	608	101397
879.11	607.5	101424
879.61	607	101625
880.11	606.5	101862
880.61	606	102281
881.11	605.5	101998
881.61	605	101992
882.11	604.5	101875
882.61	604	102527
883.11	603.5	102672
883.61	603	102621
884.11	602.5	102488
884.61	602	103125
885.11	601.5	102595
885.61	601	102900
886.11	600.5	103165
886.61	600	103523
887.11	599.5	103536
887.61	599	103427
888.11	598.5	104001
888.61	598	103838
889.11	597.5	103804
889.61	597	104513
890.11	596.5	104515
890.61	596	104718
891.11	595.5	104799
891.61	595	104784
892.11	594.5	105181
892.61	594	104767
893.11	593.5	105044
893.61	593	105359
894.11	592.5	105700
894.61	592	105227
895.11	591.5	105255
895.61	591	105392
896.11	590.5	106035
896.61	590	105871
897.11	589.5	105809
897.61	589	106387
898.11	588.5	106548
898.61	588	107114
899.11	587.5	106612
899.61	587	107000
900.11	586.5	107080
900.61	586	107575
901.11	585.5	107340
901.61	585	107491
902.11	584.5	107513
902.61	584	107422
903.11	583.5	108170
903.61	583	108322
904.11	582.5	108450
904.61	582	108523
905.11	581.5	108191
905.61	581	108762
906.11	580.5	109449
906.61	580	109349
907.11	579.5	108878
907.61	579	109556
908.11	578.5	109845
908.61	578	110265
909.11	577.5	110669
909.61	577	111039
910.11	576.5	110614
910.61	576	110529
911.11	575.5	111208
911.61	575	111484
912.11	574.5	111642
912.61	574	111683
913.11	573.5	111785
913.61	573	112114
914.11	572.5	112169
914.61	572	112413
915.11	571.5	112644
915.61	571	112864
916.11	570.5	112650
916.61	570	112616
917.11	569.5	113098
917.61	569	113243
918.11	568.5	112939
918.61	568	112835
919.11	567.5	112949
919.61	567	112830
920.11	566.5	112129
920.61	566	111192
921.11	565.5	111352
921.61	565	111135
922.11	564.5	111173
922.61	564	110401
923.11	563.5	110442
923.61	563	110547
924.11	562.5	110567
924.61	562	110619
925.11	561.5	110223
925.61	561	110865
926.11	560.5	111024
926.61	560	111095
927.11	559.5	111362
927.61	559	111702
928.11	558.5	112292
928.61	558	112469
929.11	557.5	112567
929.61	557	112847
930.11	556.5	113451
930.61	556	113791
931.11	555.5	114410
931.61	555	114930
932.11	554.5	115271
932.61	554	116078
933.11	553.5	116994
933.61	553	118226
934.11	552.5	119842
934.61	552	121422
935.11	551.5	123635
935.61	551	125716
936.11	550.5	128755
936.61	550	132437
937.11	549.5	136757
937.61	549	142264
938.11	548.5	147937
938.61	548	154101
939.11	547.5	160260
939.61	547	165053
940.11	546.5	167755
940.61	546	166864
941.11	545.5	163489
941.61	545	157602
942.11	544.5	150242
942.61	544	142271
943.11	543.5	135253
943.61	543	129282
944.11	542.5	124027
944.61	542	119397
945.11	541.5	115423
945.61	541	112528
946.11	540.5	110756
946.61	540	108416
947.11	539.5	107016
947.61	539	105500
948.11	538.5	104377
948.61	538	103462
949.11	537.5	102649
949.61	537	101595
950.11	536.5	101119
950.61	536	100617
951.11	535.5	100371
951.61	535	100407
952.11	534.5	100031
952.61	534	99763.5
953.11	533.5	99927.6
953.61	533	99376.2
954.11	532.5	98890.6
954.61	532	98586.8
955.11	531.5	99113.7
955.61	531	99076.9
956.11	530.5	98842.2
956.61	530	98373.2
957.11	529.5	98400.9
957.61	529	98584.8
958.11	528.5	98356.1
958.61	528	98179.1
959.11	527.5	98107.4
959.61	527	98300
960.11	526.5	98527.9
960.61	526	98455.4
961.11	525.5	98584.4
961.61	525	98175.6
962.11	524.5	98228.3
962.61	524	98973
963.11	523.5	98618.9
963.61	523	98458.7
964.11	522.5	98613
964.61	522	98606.5
965.11	521.5	99128.5
965.61	521	99430.3
966.11	520.5	99237.9
966.61	520	98953
967.11	519.5	99112.6
967.61	519	98887.6
968.11	518.5	99521.7
968.61	518	99193.6
969.11	517.5	99427.7
969.61	517	99513.1
970.11	516.5	99588.3
970.61	516	99695
971.11	515.5	99627
971.61	515	100208
972.11	514.5	100334
972.61	514	100241
