C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\CasaXP2.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey
861.11	625.5	114769
861.61	625	115495
862.11	624.5	115240
862.61	624	114921
863.11	623.5	114808
863.61	623	114750
864.11	622.5	115777
864.61	622	115438
865.11	621.5	115413
865.61	621	115120
866.11	620.5	115801
866.61	620	115439
867.11	619.5	115920
867.61	619	115112
868.11	618.5	115405
868.61	618	116375
869.11	617.5	116286
869.61	617	116056
870.11	616.5	116004
870.61	616	115796
871.11	615.5	116410
871.61	615	116471
872.11	614.5	116267
872.61	614	116711
873.11	613.5	116962
873.61	613	116413
874.11	612.5	116576
874.61	612	116693
875.11	611.5	116893
875.61	611	117176
876.11	610.5	117036
876.61	610	116921
877.11	609.5	116622
877.61	609	117397
878.11	608.5	117057
878.61	608	118862
879.11	607.5	118533
879.61	607	118598
880.11	606.5	118732
880.61	606	118510
881.11	605.5	118450
881.61	605	118614
882.11	604.5	118729
882.61	604	118582
883.11	603.5	118907
883.61	603	119069
884.11	602.5	119026
884.61	602	118831
885.11	601.5	118870
885.61	601	119917
886.11	600.5	119784
886.61	600	119861
887.11	599.5	120181
887.61	599	119689
888.11	598.5	119614
888.61	598	120519
889.11	597.5	120815
889.61	597	121198
890.11	596.5	121357
890.61	596	120861
891.11	595.5	120557
891.61	595	120924
892.11	594.5	120637
892.61	594	120582
893.11	593.5	120505
893.61	593	120824
894.11	592.5	121392
894.61	592	122034
895.11	591.5	121653
895.61	591	122556
896.11	590.5	122249
896.61	590	122300
897.11	589.5	122709
897.61	589	122881
898.11	588.5	122777
898.61	588	122659
899.11	587.5	122680
899.61	587	122717
900.11	586.5	123616
900.61	586	123708
901.11	585.5	124043
901.61	585	124150
902.11	584.5	124234
902.61	584	124473
903.11	583.5	124015
903.61	583	124756
904.11	582.5	125047
904.61	582	125899
905.11	581.5	126278
905.61	581	126448
906.11	580.5	126061
906.61	580	125624
907.11	579.5	127049
907.61	579	127393
908.11	578.5	126268
908.61	578	126658
909.11	577.5	126805
909.61	577	127039
910.11	576.5	126664
910.61	576	126782
911.11	575.5	126996
911.61	575	127253
912.11	574.5	127621
912.61	574	127515
913.11	573.5	127162
913.61	573	127443
914.11	572.5	128530
914.61	572	128203
915.11	571.5	128807
915.61	571	128873
916.11	570.5	128947
916.61	570	128720
917.11	569.5	128833
917.61	569	128334
918.11	568.5	128767
918.61	568	129743
919.11	567.5	129211
919.61	567	128612
920.11	566.5	128743
920.61	566	129379
921.11	565.5	129510
921.61	565	129969
922.11	564.5	129392
922.61	564	130914
923.11	563.5	130860
923.61	563	130965
924.11	562.5	130744
924.61	562	131107
925.11	561.5	131618
925.61	561	131602
926.11	560.5	132620
926.61	560	133102
927.11	559.5	133797
927.61	559	134569
928.11	558.5	135060
928.61	558	135568
929.11	557.5	136028
929.61	557	136609
930.11	556.5	137602
930.61	556	137988
931.11	555.5	138118
931.61	555	138633
932.11	554.5	140445
932.61	554	141540
933.11	553.5	143385
933.61	553	144031
934.11	552.5	146345
934.61	552	149523
935.11	551.5	152335
935.61	551	155321
936.11	550.5	159143
936.61	550	165117
937.11	549.5	171768
937.61	549	179580
938.11	548.5	188294
938.61	548	197671
939.11	547.5	207281
939.61	547	213630
940.11	546.5	217128
940.61	546	215957
941.11	545.5	210430
941.61	545	201617
942.11	544.5	190919
942.61	544	179878
943.11	543.5	168626
943.61	543	158724
944.11	542.5	151084
944.61	542	144567
945.11	541.5	140037
945.61	541	135091
946.11	540.5	131905
946.61	540	129022
947.11	539.5	126428
947.61	539	124139
948.11	538.5	122934
948.61	538	122074
949.11	537.5	120313
949.61	537	119576
950.11	536.5	118214
950.61	536	117987
951.11	535.5	117437
951.61	535	116708
952.11	534.5	116242
952.61	534	115702
953.11	533.5	115086
953.61	533	115611
954.11	532.5	115566
954.61	532	115103
955.11	531.5	113758
955.61	531	113851
956.11	530.5	114239
956.61	530	113468
957.11	529.5	114131
957.61	529	113813
958.11	528.5	113352
958.61	528	113411
959.11	527.5	112893
959.61	527	112981
960.11	526.5	112715
960.61	526	112822
961.11	525.5	112704
961.61	525	112810
962.11	524.5	113573
962.61	524	113550
963.11	523.5	113457
963.61	523	113579
964.11	522.5	113613
964.61	522	113986
965.11	521.5	114165
965.61	521	113180
966.11	520.5	113785
966.61	520	113601
967.11	519.5	113304
967.61	519	114286
968.11	518.5	113433
968.61	518	114036
969.11	517.5	114527
969.61	517	114055
970.11	516.5	113771
970.61	516	113472
971.11	515.5	114059
971.61	515	113506
972.11	514.5	114133
972.61	514	114820
