C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\CasaXP2.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey
1442.11	44.5	12879.1
1442.61	44	12793.3
1443.11	43.5	12726.3
1443.61	43	12664.9
1444.11	42.5	12700.1
1444.61	42	12713.6
1445.11	41.5	12678.4
1445.61	41	12590.2
1446.11	40.5	12670.9
1446.61	40	12651.3
1447.11	39.5	12722.1
1447.61	39	12789.5
1448.11	38.5	12853.7
1448.61	38	12807.7
1449.11	37.5	12763.8
1449.61	37	12805.2
1450.11	36.5	12702.1
1450.61	36	12688.4
1451.11	35.5	12638.2
1451.61	35	12696.3
1452.11	34.5	12653.7
1452.61	34	12766.3
1453.11	33.5	12757.4
1453.61	33	12781.8
1454.11	32.5	12763.7
1454.61	32	12829
1455.11	31.5	12997.9
1455.61	31	13099.7
1456.11	30.5	13081.8
1456.61	30	13067.6
1457.11	29.5	13186.2
1457.61	29	13175.5
1458.11	28.5	13059.7
1458.61	28	13105.5
1459.11	27.5	13024.9
1459.61	27	12872.5
1460.11	26.5	12639.7
1460.61	26	12340.5
1461.11	25.5	12272.8
1461.61	25	12084
1462.11	24.5	11981.1
1462.61	24	11778.6
1463.11	23.5	11468.2
1463.61	23	11213.3
1464.11	22.5	10993.3
1464.61	22	11023.7
1465.11	21.5	11126.8
1465.61	21	11233.8
1466.11	20.5	11163
1466.61	20	11155
1467.11	19.5	11162.3
1467.61	19	11320
1468.11	18.5	11444
1468.61	18	11494.8
1469.11	17.5	11504
1469.61	17	11475.7
1470.11	16.5	11507.7
1470.61	16	11527.8
1471.11	15.5	11730.2
1471.61	15	11839.9
1472.11	14.5	11876.6
1472.61	14	11936.4
1473.11	13.5	12097.2
1473.61	13	12209.7
1474.11	12.5	12403.7
1474.61	12	12747.2
1475.11	11.5	13113.8
1475.61	11	13520
1476.11	10.5	14273.5
1476.61	10	15517.8
1477.11	9.5	17396.2
1477.61	9	20749.9
1478.11	8.5	26449.3
1478.61	8	35280.1
1479.11	7.5	46382.4
1479.61	7	57525
1480.11	6.5	64914.9
1480.61	6	67372.3
1481.11	5.5	66072.1
1481.61	5	63137.5
1482.11	4.5	62781.9
1482.61	4	68291.3
1483.11	3.5	74825.6
1483.61	3	75230.2
1484.11	2.5	70100.2
1484.61	2	63707.6
1485.11	1.5	49015.5
1485.61	1	24534.8
1486.11	0.5	13481.1
1486.61	-2.27374e-013	10859.6
