C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\CasaXP2.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey
1442.11	44.5	13400
1442.61	44	13361.7
1443.11	43.5	13191.2
1443.61	43	13137.1
1444.11	42.5	13082.8
1444.61	42	13156.6
1445.11	41.5	13102.3
1445.61	41	12837.4
1446.11	40.5	13002.9
1446.61	40	12900.6
1447.11	39.5	13065.9
1447.61	39	13224.5
1448.11	38.5	13378.6
1448.61	38	13056.5
1449.11	37.5	13076
1449.61	37	13195.3
1450.11	36.5	12956.2
1450.61	36	12818.3
1451.11	35.5	12629.3
1451.61	35	12808
1452.11	34.5	12673.8
1452.61	34	12956.1
1453.11	33.5	12938.3
1453.61	33	12909
1454.11	32.5	12596.7
1454.61	32	12794.6
1455.11	31.5	12820.7
1455.61	31	12871.5
1456.11	30.5	12841.3
1456.61	30	12796
1457.11	29.5	12949.5
1457.61	29	12655.8
1458.11	28.5	12516.6
1458.61	28	12385.5
1459.11	27.5	12420.9
1459.61	27	12383
1460.11	26.5	12236.7
1460.61	26	11861.1
1461.11	25.5	11934
1461.61	25	11920.1
1462.11	24.5	11776.1
1462.61	24	11983.8
1463.11	23.5	11924.1
1463.61	23	12109.7
1464.11	22.5	12174.2
1464.61	22	12433.2
1465.11	21.5	12720.2
1465.61	21	12895.2
1466.11	20.5	12529.3
1466.61	20	12646.6
1467.11	19.5	12692.3
1467.61	19	13015.5
1468.11	18.5	13100.6
1468.61	18	13031.9
1469.11	17.5	13251
1469.61	17	13316.4
1470.11	16.5	13337.9
1470.61	16	13197
1471.11	15.5	13395.3
1471.61	15	13676.1
1472.11	14.5	13634.2
1472.61	14	13725.5
1473.11	13.5	14017.3
1473.61	13	14005.1
1474.11	12.5	14225.1
1474.61	12	14654.8
1475.11	11.5	15219
1475.61	11	15730.1
1476.11	10.5	16512.6
1476.61	10	17930.8
1477.11	9.5	20077.4
1477.61	9	23901.4
1478.11	8.5	30654.4
1478.61	8	40607.2
1479.11	7.5	53257.7
1479.61	7	66183.3
1480.11	6.5	75022.6
1480.61	6	78063.3
1481.11	5.5	76003.4
1481.61	5	72679.1
1482.11	4.5	72572.9
1482.61	4	79109
1483.11	3.5	86254.9
1483.61	3	87005
1484.11	2.5	80825.9
1484.61	2	72838.3
1485.11	1.5	56642.2
1485.61	1	28033.3
1486.11	0.5	15426.2
1486.61	-2.27374e-013	12655.5
