c:\users\mark\owncloud\muelheim group\projects\gas phase background\au in n2 300um nozzle\20180228 au gas phase background in n2 - au4f.vms			
Counts per Second			
	Characteristic Energy eV	1486.61	1
KE_Counts per Second	BE_Counts per Second	CPS_Counts per Second	
1306.61	180	1055.65	
1306.71	179.9	1041.84	
1306.81	179.8	1035.81	
1306.91	179.7	1024.24	
1307.01	179.6	1033.36	
1307.11	179.5	1038.59	
1307.21	179.4	1039.87	
1307.31	179.3	1070.09	
1307.41	179.2	1059.31	
1307.51	179.1	1028.24	
1307.61	179	1056.43	
1307.71	178.9	1033.39	
1307.81	178.8	1026.74	
1307.91	178.7	1035.96	
1308.01	178.6	1048.98	
1308.11	178.5	1040.68	
1308.21	178.4	1040.82	
1308.31	178.3	1037.33	
1308.41	178.2	1053.89	
1308.51	178.1	1033.94	
1308.61	178	1053.18	
1308.71	177.9	1059.06	
1308.81	177.8	1060.95	
1308.91	177.7	1049.82	
1309.01	177.6	1047.03	
1309.11	177.5	1061.74	
1309.21	177.4	1069.6	
1309.31	177.3	1041.23	
1309.41	177.2	1033	
1309.51	177.1	1028.08	
1309.61	177	1033.73	
1309.71	176.9	1055.13	
1309.81	176.8	1058.94	
1309.91	176.7	1067.18	
1310.01	176.6	1055.04	
1310.11	176.5	1061.25	
1310.21	176.4	1058.31	
1310.31	176.3	1022.24	
1310.41	176.2	1026.16	
1310.51	176.1	1044.39	
1310.61	176	1041.33	
1310.71	175.9	1038.94	
1310.81	175.8	1050.66	
1310.91	175.7	1072.95	
1311.01	175.6	1058.27	
1311.11	175.5	1045.58	
1311.21	175.4	1083.4	
1311.31	175.3	1042.43	
1311.41	175.2	1048.37	
1311.51	175.1	1057.72	
1311.61	175	1071.21	
1311.71	174.9	1068.32	
1311.81	174.8	1072.79	
1311.91	174.7	1081.51	
1312.01	174.6	1061.94	
1312.11	174.5	1069.5	
1312.21	174.4	1057.92	
1312.31	174.3	1068.49	
1312.41	174.2	1072.67	
1312.51	174.1	1065.02	
1312.61	174	1068.73	
1312.71	173.9	1060.59	
1312.81	173.8	1040.53	
1312.91	173.7	1064.77	
1313.01	173.6	1083.42	
1313.11	173.5	1066.7	
1313.21	173.4	1056	
1313.31	173.3	1057	
1313.41	173.2	1067.97	
1313.51	173.1	1059.95	
1313.61	173	1055.74	
1313.71	172.9	1059.77	
1313.81	172.8	1066.96	
1313.91	172.7	1065.07	
1314.01	172.6	1065.51	
1314.11	172.5	1052.88	
1314.21	172.4	1039.14	
1314.31	172.3	1038.77	
1314.41	172.2	1060.22	
1314.51	172.1	1067.7	
1314.61	172	1052.86	
1314.71	171.9	1034.88	
1314.81	171.8	1033.82	
1314.91	171.7	1070.51	
1315.01	171.6	1068.45	
1315.11	171.5	1068.04	
1315.21	171.4	1076.37	
1315.31	171.3	1077.3	
1315.41	171.2	1054.94	
1315.51	171.1	1051.42	
1315.61	171	1049.4	
1315.71	170.9	1044	
1315.81	170.8	1056.14	
1315.91	170.7	1060.71	
1316.01	170.6	1063.3	
1316.11	170.5	1058.1	
1316.21	170.4	1067.24	
1316.31	170.3	1069.54	
1316.41	170.2	1038.64	
1316.51	170.1	1069.04	
1316.61	170	1055.03	
1316.71	169.9	1067.8	
1316.81	169.8	1077.79	
1316.91	169.7	1051.07	
1317.01	169.6	1079.67	
1317.11	169.5	1062.74	
1317.21	169.4	1050.38	
1317.31	169.3	1044.27	
1317.41	169.2	1071.39	
1317.51	169.1	1062.27	
1317.61	169	1058.04	
1317.71	168.9	1086.2	
1317.81	168.8	1070.71	
1317.91	168.7	1084.6	
1318.01	168.6	1073.73	
1318.11	168.5	1085.58	
1318.21	168.4	1061.36	
1318.31	168.3	1054.67	
1318.41	168.2	1077.97	
1318.51	168.1	1046.97	
1318.61	168	1074.34	
1318.71	167.9	1063.4	
1318.81	167.8	1068.43	
1318.91	167.7	1093.06	
