c:\users\mark\owncloud\muelheim group\projects\gas phase background\au in n2 300um nozzle\20180228 au gas phase background in n2 - au4f.vms				
Counts per Second				
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Counts per Second	BE_Counts per Second	CPS_Counts per Second		
1306.61	180	1749.09		
1306.71	179.9	1701.72		
1306.81	179.8	1742.13		
1306.91	179.7	1777.65		
1307.01	179.6	1751.9		
1307.11	179.5	1724.2		
1307.21	179.4	1705.87		
1307.31	179.3	1742.01		
1307.41	179.2	1756.58		
1307.51	179.1	1739.05		
1307.61	179	1712.63		
1307.71	178.9	1750.29		
1307.81	178.8	1818.04		
1307.91	178.7	1782.95		
1308.01	178.6	1744.74		
1308.11	178.5	1779.63		
1308.21	178.4	1787.32		
1308.31	178.3	1766.84		
1308.41	178.2	1753.53		
1308.51	178.1	1749.7		
1308.61	178	1754.52		
1308.71	177.9	1759.68		
1308.81	177.8	1758.03		
1308.91	177.7	1743.87		
1309.01	177.6	1741.68		
1309.11	177.5	1769.09		
1309.21	177.4	1778.07		
1309.31	177.3	1705.8		
1309.41	177.2	1744.25		
1309.51	177.1	1778.12		
1309.61	177	1780.51		
1309.71	176.9	1768.17		
1309.81	176.8	1751.57		
1309.91	176.7	1738.31		
1310.01	176.6	1733.59		
1310.11	176.5	1804.42		
1310.21	176.4	1775.39		
1310.31	176.3	1827.77		
1310.41	176.2	1761		
1310.51	176.1	1711.88		
1310.61	176	1742.63		
1310.71	175.9	1745.53		
1310.81	175.8	1724.83		
1310.91	175.7	1736.77		
1311.01	175.6	1783.73		
1311.11	175.5	1750.41		
1311.21	175.4	1743.63		
1311.31	175.3	1766.07		
1311.41	175.2	1773.93		
1311.51	175.1	1739.9		
1311.61	175	1786.34		
1311.71	174.9	1770.95		
1311.81	174.8	1817.75		
1311.91	174.7	1816.36		
1312.01	174.6	1784.13		
1312.11	174.5	1786.26		
1312.21	174.4	1729.35		
1312.31	174.3	1784.71		
1312.41	174.2	1765.32		
1312.51	174.1	1761.52		
1312.61	174	1746.56		
1312.71	173.9	1769.51		
1312.81	173.8	1729.19		
1312.91	173.7	1762.03		
1313.01	173.6	1832.29		
1313.11	173.5	1804.16		
1313.21	173.4	1764.89		
1313.31	173.3	1817.74		
1313.41	173.2	1825.99		
1313.51	173.1	1771.37		
1313.61	173	1783.12		
1313.71	172.9	1758.69		
1313.81	172.8	1757.8		
1313.91	172.7	1815.2		
1314.01	172.6	1847.02		
1314.11	172.5	1788.13		
1314.21	172.4	1777.55		
1314.31	172.3	1840.03		
1314.41	172.2	1813.96		
1314.51	172.1	1839.55		
1314.61	172	1761.24		
1314.71	171.9	1756.67		
1314.81	171.8	1795.48		
1314.91	171.7	1796.05		
1315.01	171.6	1794.7		
1315.11	171.5	1809.31		
1315.21	171.4	1783.67		
1315.31	171.3	1747.11		
1315.41	171.2	1774.25		
1315.51	171.1	1807.21		
1315.61	171	1809.45		
1315.71	170.9	1817.15		
1315.81	170.8	1806.62		
1315.91	170.7	1815.26		
1316.01	170.6	1788.04		
1316.11	170.5	1792.42		
1316.21	170.4	1770.02		
1316.31	170.3	1764.5		
1316.41	170.2	1780.61		
1316.51	170.1	1820.97		
1316.61	170	1769.12		
1316.71	169.9	1779.92		
1316.81	169.8	1797.03		
1316.91	169.7	1787.44		
1317.01	169.6	1759.79		
1317.11	169.5	1770.76		
1317.21	169.4	1822.45		
1317.31	169.3	1730.54		
1317.41	169.2	1782.67		
1317.51	169.1	1818.48		
1317.61	169	1798.7		
1317.71	168.9	1793.34		
1317.81	168.8	1810.34		
1317.91	168.7	1784.07		
1318.01	168.6	1793.35		
1318.11	168.5	1801.21		
1318.21	168.4	1794.12		
1318.31	168.3	1757.85		
1318.41	168.2	1766.67		
1318.51	168.1	1816.04		
1318.61	168	1795.65		
1318.71	167.9	1791.94		
1318.81	167.8	1762.1		
1318.91	167.7	1788.25		
1319.01	167.6	1805.49		
1319.11	167.5	1820.36		
1319.21	167.4	1750.34		
1319.31	167.3	1776.12		
1319.41	167.2	1778.27		
1319.51	167.1	1819.93		
1319.61	167	1818.46		
1319.71	166.9	1781.5		
1319.81	166.8	1819.83		
1319.91	166.7	1812.95		
1320.01	166.6	1821.13		
1320.11	166.5	1806.8		
1320.21	166.4	1769.82		
1320.31	166.3	1851.67		
1320.41	166.2	1831.55		
1320.51	166.1	1807.18		
1320.61	166	1823.34		
1320.71	165.9	1815.85		
1320.81	165.8	1794.3		
1320.91	165.7	1826.97		
1321.01	165.6	1778.8		
1321.11	165.5	1838.26		
1321.21	165.4	1863.48		
1321.31	165.3	1856.15		
1321.41	165.2	1831.67		
1321.51	165.1	1832.45		
1321.61	165	1854.85		
1321.71	164.9	1802.96		
1321.81	164.8	1815.74		
1321.91	164.7	1849.74		
1322.01	164.6	1811.26		
1322.11	164.5	1876.78		
1322.21	164.4	1886.02		
1322.31	164.3	1842.32		
1322.41	164.2	1787.53		
1322.51	164.1	1801.32		
1322.61	164	1796.55		
1322.71	163.9	1795.18		
1322.81	163.8	1860.9		
1322.91	163.7	1848.94		
1323.01	163.6	1837.1		
1323.11	163.5	1834.11		
1323.21	163.4	1806.11		
1323.31	163.3	1835.16		
1323.41	163.2	1809.13		
1323.51	163.1	1836.68		
1323.61	163	1862.5		
1323.71	162.9	1821.21		
1323.81	162.8	1828.66		
1323.91	162.7	1830.17		
1324.01	162.6	1854.3		
1324.11	162.5	1825.12		
1324.21	162.4	1872.66		
1324.31	162.3	1840.23		
1324.41	162.2	1881.7		
1324.51	162.1	1842.42		
1324.61	162	1855.28		
1324.71	161.9	1819.58		
1324.81	161.8	1862.84		
