c:\users\mark\owncloud\muelheim group\projects\gas phase background\co in o2 300um nozzle\co3o4_ino2_ivac.vms				
Co2p				
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Co2p	BE_Co2p	CPS_Co2p		
631.61	855	1091.17		
631.91	854.7	1083.99		
632.21	854.4	1098.78		
632.51	854.1	1104.14		
632.81	853.8	1130.46		
633.11	853.5	1125.67		
633.41	853.2	1091.05		
633.71	852.9	1086.03		
634.01	852.6	1142.42		
634.31	852.3	1136.38		
634.61	852	1095.55		
634.91	851.7	1098.29		
635.21	851.4	1121.68		
635.51	851.1	1125.19		
635.81	850.8	1094.9		
636.11	850.5	1126.09		
636.41	850.2	1121.61		
636.71	849.9	1111.06		
637.01	849.6	1129.38		
637.31	849.3	1151.15		
637.61	849	1107.5		
637.91	848.7	1129.26		
638.21	848.4	1101.74		
638.51	848.1	1137.85		
638.81	847.8	1163.95		
639.11	847.5	1157.67		
639.41	847.2	1156.16		
639.71	846.9	1111.23		
640.01	846.6	1103.88		
640.31	846.3	1132.74		
640.61	846	1139.59		
640.91	845.7	1145.95		
641.21	845.4	1113.6		
641.51	845.1	1142.84		
641.81	844.8	1126.49		
642.11	844.5	1116.98		
642.41	844.2	1146.01		
642.71	843.9	1152.81		
643.01	843.6	1166.84		
643.31	843.3	1153.52		
643.61	843	1154.12		
643.91	842.7	1133.55		
644.21	842.4	1139.19		
644.51	842.1	1152.41		
644.81	841.8	1175.8		
645.11	841.5	1171.35		
645.41	841.2	1172.62		
645.71	840.9	1158.53		
646.01	840.6	1155		
646.31	840.3	1152.88		
646.61	840	1155.86		
646.91	839.7	1202.25		
647.21	839.4	1191.73		
647.51	839.1	1186.94		
647.81	838.8	1181.18		
648.11	838.5	1195.44		
648.41	838.2	1185.68		
648.71	837.9	1180.71		
649.01	837.6	1153.86		
649.31	837.3	1171.87		
649.61	837	1184.74		
649.91	836.7	1179.7		
650.21	836.4	1146.38		
650.51	836.1	1145.62		
650.81	835.8	1143.73		
651.11	835.5	1125.61		
651.41	835.2	1185.74		
651.71	834.9	1153.3		
652.01	834.6	1144.38		
652.31	834.3	1142.7		
652.61	834	1148.01		
652.91	833.7	1163.4		
653.21	833.4	1136.52		
653.51	833.1	1168.07		
653.81	832.8	1164.47		
654.11	832.5	1155.07		
654.41	832.2	1178.3		
654.71	831.9	1141.17		
655.01	831.6	1150.88		
655.31	831.3	1165.25		
655.61	831	1152		
655.91	830.7	1122.74		
656.21	830.4	1116.65		
656.51	830.1	1140.89		
656.81	829.8	1127.01		
657.11	829.5	1091.41		
657.41	829.2	1119.44		
657.71	828.9	1092.36		
658.01	828.6	1079.27		
658.31	828.3	1064.39		
658.61	828	1089.33		
658.91	827.7	1079.5		
659.21	827.4	1057.3		
659.51	827.1	1042.56		
659.81	826.8	1066.47		
660.11	826.5	1051.46		
660.41	826.2	1047.91		
660.71	825.9	1078.65		
661.01	825.6	1052.56		
661.31	825.3	1046.04		
661.61	825	1028.99		
661.91	824.7	1069.36		
662.21	824.4	1065.99		
662.51	824.1	1051.1		
662.81	823.8	1041.2		
663.11	823.5	1029.61		
663.41	823.2	1037.02		
663.71	822.9	1028.9		
664.01	822.6	1058.89		
664.31	822.3	1064.91		
664.61	822	1072.48		
664.91	821.7	1055.09		
665.21	821.4	1052.49		
665.51	821.1	1033.4		
665.81	820.8	1031.03		
666.11	820.5	1016.98		
666.41	820.2	1022.23		
666.71	819.9	1045.92		
667.01	819.6	1056.63		
667.31	819.3	1008.88		
667.61	819	1023.62		
667.91	818.7	1024.12		
668.21	818.4	1049.18		
668.51	818.1	999.526		
668.81	817.8	1014.35		
669.11	817.5	1034.63		
669.41	817.2	1030.66		
669.71	816.9	1012.29		
670.01	816.6	1044.06		
670.31	816.3	993.087		
670.61	816	1019.2		
670.91	815.7	1015.23		
671.21	815.4	1012.02		
671.51	815.1	986.244		
671.81	814.8	999.721		
672.11	814.5	999.196		
672.41	814.2	1009.73		
672.71	813.9	977.758		
673.01	813.6	995.932		
673.31	813.3	1006.6		
673.61	813	986.16		
673.61	813	986.16		
673.71	812.9	1001.85		
673.81	812.8	1014.28		
673.91	812.7	968.165		
673.91	812.7	968.165		
674.01	812.6	939.734		
674.11	812.5	980.616		
674.21	812.4	990.536		
