c:\users\mark\owncloud\muelheim group\projects\gas phase background\co in o2 300um nozzle\co3o4_ino2_ivac.vms				
Co2p				
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Co2p	BE_Co2p	CPS_Co2p		
631.61	855	1582.37		
631.91	854.7	1556		
632.21	854.4	1598.85		
632.51	854.1	1647.93		
632.81	853.8	1607.25		
633.11	853.5	1601.37		
633.41	853.2	1636.69		
633.71	852.9	1536.45		
634.01	852.6	1608.21		
634.31	852.3	1665.88		
634.61	852	1544.07		
634.91	851.7	1625.63		
635.21	851.4	1640.44		
635.51	851.1	1588.96		
635.81	850.8	1610.11		
636.11	850.5	1644.47		
636.41	850.2	1558.05		
636.71	849.9	1607.62		
637.01	849.6	1652.88		
637.31	849.3	1655.54		
637.61	849	1649.2		
637.91	848.7	1607.7		
638.21	848.4	1662.02		
638.51	848.1	1688.45		
638.81	847.8	1663.02		
639.11	847.5	1722.73		
639.41	847.2	1666.86		
639.71	846.9	1537.18		
640.01	846.6	1711.15		
640.31	846.3	1768.67		
640.61	846	1672.04		
640.91	845.7	1681.15		
641.21	845.4	1713.81		
641.51	845.1	1739.74		
641.81	844.8	1666.21		
642.11	844.5	1759.02		
642.41	844.2	1792.53		
642.71	843.9	1753.91		
643.01	843.6	1694.93		
643.31	843.3	1718.03		
643.61	843	1722.04		
643.91	842.7	1727.12		
644.21	842.4	1809.87		
644.51	842.1	1675.86		
644.81	841.8	1786.63		
645.11	841.5	1741.69		
645.41	841.2	1826.4		
645.71	840.9	1727.89		
646.01	840.6	1782.16		
646.31	840.3	1812.49		
646.61	840	1751		
646.91	839.7	1862.18		
647.21	839.4	1889.47		
647.51	839.1	1777.91		
647.81	838.8	1782.5		
648.11	838.5	1766.72		
648.41	838.2	1829.62		
648.71	837.9	1756.13		
649.01	837.6	1830.34		
649.31	837.3	1791.67		
649.61	837	1765.63		
649.91	836.7	1783		
650.21	836.4	1743.21		
650.51	836.1	1742.74		
650.81	835.8	1698.07		
651.11	835.5	1764.49		
651.41	835.2	1781.73		
651.71	834.9	1756.94		
652.01	834.6	1717.42		
652.31	834.3	1780.23		
652.61	834	1774.09		
652.91	833.7	1776.65		
653.21	833.4	1712.01		
653.51	833.1	1670.69		
653.81	832.8	1691.13		
654.11	832.5	1807.05		
654.41	832.2	1884.02		
654.71	831.9	1760.83		
655.01	831.6	1695.88		
655.31	831.3	1803.84		
655.61	831	1807.97		
655.91	830.7	1780.31		
656.21	830.4	1662.83		
656.51	830.1	1749.83		
656.81	829.8	1737.38		
657.11	829.5	1654.09		
657.41	829.2	1694.32		
657.71	828.9	1567.96		
658.01	828.6	1554.35		
658.31	828.3	1575.56		
658.61	828	1608.83		
658.91	827.7	1643.26		
659.21	827.4	1626.16		
659.51	827.1	1482.51		
659.81	826.8	1465.09		
660.11	826.5	1516.29		
660.41	826.2	1572.81		
660.71	825.9	1575.62		
661.01	825.6	1491.53		
661.31	825.3	1523.47		
661.61	825	1525.33		
661.91	824.7	1583.7		
662.21	824.4	1553.98		
662.51	824.1	1475.74		
662.81	823.8	1567.43		
663.11	823.5	1566.37		
663.41	823.2	1523.08		
663.71	822.9	1554.77		
664.01	822.6	1507.2		
664.31	822.3	1506.09		
664.61	822	1547.91		
664.91	821.7	1504.57		
