C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.3
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p	Background_Pr:Cu2p
456.61	1030	142279	142279
456.71	1029.9	142556	142556
456.81	1029.8	143262	143262
456.91	1029.7	143408	143408
457.01	1029.6	143282	143282
457.11	1029.5	143235	143235
457.21	1029.4	143405	143405
457.31	1029.3	143084	143084
457.41	1029.2	142979	142979
457.51	1029.1	143693	143693
457.61	1029	143079	143079
457.71	1028.9	142498	142498
457.81	1028.8	142446	142446
457.91	1028.7	143136	143136
458.01	1028.6	143423	143423
458.11	1028.5	142774	142774
458.21	1028.4	142646	142646
458.31	1028.3	143153	143153
458.41	1028.2	143612	143612
458.51	1028.1	143720	143720
458.61	1028	143817	143817
458.71	1027.9	143691	143691
458.81	1027.8	142969	142969
458.91	1027.7	143342	143342
459.01	1027.6	143749	143749
459.11	1027.5	143690	143690
459.21	1027.4	143314	143314
459.31	1027.3	143386	143386
459.41	1027.2	143495	143495
459.51	1027.1	143726	143726
459.61	1027	143156	143156
459.71	1026.9	143742	143742
459.81	1026.8	144276	144276
459.91	1026.7	144521	144521
460.01	1026.6	145474	145474
460.11	1026.5	144175	144175
460.21	1026.4	143975	143975
460.31	1026.3	144471	144471
460.41	1026.2	143651	143651
460.51	1026.1	143467	143467
460.61	1026	143860	143860
460.71	1025.9	143842	143842
460.81	1025.8	144047	144047
460.91	1025.7	144438	144438
461.01	1025.6	144434	144434
461.11	1025.5	144296	144296
461.21	1025.4	144269	144269
461.31	1025.3	145131	145131
461.41	1025.2	144908	144908
461.51	1025.1	144757	144757
461.61	1025	144441	144441
461.71	1024.9	144511	144511
461.81	1024.8	144655	144655
461.91	1024.7	144782	144782
462.01	1024.6	145124	145124
462.11	1024.5	145154	145154
462.21	1024.4	145195	145195
462.31	1024.3	145545	145545
462.41	1024.2	145116	145116
462.51	1024.1	145412	145412
462.61	1024	145298	145298
462.71	1023.9	145180	145180
462.81	1023.8	145611	145611
462.91	1023.7	145709	145709
463.01	1023.6	145505	145505
463.11	1023.5	145388	145388
463.21	1023.4	145581	145581
463.31	1023.3	145269	145269
463.41	1023.2	145291	145291
463.51	1023.1	145290	145290
463.61	1023	145402	145402
463.71	1022.9	145560	145560
463.81	1022.8	145615	145615
463.91	1022.7	145699	145699
464.01	1022.6	146051	146051
464.11	1022.5	146208	146208
464.21	1022.4	146052	146052
464.31	1022.3	145880	145880
464.41	1022.2	145403	145403
464.51	1022.1	145617	145617
464.61	1022	145957	145957
464.71	1021.9	146638	146638
464.81	1021.8	146772	146772
464.91	1021.7	146212	146212
465.01	1021.6	146117	146117
465.11	1021.5	145792	145792
465.21	1021.4	146484	146484
