C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p
456.61	1030	2432.34
456.71	1029.9	2417.95
456.81	1029.8	2406.3
456.91	1029.7	2444.06
457.01	1029.6	2463.51
457.11	1029.5	2465.5
457.21	1029.4	2463.9
457.31	1029.3	2486.27
457.41	1029.2	2439.82
457.51	1029.1	2475.73
457.61	1029	2490.8
457.71	1028.9	2457.99
457.81	1028.8	2460.8
457.91	1028.7	2414.8
458.01	1028.6	2414.38
458.11	1028.5	2432.14
458.21	1028.4	2443.92
458.31	1028.3	2474.86
458.41	1028.2	2515.89
458.51	1028.1	2486.09
458.61	1028	2461.03
458.71	1027.9	2474.92
458.81	1027.8	2504.84
458.91	1027.7	2472.6
459.01	1027.6	2457.72
459.11	1027.5	2487.9
459.21	1027.4	2514.6
459.31	1027.3	2481.45
459.41	1027.2	2488.51
459.51	1027.1	2503.19
459.61	1027	2486.3
459.71	1026.9	2497.71
459.81	1026.8	2489.64
459.91	1026.7	2477.74
460.01	1026.6	2470.43
460.11	1026.5	2460.96
460.21	1026.4	2442.9
460.31	1026.3	2445.66
460.41	1026.2	2460.65
460.51	1026.1	2445.15
460.61	1026	2461.69
460.71	1025.9	2479.97
460.81	1025.8	2490.48
460.91	1025.7	2487.9
461.01	1025.6	2465.5
461.11	1025.5	2490.41
461.21	1025.4	2475.83
461.31	1025.3	2491.48
461.41	1025.2	2512.95
461.51	1025.1	2509.48
461.61	1025	2511.22
461.71	1024.9	2547.7
461.81	1024.8	2552.36
461.91	1024.7	2530.6
462.01	1024.6	2502.46
462.11	1024.5	2502.48
462.21	1024.4	2511.13
462.31	1024.3	2526.73
462.41	1024.2	2520.5
462.51	1024.1	2515.13
462.61	1024	2509.12
462.71	1023.9	2503.22
462.81	1023.8	2532.23
462.91	1023.7	2515.81
463.01	1023.6	2522.08
463.11	1023.5	2528.45
463.21	1023.4	2542.2
463.31	1023.3	2514.38
463.41	1023.2	2527.1
463.51	1023.1	2516.85
463.61	1023	2506.96
463.71	1022.9	2467.16
463.81	1022.8	2509.84
463.91	1022.7	2503.16
464.01	1022.6	2499.54
464.11	1022.5	2507.83
464.21	1022.4	2506.22
464.31	1022.3	2511.93
464.41	1022.2	2524.31
464.51	1022.1	2512.47
464.61	1022	2508.26
464.71	1021.9	2502.77
464.81	1021.8	2499.27
464.91	1021.7	2509.37
465.01	1021.6	2541.17
465.11	1021.5	2531.49
465.21	1021.4	2508.62
465.31	1021.3	2511.39
465.41	1021.2	2526.54
465.51	1021.1	2515.15
465.61	1021	2540.72
465.71	1020.9	2516.4
465.81	1020.8	2551.99
465.91	1020.7	2499.79
466.01	1020.6	2537.53
466.11	1020.5	2536.28
466.21	1020.4	2522.97
466.31	1020.3	2547.93
466.41	1020.2	2538.63
466.51	1020.1	2520.88
466.61	1020	2539.59
466.71	1019.9	2545.34
466.81	1019.8	2536.45
466.91	1019.7	2555.79
467.01	1019.6	2557.05
467.11	1019.5	2580.07
467.21	1019.4	2567.59
467.31	1019.3	2582.82
467.41	1019.2	2591.93
467.51	1019.1	2579.76
467.61	1019	2566.05
467.71	1018.9	2562.09
467.81	1018.8	2551.82
467.91	1018.7	2572.58
468.01	1018.6	2599.85
468.11	1018.5	2566.67
468.21	1018.4	2544.42
468.31	1018.3	2585.42
468.41	1018.2	2571.54
468.51	1018.1	2571.12
468.61	1018	2568.1
468.71	1017.9	2566.17
468.81	1017.8	2554.39
468.91	1017.7	2538.03
469.01	1017.6	2592.51
469.11	1017.5	2574.77
469.21	1017.4	2592.93
469.31	1017.3	2546.86
469.41	1017.2	2580.54
469.51	1017.1	2551.39
469.61	1017	2588.02
469.71	1016.9	2576.66
469.81	1016.8	2581.87
469.91	1016.7	2581.29
470.01	1016.6	2556.49
470.11	1016.5	2565.93
470.21	1016.4	2575.76
470.31	1016.3	2584.04
470.41	1016.2	2584.23
470.51	1016.1	2629.97
470.61	1016	2591.77
470.71	1015.9	2559.12
470.81	1015.8	2618.2
470.91	1015.7	2603.59
471.01	1015.6	2593.82
471.11	1015.5	2592.79
471.21	1015.4	2615.71
471.31	1015.3	2569.19
471.41	1015.2	2602.5
471.51	1015.1	2579.24
471.61	1015	2586.78
471.71	1014.9	2619.65
471.81	1014.8	2629.57
471.91	1014.7	2607.69
472.01	1014.6	2572.58
472.11	1014.5	2598.06
472.21	1014.4	2586.54
472.31	1014.3	2593.7
472.41	1014.2	2594.33
472.51	1014.1	2616.43
472.61	1014	2607.4
472.71	1013.9	2572.75
472.81	1013.8	2585.42
472.91	1013.7	2570.66
473.01	1013.6	2601.64
473.11	1013.5	2601.99
473.21	1013.4	2607.83
473.31	1013.3	2626.96
473.41	1013.2	2635.11
473.51	1013.1	2643.07
473.61	1013	2629.54
473.71	1012.9	2610.44
473.81	1012.8	2642.09
473.91	1012.7	2598.59
474.01	1012.6	2624.86
474.11	1012.5	2626.38
474.21	1012.4	2643.52
474.31	1012.3	2620.64
474.41	1012.2	2653.23
474.51	1012.1	2656.67
474.61	1012	2655.35
474.71	1011.9	2637.65
474.81	1011.8	2604.79
474.91	1011.7	2622.92
475.01	1011.6	2626.36
475.11	1011.5	2640.91
475.21	1011.4	2647.96
475.31	1011.3	2641.92
475.41	1011.2	2656.51
475.51	1011.1	2626.14
475.61	1011	2617.99
475.71	1010.9	2661.48
475.81	1010.8	2625.79
475.91	1010.7	2651.1
476.01	1010.6	2610.06
476.11	1010.5	2636.31
476.21	1010.4	2636.42
476.31	1010.3	2653.59
476.41	1010.2	2602.52
476.51	1010.1	2611.45
476.61	1010	2623.97
476.71	1009.9	2608.47
476.81	1009.8	2628.23
476.91	1009.7	2652.82
477.01	1009.6	2621.55
477.11	1009.5	2639.15
477.21	1009.4	2669.14
477.31	1009.3	2655.98
477.41	1009.2	2659.5
477.51	1009.1	2643.16
477.61	1009	2626.2
477.71	1008.9	2650.3
477.81	1008.8	2651.11
477.91	1008.7	2650.18
478.01	1008.6	2651.11
478.11	1008.5	2640.79
478.21	1008.4	2613.79
478.31	1008.3	2644.44
478.41	1008.2	2615.76
478.51	1008.1	2649.88
478.61	1008	2658.54
478.71	1007.9	2660.97
478.81	1007.8	2629.49
478.91	1007.7	2637.43
479.01	1007.6	2621.91
479.11	1007.5	2640.89
479.21	1007.4	2639.73
479.31	1007.3	2644.61
479.41	1007.2	2674.43
479.51	1007.1	2686.09
479.61	1007	2665.19
479.71	1006.9	2679.03
479.81	1006.8	2689.25
479.91	1006.7	2668.42
480.01	1006.6	2639.9
480.11	1006.5	2688.16
480.21	1006.4	2680.57
480.31	1006.3	2658.89
480.41	1006.2	2665.99
480.51	1006.1	2681.2
480.61	1006	2683.57
480.71	1005.9	2698.99
480.81	1005.8	2696.21
480.91	1005.7	2655.14
481.01	1005.6	2685.43
481.11	1005.5	2687.18
481.21	1005.4	2663.94
481.31	1005.3	2660.13
481.41	1005.2	2679.24
481.51	1005.1	2665.23
481.61	1005	2683.64
481.71	1004.9	2685.51
481.81	1004.8	2682.64
481.91	1004.7	2712.45
482.01	1004.6	2703.71
482.11	1004.5	2647.89
482.21	1004.4	2679.47
482.31	1004.3	2682.72
482.41	1004.2	2664.75
482.51	1004.1	2697
482.61	1004	2649.76
482.71	1003.9	2669.96
482.81	1003.8	2683.64
482.91	1003.7	2677.82
483.01	1003.6	2679.09
483.11	1003.5	2679.81
483.21	1003.4	2685.53
483.31	1003.3	2700.3
483.41	1003.2	2653.51
483.51	1003.1	2662.4
483.61	1003	2683.74
483.71	1002.9	2693.23
483.81	1002.8	2701.33
483.91	1002.7	2669.2
484.01	1002.6	2642.94
484.11	1002.5	2641.33
484.21	1002.4	2701.48
484.31	1002.3	2672.31
484.41	1002.2	2653.21
484.51	1002.1	2648.14
484.61	1002	2679.01
484.71	1001.9	2660.12
484.81	1001.8	2681.83
484.91	1001.7	2669.75
485.01	1001.6	2713.45
485.11	1001.5	2693.08
485.21	1001.4	2686.26
485.31	1001.3	2687.05
485.41	1001.2	2712.14
485.51	1001.1	2693.58
485.61	1001	2698.58
485.71	1000.9	2723
485.81	1000.8	2699.68
485.91	1000.7	2664.22
486.01	1000.6	2683.89
486.11	1000.5	2681.7
486.21	1000.4	2711.25
486.31	1000.3	2717.25
486.41	1000.2	2707.02
486.51	1000.1	2704.29
486.61	1000	2700.65
486.71	999.9	2651.34
486.81	999.8	2674.92
486.91	999.7	2694.06
487.01	999.6	2703.11
487.11	999.5	2701.72
487.21	999.4	2699.9
487.31	999.3	2711.48
487.41	999.2	2719
487.51	999.1	2710.02
487.61	999	2722.03
487.71	998.9	2738.06
487.81	998.8	2723.15
487.91	998.7	2714.75
488.01	998.6	2692.89
488.11	998.5	2720.39
488.21	998.4	2717.93
488.31	998.3	2731.6
488.41	998.2	2754.99
488.51	998.1	2682.13
488.61	998	2723.14
488.71	997.9	2731.38
488.81	997.8	2692.09
488.91	997.7	2731.46
489.01	997.6	2732.32
489.11	997.5	2742.1
489.21	997.4	2694.35
489.31	997.3	2716.54
489.41	997.2	2731.76
489.51	997.1	2683.53
489.61	997	2693.48
489.71	996.9	2696.7
489.81	996.8	2725.34
489.91	996.7	2703.29
490.01	996.6	2684.62
490.11	996.5	2712.74
490.21	996.4	2695.82
490.31	996.3	2729.21
490.41	996.2	2721.17
490.51	996.1	2709.73
490.61	996	2728.33
490.71	995.9	2715.15
490.81	995.8	2724.49
490.91	995.7	2732.48
491.01	995.6	2721.64
491.11	995.5	2729.59
491.21	995.4	2696.53
491.31	995.3	2745.88
491.41	995.2	2753.52
491.51	995.1	2720.79
491.61	995	2744.28
491.71	994.9	2715.55
491.81	994.8	2733.02
491.91	994.7	2703.85
492.01	994.6	2712.52
492.11	994.5	2737.32
492.21	994.4	2768.51
492.31	994.3	2738.47
492.41	994.2	2751.08
492.51	994.1	2728.22
492.61	994	2708.58
492.71	993.9	2742.36
492.81	993.8	2732.64
492.91	993.7	2739.99
493.01	993.6	2749.2
493.11	993.5	2736.13
493.21	993.4	2725.29
493.31	993.3	2733.32
493.41	993.2	2744.82
493.51	993.1	2744.08
493.61	993	2755.51
493.71	992.9	2741.76
493.81	992.8	2743.37
493.91	992.7	2745.88
494.01	992.6	2758.85
494.11	992.5	2710.86
494.21	992.4	2742.66
494.31	992.3	2731.76
494.41	992.2	2741.04
494.51	992.1	2754.17
494.61	992	2741.84
494.71	991.9	2760.7
494.81	991.8	2759.14
494.91	991.7	2721.89
495.01	991.6	2737.91
495.11	991.5	2743.1
495.21	991.4	2749.99
495.31	991.3	2736.58
495.41	991.2	2759.65
495.51	991.1	2773.03
495.61	991	2756.81
495.71	990.9	2755.81
495.81	990.8	2763.92
495.91	990.7	2728.63
496.01	990.6	2779.25
496.11	990.5	2804.28
496.21	990.4	2810.87
496.31	990.3	2833.7
496.41	990.2	2807.77
496.51	990.1	2817.48
496.61	990	2821.54
496.71	989.9	2840.7
496.81	989.8	2796.79
496.91	989.7	2788.39
497.01	989.6	2816.71
497.11	989.5	2812.92
497.21	989.4	2773.55
497.31	989.3	2780.17
497.41	989.2	2782.88
497.51	989.1	2757.95
497.61	989	2775.4
497.71	988.9	2725.12
497.81	988.8	2748.8
497.91	988.7	2743.09
498.01	988.6	2740.38
498.11	988.5	2751.48
498.21	988.4	2752.66
498.31	988.3	2771.29
498.41	988.2	2734.55
498.51	988.1	2733.74
498.61	988	2758.56
498.71	987.9	2751.88
498.81	987.8	2717.2
498.91	987.7	2729.55
499.01	987.6	2773.46
499.11	987.5	2783.58
499.21	987.4	2783.49
499.31	987.3	2778.11
499.41	987.2	2777.42
499.51	987.1	2800.78
499.61	987	2810.77
499.71	986.9	2834.1
499.81	986.8	2750.69
499.91	986.7	2772.54
500.01	986.6	2767.75
500.11	986.5	2771.74
500.21	986.4	2775.65
500.31	986.3	2751.02
500.41	986.2	2768.99
500.51	986.1	2828.59
500.61	986	2820.09
500.71	985.9	2775.05
500.81	985.8	2761.73
500.91	985.7	2775.58
501.01	985.6	2760.03
501.11	985.5	2780.64
501.21	985.4	2804.43
501.31	985.3	2791.69
501.41	985.2	2769.22
501.51	985.1	2742.28
501.61	985	2761.48
501.71	984.9	2784.82
501.81	984.8	2782.44
501.91	984.7	2735.63
502.01	984.6	2688.5
502.11	984.5	2744.44
502.21	984.4	2720.62
502.31	984.3	2732.53
