C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p	Background_Pr:Cu2p
456.61	1030	2064.1	2064.1
456.71	1029.9	2049.17	2049.17
456.81	1029.8	2045.77	2045.77
456.91	1029.7	2009.19	2009.19
457.01	1029.6	2025.51	2025.51
457.11	1029.5	2006.53	2006.53
457.21	1029.4	1996.58	1996.58
457.31	1029.3	2062.85	2062.85
457.41	1029.2	2051.74	2051.74
457.51	1029.1	2049.05	2049.05
457.61	1029	2024.62	2024.62
457.71	1028.9	2066.68	2066.68
457.81	1028.8	2071.08	2071.08
457.91	1028.7	2012.3	2012.3
458.01	1028.6	2052.17	2052.17
458.11	1028.5	2057.49	2057.49
458.21	1028.4	2074.41	2074.41
458.31	1028.3	2062.73	2062.73
458.41	1028.2	2033.74	2033.74
458.51	1028.1	2109.1	2109.1
458.61	1028	2051.33	2051.33
458.71	1027.9	2053.25	2053.25
458.81	1027.8	2044.29	2044.29
458.91	1027.7	2033.48	2033.48
459.01	1027.6	2031.97	2031.97
459.11	1027.5	2062.74	2062.74
459.21	1027.4	2076.45	2076.45
459.31	1027.3	2066.97	2066.97
459.41	1027.2	2051.9	2051.9
459.51	1027.1	2062.14	2062.14
459.61	1027	2043.77	2043.77
459.71	1026.9	2031.62	2031.62
459.81	1026.8	2020.98	2020.98
459.91	1026.7	2055.12	2055.12
460.01	1026.6	2056.57	2056.57
460.11	1026.5	2101.52	2101.52
460.21	1026.4	2041.49	2041.49
460.31	1026.3	2042.84	2042.84
460.41	1026.2	2063.77	2063.77
460.51	1026.1	2055.46	2055.46
460.61	1026	2035.13	2035.13
460.71	1025.9	2064.06	2064.06
460.81	1025.8	2099.23	2099.23
460.91	1025.7	2088.5	2088.5
461.01	1025.6	2093.01	2093.01
461.11	1025.5	2063.42	2063.42
461.21	1025.4	2046.56	2046.56
461.31	1025.3	2121.5	2121.5
461.41	1025.2	2091.52	2091.52
461.51	1025.1	2146.9	2146.9
461.61	1025	2114.55	2114.55
461.71	1024.9	2085.95	2085.95
461.81	1024.8	2059.43	2059.43
461.91	1024.7	2085.9	2085.9
462.01	1024.6	2068.72	2068.72
462.11	1024.5	2025.84	2025.84
462.21	1024.4	2043.33	2043.33
462.31	1024.3	2082.44	2082.44
462.41	1024.2	2100.81	2100.81
462.51	1024.1	2078.57	2078.57
462.61	1024	2068.13	2068.13
462.71	1023.9	2002.48	2002.48
462.81	1023.8	2080.11	2080.11
462.91	1023.7	2082.06	2082.06
463.01	1023.6	2047.25	2047.25
463.11	1023.5	2025.78	2025.78
463.21	1023.4	2106.09	2106.09
463.31	1023.3	2109.15	2109.15
463.41	1023.2	2058.28	2058.28
463.51	1023.1	2094.15	2094.15
463.61	1023	2082.93	2082.93
463.71	1022.9	2106.57	2106.57
463.81	1022.8	2096.61	2096.61
463.91	1022.7	2147.59	2147.59
464.01	1022.6	2116.96	2116.96
464.11	1022.5	2096.46	2096.46
464.21	1022.4	2097.57	2097.57
464.31	1022.3	2080.38	2080.38
464.41	1022.2	2073.8	2073.8
464.51	1022.1	2127.87	2127.87
464.61	1022	2134.55	2134.55
464.71	1021.9	2097.87	2097.87
464.81	1021.8	2039.62	2039.62
464.91	1021.7	2073.89	2073.89
465.01	1021.6	2098.61	2098.61
465.11	1021.5	2106.23	2106.23
465.21	1021.4	2078.91	2078.91
465.31	1021.3	2106.98	2106.98
465.41	1021.2	2169.21	2169.21
465.51	1021.1	2138.88	2138.88
465.61	1021	2111.39	2111.39
