C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.3
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p	Background_Pr:Cu2p
456.61	1030	163295	163295
456.71	1029.9	163858	163858
456.81	1029.8	164576	164576
456.91	1029.7	163402	163402
457.01	1029.6	163659	163659
457.11	1029.5	164133	164133
457.21	1029.4	164199	164199
457.31	1029.3	163642	163642
457.41	1029.2	164702	164702
457.51	1029.1	164802	164802
457.61	1029	164135	164135
457.71	1028.9	164023	164023
457.81	1028.8	163922	163922
457.91	1028.7	164430	164430
458.01	1028.6	165269	165269
458.11	1028.5	164759	164759
458.21	1028.4	164709	164709
458.31	1028.3	163888	163888
458.41	1028.2	164670	164670
458.51	1028.1	165047	165047
458.61	1028	165128	165128
458.71	1027.9	164993	164993
458.81	1027.8	164705	164705
458.91	1027.7	164258	164258
459.01	1027.6	164598	164598
459.11	1027.5	164332	164332
459.21	1027.4	164122	164122
459.31	1027.3	164062	164062
459.41	1027.2	164206	164206
459.51	1027.1	164893	164893
459.61	1027	164555	164555
459.71	1026.9	164942	164942
459.81	1026.8	165176	165176
459.91	1026.7	165974	165974
460.01	1026.6	165915	165915
460.11	1026.5	165093	165093
460.21	1026.4	165901	165901
460.31	1026.3	166602	166602
460.41	1026.2	165597	165597
460.51	1026.1	164847	164847
460.61	1026	164648	164648
460.71	1025.9	164806	164806
460.81	1025.8	165797	165797
460.91	1025.7	165702	165702
461.01	1025.6	165290	165290
461.11	1025.5	165631	165631
461.21	1025.4	165457	165457
461.31	1025.3	166064	166064
461.41	1025.2	165608	165608
461.51	1025.1	166172	166172
461.61	1025	165590	165590
461.71	1024.9	165757	165757
461.81	1024.8	166150	166150
461.91	1024.7	164823	164823
462.01	1024.6	165744	165744
462.11	1024.5	165409	165409
462.21	1024.4	166358	166358
462.31	1024.3	166546	166546
462.41	1024.2	166018	166018
462.51	1024.1	166270	166270
462.61	1024	166404	166404
462.71	1023.9	166675	166675
462.81	1023.8	166998	166998
462.91	1023.7	167074	167074
463.01	1023.6	167320	167320
463.11	1023.5	166281	166281
463.21	1023.4	167160	167160
463.31	1023.3	167033	167033
463.41	1023.2	166726	166726
463.51	1023.1	167146	167146
463.61	1023	166852	166852
463.71	1022.9	166336	166336
463.81	1022.8	167031	167031
463.91	1022.7	167024	167024
464.01	1022.6	167172	167172
464.11	1022.5	167266	167266
464.21	1022.4	167332	167332
464.31	1022.3	167630	167630
464.41	1022.2	166646	166646
464.51	1022.1	166965	166965
464.61	1022	167291	167291
464.71	1021.9	166920	166920
464.81	1021.8	167370	167370
464.91	1021.7	167545	167545
465.01	1021.6	167129	167129
465.11	1021.5	166546	166546
465.21	1021.4	167657	167657
465.31	1021.3	167278	167278
465.41	1021.2	168342	168342
465.51	1021.1	167051	167051
465.61	1021	167208	167208
465.71	1020.9	167505	167505
465.81	1020.8	168219	168219
465.91	1020.7	167804	167804
466.01	1020.6	168229	168229
466.11	1020.5	167333	167333
466.21	1020.4	167958	167958
466.31	1020.3	168129	168129
466.41	1020.2	167537	167537
466.51	1020.1	168436	168436
466.61	1020	167810	167810
466.71	1019.9	168459	168459
466.81	1019.8	168473	168473
466.91	1019.7	167937	167937
467.01	1019.6	168401	168401
467.11	1019.5	168802	168802
467.21	1019.4	168597	168597
467.31	1019.3	169034	169034
467.41	1019.2	169219	169219
467.51	1019.1	169052	169052
467.61	1019	169281	169281
467.71	1018.9	168486	168486
467.81	1018.8	168308	168308
467.91	1018.7	169398	169398
468.01	1018.6	169211	169211
468.11	1018.5	168798	168798
468.21	1018.4	168475	168475
468.31	1018.3	168897	168897
468.41	1018.2	168429	168429
468.51	1018.1	169238	169238
468.61	1018	169308	169308
468.71	1017.9	169717	169717
468.81	1017.8	169851	169851
468.91	1017.7	169612	169612
469.01	1017.6	168933	168933
469.11	1017.5	169033	169033
469.21	1017.4	169768	169768
469.31	1017.3	169258	169258
469.41	1017.2	169848	169848
469.51	1017.1	169253	169253
469.61	1017	169553	169553
469.71	1016.9	169555	169555
469.81	1016.8	169680	169680
469.91	1016.7	170294	170294
470.01	1016.6	169754	169754
470.11	1016.5	169212	169212
470.21	1016.4	170232	170232
470.31	1016.3	170479	170479
470.41	1016.2	170957	170957
470.51	1016.1	169873	169873
470.61	1016	170936	170936
470.71	1015.9	170657	170657
470.81	1015.8	170974	170974
470.91	1015.7	171040	171040
471.01	1015.6	170582	170582
471.11	1015.5	171690	171690
471.21	1015.4	171607	171607
471.31	1015.3	171235	171235
471.41	1015.2	169944	169944
471.51	1015.1	170804	170804
471.61	1015	170573	170573
471.71	1014.9	170269	170269
471.81	1014.8	171222	171222
471.91	1014.7	171809	171809
472.01	1014.6	171023	171023
472.11	1014.5	170556	170556
472.21	1014.4	171400	171400
472.31	1014.3	171491	171491
472.41	1014.2	170517	170517
472.51	1014.1	171248	171248
472.61	1014	172100	172100
472.71	1013.9	170928	170928
472.81	1013.8	171818	171818
472.91	1013.7	172325	172325
