C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p
456.61	1030	11008.3
456.71	1029.9	11001.2
456.81	1029.8	10976.1
456.91	1029.7	11024
457.01	1029.6	11016.4
457.11	1029.5	10996.6
457.21	1029.4	10964.6
457.31	1029.3	10985.5
457.41	1029.2	10974.8
457.51	1029.1	10956.1
457.61	1029	11014.4
457.71	1028.9	10973.8
457.81	1028.8	11037
457.91	1028.7	11036.1
458.01	1028.6	10975.5
458.11	1028.5	10934
458.21	1028.4	11032.3
458.31	1028.3	11052.6
458.41	1028.2	11018.2
458.51	1028.1	11025.6
458.61	1028	11015.8
458.71	1027.9	11034.1
458.81	1027.8	11009.6
458.91	1027.7	11042.2
459.01	1027.6	11043.4
459.11	1027.5	11058.2
459.21	1027.4	11069
459.31	1027.3	11079.4
459.41	1027.2	11058.9
459.51	1027.1	11031.5
459.61	1027	11073.8
459.71	1026.9	11095
459.81	1026.8	11066.2
459.91	1026.7	11053.2
460.01	1026.6	11108.3
460.11	1026.5	11103.9
460.21	1026.4	11098.2
460.31	1026.3	11076.8
460.41	1026.2	11073.1
460.51	1026.1	11117.3
460.61	1026	11102.8
460.71	1025.9	11066.5
460.81	1025.8	11107.5
460.91	1025.7	11060.9
461.01	1025.6	11089.9
461.11	1025.5	11108.5
461.21	1025.4	11118.1
461.31	1025.3	11096
461.41	1025.2	11157.2
461.51	1025.1	11110.9
461.61	1025	11152.2
461.71	1024.9	11065.1
461.81	1024.8	11135.8
461.91	1024.7	11128.1
462.01	1024.6	11136.9
462.11	1024.5	11202.7
462.21	1024.4	11119.6
462.31	1024.3	11145.1
462.41	1024.2	11155.3
462.51	1024.1	11133.3
462.61	1024	11127.3
462.71	1023.9	11128.3
462.81	1023.8	11103.7
462.91	1023.7	11121.5
463.01	1023.6	11179.5
463.11	1023.5	11213.8
463.21	1023.4	11207.4
463.31	1023.3	11194.9
463.41	1023.2	11189.7
463.51	1023.1	11212.9
463.61	1023	11151.9
463.71	1022.9	11137
463.81	1022.8	11173
463.91	1022.7	11179
464.01	1022.6	11211
464.11	1022.5	11230.3
464.21	1022.4	11172.3
464.31	1022.3	11166.3
464.41	1022.2	11175.2
464.51	1022.1	11203.1
464.61	1022	11237
464.71	1021.9	11228.5
464.81	1021.8	11228.8
464.91	1021.7	11202.8
465.01	1021.6	11160.9
465.11	1021.5	11189.4
465.21	1021.4	11250.5
465.31	1021.3	11268
465.41	1021.2	11262.8
465.51	1021.1	11274.5
465.61	1021	11269.8
465.71	1020.9	11265.4
465.81	1020.8	11258.6
465.91	1020.7	11245.6
466.01	1020.6	11269
466.11	1020.5	11298.9
466.21	1020.4	11256.9
466.31	1020.3	11284.1
466.41	1020.2	11311.5
466.51	1020.1	11266.2
466.61	1020	11283
466.71	1019.9	11279.1
466.81	1019.8	11272
466.91	1019.7	11287.3
467.01	1019.6	11310.5
467.11	1019.5	11308.5
467.21	1019.4	11323.5
467.31	1019.3	11323.2
467.41	1019.2	11313.1
467.51	1019.1	11299.1
467.61	1019	11363.5
467.71	1018.9	11330.8
467.81	1018.8	11350.3
467.91	1018.7	11316.4
468.01	1018.6	11314.2
468.11	1018.5	11320.4
468.21	1018.4	11350.4
468.31	1018.3	11359.4
468.41	1018.2	11366
468.51	1018.1	11410.1
468.61	1018	11359
468.71	1017.9	11339.6
468.81	1017.8	11325.2
468.91	1017.7	11353.4
469.01	1017.6	11353.9
469.11	1017.5	11329.5
469.21	1017.4	11372.8
469.31	1017.3	11335.8
469.41	1017.2	11362.5
469.51	1017.1	11372.4
469.61	1017	11341.7
469.71	1016.9	11356.2
469.81	1016.8	11303.9
469.91	1016.7	11346.3
470.01	1016.6	11376.8
470.11	1016.5	11411
470.21	1016.4	11431.8
470.31	1016.3	11364.5
470.41	1016.2	11380.5
470.51	1016.1	11387.6
470.61	1016	11402
470.71	1015.9	11413.9
470.81	1015.8	11377.3
470.91	1015.7	11445.9
471.01	1015.6	11414.3
471.11	1015.5	11419.2
471.21	1015.4	11468.4
471.31	1015.3	11439.8
471.41	1015.2	11521.1
471.51	1015.1	11479.7
471.61	1015	11428.1
471.71	1014.9	11461.5
471.81	1014.8	11476.4
471.91	1014.7	11474.6
472.01	1014.6	11515
472.11	1014.5	11483
472.21	1014.4	11458.4
472.31	1014.3	11507.6
472.41	1014.2	11529.4
472.51	1014.1	11479.1
472.61	1014	11499.7
472.71	1013.9	11540
472.81	1013.8	11479.8
472.91	1013.7	11541.9
