C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p	Background_Pr:Cu2p
456.61	1030	43027.7	43027.7
456.71	1029.9	43266	43266
456.81	1029.8	43304	43304
456.91	1029.7	43036.4	43036.4
457.01	1029.6	43072.4	43072.4
457.11	1029.5	42988.4	42988.4
457.21	1029.4	43187.8	43187.8
457.31	1029.3	43268.5	43268.5
457.41	1029.2	43347.1	43347.1
457.51	1029.1	43496.8	43496.8
457.61	1029	43362.3	43362.3
457.71	1028.9	43179.1	43179.1
457.81	1028.8	43231.2	43231.2
457.91	1028.7	43402.7	43402.7
458.01	1028.6	43502.7	43502.7
458.11	1028.5	43583.9	43583.9
458.21	1028.4	43419.7	43419.7
458.31	1028.3	43241.4	43241.4
458.41	1028.2	43334	43334
458.51	1028.1	43496.5	43496.5
458.61	1028	43250.3	43250.3
458.71	1027.9	43316.5	43316.5
458.81	1027.8	43381.1	43381.1
458.91	1027.7	43323.4	43323.4
459.01	1027.6	43228.2	43228.2
459.11	1027.5	43096.4	43096.4
459.21	1027.4	43266.3	43266.3
459.31	1027.3	43357.6	43357.6
459.41	1027.2	43398.6	43398.6
459.51	1027.1	43419.1	43419.1
459.61	1027	43379.2	43379.2
459.71	1026.9	43441.9	43441.9
459.81	1026.8	43432.4	43432.4
459.91	1026.7	43389.2	43389.2
460.01	1026.6	43533.2	43533.2
460.11	1026.5	43506.9	43506.9
460.21	1026.4	43458.5	43458.5
460.31	1026.3	43589.9	43589.9
460.41	1026.2	43489.2	43489.2
460.51	1026.1	43546.7	43546.7
460.61	1026	43526	43526
460.71	1025.9	43431.4	43431.4
460.81	1025.8	43622.8	43622.8
460.91	1025.7	43489.4	43489.4
461.01	1025.6	43503.3	43503.3
461.11	1025.5	43672.9	43672.9
461.21	1025.4	43661	43661
461.31	1025.3	43619.2	43619.2
461.41	1025.2	43780.5	43780.5
461.51	1025.1	43741.7	43741.7
461.61	1025	43586.2	43586.2
461.71	1024.9	43558	43558
461.81	1024.8	43679.6	43679.6
461.91	1024.7	43625.5	43625.5
462.01	1024.6	43562.2	43562.2
462.11	1024.5	43616.8	43616.8
462.21	1024.4	43690.2	43690.2
462.31	1024.3	43928.5	43928.5
462.41	1024.2	43755.3	43755.3
462.51	1024.1	43835	43835
462.61	1024	43717.3	43717.3
462.71	1023.9	43688.9	43688.9
462.81	1023.8	43839.6	43839.6
462.91	1023.7	43813.1	43813.1
463.01	1023.6	43667.2	43667.2
463.11	1023.5	43929.1	43929.1
463.21	1023.4	44098	44098
463.31	1023.3	44069.8	44069.8
463.41	1023.2	43812.8	43812.8
463.51	1023.1	43739	43739
463.61	1023	43918.1	43918.1
463.71	1022.9	43811.9	43811.9
463.81	1022.8	43834.6	43834.6
463.91	1022.7	43912.3	43912.3
464.01	1022.6	44024.4	44024.4
464.11	1022.5	44097.6	44097.6
464.21	1022.4	43960	43960
464.31	1022.3	43899.1	43899.1
464.41	1022.2	44058.1	44058.1
464.51	1022.1	43863.3	43863.3
464.61	1022	43840.3	43840.3
464.71	1021.9	43958.9	43958.9
464.81	1021.8	44045.1	44045.1
464.91	1021.7	44065.3	44065.3
465.01	1021.6	44056.5	44056.5
465.11	1021.5	44097.5	44097.5
465.21	1021.4	44078.6	44078.6
465.31	1021.3	43987.2	43987.2
465.41	1021.2	43995.2	43995.2
465.51	1021.1	44247.3	44247.3
465.61	1021	44218.8	44218.8
465.71	1020.9	44208.3	44208.3
465.81	1020.8	44011	44011
465.91	1020.7	44036.1	44036.1
466.01	1020.6	44125.9	44125.9
466.11	1020.5	44180.4	44180.4
466.21	1020.4	44318.7	44318.7
466.31	1020.3	44486.7	44486.7
466.41	1020.2	44210.8	44210.8
466.51	1020.1	44091.4	44091.4
466.61	1020	44255	44255
466.71	1019.9	44183.9	44183.9
466.81	1019.8	44326.4	44326.4
466.91	1019.7	44443.1	44443.1
467.01	1019.6	44528.4	44528.4
467.11	1019.5	44280.4	44280.4
467.21	1019.4	44233.2	44233.2
467.31	1019.3	44374.9	44374.9
467.41	1019.2	44442.1	44442.1
467.51	1019.1	44300.3	44300.3
467.61	1019	44239	44239
467.71	1018.9	44501	44501
467.81	1018.8	44438.5	44438.5
467.91	1018.7	44582	44582
468.01	1018.6	44621.6	44621.6
468.11	1018.5	44515.3	44515.3
468.21	1018.4	44603.3	44603.3
468.31	1018.3	44579.8	44579.8
468.41	1018.2	44454.6	44454.6
468.51	1018.1	44592.5	44592.5
468.61	1018	44606.2	44606.2
468.71	1017.9	44522.1	44522.1
468.81	1017.8	44430.6	44430.6
468.91	1017.7	44633.1	44633.1
469.01	1017.6	44838.2	44838.2
469.11	1017.5	44824.3	44824.3
469.21	1017.4	44508.1	44508.1
469.31	1017.3	44519.2	44519.2
469.41	1017.2	44718.6	44718.6
469.51	1017.1	44754.7	44754.7
469.61	1017	44806.3	44806.3
469.71	1016.9	44704.5	44704.5
469.81	1016.8	44540.3	44540.3
469.91	1016.7	44483.3	44483.3
470.01	1016.6	44902.8	44902.8
470.11	1016.5	44920.3	44920.3
470.21	1016.4	44874.4	44874.4
470.31	1016.3	44783.6	44783.6
470.41	1016.2	44855.2	44855.2
470.51	1016.1	44770.8	44770.8
470.61	1016	44901.8	44901.8
470.71	1015.9	44904.2	44904.2
470.81	1015.8	44972.8	44972.8
470.91	1015.7	45043.2	45043.2
471.01	1015.6	45045.5	45045.5
471.11	1015.5	45098.4	45098.4
471.21	1015.4	45100	45100
471.31	1015.3	44919.7	44919.7
471.41	1015.2	44811.4	44811.4
471.51	1015.1	45190.3	45190.3
471.61	1015	45133.3	45133.3
471.71	1014.9	45165.3	45165.3
471.81	1014.8	45028.9	45028.9
471.91	1014.7	45099.6	45099.6
472.01	1014.6	45132.7	45132.7
472.11	1014.5	45079.9	45079.9
472.21	1014.4	45187.4	45187.4
472.31	1014.3	45170	45170
472.41	1014.2	45188.6	45188.6
472.51	1014.1	45121.7	45121.7
472.61	1014	45260.6	45260.6
472.71	1013.9	45173.3	45173.3
472.81	1013.8	45224.6	45224.6
472.91	1013.7	45220.9	45220.9
473.01	1013.6	45256	45256
473.11	1013.5	45272.3	45272.3
473.21	1013.4	45457.6	45457.6
473.31	1013.3	45382	45382
473.41	1013.2	45328.4	45328.4
473.51	1013.1	45421.7	45421.7
473.61	1013	45454.5	45454.5
473.71	1012.9	45456.8	45456.8
473.81	1012.8	45601.4	45601.4
473.91	1012.7	45430	45430
474.01	1012.6	45445.1	45445.1
474.11	1012.5	45357.8	45357.8
474.21	1012.4	45444.2	45444.2
474.31	1012.3	45186.9	45186.9
474.41	1012.2	45578.2	45578.2
474.51	1012.1	45733.5	45733.5
474.61	1012	45602.6	45602.6
474.71	1011.9	45660.7	45660.7
474.81	1011.8	45489	45489
474.91	1011.7	45457.4	45457.4
475.01	1011.6	45395.5	45395.5
475.11	1011.5	45499.4	45499.4
475.21	1011.4	45679	45679
475.31	1011.3	45919.9	45919.9
475.41	1011.2	45775.3	45775.3
475.51	1011.1	45711.5	45711.5
475.61	1011	45535.1	45535.1
475.71	1010.9	45511.5	45511.5
475.81	1010.8	45792.5	45792.5
475.91	1010.7	45868.3	45868.3
476.01	1010.6	45747.5	45747.5
476.11	1010.5	45742.5	45742.5
476.21	1010.4	45939.7	45939.7
476.31	1010.3	45719.4	45719.4
476.41	1010.2	45893.2	45893.2
476.51	1010.1	45969.8	45969.8
476.61	1010	45957.7	45957.7
476.71	1009.9	46175.3	46175.3
476.81	1009.8	46080.2	46080.2
476.91	1009.7	46251	46251
477.01	1009.6	46105.1	46105.1
477.11	1009.5	45852.9	45852.9
477.21	1009.4	45926.6	45926.6
477.31	1009.3	45919.9	45919.9
477.41	1009.2	46169.1	46169.1
477.51	1009.1	46011.1	46011.1
477.61	1009	45936.5	45936.5
477.71	1008.9	45959.8	45959.8
477.81	1008.8	46235	46235
477.91	1008.7	46269.1	46269.1
478.01	1008.6	46110.2	46110.2
478.11	1008.5	46104.7	46104.7
478.21	1008.4	46165	46165
478.31	1008.3	46046.5	46046.5
478.41	1008.2	46133.8	46133.8
478.51	1008.1	46319.4	46319.4
478.61	1008	46390.6	46390.6
478.71	1007.9	46264.5	46264.5
478.81	1007.8	46119.2	46119.2
478.91	1007.7	46078.3	46078.3
479.01	1007.6	46246.1	46246.1
479.11	1007.5	46113.3	46113.3
479.21	1007.4	46186.4	46186.4
479.31	1007.3	46241.7	46241.7
479.41	1007.2	46089.5	46089.5
479.51	1007.1	46234.9	46234.9
479.61	1007	46169.1	46169.1
479.71	1006.9	46232.5	46232.5
479.81	1006.8	46464.1	46464.1
479.91	1006.7	46590.2	46590.2
480.01	1006.6	46240.4	46240.4
480.11	1006.5	46364	46364
480.21	1006.4	46240.5	46240.5
480.31	1006.3	46227.6	46227.6
480.41	1006.2	46389.2	46389.2
480.51	1006.1	46403.7	46403.7
480.61	1006	46272.8	46272.8
480.71	1005.9	46272.3	46272.3
480.81	1005.8	46335.7	46335.7
480.91	1005.7	46464.3	46464.3
481.01	1005.6	46481.2	46481.2
481.11	1005.5	46431.7	46431.7
481.21	1005.4	46190.7	46190.7
481.31	1005.3	46241	46241
481.41	1005.2	46189.7	46189.7
481.51	1005.1	46393.6	46393.6
481.61	1005	46358.8	46358.8
481.71	1004.9	46392.3	46392.3
481.81	1004.8	46426.7	46426.7
481.91	1004.7	46438.5	46438.5
482.01	1004.6	46471.9	46471.9
482.11	1004.5	46545.8	46545.8
482.21	1004.4	46397.2	46397.2
482.31	1004.3	46474.5	46474.5
482.41	1004.2	46598.1	46598.1
482.51	1004.1	46326.1	46326.1
482.61	1004	46444.7	46444.7
482.71	1003.9	46540.1	46540.1
482.81	1003.8	46450.8	46450.8
482.91	1003.7	46509	46509
483.01	1003.6	46603.2	46603.2
483.11	1003.5	46597.4	46597.4
483.21	1003.4	46669.9	46669.9
483.31	1003.3	46836.2	46836.2
483.41	1003.2	46761	46761
483.51	1003.1	46700.7	46700.7
483.61	1003	46485.5	46485.5
483.71	1002.9	46641.2	46641.2
483.81	1002.8	46919.6	46919.6
483.91	1002.7	46824.1	46824.1
484.01	1002.6	46751.7	46751.7
484.11	1002.5	46562.8	46562.8
484.21	1002.4	46670.6	46670.6
484.31	1002.3	46714.7	46714.7
484.41	1002.2	46842.9	46842.9
484.51	1002.1	46872.5	46872.5
484.61	1002	47113.5	47113.5
484.71	1001.9	47226.5	47226.5
484.81	1001.8	46920.1	46920.1
484.91	1001.7	47045.4	47045.4
485.01	1001.6	47210.8	47210.8
485.11	1001.5	46928.2	46928.2
485.21	1001.4	47004.6	47004.6
485.31	1001.3	47035.5	47035.5
485.41	1001.2	47189.3	47189.3
485.51	1001.1	47087	47087
485.61	1001	46854.6	46854.6
485.71	1000.9	46982.1	46982.1
485.81	1000.8	46985	46985
485.91	1000.7	47206.5	47206.5
486.01	1000.6	47145	47145
486.11	1000.5	46997.2	46997.2
486.21	1000.4	47126.6	47126.6
486.31	1000.3	47131.7	47131.7
486.41	1000.2	47264	47264
486.51	1000.1	47192.2	47192.2
486.61	1000	47468	47468
486.71	999.9	47376.5	47376.5
486.81	999.8	47224.7	47224.7
486.91	999.7	47357.1	47357.1
487.01	999.6	47510.6	47510.6
487.11	999.5	47363.6	47363.6
487.21	999.4	47151.4	47151.4
487.31	999.3	47337.1	47337.1
487.41	999.2	47421.5	47421.5
487.51	999.1	47395.8	47395.8
487.61	999	47532.9	47532.9
487.71	998.9	47561.5	47561.5
487.81	998.8	47551.3	47551.3
487.91	998.7	47578.2	47578.2
488.01	998.6	47472.5	47472.5
488.11	998.5	47574.2	47574.2
488.21	998.4	47672.3	47672.3
488.31	998.3	47937.4	47937.4
488.41	998.2	47759.4	47759.4
488.51	998.1	47839.2	47839.2
488.61	998	47696.4	47696.4
488.71	997.9	47685.1	47685.1
488.81	997.8	47879.5	47879.5
488.91	997.7	47844.9	47844.9
489.01	997.6	47890.3	47890.3
489.11	997.5	47931.2	47931.2
489.21	997.4	47974.8	47974.8
489.31	997.3	48158.9	48158.9
489.41	997.2	47873.4	47873.4
489.51	997.1	47740.8	47740.8
489.61	997	48093.6	48093.6
489.71	996.9	47996.5	47996.5
489.81	996.8	48093.2	48093.2
489.91	996.7	48131.1	48131.1
490.01	996.6	48274.8	48274.8
490.11	996.5	48323.3	48323.3
490.21	996.4	48247.1	48247.1
490.31	996.3	48168	48168
490.41	996.2	48246.8	48246.8
490.51	996.1	48447.4	48447.4
490.61	996	48438.9	48438.9
490.71	995.9	48523.1	48523.1
490.81	995.8	48626	48626
490.91	995.7	48578	48578
491.01	995.6	48653.6	48653.6
491.11	995.5	48665.4	48665.4
491.21	995.4	48638.2	48638.2
491.31	995.3	48764.4	48764.4
491.41	995.2	48827.5	48827.5
491.51	995.1	48552.3	48552.3
491.61	995	48632.2	48632.2
491.71	994.9	48862.4	48862.4
491.81	994.8	48898.4	48898.4
491.91	994.7	49031	49031
492.01	994.6	49084.5	49084.5
492.11	994.5	48904.4	48904.4
492.21	994.4	48669.9	48669.9
492.31	994.3	48931.3	48931.3
492.41	994.2	48808.5	48808.5
492.51	994.1	49139.9	49139.9
492.61	994	49203	49203
492.71	993.9	48894.7	48894.7
492.81	993.8	48899.6	48899.6
492.91	993.7	48964.4	48964.4
493.01	993.6	48722.6	48722.6
493.11	993.5	48984.9	48984.9
493.21	993.4	48990.5	48990.5
493.31	993.3	48973.5	48973.5
493.41	993.2	49053.4	49053.4
493.51	993.1	48841.7	48841.7
493.61	993	48922.9	48922.9
