CasaXP50
Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Cu2p	BE_Cu2p	CPS_Cu2p
506.61	980	7994.63
506.66	979.95	7915.95
506.71	979.9	8086.32
506.76	979.85	8013.93
506.81	979.8	8067.94
506.86	979.75	7868.82
506.91	979.7	7877.68
506.96	979.65	7960.32
507.01	979.6	8134.22
507.06	979.55	7976.03
507.11	979.5	7964.68
507.16	979.45	7905.04
507.21	979.4	7788.39
507.26	979.35	7987.37
507.31	979.3	7880.45
507.36	979.25	7960.68
507.41	979.2	7741.69
507.46	979.15	8106.99
507.51	979.1	8022.77
507.56	979.05	8134.76
507.61	979	8217.75
507.66	978.95	7936.95
507.71	978.9	7929.85
507.76	978.85	7945.84
507.81	978.8	7918.65
507.86	978.75	7900.24
507.91	978.7	7896.91
507.96	978.65	7844.66
508.01	978.6	7814.11
508.06	978.55	7872.43
508.11	978.5	7953.07
508.16	978.45	7999.94
508.21	978.4	7901.88
508.26	978.35	7885.2
508.31	978.3	7867.24
508.36	978.25	7884.7
508.41	978.2	7854.32
508.46	978.15	7856.99
508.51	978.1	8013.51
508.56	978.05	7936.9
508.61	978	8004.79
508.66	977.95	7922.34
508.71	977.9	7998.29
508.76	977.85	7994.11
508.81	977.8	7837.49
508.86	977.75	8148.45
508.91	977.7	7938.21
508.96	977.65	8041.47
509.01	977.6	8164.95
509.06	977.55	7837.91
509.11	977.5	8035.25
509.16	977.45	8055.11
509.21	977.4	7827.09
509.26	977.35	7860.54
509.31	977.3	7890.33
509.36	977.25	8061.6
509.41	977.2	8021.58
509.46	977.15	7934.56
509.51	977.1	8117.98
509.56	977.05	8059.36
509.61	977	8026.58
509.66	976.95	8199.02
509.71	976.9	7903.01
509.76	976.85	8103.33
509.81	976.8	8254.34
509.86	976.75	8041.68
509.91	976.7	8053.14
509.96	976.65	7906.73
510.01	976.6	7963.11
510.06	976.55	7880.91
510.11	976.5	7956.27
510.16	976.45	8153.41
510.21	976.4	8086.5
510.26	976.35	8001.1
510.31	976.3	8090.72
510.36	976.25	8150.73
510.41	976.2	8097.31
510.46	976.15	8026.47
510.51	976.1	8133.15
510.56	976.05	8033.6
510.61	976	8001.26
510.66	975.95	8076.11
510.71	975.9	7986.58
510.76	975.85	8053.24
510.81	975.8	7943.23
510.86	975.75	8116.22
510.91	975.7	8002.93
510.96	975.65	8072.07
511.01	975.6	8068.13
511.06	975.55	8206.11
511.11	975.5	8159.47
511.16	975.45	8059.3
511.21	975.4	8250.18
511.26	975.35	8275.39
511.31	975.3	8275.95
511.36	975.25	8168.52
511.41	975.2	8021.95
511.46	975.15	7949.9
511.51	975.1	8078.26
511.56	975.05	8082.73
511.61	975	7929.2
511.66	974.95	8058
511.71	974.9	8207.5
511.76	974.85	8218.05
511.81	974.8	8190.47
511.86	974.75	8193.85
511.91	974.7	8252.76
511.96	974.65	8138.79
512.01	974.6	8313.44
512.06	974.55	8392.85
512.11	974.5	8205.08
512.16	974.45	8138.26
512.21	974.4	8353.82
512.26	974.35	8263.08
512.31	974.3	8207.23
512.36	974.25	8322.14
512.41	974.2	8402.86
512.46	974.15	8223.92
512.51	974.1	8074.23
512.56	974.05	8320.64
512.61	974	8222.48
512.66	973.95	8235.72
512.71	973.9	8105.51
512.76	973.85	8152.47
512.81	973.8	8215.59
512.86	973.75	8338.87
512.91	973.7	8204.45
512.96	973.65	8147
513.01	973.6	8201.72
513.06	973.55	8295.59
513.11	973.5	8281.05
513.16	973.45	8220.57
513.21	973.4	8300.61
513.26	973.35	8533.23
513.31	973.3	8287.8
513.36	973.25	8150.33
513.41	973.2	8366.46
513.46	973.15	8300.85
513.51	973.1	8335.86
513.56	973.05	8351.94
513.61	973	8097.24
513.66	972.95	8142.47
513.71	972.9	8291.92
513.76	972.85	8491.38
513.81	972.8	8412.04
513.86	972.75	8158.72
513.91	972.7	8210.75
513.96	972.65	8395.12
514.01	972.6	8297.64
514.06	972.55	8432.36
514.11	972.5	8487.2
514.16	972.45	8169.49
514.21	972.4	8394.57
514.26	972.35	8295.53
514.31	972.3	8397.03
514.36	972.25	8303.75
514.41	972.2	8287.54
514.46	972.15	8344.32
514.51	972.1	8364.1
514.56	972.05	8270.3
514.61	972	8473.46
514.66	971.95	8374.76
514.71	971.9	8350.57
514.76	971.85	8289.63
514.81	971.8	8408.02
514.86	971.75	8373.72
514.91	971.7	8401.78
514.96	971.65	8481.12
515.01	971.6	8324.26
515.06	971.55	8330.81
515.11	971.5	8292.08
515.16	971.45	8042.02
515.21	971.4	8420.43
515.26	971.35	8512.36
515.31	971.3	8420.3
515.36	971.25	8228.09
515.41	971.2	8283.87
515.46	971.15	8326.43
515.51	971.1	8454.19
515.56	971.05	8330.15
515.61	971	8279.62
515.66	970.95	8239.02
515.71	970.9	8110.59
515.76	970.85	8244.65
515.81	970.8	8187.52
515.86	970.75	8356.53
515.91	970.7	8295.27
515.96	970.65	8130.67
516.01	970.6	8227.62
