CasaXP50
Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.2
KE_Cu2p	BE_Cu2p	CPS_Cu2p
506.61	980	5217.25
506.66	979.95	5211.05
506.71	979.9	5148.22
506.76	979.85	5088.85
506.81	979.8	5115.53
506.86	979.75	5146.08
506.91	979.7	5187.82
506.96	979.65	5202.53
507.01	979.6	5237.3
507.06	979.55	5113.18
507.11	979.5	5201.45
507.16	979.45	5180.6
507.21	979.4	5193.4
507.26	979.35	5207.14
507.31	979.3	5170.93
507.36	979.25	5198.78
507.41	979.2	5070.76
507.46	979.15	5173.05
507.51	979.1	5126.16
507.56	979.05	5177.02
507.61	979	5164.04
507.66	978.95	5231.25
507.71	978.9	5234.09
507.76	978.85	5189.39
507.81	978.8	5237.86
507.86	978.75	5155.83
507.91	978.7	5230.05
507.96	978.65	5301.06
508.01	978.6	5314.72
508.06	978.55	5294.1
508.11	978.5	5290.14
508.16	978.45	5279.37
508.21	978.4	5287.57
508.26	978.35	5232.99
508.31	978.3	5195.27
508.36	978.25	5223.8
508.41	978.2	5302.06
508.46	978.15	5254.05
508.51	978.1	5271.71
508.56	978.05	5228.25
508.61	978	5236.83
508.66	977.95	5230.11
508.71	977.9	5269.1
508.76	977.85	5321.81
508.81	977.8	5299.88
508.86	977.75	5311.24
508.91	977.7	5289.73
508.96	977.65	5288.2
509.01	977.6	5235.98
509.06	977.55	5243.3
509.11	977.5	5240.38
509.16	977.45	5275.3
509.21	977.4	5170.13
509.26	977.35	5259.68
509.31	977.3	5264.17
509.36	977.25	5266.15
509.41	977.2	5282.11
509.46	977.15	5281.5
509.51	977.1	5298.24
509.56	977.05	5240.09
509.61	977	5251.57
509.66	976.95	5263.36
509.71	976.9	5304.86
509.76	976.85	5253.1
509.81	976.8	5348.18
509.86	976.75	5286.55
509.91	976.7	5256.81
509.96	976.65	5196.09
510.01	976.6	5290.28
510.06	976.55	5302.37
510.11	976.5	5296.54
510.16	976.45	5291.75
510.21	976.4	5299.32
510.26	976.35	5352.08
510.31	976.3	5280.92
510.36	976.25	5309.41
510.41	976.2	5264.17
510.46	976.15	5192.82
510.51	976.1	5215.83
510.56	976.05	5313.52
510.61	976	5309.26
510.66	975.95	5336.16
510.71	975.9	5294.66
510.76	975.85	5357.66
510.81	975.8	5253.01
510.86	975.75	5240.54
510.91	975.7	5373.76
510.96	975.65	5365.26
511.01	975.6	5350.44
511.06	975.55	5369.63
511.11	975.5	5354.16
511.16	975.45	5447.24
511.21	975.4	5289.78
511.26	975.35	5302.13
511.31	975.3	5346.93
511.36	975.25	5332.16
511.41	975.2	5411.45
511.46	975.15	5392.1
511.51	975.1	5335.22
511.56	975.05	5330.21
511.61	975	5367.49
511.66	974.95	5323.33
511.71	974.9	5391.71
511.76	974.85	5302.2
511.81	974.8	5368.43
511.86	974.75	5367.12
511.91	974.7	5312.69
511.96	974.65	5329.81
512.01	974.6	5445.78
512.06	974.55	5387.17
512.11	974.5	5392.89
512.16	974.45	5404.53
512.21	974.4	5421.92
512.26	974.35	5379.94
512.31	974.3	5468.42
512.36	974.25	5550.42
512.41	974.2	5517.4
512.46	974.15	5499
512.51	974.1	5502.2
512.56	974.05	5455.54
512.61	974	5485.51
512.66	973.95	5534.89
512.71	973.9	5564.1
512.76	973.85	5562.73
512.81	973.8	5607.72
512.86	973.75	5626.03
512.91	973.7	5550.31
512.96	973.65	5555.7
513.01	973.6	5625.53
513.06	973.55	5645.68
513.11	973.5	5578.13
513.16	973.45	5687.36
513.21	973.4	5654.57
513.26	973.35	5580.98
513.31	973.3	5487.99
513.36	973.25	5549.08
513.41	973.2	5512.78
513.46	973.15	5481.57
513.51	973.1	5442.09
513.56	973.05	5317.32
513.61	973	5307.58
513.66	972.95	5277.08
513.71	972.9	5275.12
513.76	972.85	5271.07
513.81	972.8	5239.25
513.86	972.75	5276.92
513.91	972.7	5261.2
513.96	972.65	5206.68
514.01	972.6	5181.62
514.06	972.55	5102.06
514.11	972.5	5182.06
514.16	972.45	5104.28
514.21	972.4	5136.22
514.26	972.35	5084.87
514.31	972.3	5122.44
514.36	972.25	5072.65
514.41	972.2	5125.97
514.46	972.15	5103.37
514.51	972.1	5105.09
514.56	972.05	5112.41
514.61	972	5038.23
514.66	971.95	5066.61
514.71	971.9	5016.15
514.76	971.85	5040.24
514.81	971.8	5022.09
514.86	971.75	5051.47
514.91	971.7	5068.5
514.96	971.65	5033.56
515.01	971.6	5001.3
515.06	971.55	5044.55
515.11	971.5	5033.75
515.16	971.45	5081.41
515.21	971.4	5031.85
515.26	971.35	5017.8
515.31	971.3	5109.45
515.36	971.25	5009.31
515.41	971.2	4989.76
515.46	971.15	4969.87
515.51	971.1	4924.96
515.56	971.05	4971.4
515.61	971	4999.89
515.66	970.95	4939.78
515.71	970.9	4996.09
515.76	970.85	4893.72
515.81	970.8	4966.42
515.86	970.75	4961.36
515.91	970.7	4975.71
515.96	970.65	5010.37
516.01	970.6	4984.08
516.06	970.55	5105.09
516.11	970.5	5028.8
516.16	970.45	4943.3
516.21	970.4	5047.88
516.26	970.35	4996.35
516.31	970.3	4955.58
516.36	970.25	4964.05
516.41	970.2	5031.23
516.46	970.15	4919.67
516.51	970.1	4948.91
516.56	970.05	4946.49
516.61	970	5056.62
516.66	969.95	5026.38
516.71	969.9	4966.63
516.76	969.85	4959.25
516.81	969.8	4946.74
516.86	969.75	5006.85
516.91	969.7	4921.88
516.96	969.65	4895.13
517.01	969.6	4942.59
517.06	969.55	4967.99
517.11	969.5	4960.43
517.16	969.45	4856.4
517.21	969.4	4966.4
517.26	969.35	4953.81
517.31	969.3	4866.56
517.36	969.25	4925.36
517.41	969.2	4969.87
517.46	969.15	4938.97
517.51	969.1	4985.08
517.56	969.05	4948.71
517.61	969	4972.33
517.66	968.95	4922.25
517.71	968.9	4955.1
517.76	968.85	5020.31
517.81	968.8	4897.34
517.86	968.75	4903.27
517.91	968.7	4972.78
517.96	968.65	4961.36
518.01	968.6	4897.98
518.06	968.55	4899.97
518.11	968.5	4925.31
518.16	968.45	4998.57
518.21	968.4	4873.69
518.26	968.35	4941.84
518.31	968.3	4952.44
518.36	968.25	4916.12
518.41	968.2	4890.92
518.46	968.15	4976.7
518.51	968.1	5002.91
518.56	968.05	4920.74
518.61	968	4915.11
518.66	967.95	4918.96
518.71	967.9	4916.78
518.76	967.85	4951.18
518.81	967.8	4984.69
518.86	967.75	4977.76
518.91	967.7	4906.07
518.96	967.65	4963.34
519.01	967.6	4910.45
519.06	967.55	4964.7
519.11	967.5	4924.42
519.16	967.45	4910.72
519.21	967.4	4900.79
519.26	967.35	4906.12
519.31	967.3	4906.68
519.36	967.25	4946.13
519.41	967.2	4945.53
519.46	967.15	4983.4
519.51	967.1	5050.44
519.56	967.05	4969.21
519.61	967	4974.54
519.66	966.95	4907.26
519.71	966.9	4891.81
519.76	966.85	4979.53
519.81	966.8	4977.17
519.86	966.75	4917.07
519.91	966.7	4946.15
519.96	966.65	5025.02
520.01	966.6	4949.35
520.06	966.55	4962.48
520.11	966.5	4954.55
520.16	966.45	4949.82
520.21	966.4	4931.34
520.26	966.35	4919.1
520.31	966.3	5023.6
520.36	966.25	5023.33
520.41	966.2	5048.05
520.46	966.15	4986.15
520.51	966.1	4959.76
520.56	966.05	5003.51
520.61	966	4976.3
520.66	965.95	4950.01
520.71	965.9	4963.64
520.76	965.85	5049.16
520.81	965.8	4940.81
520.86	965.75	4909.07
520.91	965.7	5001.46
