C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Survey TF corrected
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey TF corrected	BE_Survey TF corrected	CPS_Survey TF corrected	Background_Survey TF corrected
295.61	1191	13120.6	13120.6
296.11	1190.5	13556.4	13556.4
296.61	1190	13475.4	13475.4
297.11	1189.5	13476	13476
297.61	1189	12896.7	12896.7
298.11	1188.5	13401.6	13401.6
298.61	1188	13646.9	13646.9
299.11	1187.5	13298.7	13298.7
299.61	1187	12464.5	12464.5
300.11	1186.5	12786.5	12786.5
300.61	1186	12704.7	12704.7
301.11	1185.5	12431.9	12431.9
301.61	1185	12897.1	12897.1
302.11	1184.5	12785.6	12785.6
302.61	1184	12741	12741
303.11	1183.5	12590.6	12590.6
303.61	1183	12779.8	12779.8
304.11	1182.5	12499.5	12499.5
304.61	1182	12510	12510
305.11	1181.5	13294	13294
305.61	1181	13043	13043
306.11	1180.5	12704.9	12704.9
306.61	1180	12725.1	12725.1
307.11	1179.5	12656.3	12656.3
307.61	1179	11946.6	11946.6
308.11	1178.5	12010.2	12010.2
308.61	1178	12202.5	12202.5
309.11	1177.5	12173.4	12173.4
309.61	1177	12080.5	12080.5
310.11	1176.5	12254.8	12254.8
310.61	1176	12216.5	12216.5
311.11	1175.5	12390.4	12390.4
311.61	1175	12310.3	12310.3
312.11	1174.5	12675.3	12675.3
312.61	1174	12517.2	12517.2
313.11	1173.5	12081	12081
313.61	1173	12327	12327
314.11	1172.5	12731.9	12731.9
314.61	1172	11913	11913
315.11	1171.5	12287.5	12287.5
315.61	1171	12248.4	12248.4
316.11	1170.5	12328.5	12328.5
316.61	1170	12147.7	12147.7
317.11	1169.5	11932.5	11932.5
317.61	1169	12070.7	12070.7
318.11	1168.5	12598.9	12598.9
318.61	1168	12722	12722
319.11	1167.5	12359.4	12359.4
319.61	1167	11749.4	11749.4
320.11	1166.5	12411.4	12411.4
320.61	1166	12151.5	12151.5
321.11	1165.5	11733	11733
321.61	1165	12219	12219
322.11	1164.5	12879	12879
322.61	1164	12494.5	12494.5
323.11	1163.5	12177.1	12177.1
323.61	1163	12614.9	12614.9
324.11	1162.5	12585.9	12585.9
324.61	1162	12150.2	12150.2
325.11	1161.5	12475.4	12475.4
325.61	1161	12748.8	12748.8
326.11	1160.5	13284.9	13284.9
326.61	1160	12032	12032
327.11	1159.5	12365.5	12365.5
327.61	1159	13108.7	13108.7
328.11	1158.5	13229.5	13229.5
328.61	1158	12320.7	12320.7
329.11	1157.5	12156.9	12156.9
329.61	1157	11758.4	11758.4
330.11	1156.5	12568.1	12568.1
330.61	1156	12754.7	12754.7
331.11	1155.5	12361.8	12361.8
331.61	1155	12178.9	12178.9
332.11	1154.5	12585.5	12585.5
332.61	1154	12008.8	12008.8
333.11	1153.5	12420.3	12420.3
333.61	1153	12810.4	12810.4
334.11	1152.5	12456.5	12456.5
334.61	1152	12536.5	12536.5
335.11	1151.5	12814	12814
335.61	1151	12423.2	12423.2
336.11	1150.5	12983.5	12983.5
336.61	1150	12808.2	12808.2
337.11	1149.5	12855.1	12855.1
337.61	1149	12489.3	12489.3
338.11	1148.5	12268.1	12268.1
338.61	1148	12606.8	12606.8
339.11	1147.5	11979.5	11979.5
