C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Survey TF corrected
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey TF corrected	BE_Survey TF corrected	CPS_Survey TF corrected
874.11	612.5	88317
874.61	612	88288.5
875.11	611.5	88385.6
875.61	611	88485.6
876.11	610.5	88865.5
876.61	610	88733.8
877.11	609.5	89506.8
877.61	609	89350.4
878.11	608.5	89482.1
878.61	608	90241.8
879.11	607.5	90539.9
879.61	607	90788.6
880.11	606.5	90843.4
880.61	606	91342.4
881.11	605.5	91544.4
881.61	605	91771.4
882.11	604.5	92495.7
882.61	604	92980.1
883.11	603.5	93112.7
883.61	603	93661
884.11	602.5	93878.2
884.61	602	94057.6
885.11	601.5	94427.7
885.61	601	95111.6
886.11	600.5	95747.4
886.61	600	96550.6
887.11	599.5	96444.2
887.61	599	96965.2
888.11	598.5	97702.7
888.61	598	98815.3
889.11	597.5	99029.2
889.61	597	99785.7
890.11	596.5	100349
890.61	596	101157
891.11	595.5	101591
891.61	595	101813
892.11	594.5	102803
892.61	594	102480
893.11	593.5	103445
893.61	593	103590
894.11	592.5	103201
894.61	592	103504
895.11	591.5	103485
895.61	591	104106
896.11	590.5	104483
896.61	590	104755
897.11	589.5	104998
897.61	589	105528
898.11	588.5	105401
898.61	588	104681
899.11	587.5	104098
899.61	587	103556
900.11	586.5	103366
900.61	586	102931
901.11	585.5	102247
901.61	585	102471
902.11	584.5	102200
902.61	584	102380
903.11	583.5	102626
903.61	583	103146
904.11	582.5	103498
904.61	582	104273
905.11	581.5	104810
905.61	581	105625
906.11	580.5	107186
906.61	580	108585
907.11	579.5	109845
907.61	579	111737
908.11	578.5	113969
908.61	578	115789
909.11	577.5	117023
909.61	577	118402
910.11	576.5	120410
910.61	576	122630
911.11	575.5	124632
911.61	575	127199
912.11	574.5	131379
912.61	574	136708
913.11	573.5	143438
913.61	573	150395
914.11	572.5	154618
914.61	572	157069
915.11	571.5	159073
915.61	571	161747
916.11	570.5	166169
916.61	570	173259
917.11	569.5	186710
917.61	569	209147
918.11	568.5	235495
918.61	568	250764
919.11	567.5	243180
919.61	567	213549
920.11	566.5	173621
920.61	566	145323
921.11	565.5	129922
921.61	565	117854
922.11	564.5	105036
922.61	564	90704.9
923.11	563.5	77280.6
923.61	563	70289.2
924.11	562.5	67019.3
924.61	562	65067.1
925.11	561.5	63899.3
925.61	561	62677.1
926.11	560.5	61285.5
926.61	560	60139.7
927.11	559.5	59577.8
927.61	559	58097
928.11	558.5	56991.1
928.61	558	55667.4
929.11	557.5	54148.5
929.61	557	52844.9
930.11	556.5	51749.4
930.61	556	50873.8
931.11	555.5	50307.6
931.61	555	50027.7
932.11	554.5	50565.8
932.61	554	50943.8
933.11	553.5	52084.1
933.61	553	53210.2
934.11	552.5	54766.6
934.61	552	55053.6
935.11	551.5	54170.6
935.61	551	52376.2
936.11	550.5	50041.2
936.61	550	49239.1
937.11	549.5	50863.6
937.61	549	54938.3
938.11	548.5	59132.8
938.61	548	60072.9
939.11	547.5	57466.1
939.61	547	52174.7
940.11	546.5	45764.1
940.61	546	40593.5
941.11	545.5	36866.1
941.61	545	33922.2
942.11	544.5	31239.9
942.61	544	28770.5
943.11	543.5	27165.3
943.61	543	26397.6
944.11	542.5	25698.9
944.61	542	25140.5
945.11	541.5	24689.8
945.61	541	24165.1
946.11	540.5	24048.9
946.61	540	23601.2
947.11	539.5	23152.9
947.61	539	22728.1
948.11	538.5	22324
948.61	538	22028
949.11	537.5	21757.9
949.61	537	21644.7
950.11	536.5	21217.3
950.61	536	21090.1
951.11	535.5	20822.6
