C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Survey TF corrected
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey TF corrected	BE_Survey TF corrected	CPS_Survey TF corrected	Background_Survey TF corrected
874.11	612.5	80078	80078
874.61	612	79517.6	79517.6
875.11	611.5	79858.8	79858.8
875.61	611	80086.2	80086.2
876.11	610.5	80387.6	80387.6
876.61	610	81325.1	81325.1
877.11	609.5	80889	80889
877.61	609	80795.1	80795.1
878.11	608.5	81013.1	81013.1
878.61	608	81763.4	81763.4
879.11	607.5	81905.9	81905.9
879.61	607	81702.2	81702.2
880.11	606.5	82048.1	82048.1
880.61	606	82131.3	82131.3
881.11	605.5	82509.4	82509.4
881.61	605	82443.8	82443.8
882.11	604.5	83573.4	83573.4
882.61	604	83929.7	83929.7
883.11	603.5	84455.9	84455.9
883.61	603	83949.5	83949.5
884.11	602.5	84552.2	84552.2
884.61	602	85128.6	85128.6
885.11	601.5	85228.6	85228.6
885.61	601	86200.7	86200.7
886.11	600.5	86601.1	86601.1
886.61	600	86574.3	86574.3
887.11	599.5	86928.1	86928.1
887.61	599	87375	87375
888.11	598.5	87898.5	87898.5
888.61	598	88815.4	88815.4
889.11	597.5	88659.9	88659.9
889.61	597	88668.6	88668.6
890.11	596.5	90540.6	90540.6
890.61	596	90849.6	90849.6
891.11	595.5	91057.7	91057.7
891.61	595	91213	91213
892.11	594.5	91598.6	91598.6
892.61	594	91227	91227
893.11	593.5	92094.8	92094.8
893.61	593	92040.8	92040.8
894.11	592.5	92767.9	92767.9
894.61	592	92919.1	92919.1
895.11	591.5	92205.9	92205.9
895.61	591	92304.4	92304.4
896.11	590.5	91852	91852
896.61	590	92698.6	92698.6
897.11	589.5	93232	93232
897.61	589	93474.5	93474.5
898.11	588.5	92721.2	92721.2
898.61	588	91146.8	91146.8
899.11	587.5	89233.9	89233.9
899.61	587	87177.3	87177.3
900.11	586.5	88247.1	88247.1
900.61	586	87461.8	87461.8
901.11	585.5	86763.3	86763.3
901.61	585	86220.2	86220.2
902.11	584.5	85880.2	85880.2
902.61	584	85610.3	85610.3
903.11	583.5	86049.4	86049.4
903.61	583	86338.3	86338.3
904.11	582.5	86638.3	86638.3
904.61	582	86232.3	86232.3
905.11	581.5	87290.7	87290.7
905.61	581	88081.9	88081.9
906.11	580.5	89175.4	89175.4
906.61	580	90467	90467
907.11	579.5	91513.5	91513.5
907.61	579	91794.6	91794.6
908.11	578.5	93577.2	93577.2
908.61	578	94169.9	94169.9
909.11	577.5	96076.7	96076.7
909.61	577	97988	97988
910.11	576.5	98849.7	98849.7
910.61	576	99936.1	99936.1
911.11	575.5	101393	101393
911.61	575	104602	104602
