C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX322_CEC356_Au_Ag_Cu in H2_1.vms.vms
Ag3d
	Characteristic Energy eV	1486.61	Acquisition Time s	0.9
KE_Ag3d	BE_Ag3d	CPS_Ag3d
1036.61	450	8509.75
1036.71	449.9	8449.64
1036.81	449.8	8503.97
1036.91	449.7	8496.85
1037.01	449.6	8550.77
1037.11	449.5	8503.1
1037.21	449.4	8524.06
1037.31	449.3	8516.81
1037.41	449.2	8479.71
1037.51	449.1	8564.91
1037.61	449	8519.87
1037.71	448.9	8455.19
1037.81	448.8	8445.16
1037.91	448.7	8534.66
1038.01	448.6	8507.29
1038.11	448.5	8520.35
1038.21	448.4	8528.19
1038.31	448.3	8500.97
1038.41	448.2	8540.19
1038.51	448.1	8510.5
1038.61	448	8529.62
1038.71	447.9	8500.55
1038.81	447.8	8459.58
1038.91	447.7	8547.31
1039.01	447.6	8539.32
1039.11	447.5	8536.3
1039.21	447.4	8510.95
1039.31	447.3	8516.64
1039.41	447.2	8509.16
1039.51	447.1	8501.5
1039.61	447	8473.39
1039.71	446.9	8466.8
1039.81	446.8	8480.32
1039.91	446.7	8504.08
1040.01	446.6	8575.7
1040.11	446.5	8496.33
1040.21	446.4	8593.11
1040.31	446.3	8505.06
1040.41	446.2	8542.72
1040.51	446.1	8485.27
1040.61	446	8561.07
1040.71	445.9	8579.53
1040.81	445.8	8507
1040.91	445.7	8557.27
1041.01	445.6	8525.79
1041.11	445.5	8515.71
1041.21	445.4	8553.53
1041.31	445.3	8514.79
1041.41	445.2	8504.84
1041.51	445.1	8482.29
1041.61	445	8542.31
1041.71	444.9	8518.55
1041.81	444.8	8571.62
1041.91	444.7	8488.35
1042.01	444.6	8530
1042.11	444.5	8526.96
1042.21	444.4	8526.13
1042.31	444.3	8482.81
1042.41	444.2	8514.97
1042.51	444.1	8497.42
1042.61	444	8550.82
1042.71	443.9	8540.86
1042.81	443.8	8585.74
1042.91	443.7	8604.66
1043.01	443.6	8593.52
1043.11	443.5	8530.98
1043.21	443.4	8564.71
1043.31	443.3	8509.26
1043.41	443.2	8542.63
1043.51	443.1	8587.6
1043.61	443	8604.99
1043.71	442.9	8530.46
1043.81	442.8	8607.25
1043.91	442.7	8587.37
1044.01	442.6	8563.31
1044.11	442.5	8568.79
1044.21	442.4	8517
1044.31	442.3	8545.33
1044.41	442.2	8582.64
1044.51	442.1	8600.73
1044.61	442	8552.46
1044.71	441.9	8538.92
1044.81	441.8	8528.2
1044.91	441.7	8624.57
1045.01	441.6	8504.29
1045.11	441.5	8520
1045.21	441.4	8557.97
1045.31	441.3	8532.06
1045.41	441.2	8558.06
1045.51	441.1	8586.37
1045.61	441	8529.87
1045.71	440.9	8511.99
1045.81	440.8	8466.26
1045.91	440.7	8488.61
1046.01	440.6	8489.05
1046.11	440.5	8549.72
1046.21	440.4	8574.82
1046.31	440.3	8560.12
1046.41	440.2	8504.6
1046.51	440.1	8525.8
1046.61	440	8526.11
1046.71	439.9	8575.96
1046.81	439.8	8458.96
1046.91	439.7	8517.67
1047.01	439.6	8539.22
1047.11	439.5	8463.51
1047.21	439.4	8449.14
1047.31	439.3	8533.93
1047.41	439.2	8510.4
1047.51	439.1	8469.74
1047.61	439	8497.74
1047.71	438.9	8521.54
1047.81	438.8	8426.92
1047.91	438.7	8405.2
1048.01	438.6	8409.6
1048.11	438.5	8398.53
1048.21	438.4	8438.82
1048.31	438.3	8460.67
1048.41	438.2	8453.5
1048.51	438.1	8466.33
1048.61	438	8414.33
1048.71	437.9	8445.17
1048.81	437.8	8420.68
1048.91	437.7	8471.53
1049.01	437.6	8470.84
1049.11	437.5	8429.96
1049.21	437.4	8505.03
1049.31	437.3	8429.24
1049.41	437.2	8420.29
1049.51	437.1	8452.24
1049.61	437	8439.75
1049.71	436.9	8455.95
1049.81	436.8	8446.09
1049.91	436.7	8410.46
1050.01	436.6	8500.53
1050.11	436.5	8473.23
1050.21	436.4	8458.02
1050.31	436.3	8438.59
1050.41	436.2	8401.52
1050.51	436.1	8455.85
1050.61	436	8491.65
1050.71	435.9	8399.98
1050.81	435.8	8478.92
1050.91	435.7	8456.91
1051.01	435.6	8437.65
1051.11	435.5	8489.08
1051.21	435.4	8490.18
1051.31	435.3	8506.71
1051.41	435.2	8467.92
1051.51	435.1	8441.6
1051.61	435	8393.62
1051.71	434.9	8532.32
1051.81	434.8	8520.83
1051.91	434.7	8508.51
1052.01	434.6	8517.22
1052.11	434.5	8457.47
1052.21	434.4	8604.06
1052.31	434.3	8548.88
1052.41	434.2	8491.44
1052.51	434.1	8471.39
1052.61	434	8463.08
1052.71	433.9	8548.09
1052.81	433.8	8561.44
1052.91	433.7	8558.95
1053.01	433.6	8541.28
1053.11	433.5	8500.09
1053.21	433.4	8486.73
1053.31	433.3	8505.04
1053.41	433.2	8571.55
1053.51	433.1	8521.92
1053.61	433	8488.89
1053.71	432.9	8526.2
1053.81	432.8	8564.01
1053.91	432.7	8610.48
1054.01	432.6	8660.36
1054.11	432.5	8591.1
1054.21	432.4	8580.01
1054.31	432.3	8626.65
1054.41	432.2	8526.36
1054.51	432.1	8519.1
1054.61	432	8509.59
1054.71	431.9	8526.46
1054.81	431.8	8568.46
1054.91	431.7	8563.34
1055.01	431.6	8520.38
1055.11	431.5	8606.5
1055.21	431.4	8503.74
1055.31	431.3	8525.45
1055.41	431.2	8588.18
1055.51	431.1	8621.24
1055.61	431	8621.42
1055.71	430.9	8612.66
1055.81	430.8	8547.32
1055.91	430.7	8607.18
1056.01	430.6	8657.88
1056.11	430.5	8643.28
1056.21	430.4	8605.53
1056.31	430.3	8581.04
1056.41	430.2	8652.8
1056.51	430.1	8675.66
1056.61	430	8652.9
1056.71	429.9	8662.93
1056.81	429.8	8713.55
1056.91	429.7	8672.06
1057.01	429.6	8713.1
1057.11	429.5	8719.03
1057.21	429.4	8683.17
1057.31	429.3	8719.17
1057.41	429.2	8808.75
1057.51	429.1	8768.5
1057.61	429	8773.82
1057.71	428.9	8654.47
1057.81	428.8	8718.94
1057.91	428.7	8741.28
1058.01	428.6	8741.85
1058.11	428.5	8819.65
1058.21	428.4	8762.15
1058.31	428.3	8799.74
1058.41	428.2	8735.73
1058.51	428.1	8746.08
1058.61	428	8699.19
1058.71	427.9	8711.77
1058.81	427.8	8695.69
1058.91	427.7	8747.48
1059.01	427.6	8750.71
1059.11	427.5	8723.49
1059.21	427.4	8704.51
1059.31	427.3	8821.59
1059.41	427.2	8761.28
1059.51	427.1	8785.32
1059.61	427	8785.1
1059.71	426.9	8765.31
1059.81	426.8	8848.09
1059.91	426.7	8841.54
1060.01	426.6	8816.9
1060.11	426.5	8742.5
1060.21	426.4	8794.81
1060.31	426.3	8815.1
1060.41	426.2	8772.2
1060.51	426.1	8868.93
1060.61	426	8846.6
1060.71	425.9	8760.77
1060.81	425.8	8765.3
1060.91	425.7	8780.6
1061.01	425.6	8813.7
1061.11	425.5	8774.81
1061.21	425.4	8842.73
1061.31	425.3	8861.35
1061.41	425.2	8900.36
1061.51	425.1	8878
1061.61	425	8849.4
1061.71	424.9	8835.49
1061.81	424.8	8823.64
1061.91	424.7	8881.49
1062.01	424.6	8838.48
1062.11	424.5	8853.14
1062.21	424.4	8878.84
1062.31	424.3	8847.94
1062.41	424.2	8829.81
1062.51	424.1	8838.91
1062.61	424	8878.98
1062.71	423.9	8820.41
1062.81	423.8	8906.46
1062.91	423.7	8916.4
1063.01	423.6	8883.37
1063.11	423.5	8839.74
1063.21	423.4	8880.72
1063.31	423.3	8916.86
1063.41	423.2	8906.66
1063.51	423.1	8906.19
1063.61	423	8915.39
1063.71	422.9	8974.42
1063.81	422.8	8886.14
1063.91	422.7	8945.26
1064.01	422.6	8915.08
1064.11	422.5	8887.57
1064.21	422.4	8917.02
1064.31	422.3	8933.17
1064.41	422.2	8924.33
1064.51	422.1	8830.26
1064.61	422	8854.05
1064.71	421.9	8890.63
1064.81	421.8	8923.51
1064.91	421.7	8928.97
1065.01	421.6	8951.29
1065.11	421.5	8992.87
1065.21	421.4	8945.68
1065.31	421.3	8887.8
1065.41	421.2	8854.48
1065.51	421.1	8943.63
1065.61	421	8983.6
1065.71	420.9	8952.05
1065.81	420.8	8984.18
1065.91	420.7	8928.27
1066.01	420.6	8945.63
1066.11	420.5	8948.85
1066.21	420.4	8892.16
1066.31	420.3	8914.64
1066.41	420.2	8975.62
1066.51	420.1	8997.39
1066.61	420	8915.38
1066.71	419.9	8840.12
1066.81	419.8	8954.99
1066.91	419.7	8908.56
1067.01	419.6	9064.09
1067.11	419.5	8995.99
1067.21	419.4	8928.19
1067.31	419.3	8977.07
1067.41	419.2	8916.18
1067.51	419.1	8950.61
1067.61	419	8893.34
1067.71	418.9	8840.05
1067.81	418.8	8974.74
1067.91	418.7	8981.64
1068.01	418.6	8948.79
1068.11	418.5	8992.44
1068.21	418.4	9015.35
1068.31	418.3	8938.3
1068.41	418.2	8912.47
1068.51	418.1	8929.51
1068.61	418	8987.58
1068.71	417.9	8954.83
1068.81	417.8	8975.36
1068.91	417.7	8969.92
1069.01	417.6	8955.69
1069.11	417.5	8959.02
1069.21	417.4	8961.06
1069.31	417.3	8934.15
1069.41	417.2	8901.78
1069.51	417.1	8965.05
1069.61	417	9058.93
1069.71	416.9	8971.52
1069.81	416.8	8976.67
1069.91	416.7	9002.6
1070.01	416.6	9031.9
1070.11	416.5	9039.95
1070.21	416.4	9071.02
1070.31	416.3	9105.94
1070.41	416.2	9038.31
1070.51	416.1	8923.88
1070.61	416	9037.14
1070.71	415.9	9003.25
1070.81	415.8	8960.78
1070.91	415.7	8983.3
1071.01	415.6	9087.44
1071.11	415.5	9114.13
1071.21	415.4	9103.54
1071.31	415.3	9090.87
1071.41	415.2	9072.74
1071.51	415.1	9021.7
1071.61	415	9016.66
1071.71	414.9	9089.35
1071.81	414.8	9040.47
1071.91	414.7	9155.42
1072.01	414.6	9122.04
1072.11	414.5	9135.12
1072.21	414.4	9139.29
1072.31	414.3	9107.71
1072.41	414.2	9074.58
1072.51	414.1	9124.6
1072.61	414	9202.82
1072.71	413.9	9228.37
1072.81	413.8	9081.06
1072.91	413.7	9136.14
1073.01	413.6	9074.79
1073.11	413.5	9114.14
1073.21	413.4	9162.16
1073.31	413.3	9129.62
1073.41	413.2	9228.39
1073.51	413.1	9173.01
1073.61	413	9225.94
1073.71	412.9	9198.34
1073.81	412.8	9093.53
1073.91	412.7	9113.51
1074.01	412.6	9160.8
1074.11	412.5	9303.83
1074.21	412.4	9208.32
1074.31	412.3	9222.79
1074.41	412.2	9227.79
1074.51	412.1	9201.38
1074.61	412	9246.61
1074.71	411.9	9194.36
1074.81	411.8	9238.98
1074.91	411.7	9216.61
1075.01	411.6	9163.12
1075.11	411.5	9331.39
1075.21	411.4	9288.36
1075.31	411.3	9277.75
1075.41	411.2	9241.22
1075.51	411.1	9281.69
1075.61	411	9245.77
1075.71	410.9	9223.2
1075.81	410.8	9264.64
1075.91	410.7	9186.88
1076.01	410.6	9338.05
1076.11	410.5	9332.57
1076.21	410.4	9272.34
1076.31	410.3	9301.44
1076.41	410.2	9282.52
1076.51	410.1	9229.95
1076.61	410	9319.08
1076.71	409.9	9266.73
1076.81	409.8	9300.07
1076.91	409.7	9308.67
