C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX322_CEC356_Au_Ag_Cu in H2_1.vms.vms
Ag3d
	Characteristic Energy eV	1486.61	Acquisition Time s	0.9
KE_Ag3d	BE_Ag3d	CPS_Ag3d
1036.61	450	9893.01
1036.71	449.9	9838.76
1036.81	449.8	9879.86
1036.91	449.7	9880.86
1037.01	449.6	9869.1
1037.11	449.5	9901.48
1037.21	449.4	9879.27
1037.31	449.3	9840.54
1037.41	449.2	9902.87
1037.51	449.1	9967.82
1037.61	449	9980.61
1037.71	448.9	9839.57
1037.81	448.8	9815.07
1037.91	448.7	9893.14
1038.01	448.6	9915.7
1038.11	448.5	9844.36
1038.21	448.4	9863.08
1038.31	448.3	9862.5
1038.41	448.2	9870.43
1038.51	448.1	9832.2
1038.61	448	9800.15
1038.71	447.9	9910.57
1038.81	447.8	9922.26
1038.91	447.7	9926
1039.01	447.6	9863.55
1039.11	447.5	9865.45
1039.21	447.4	9865.43
1039.31	447.3	9841.52
1039.41	447.2	9887.77
1039.51	447.1	9852.47
1039.61	447	9836.46
1039.71	446.9	9898.42
1039.81	446.8	9891.43
1039.91	446.7	9840.73
1040.01	446.6	9807.25
1040.11	446.5	9816.27
1040.21	446.4	9866.87
1040.31	446.3	9899
1040.41	446.2	9906.27
1040.51	446.1	9892.73
1040.61	446	9845.59
1040.71	445.9	9864.52
1040.81	445.8	9919.12
1040.91	445.7	9889.17
1041.01	445.6	9902.03
1041.11	445.5	9917.27
1041.21	445.4	9936.74
1041.31	445.3	9900.36
1041.41	445.2	9830.43
1041.51	445.1	9885.01
1041.61	445	9873.81
1041.71	444.9	9917.84
1041.81	444.8	9846.34
1041.91	444.7	9826.18
1042.01	444.6	9817.54
1042.11	444.5	9894.37
1042.21	444.4	9907.64
1042.31	444.3	9911.5
1042.41	444.2	9882.21
1042.51	444.1	9857.41
1042.61	444	9790.59
1042.71	443.9	9840.14
1042.81	443.8	9884.87
1042.91	443.7	9909.05
1043.01	443.6	9884.4
1043.11	443.5	9845.37
1043.21	443.4	9926.08
1043.31	443.3	9840.12
1043.41	443.2	9899.33
1043.51	443.1	9952.08
1043.61	443	9974.77
1043.71	442.9	9904.5
1043.81	442.8	9902.79
1043.91	442.7	9885.14
1044.01	442.6	9828.37
1044.11	442.5	9834.59
1044.21	442.4	9895.42
1044.31	442.3	9946.22
1044.41	442.2	9904.64
1044.51	442.1	9903.75
1044.61	442	9944.25
1044.71	441.9	9926.89
1044.81	441.8	9938.75
1044.91	441.7	9908.35
1045.01	441.6	9912.98
1045.11	441.5	9966.9
1045.21	441.4	9856.4
1045.31	441.3	9903.29
1045.41	441.2	9865.53
1045.51	441.1	9940.78
1045.61	441	9933.63
1045.71	440.9	9887.54
1045.81	440.8	9865.28
1045.91	440.7	9729.57
1046.01	440.6	9843.61
1046.11	440.5	9975.57
1046.21	440.4	9972.61
1046.31	440.3	9840.52
1046.41	440.2	9880.96
1046.51	440.1	9946.06
1046.61	440	9893.21
1046.71	439.9	9893.92
1046.81	439.8	9878.18
1046.91	439.7	9903.09
1047.01	439.6	9926.63
1047.11	439.5	9895.02
1047.21	439.4	9826.28
1047.31	439.3	9862.17
1047.41	439.2	9869.23
1047.51	439.1	9830.89
1047.61	439	9874.25
1047.71	438.9	9941
1047.81	438.8	9948.48
1047.91	438.7	9966.81
1048.01	438.6	9911.42
1048.11	438.5	9917.02
1048.21	438.4	9870.11
1048.31	438.3	9897.21
1048.41	438.2	9915.87
1048.51	438.1	9855.75
1048.61	438	9934.22
1048.71	437.9	9912.21
1048.81	437.8	9946.41
1048.91	437.7	9889.87
1049.01	437.6	9935.17
1049.11	437.5	9898.28
1049.21	437.4	9903.96
1049.31	437.3	9939.33
1049.41	437.2	9943.66
1049.51	437.1	9981.95
1049.61	437	9886.76
1049.71	436.9	9904
1049.81	436.8	9945.57
1049.91	436.7	9828.9
1050.01	436.6	9904.44
1050.11	436.5	9866.74
1050.21	436.4	9871.49
1050.31	436.3	10010.3
1050.41	436.2	9932.5
1050.51	436.1	9945.77
1050.61	436	9995.48
1050.71	435.9	9901.77
1050.81	435.8	9913.83
1050.91	435.7	9851.26
1051.01	435.6	9959.82
1051.11	435.5	9979.51
1051.21	435.4	9944
1051.31	435.3	9933.68
1051.41	435.2	9884.28
1051.51	435.1	9865.67
1051.61	435	9882.04
1051.71	434.9	9863.63
1051.81	434.8	9890.63
1051.91	434.7	9895.71
1052.01	434.6	9964.08
1052.11	434.5	9872.43
1052.21	434.4	9939.44
1052.31	434.3	9880.59
1052.41	434.2	9928.97
1052.51	434.1	9934.18
1052.61	434	9924.91
1052.71	433.9	9845.44
1052.81	433.8	9913.43
1052.91	433.7	9844.11
1053.01	433.6	9899.92
1053.11	433.5	9932.3
1053.21	433.4	9966.66
1053.31	433.3	9974.11
1053.41	433.2	9923.36
1053.51	433.1	9907.98
1053.61	433	9976.93
1053.71	432.9	9965.61
1053.81	432.8	9906.63
1053.91	432.7	9978
1054.01	432.6	9910.03
1054.11	432.5	9944.21
1054.21	432.4	9937.24
1054.31	432.3	9978.25
1054.41	432.2	9943.46
1054.51	432.1	9970.29
1054.61	432	9923.61
1054.71	431.9	9923.23
1054.81	431.8	9972.11
1054.91	431.7	9972.9
1055.01	431.6	9953.99
1055.11	431.5	9925.87
1055.21	431.4	9935.58
1055.31	431.3	9974.8
1055.41	431.2	9990.19
1055.51	431.1	9980.96
1055.61	431	9940.3
1055.71	430.9	9965.05
1055.81	430.8	10005.2
1055.91	430.7	9975.48
1056.01	430.6	9968.3
1056.11	430.5	10003.9
1056.21	430.4	10020.3
1056.31	430.3	9949.41
1056.41	430.2	9905.04
1056.51	430.1	9926.61
1056.61	430	10030.4
1056.71	429.9	9904.38
1056.81	429.8	9964.18
1056.91	429.7	9970.72
1057.01	429.6	9947.96
1057.11	429.5	10020.1
1057.21	429.4	9953.72
1057.31	429.3	9932.03
1057.41	429.2	9919.15
1057.51	429.1	9997.36
