EX322_CEC356_Au_Ag_Cu in H2_1.vms_vb_regions.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey	Background_Survey
799.61	687	55886	55886
800.11	686.5	56165.7	56165.7
800.61	686	55897.7	55897.7
801.11	685.5	56292.7	56292.7
801.61	685	56306.8	56306.8
802.11	684.5	56369.9	56369.9
802.61	684	55866.8	55866.8
803.11	683.5	55867.4	55867.4
803.61	683	56449.5	56449.5
804.11	682.5	56625	56625
804.61	682	56823.3	56823.3
805.11	681.5	56761.8	56761.8
805.61	681	56956.9	56956.9
806.11	680.5	56751.3	56751.3
806.61	680	56822.6	56822.6
807.11	679.5	56668.4	56668.4
807.61	679	57093.9	57093.9
808.11	678.5	56937.9	56937.9
808.61	678	57214.9	57214.9
809.11	677.5	57243.4	57243.4
809.61	677	57441.3	57441.3
810.11	676.5	57110.2	57110.2
810.61	676	57386.1	57386.1
811.11	675.5	57344.5	57344.5
811.61	675	57377	57377
812.11	674.5	57653.2	57653.2
812.61	674	57644.2	57644.2
813.11	673.5	57934.6	57934.6
813.61	673	57617	57617
814.11	672.5	57907.6	57907.6
814.61	672	57933.8	57933.8
815.11	671.5	58005.6	58005.6
815.61	671	58078.7	58078.7
816.11	670.5	58095.9	58095.9
816.61	670	58240.5	58240.5
817.11	669.5	58610.3	58610.3
817.61	669	58511	58511
818.11	668.5	58669.6	58669.6
818.61	668	58824.8	58824.8
819.11	667.5	58766.1	58766.1
819.61	667	58759.3	58759.3
820.11	666.5	58600.9	58600.9
820.61	666	58390	58390
821.11	665.5	58818.6	58818.6
821.61	665	59087.5	59087.5
822.11	664.5	59122.4	59122.4
822.61	664	59038.4	59038.4
823.11	663.5	59318.5	59318.5
823.61	663	59309.7	59309.7
824.11	662.5	59285.2	59285.2
824.61	662	59488	59488
825.11	661.5	59299.3	59299.3
825.61	661	59441	59441
826.11	660.5	60108.8	60108.8
826.61	660	60192.6	60192.6
827.11	659.5	60278.3	60278.3
827.61	659	59786	59786
828.11	658.5	59864.5	59864.5
828.61	658	60149.2	60149.2
829.11	657.5	60094.3	60094.3
829.61	657	60308.4	60308.4
830.11	656.5	60273.8	60273.8
830.61	656	60486.5	60486.5
831.11	655.5	60588.2	60588.2
831.61	655	60681.5	60681.5
832.11	654.5	61006	61006
832.61	654	60800.2	60800.2
833.11	653.5	61040.3	61040.3
833.61	653	60992.8	60992.8
834.11	652.5	61258.1	61258.1
834.61	652	60999.2	60999.2
835.11	651.5	61062.8	61062.8
835.61	651	61447.7	61447.7
836.11	650.5	61361.7	61361.7
836.61	650	61499.8	61499.8
837.11	649.5	61669.9	61669.9
837.61	649	61570.1	61570.1
838.11	648.5	61377.9	61377.9
838.61	648	61428.2	61428.2
839.11	647.5	61643.5	61643.5
839.61	647	62032.1	62032.1
840.11	646.5	61940.6	61940.6
840.61	646	62215.1	62215.1
841.11	645.5	61941.8	61941.8
841.61	645	62126.3	62126.3
842.11	644.5	62190.1	62190.1
842.61	644	62552.9	62552.9
843.11	643.5	62420.7	62420.7
843.61	643	62789.2	62789.2
844.11	642.5	63071.6	63071.6
844.61	642	62811.2	62811.2
845.11	641.5	62975	62975
845.61	641	63199.3	63199.3
846.11	640.5	63267.5	63267.5
846.61	640	63662	63662
847.11	639.5	63719.5	63719.5
847.61	639	63835.2	63835.2
848.11	638.5	63684.1	63684.1
848.61	638	63704.6	63704.6
849.11	637.5	64007.2	64007.2
849.61	637	63873.5	63873.5
850.11	636.5	64060.8	64060.8
850.61	636	64380.1	64380.1
851.11	635.5	64366.9	64366.9
851.61	635	64413	64413
852.11	634.5	64454.5	64454.5
852.61	634	64775.6	64775.6
853.11	633.5	64829.5	64829.5
853.61	633	64924.5	64924.5
854.11	632.5	65067.5	65067.5
854.61	632	65336.6	65336.6
855.11	631.5	65505.1	65505.1
855.61	631	65669.1	65669.1
856.11	630.5	65812.4	65812.4
856.61	630	66023.7	66023.7
857.11	629.5	65869.4	65869.4
857.61	629	66109.4	66109.4
858.11	628.5	66037.4	66037.4
858.61	628	66234	66234
859.11	627.5	66513.9	66513.9
859.61	627	66751	66751
