EX322_CEC356_Au_Ag_Cu in H2_1.vms_vb_regions.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey	Background_Survey
799.61	687	67488.9	67488.9
800.11	686.5	67704.2	67704.2
800.61	686	67645.7	67645.7
801.11	685.5	67779.2	67779.2
801.61	685	67555.5	67555.5
802.11	684.5	67310.5	67310.5
802.61	684	67484.8	67484.8
803.11	683.5	67908.5	67908.5
803.61	683	67934	67934
804.11	682.5	68365.5	68365.5
804.61	682	68704.9	68704.9
805.11	681.5	68144.8	68144.8
805.61	681	68065.3	68065.3
806.11	680.5	68043.5	68043.5
806.61	680	67789.4	67789.4
807.11	679.5	68183.9	68183.9
807.61	679	68062.3	68062.3
808.11	678.5	68469.5	68469.5
808.61	678	68793.3	68793.3
809.11	677.5	68695.8	68695.8
809.61	677	68618.2	68618.2
810.11	676.5	68856	68856
810.61	676	68866.3	68866.3
811.11	675.5	68654.9	68654.9
811.61	675	69090.3	69090.3
812.11	674.5	69143.7	69143.7
812.61	674	69260.4	69260.4
813.11	673.5	69311	69311
813.61	673	69513.6	69513.6
814.11	672.5	69375	69375
814.61	672	69342.3	69342.3
815.11	671.5	69308.5	69308.5
815.61	671	69591.6	69591.6
816.11	670.5	69654.2	69654.2
816.61	670	69795.2	69795.2
817.11	669.5	69657.5	69657.5
817.61	669	69640.7	69640.7
818.11	668.5	69717.5	69717.5
818.61	668	69686.9	69686.9
819.11	667.5	70155.1	70155.1
819.61	667	69903.5	69903.5
820.11	666.5	70029	70029
820.61	666	70311.5	70311.5
821.11	665.5	70349	70349
821.61	665	70422	70422
822.11	664.5	70453.1	70453.1
822.61	664	70280.1	70280.1
823.11	663.5	70487	70487
823.61	663	70897	70897
824.11	662.5	71121.9	71121.9
824.61	662	70906.1	70906.1
825.11	661.5	70831.3	70831.3
825.61	661	70935.5	70935.5
826.11	660.5	70947.2	70947.2
826.61	660	71307.6	71307.6
827.11	659.5	71293.4	71293.4
827.61	659	71593.2	71593.2
828.11	658.5	71419.6	71419.6
828.61	658	71766.3	71766.3
829.11	657.5	71695.2	71695.2
829.61	657	71681.5	71681.5
830.11	656.5	71893.1	71893.1
830.61	656	71890.1	71890.1
831.11	655.5	72118	72118
831.61	655	72144.3	72144.3
832.11	654.5	72195.3	72195.3
832.61	654	72453.3	72453.3
833.11	653.5	72357.9	72357.9
833.61	653	72331.6	72331.6
834.11	652.5	72488.6	72488.6
834.61	652	72628.9	72628.9
835.11	651.5	72395.9	72395.9
835.61	651	72753.6	72753.6
836.11	650.5	72624.6	72624.6
836.61	650	72822.8	72822.8
837.11	649.5	72817.9	72817.9
837.61	649	73006.8	73006.8
