EX322_CEC356_Au_Ag_Cu in H2_1.vms_vb_regions.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey	Background_Survey
295.11	1191.5	14073.8	6333.21
295.61	1191	14101.5	6307.36
296.11	1190.5	13994.9	6281.51
296.61	1190	13746.3	6255.66
297.11	1189.5	13890	6229.81
297.61	1189	13882	6203.96
298.11	1188.5	13491.3	6178.11
298.61	1188	13524.8	6152.26
299.11	1187.5	13439.8	6126.41
299.61	1187	13488.3	6100.56
300.11	1186.5	13496.7	6074.71
300.61	1186	13325.1	6048.86
301.11	1185.5	12950.4	6023.01
301.61	1185	13072.9	5997.16
302.11	1184.5	13010.9	5971.31
302.61	1184	12760.3	5945.46
303.11	1183.5	12599.9	5919.61
303.61	1183	12298.8	5893.76
304.11	1182.5	12112.4	5867.91
304.61	1182	11976.9	5842.06
305.11	1181.5	11741.5	5816.21
305.61	1181	11680.5	5790.36
306.11	1180.5	11361.1	5764.51
306.61	1180	11188.2	5738.66
307.11	1179.5	10934.3	5712.82
307.61	1179	10599.3	5686.97
308.11	1178.5	10499.6	5661.12
308.61	1178	10416.8	5635.27
309.11	1177.5	10384.4	5609.42
309.61	1177	10195	5583.57
310.11	1176.5	10121.2	5557.72
310.61	1176	9906.08	5531.87
311.11	1175.5	10057.7	5506.02
311.61	1175	9741.19	5480.17
312.11	1174.5	9762.86	5454.32
312.61	1174	9662.54	5428.47
313.11	1173.5	9834.55	5402.62
313.61	1173	9695.19	5376.77
314.11	1172.5	9596.08	5350.92
314.61	1172	9478.14	5325.07
315.11	1171.5	9550.53	5299.22
315.61	1171	9611.51	5273.37
316.11	1170.5	9587.8	5247.52
316.61	1170	9569.76	5221.67
317.11	1169.5	9606.33	5195.82
317.61	1169	9764.82	5169.97
318.11	1168.5	9691.99	5144.12
318.61	1168	9909.67	5118.27
319.11	1167.5	9792.11	5092.42
319.61	1167	9730.12	5066.57
320.11	1166.5	9975.25	5040.72
320.61	1166	9849.96	5014.87
321.11	1165.5	10024.1	4989.02
321.61	1165	10052.9	4963.17
322.11	1164.5	9980.18	4937.32
322.61	1164	10275.5	4911.47
323.11	1163.5	10185.4	4885.62
323.61	1163	10169.3	4859.77
324.11	1162.5	10034.9	4833.92
324.61	1162	10406.5	4808.07
325.11	1161.5	10533.1	4782.22
325.61	1161	10641.4	4756.37
326.11	1160.5	10504.6	4730.52
326.61	1160	10382.4	4704.67
327.11	1159.5	10620	4678.82
327.61	1159	10797.1	4652.97
328.11	1158.5	10692.6	4627.12
328.61	1158	10907.3	4601.27
329.11	1157.5	10837.2	4575.42
329.61	1157	10618.4	4549.57
330.11	1156.5	10742	4523.72
330.61	1156	10784.8	4497.87
331.11	1155.5	11129.9	4472.02
331.61	1155	11053.7	4446.17
332.11	1154.5	11126	4420.32
332.61	1154	11302.5	4394.47
333.11	1153.5	11436.4	4368.62
333.61	1153	11514.1	4342.77
334.11	1152.5	11605.3	4316.92
334.61	1152	11797.7	4291.07
335.11	1151.5	11830.4	4265.22
335.61	1151	11949.2	4239.37
336.11	1150.5	12096.4	4213.52
336.61	1150	12105.9	4187.67
337.11	1149.5	12280.7	4161.82
337.61	1149	12606.1	4135.97
338.11	1148.5	12740.4	4110.12
338.61	1148	13041.2	4084.28
339.11	1147.5	13179.2	4058.43
339.61	1147	13022.6	4032.58
340.11	1146.5	13148	4006.73
340.61	1146	12890.3	3980.88
341.11	1145.5	12425	3955.03
341.61	1145	12203.9	3929.18
342.11	1144.5	11666.4	3903.33
342.61	1144	11416.9	3877.48
343.11	1143.5	11467.9	3851.63
343.61	1143	11378.7	3825.78
344.11	1142.5	11437.8	3799.93
344.61	1142	11078.4	3774.08
345.11	1141.5	11553.7	3748.23
345.61	1141	11611.6	3722.38
346.11	1140.5	11664.8	3696.53
346.61	1140	11285.5	3670.68
347.11	1139.5	11402.3	3644.83
347.61	1139	11644.6	3618.98
348.11	1138.5	11794.8	3593.13
348.61	1138	11952.5	3567.28
349.11	1137.5	12506.3	3541.43
349.61	1137	13050.4	3515.58
350.11	1136.5	13524.1	3489.73
350.61	1136	15161.7	3463.88
351.11	1135.5	17639.7	3438.03
351.61	1135	19573.6	3412.18
352.11	1134.5	20774	3386.33
352.61	1134	21161.1	3360.48
353.11	1133.5	20314.2	3334.63
353.61	1133	18835.8	3308.78
354.11	1132.5	16627.7	3282.93
354.61	1132	15145.8	3257.08
355.11	1131.5	13603	3231.23
355.61	1131	12507.7	3205.38
356.11	1130.5	12154.1	3179.53
356.61	1130	12613.9	3153.68
357.11	1129.5	13754.5	3127.83
357.61	1129	14693.8	3101.98
358.11	1128.5	14688.3	3076.13
358.61	1128	13728.1	3050.28
359.11	1127.5	11428.1	3024.43
