EX322_CEC356_Au_Ag_Cu in H2_1.vms_vb_regions.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey	Background_Survey
295.11	1191.5	29153.5	11661.4
295.61	1191	28936	11613.8
296.11	1190.5	28822.3	11566.2
296.61	1190	28616.6	11518.6
297.11	1189.5	28353.1	11471
297.61	1189	28455.1	11423.4
298.11	1188.5	28169.5	11375.8
298.61	1188	28106.6	11328.2
299.11	1187.5	27892.3	11280.6
299.61	1187	27620.6	11233
300.11	1186.5	27350.4	11185.4
300.61	1186	27039.4	11137.8
301.11	1185.5	26902.8	11090.2
301.61	1185	26474.3	11042.6
302.11	1184.5	26134.1	10995
302.61	1184	25235.4	10947.4
303.11	1183.5	24814.7	10899.8
303.61	1183	24108.6	10852.2
304.11	1182.5	23219	10804.6
304.61	1182	23167.8	10757
305.11	1181.5	22312.3	10709.4
305.61	1181	21459.1	10661.8
306.11	1180.5	21055.9	10614.2
306.61	1180	20524.7	10566.6
307.11	1179.5	19611.8	10519
307.61	1179	18765.6	10471.4
308.11	1178.5	18301	10423.8
308.61	1178	17811	10376.2
309.11	1177.5	17032	10328.7
309.61	1177	16875.4	10281.1
310.11	1176.5	16224	10233.5
310.61	1176	15900.2	10185.9
311.11	1175.5	15614.7	10138.3
311.61	1175	15275.8	10090.7
312.11	1174.5	14901.4	10043.1
312.61	1174	14555.2	9995.47
313.11	1173.5	14165.8	9947.87
313.61	1173	14025.2	9900.27
314.11	1172.5	13869.2	9852.68
314.61	1172	13649.6	9805.08
315.11	1171.5	13665	9757.48
315.61	1171	13724.1	9709.88
316.11	1170.5	13657.9	9662.29
316.61	1170	13394.5	9614.69
317.11	1169.5	13707.2	9567.09
317.61	1169	13724.2	9519.49
318.11	1168.5	13283.8	9471.9
318.61	1168	13236	9424.3
319.11	1167.5	13632	9376.7
319.61	1167	13490.1	9329.1
320.11	1166.5	13571.8	9281.51
320.61	1166	13345.9	9233.91
321.11	1165.5	13399.6	9186.31
321.61	1165	13432.9	9138.71
322.11	1164.5	13784.4	9091.12
322.61	1164	13800.4	9043.52
323.11	1163.5	13559.7	8995.92
323.61	1163	13679.7	8948.32
324.11	1162.5	13712.3	8900.73
324.61	1162	14081.6	8853.13
325.11	1161.5	14156.2	8805.53
325.61	1161	14142.7	8757.93
326.11	1160.5	13960.5	8710.34
326.61	1160	14342.4	8662.74
327.11	1159.5	14160.1	8615.14
327.61	1159	14316.7	8567.54
328.11	1158.5	14511.6	8519.95
328.61	1158	14522.2	8472.35
329.11	1157.5	14368.6	8424.75
329.61	1157	14587.8	8377.15
330.11	1156.5	14467.6	8329.56
330.61	1156	14517.5	8281.96
331.11	1155.5	14617.9	8234.36
331.61	1155	15209.4	8186.77
332.11	1154.5	15013.1	8139.17
332.61	1154	15045	8091.57
333.11	1153.5	15545.6	8043.97
333.61	1153	15446.9	7996.38
334.11	1152.5	15218.3	7948.78
334.61	1152	15319.6	7901.18
335.11	1151.5	15558.6	7853.58
335.61	1151	15464.7	7805.99
336.11	1150.5	15614.1	7758.39
336.61	1150	15710.3	7710.79
337.11	1149.5	15974.6	7663.19
337.61	1149	16066.2	7615.6
338.11	1148.5	16039.8	7568
338.61	1148	16251.7	7520.4
339.11	1147.5	16374.3	7472.8
339.61	1147	16534.4	7425.21
340.11	1146.5	16813.4	7377.61
340.61	1146	17047.9	7330.01
341.11	1145.5	17439.3	7282.41
341.61	1145	17704.9	7234.82
342.11	1144.5	17914.6	7187.22
342.61	1144	18309	7139.62
343.11	1143.5	18809.5	7092.02
343.61	1143	19294.9	7044.43
344.11	1142.5	20067.6	6996.83
344.61	1142	20363.8	6949.23
345.11	1141.5	21284.3	6901.63
345.61	1141	21713.4	6854.04
346.11	1140.5	22791.2	6806.44
346.61	1140	23894.1	6758.84
347.11	1139.5	25013.8	6711.24
347.61	1139	26745.1	6663.65
348.11	1138.5	28203	6616.05
348.61	1138	29795.1	6568.45
349.11	1137.5	31752.9	6520.85
349.61	1137	32833.9	6473.26
350.11	1136.5	35292.1	6425.66
350.61	1136	40097.1	6378.06
351.11	1135.5	46517.3	6330.46
351.61	1135	52388.9	6282.87
352.11	1134.5	56543.1	6235.27
352.61	1134	57558.6	6187.67
353.11	1133.5	54997.7	6140.07
353.61	1133	50044.4	6092.48
354.11	1132.5	45397.6	6044.88
354.61	1132	41006	5997.28
355.11	1131.5	36692.6	5949.68
355.61	1131	33316.6	5902.09
356.11	1130.5	32081.4	5854.49
356.61	1130	33737.1	5806.89
357.11	1129.5	37091	5759.29
357.61	1129	39959.2	5711.7
358.11	1128.5	39925.1	5664.1
358.61	1128	37144.9	5616.5
359.11	1127.5	30919	5568.9
359.61	1127	23688	5521.31
360.11	1126.5	18054	5473.71
360.61	1126	14381.6	5426.11
361.11	1125.5	11331	5378.51
361.61	1125	9700.82	5330.92
362.11	1124.5	8865.27	5283.32
362.61	1124	8058.3	5235.72
363.11	1123.5	7108.5	5188.12
363.61	1123	6466.74	5140.53
364.11	1122.5	5773.31	5092.93
364.61	1122	5041.75	5045.33
365.11	1121.5	4262.15	4997.73
365.61	1121	4070.27	4950.14
366.11	1120.5	3549.3	4902.54
366.61	1120	3067.48	4854.94
367.11	1119.5	2774.34	4807.34
367.61	1119	2441.89	4759.75
368.11	1118.5	2239.58	4712.15
368.61	1118	2209.15	4664.55
369.11	1117.5	2171.08	4616.95
369.61	1117	1716.82	4569.36
370.11	1116.5	1532.82	4521.76
370.61	1116	1167.31	4474.16
371.11	1115.5	1104.8	4426.56
371.61	1115	938.078	4378.97
372.11	1114.5	953.502	4331.37
372.61	1114	1034.75	4283.77
373.11	1113.5	1129.46	4236.17
373.61	1113	902.833	4188.58
374.11	1112.5	836.478	4140.98
374.61	1112	623.588	4093.38
375.11	1111.5	513.466	4045.79
375.61	1111	379.283	3998.19
376.11	1110.5	372.027	3950.59
376.61	1110	593.736	3902.99
377.11	1109.5	499.933	3855.4
377.61	1109	310.783	3807.8
378.11	1108.5	193.675	3760.2
378.61	1108	329.912	3712.6
379.11	1107.5	287.977	3665.01
379.61	1107	263.937	3617.41
380.11	1106.5	252.426	3569.81
380.61	1106	149.227	3522.21
381.11	1105.5	340.223	3474.62
381.61	1105	96.7206	3427.02
382.11	1104.5	305.755	3379.42
382.61	1104	218.321	3331.82
383.11	1103.5	329.91	3284.23
383.61	1103	136.469	3236.63
384.11	1102.5	244.974	3189.03
384.61	1102	158.75	3141.43
385.11	1101.5	83.5527	3093.84
385.61	1101	348.542	3046.24
386.11	1100.5	336.526	2998.64
386.61	1100	272.754	2951.04
387.11	1099.5	475.469	2903.45
387.61	1099	361.666	2855.85
388.11	1098.5	494.952	2808.25
388.61	1098	363.493	2760.65
389.11	1097.5	264.335	2713.06
389.61	1097	237.825	2665.46
390.11	1096.5	197.72	2617.86
390.61	1096	18.8784	2570.26
391.11	1095.5	115.32	2522.67
391.61	1095	39.8478	2475.07
392.11	1094.5	301.03	2427.47
392.61	1094	76.9529	2379.87
393.11	1093.5	-71.6053	2332.28
393.61	1093	163.313	2284.68
394.11	1092.5	125.071	2237.08
394.61	1092	146.052	2189.48
395.11	1091.5	131.432	2141.89
395.61	1091	93.5027	2094.29
396.11	1090.5	316.866	2046.69
396.61	1090	90.0619	1999.09
397.11	1089.5	218.207	1951.5
397.61	1089	-3.82993	1903.9
398.11	1088.5	362.012	1856.3
398.61	1088	65.8892	1808.7
399.11	1087.5	239.865	1761.11
399.61	1087	-32.0545	1713.51
400.11	1086.5	144.944	1665.91
400.61	1086	94.8854	1618.31
401.11	1085.5	213.027	1570.72
401.61	1085	165.321	1523.12
402.11	1084.5	160.611	1475.52
402.61	1084	202.054	1427.92
403.11	1083.5	183.929	1380.33
403.61	1083	109.085	1332.73
404.11	1082.5	-6.3389	1285.13
404.61	1082	228.259	1237.53
405.11	1081.5	83.1677	1189.94
405.61	1081	186.942	1142.34
406.11	1080.5	273.259	1094.74
406.61	1080	234.363	1047.14
407.11	1079.5	418.599	999.547
407.61	1079	94.5646	951.949
408.11	1078.5	21.8728	904.352
408.61	1078	166.508	856.754
409.11	1077.5	-185.556	809.157
409.61	1077	-131.299	761.56
410.11	1076.5	148.26	713.962
410.61	1076	311.988	666.365
411.11	1075.5	282.346	618.767
411.61	1075	158.549	571.17
412.11	1074.5	269.183	523.572
412.61	1074	148.856	475.975
413.11	1073.5	243.824	428.377
413.61	1073	125.824	380.78
414.11	1072.5	243.83	333.182
414.61	1072	-155.274	285.585
415.11	1071.5	111.867	237.987
415.61	1071	136.766	190.39
416.11	1070.5	117.348	142.792
416.61	1070	277.128	95.1949
417.11	1069.5	208.901	47.5975
417.61	1069	0	0
