EX322_CEC356_Au_Ag_Cu in H2_1.vms_vb_regions.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey	Background_Survey
1299.11	187.5	12508.4	12508.4
1299.61	187	12578.6	12578.6
1300.11	186.5	12659.2	12659.2
1300.61	186	12733.8	12733.8
1301.11	185.5	12842.2	12842.2
1301.61	185	12842.7	12842.7
1302.11	184.5	12435.7	12435.7
1302.61	184	12763.7	12763.7
1303.11	183.5	12712.5	12712.5
1303.61	183	12667.2	12667.2
1304.11	182.5	12736.3	12736.3
1304.61	182	12798.7	12798.7
1305.11	181.5	12694.9	12694.9
1305.61	181	12729.8	12729.8
1306.11	180.5	12873	12873
1306.61	180	12896.2	12896.2
1307.11	179.5	12755.3	12755.3
1307.61	179	12725.7	12725.7
1308.11	178.5	12690.1	12690.1
1308.61	178	12661.5	12661.5
1309.11	177.5	12843.4	12843.4
1309.61	177	12942.8	12942.8
1310.11	176.5	12887.1	12887.1
1310.61	176	12792	12792
1311.11	175.5	13040.6	13040.6
1311.61	175	13178.8	13178.8
1312.11	174.5	12904.8	12904.8
1312.61	174	13028.3	13028.3
1313.11	173.5	13180.9	13180.9
1313.61	173	12973.3	12973.3
1314.11	172.5	13045.4	13045.4
1314.61	172	13124.2	13124.2
1315.11	171.5	13176.2	13176.2
1315.61	171	12957.9	12957.9
1316.11	170.5	13075.2	13075.2
1316.61	170	13240.7	13240.7
1317.11	169.5	13138.3	13138.3
1317.61	169	13196.9	13196.9
1318.11	168.5	13359.7	13359.7
1318.61	168	13307.6	13307.6
1319.11	167.5	13307.7	13307.7
1319.61	167	13213.7	13213.7
1320.11	166.5	13197.9	13197.9
1320.61	166	13307.1	13307.1
1321.11	165.5	13293.6	13293.6
1321.61	165	13112.4	13112.4
1322.11	164.5	13246.1	13246.1
1322.61	164	13430.8	13430.8
1323.11	163.5	13449.7	13449.7
1323.61	163	13456.4	13456.4
1324.11	162.5	13474.8	13474.8
1324.61	162	13446.2	13446.2
1325.11	161.5	13504.9	13504.9
1325.61	161	13433	13433
1326.11	160.5	13465.6	13465.6
1326.61	160	13503.9	13503.9
1327.11	159.5	13512.4	13512.4
1327.61	159	13556.5	13556.5
1328.11	158.5	13655.7	13655.7
1328.61	158	13598.5	13598.5
1329.11	157.5	13389	13389
1329.61	157	13530.8	13530.8
1330.11	156.5	13580	13580
1330.61	156	13653.1	13653.1
1331.11	155.5	13743.5	13743.5
1331.61	155	13697.6	13697.6
1332.11	154.5	13673.6	13673.6
1332.61	154	13683.5	13683.5
1333.11	153.5	13751.1	13751.1
1333.61	153	13859.2	13859.2
1334.11	152.5	13794.2	13794.2
1334.61	152	13638.2	13638.2
1335.11	151.5	13739.1	13739.1
1335.61	151	13910.9	13910.9
1336.11	150.5	13857.1	13857.1
1336.61	150	13793.1	13793.1
1337.11	149.5	13829.7	13829.7
1337.61	149	14009.9	14009.9
1338.11	148.5	14020.8	14020.8
1338.61	148	14177.4	14177.4
1339.11	147.5	13910.9	13910.9
1339.61	147	13983.6	13983.6
1340.11	146.5	13962.5	13962.5
1340.61	146	14102.9	14102.9
1341.11	145.5	14205.7	14205.7
1341.61	145	14095.5	14095.5
1342.11	144.5	14118.8	14118.8
1342.61	144	14116.4	14116.4
1343.11	143.5	14089.5	14089.5
1343.61	143	14059.9	14059.9
1344.11	142.5	14279.3	14279.3
1344.61	142	14300.7	14300.7
1345.11	141.5	14477.5	14477.5
1345.61	141	14316.2	14316.2
1346.11	140.5	14170.9	14170.9
1346.61	140	14261.2	14261.2
1347.11	139.5	14137.9	14137.9
1347.61	139	14169	14169
1348.11	138.5	14499.9	14499.9
1348.61	138	14434.7	14434.7
1349.11	137.5	14488.8	14488.8
1349.61	137	14388.1	14388.1
1350.11	136.5	14479.3	14479.3
1350.61	136	14567	14567
1351.11	135.5	14562	14562
1351.61	135	14409	14409
1352.11	134.5	14405.8	14405.8
1352.61	134	14538.1	14538.1
1353.11	133.5	14639.5	14639.5
1353.61	133	14691.7	14691.7
1354.11	132.5	14627.8	14627.8
1354.61	132	14737.6	14737.6
1355.11	131.5	14716.5	14716.5
1355.61	131	14791.3	14791.3
1356.11	130.5	14640.9	14640.9
1356.61	130	14854.4	14854.4
1357.11	129.5	14789.6	14789.6
1357.61	129	14810.3	14810.3
1358.11	128.5	14834.8	14834.8
1358.61	128	14698.1	14698.1
1359.11	127.5	14763.9	14763.9
1359.61	127	14924.7	14924.7
1360.11	126.5	14935.8	14935.8
1360.61	126	15048.3	15048.3
