EX322_CEC356_Au_Ag_Cu in H2_1.vms_vb_regions.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey	Background_Survey
1299.11	187.5	13965.2	13965.2
1299.61	187	13900.1	13900.1
1300.11	186.5	13949.8	13949.8
1300.61	186	13984.4	13984.4
1301.11	185.5	14181.6	14181.6
1301.61	185	14009.9	14009.9
1302.11	184.5	13976.5	13976.5
1302.61	184	14073.3	14073.3
1303.11	183.5	14126	14126
1303.61	183	14105.1	14105.1
1304.11	182.5	14048.2	14048.2
1304.61	182	14111.1	14111.1
1305.11	181.5	14229.5	14229.5
1305.61	181	14149.8	14149.8
1306.11	180.5	14156.7	14156.7
1306.61	180	14251.5	14251.5
1307.11	179.5	14188.9	14188.9
1307.61	179	14327.3	14327.3
1308.11	178.5	14310.7	14310.7
1308.61	178	14307.5	14307.5
1309.11	177.5	14340.3	14340.3
1309.61	177	14270.8	14270.8
1310.11	176.5	14313.4	14313.4
1310.61	176	14439.5	14439.5
1311.11	175.5	14504.4	14504.4
1311.61	175	14610	14610
1312.11	174.5	14397.1	14397.1
1312.61	174	14523.3	14523.3
1313.11	173.5	14568.7	14568.7
1313.61	173	14422.7	14422.7
1314.11	172.5	14514.2	14514.2
1314.61	172	14564.5	14564.5
1315.11	171.5	14516.6	14516.6
1315.61	171	14588.9	14588.9
1316.11	170.5	14575.9	14575.9
1316.61	170	14545	14545
1317.11	169.5	14597.3	14597.3
1317.61	169	14585.4	14585.4
1318.11	168.5	14542.2	14542.2
1318.61	168	14588.5	14588.5
1319.11	167.5	14692.8	14692.8
1319.61	167	14596.5	14596.5
1320.11	166.5	14638.3	14638.3
1320.61	166	14720.2	14720.2
1321.11	165.5	14813.4	14813.4
1321.61	165	14970.4	14970.4
1322.11	164.5	14934.4	14934.4
1322.61	164	14851.6	14851.6
1323.11	163.5	14821.4	14821.4
1323.61	163	14827.9	14827.9
1324.11	162.5	14907.3	14907.3
1324.61	162	14990.7	14990.7
1325.11	161.5	14873.2	14873.2
1325.61	161	14985.3	14985.3
1326.11	160.5	15144.3	15144.3
1326.61	160	14957.5	14957.5
1327.11	159.5	14999.9	14999.9
1327.61	159	15081.3	15081.3
1328.11	158.5	14884.1	14884.1
1328.61	158	14931.8	14931.8
1329.11	157.5	15061.8	15061.8
1329.61	157	15005	15005
1330.11	156.5	14967.7	14967.7
1330.61	156	15161.4	15161.4
1331.11	155.5	15123.5	15123.5
1331.61	155	15079.7	15079.7
1332.11	154.5	15278.5	15278.5
1332.61	154	15227.5	15227.5
1333.11	153.5	15411.6	15411.6
1333.61	153	15305	15305
1334.11	152.5	15277.8	15277.8
1334.61	152	15365.9	15365.9
1335.11	151.5	15166.5	15166.5
1335.61	151	15250.4	15250.4
1336.11	150.5	15259.6	15259.6
1336.61	150	15349.4	15349.4
1337.11	149.5	15552.6	15552.6
1337.61	149	15398.1	15398.1
1338.11	148.5	15417	15417
1338.61	148	15453.7	15453.7
1339.11	147.5	15560.9	15560.9
1339.61	147	15433.6	15433.6
1340.11	146.5	15562.9	15562.9
1340.61	146	15552.3	15552.3
1341.11	145.5	15512.9	15512.9
1341.61	145	15543.2	15543.2
1342.11	144.5	15676.4	15676.4
1342.61	144	15546.9	15546.9
1343.11	143.5	15581.2	15581.2
1343.61	143	15590.8	15590.8
1344.11	142.5	15798	15798
1344.61	142	15718.7	15718.7
1345.11	141.5	15759.1	15759.1
1345.61	141	15564.4	15564.4
1346.11	140.5	15740.7	15740.7
1346.61	140	15657.1	15657.1
1347.11	139.5	15766.5	15766.5
1347.61	139	15825	15825
1348.11	138.5	15764.4	15764.4
1348.61	138	15799.3	15799.3
1349.11	137.5	15954.6	15954.6
1349.61	137	15891.7	15891.7
1350.11	136.5	15800.3	15800.3
1350.61	136	15937.6	15937.6
1351.11	135.5	16014.9	16014.9
1351.61	135	15965.4	15965.4
1352.11	134.5	15818.3	15818.3
1352.61	134	15873.8	15873.8
1353.11	133.5	16117.6	16117.6
1353.61	133	16156	16156
1354.11	132.5	16184.8	16184.8
1354.61	132	16073	16073
1355.11	131.5	16093.5	16093.5
1355.61	131	16114.3	16114.3
1356.11	130.5	16263.7	16263.7
1356.61	130	16278.8	16278.8
1357.11	129.5	16257.1	16257.1
1357.61	129	16233.8	16233.8
1358.11	128.5	16300.4	16300.4
1358.61	128	16256.1	16256.1
1359.11	127.5	16546.1	16546.1
1359.61	127	16413.8	16413.8
1360.11	126.5	16474.3	16474.3
1360.61	126	16481.6	16481.6
1361.11	125.5	16338.2	16338.2
1361.61	125	16536.9	16536.9
1362.11	124.5	16602	16602
1362.61	124	16410.7	16410.7
1363.11	123.5	16535.4	16535.4
1363.61	123	16750.2	16750.2
1364.11	122.5	16792.5	16792.5
1364.61	122	16779.2	16779.2
1365.11	121.5	16776.5	16776.5
1365.61	121	16771.6	16771.6
1366.11	120.5	16744.1	16744.1
1366.61	120	16713.5	16713.5
1367.11	119.5	16711.6	16711.6
1367.61	119	16493	16493
1368.11	118.5	16808.9	16808.9
1368.61	118	16951.7	16951.7
1369.11	117.5	16871.9	16871.9
1369.61	117	16887.8	16887.8
1370.11	116.5	16862.6	16862.6
1370.61	116	16888.8	16888.8
1371.11	115.5	16934.2	16934.2
1371.61	115	16897.9	16897.9
1372.11	114.5	17066.6	17066.6
1372.61	114	17072.6	17072.6
1373.11	113.5	17040.1	17040.1
1373.61	113	17097.7	17097.7
1374.11	112.5	17202.7	17202.7
1374.61	112	17263.1	17263.1
1375.11	111.5	17335.1	17335.1
1375.61	111	17367.1	17367.1
1376.11	110.5	17294.3	17294.3
1376.61	110	17314.7	17314.7
1377.11	109.5	17416.7	17416.7
1377.61	109	17445.5	17445.5
1378.11	108.5	17438.9	17438.9
1378.61	108	17483.2	17483.2
1379.11	107.5	17534.2	17534.2
1379.61	107	17698.7	17698.7
1380.11	106.5	17878.5	17878.5
1380.61	106	17827.9	17827.9
1381.11	105.5	18030.3	18030.3
1381.61	105	18307.5	18307.5
1382.11	104.5	18358	18358
1382.61	104	18261.6	18261.6
1383.11	103.5	18533.3	18533.3
1383.61	103	18664.9	18664.9
1384.11	102.5	19048.9	19048.9
1384.61	102	19462.9	19462.9
1385.11	101.5	19902.7	19902.7
1385.61	101	20176.1	20176.1
1386.11	100.5	20624.7	20624.7
1386.61	100	21405.9	21405.9
1387.11	99.5	22272.7	22272.7
1387.61	99	22853.7	22853.7
1388.11	98.5	23862.9	23862.9
1388.61	98	24656.7	24656.7
1389.11	97.5	25046.8	25046.8
1389.61	97	25053.7	25053.7
1390.11	96.5	24845.7	24845.7
1390.61	96	24112.1	24112.1
1391.11	95.5	23003.7	23003.7
1391.61	95	21682.5	21682.5
1392.11	94.5	20759.3	20759.3
1392.61	94	19811.1	19811.1
1393.11	93.5	18990.8	18990.8
1393.61	93	18534.2	18534.2
1394.11	92.5	18155.1	18155.1
1394.61	92	17724.1	17724.1
1395.11	91.5	17533.3	17533.3
1395.61	91	17283.6	17283.6
1396.11	90.5	17037.5	17037.5
1396.61	90	17101.9	17101.9
1397.11	89.5	17072.6	17072.6
1397.61	89	16967.2	16967.2
1398.11	88.5	16993.9	16993.9
1398.61	88	16971.5	16971.5
1399.11	87.5	16993.5	16993.5
1399.61	87	17098.4	17098.4
1400.11	86.5	17078.2	17078.2
1400.61	86	17061.9	17061.9
1401.11	85.5	17079.9	17079.9
1401.61	85	17226.2	17226.2
1402.11	84.5	17212.4	17212.4
1402.61	84	17133.8	17133.8
1403.11	83.5	16982.7	16982.7
1403.61	83	17100.1	17100.1
1404.11	82.5	17136.8	17136.8
1404.61	82	17061.7	17061.7
1405.11	81.5	17167.7	17167.7
1405.61	81	17169.7	17169.7
1406.11	80.5	17167	17167
1406.61	80	17100.4	17100.4
1407.11	79.5	17303.1	17303.1
1407.61	79	17094.1	17094.1
1408.11	78.5	17272.6	17272.6
1408.61	78	17303.5	17303.5
1409.11	77.5	17411.8	17411.8
1409.61	77	17551.5	17551.5
1410.11	76.5	17662.1	17662.1
1410.61	76	17786.3	17786.3
1411.11	75.5	17978.3	17978.3
1411.61	75	17993.6	17993.6
1412.11	74.5	18108	18108
1412.61	74	18223.3	18223.3
1413.11	73.5	18552.7	18552.7
1413.61	73	18601.5	18601.5
1414.11	72.5	18829.8	18829.8
1414.61	72	19079.7	19079.7
1415.11	71.5	19375.8	19375.8
1415.61	71	19501.3	19501.3
1416.11	70.5	19968.7	19968.7
1416.61	70	20199.6	20199.6
1417.11	69.5	20613.3	20613.3
1417.61	69	20986.2	20986.2
1418.11	68.5	21613.5	21613.5
1418.61	68	22468	22468
1419.11	67.5	23189.2	23189.2
1419.61	67	23817.2	23817.2
1420.11	66.5	24455.6	24455.6
1420.61	66	25474.6	25474.6
1421.11	65.5	26352.9	26352.9
1421.61	65	27061.9	27061.9
1422.11	64.5	27602.3	27602.3
1422.61	64	28038.6	28038.6
1423.11	63.5	28393.5	28393.5
1423.61	63	28685.4	28685.4
1424.11	62.5	29069.6	29069.6
1424.61	62	29448.1	29448.1
1425.11	61.5	29733.3	29733.3
1425.61	61	30214.7	30214.7
1426.11	60.5	30617.2	30617.2
1426.61	60	30664.7	30664.7
1427.11	59.5	30840.9	30840.9
1427.61	59	30969.5	30969.5
1428.11	58.5	30869	30869
1428.61	58	30471.5	30471.5
1429.11	57.5	29848.9	29848.9
1429.61	57	28643.1	28643.1
1430.11	56.5	27513	27513
1430.61	56	25755.7	25755.7
1431.11	55.5	24063.6	24063.6
1431.61	55	22199.3	22199.3
1432.11	54.5	20404.2	20404.2
1432.61	54	18753	18753
1433.11	53.5	17325.9	17325.9
1433.61	53	15767.4	15767.4
1434.11	52.5	14858.7	14858.7
1434.61	52	13735.3	13735.3
1435.11	51.5	12791.5	12791.5
1435.61	51	12070	12070
1436.11	50.5	11453.2	11453.2
1436.61	50	10820.6	10820.6
1437.11	49.5	10445.5	10445.5
1437.61	49	9867.8	9867.8
1438.11	48.5	9601.67	9601.67
1438.61	48	9249.43	9249.43
1439.11	47.5	9006.74	9006.74
1439.61	47	8825.11	8825.11
1440.11	46.5	8720.92	8720.92
1440.61	46	8512.4	8512.4
1441.11	45.5	8317.59	8317.59
1441.61	45	8352.33	8352.33
1442.11	44.5	8124.96	8124.96
1442.61	44	8055.01	8055.01
1443.11	43.5	8021.3	8021.3
1443.61	43	7997.08	7997.08
