C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX322_CEC356_Au_Ag_Cu in H2_1.vms.vms
Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	0.9
KE_Au4f	BE_Au4f	CPS_Au4f
1311.61	175	8189
1311.71	174.9	8299.23
1311.81	174.8	8275.35
1311.91	174.7	8235.21
1312.01	174.6	8218.93
1312.11	174.5	8210.84
1312.21	174.4	8230.35
1312.31	174.3	8250.75
1312.41	174.2	8251.44
1312.51	174.1	8305.73
1312.61	174	8295.28
1312.71	173.9	8332.77
1312.81	173.8	8267.68
1312.91	173.7	8275.1
1313.01	173.6	8272.6
1313.11	173.5	8200.83
1313.21	173.4	8286.38
1313.31	173.3	8274.47
1313.41	173.2	8242.86
1313.51	173.1	8267
1313.61	173	8291.37
1313.71	172.9	8276.14
1313.81	172.8	8263
1313.91	172.7	8270.34
1314.01	172.6	8253.87
1314.11	172.5	8226.97
1314.21	172.4	8295.61
1314.31	172.3	8343.04
1314.41	172.2	8255.24
1314.51	172.1	8294.11
1314.61	172	8287.13
1314.71	171.9	8300.44
1314.81	171.8	8316.07
1314.91	171.7	8309.86
1315.01	171.6	8233.54
1315.11	171.5	8271.78
1315.21	171.4	8321.53
1315.31	171.3	8266.67
1315.41	171.2	8291.35
1315.51	171.1	8271.47
1315.61	171	8268.45
1315.71	170.9	8353.68
1315.81	170.8	8349.01
1315.91	170.7	8343.04
1316.01	170.6	8367.19
1316.11	170.5	8321.42
1316.21	170.4	8343.57
1316.31	170.3	8365.06
1316.41	170.2	8411.7
1316.51	170.1	8331.51
1316.61	170	8312.14
1316.71	169.9	8378.45
1316.81	169.8	8327.99
1316.91	169.7	8328.46
1317.01	169.6	8380.7
1317.11	169.5	8367.2
1317.21	169.4	8389.95
1317.31	169.3	8443.26
1317.41	169.2	8408.47
1317.51	169.1	8407.12
1317.61	169	8388.27
1317.71	168.9	8390.99
1317.81	168.8	8388.05
1317.91	168.7	8425
1318.01	168.6	8414.02
1318.11	168.5	8414.26
1318.21	168.4	8437.48
1318.31	168.3	8411.37
1318.41	168.2	8422.83
1318.51	168.1	8434.34
1318.61	168	8411.02
1318.71	167.9	8422.11
1318.81	167.8	8366.27
1318.91	167.7	8418.1
1319.01	167.6	8455.51
1319.11	167.5	8364.86
1319.21	167.4	8343.98
1319.31	167.3	8392.87
1319.41	167.2	8425.96
1319.51	167.1	8412.07
1319.61	167	8437.13
1319.71	166.9	8457.61
1319.81	166.8	8382.82
1319.91	166.7	8414.38
1320.01	166.6	8376.19
1320.11	166.5	8439.99
1320.21	166.4	8380.44
1320.31	166.3	8338.3
1320.41	166.2	8483.38
1320.51	166.1	8499.57
1320.61	166	8452.15
1320.71	165.9	8389.28
1320.81	165.8	8469.31
1320.91	165.7	8464.57
1321.01	165.6	8441.36
1321.11	165.5	8422.6
1321.21	165.4	8432.48
1321.31	165.3	8426.81
1321.41	165.2	8493.57
1321.51	165.1	8459.12
1321.61	165	8462.4
1321.71	164.9	8412.4
1321.81	164.8	8529.84
1321.91	164.7	8512.79
1322.01	164.6	8531.76
1322.11	164.5	8480.82
1322.21	164.4	8482.99
1322.31	164.3	8480.07
1322.41	164.2	8514.43
1322.51	164.1	8503.54
1322.61	164	8488.39
1322.71	163.9	8466.07
1322.81	163.8	8487.81
1322.91	163.7	8558.34
1323.01	163.6	8486.84
1323.11	163.5	8459.59
1323.21	163.4	8533.63
1323.31	163.3	8505.5
1323.41	163.2	8548.85
1323.51	163.1	8510.34
1323.61	163	8523.28
1323.71	162.9	8544.58
1323.81	162.8	8522.28
1323.91	162.7	8573.15
1324.01	162.6	8536.28
1324.11	162.5	8502.41
1324.21	162.4	8578.96
1324.31	162.3	8596.86
1324.41	162.2	8582.51
1324.51	162.1	8543.8
1324.61	162	8649.41
1324.71	161.9	8599.36
1324.81	161.8	8581.31
1324.91	161.7	8559.79
1325.01	161.6	8632.83
1325.11	161.5	8609.03
1325.21	161.4	8615.83
1325.31	161.3	8551.38
1325.41	161.2	8586.95
1325.51	161.1	8571.25
1325.61	161	8612.16
1325.71	160.9	8637.19
1325.81	160.8	8652.23
1325.91	160.7	8623.03
1326.01	160.6	8549.99
1326.11	160.5	8493.75
1326.21	160.4	8542.43
1326.31	160.3	8563.57
1326.41	160.2	8597.88
1326.51	160.1	8649.79
1326.61	160	8584.03
1326.71	159.9	8623.95
1326.81	159.8	8642.13
1326.91	159.7	8693.88
1327.01	159.6	8624.99
1327.11	159.5	8649.22
1327.21	159.4	8645.76
1327.31	159.3	8662.8
1327.41	159.2	8620.01
1327.51	159.1	8626.53
1327.61	159	8727.72
1327.71	158.9	8669.83
1327.81	158.8	8673.41
1327.91	158.7	8624.33
1328.01	158.6	8633.3
1328.11	158.5	8668.56
1328.21	158.4	8690.47
1328.31	158.3	8714.9
1328.41	158.2	8797.15
1328.51	158.1	8672.6
1328.61	158	8624.01
1328.71	157.9	8617.39
1328.81	157.8	8711.13
1328.91	157.7	8712.52
1329.01	157.6	8723.4
1329.11	157.5	8708.52
1329.21	157.4	8635.61
1329.31	157.3	8714.87
1329.41	157.2	8662.13
1329.51	157.1	8697.02
1329.61	157	8677.48
1329.71	156.9	8664.4
1329.81	156.8	8727.62
1329.91	156.7	8632.45
1330.01	156.6	8657.69
1330.11	156.5	8770.52
1330.21	156.4	8704.18
1330.31	156.3	8769.84
1330.41	156.2	8740.46
1330.51	156.1	8728.31
1330.61	156	8805.08
1330.71	155.9	8776.28
1330.81	155.8	8736.24
1330.91	155.7	8775.58
1331.01	155.6	8739.34
1331.11	155.5	8714.05
1331.21	155.4	8719.48
1331.31	155.3	8723.81
1331.41	155.2	8726.12
1331.51	155.1	8730.62
1331.61	155	8779.81
1331.71	154.9	8830.42
1331.81	154.8	8739.71
1331.91	154.7	8782.64
1332.01	154.6	8831.39
1332.11	154.5	8803.24
1332.21	154.4	8831.38
1332.31	154.3	8795.7
1332.41	154.2	8798.39
1332.51	154.1	8809.5
1332.61	154	8850.53
1332.71	153.9	8898.3
1332.81	153.8	8854.46
1332.91	153.7	8896.82
1333.01	153.6	8824.53
1333.11	153.5	8820.52
1333.21	153.4	8838.17
1333.31	153.3	8850.24
1333.41	153.2	8919.79
1333.51	153.1	8928.16
1333.61	153	8872.79
1333.71	152.9	8933.78
1333.81	152.8	8830.4
1333.91	152.7	8819.63
1334.01	152.6	8849.88
1334.11	152.5	8859.78
1334.21	152.4	8916.59
1334.31	152.3	8919.33
1334.41	152.2	8954.21
1334.51	152.1	8961.05
1334.61	152	8862.49
1334.71	151.9	8944.62
1334.81	151.8	8958.7
1334.91	151.7	8890.34
1335.01	151.6	8941.81
1335.11	151.5	8937.57
1335.21	151.4	8990.34
1335.31	151.3	9025.35
1335.41	151.2	9067.85
1335.51	151.1	9057.59
1335.61	151	8990.11
1335.71	150.9	8980.25
1335.81	150.8	8901
1335.91	150.7	8907.66
1336.01	150.6	9009.24
1336.11	150.5	9021.03
1336.21	150.4	9029.34
1336.31	150.3	9010.9
1336.41	150.2	9026.27
1336.51	150.1	9065.05
1336.61	150	9028.98
1336.71	149.9	8973.73
1336.81	149.8	9034.98
1336.91	149.7	8996.02
1337.01	149.6	9029.68
1337.11	149.5	8960.4
1337.21	149.4	8974.66
1337.31	149.3	9026.17
1337.41	149.2	9045.31
1337.51	149.1	9060.76
1337.61	149	9053.89
1337.71	148.9	9032.48
1337.81	148.8	9025.36
1337.91	148.7	9065.97
1338.01	148.6	9068.36
1338.11	148.5	9090.32
1338.21	148.4	9071.11
1338.31	148.3	9037.23
1338.41	148.2	9061.1
1338.51	148.1	9046.09
1338.61	148	9019.73
1338.71	147.9	9005.2
1338.81	147.8	9065.74
1338.91	147.7	9117.31
1339.01	147.6	9095.94
1339.11	147.5	9109.75
1339.21	147.4	9105.49
1339.31	147.3	9037.22
1339.41	147.2	9090.01
1339.51	147.1	9102.63
1339.61	147	9109.23
1339.71	146.9	9060.53
1339.81	146.8	9098.72
1339.91	146.7	9097.98
1340.01	146.6	9127.82
1340.11	146.5	9142.12
1340.21	146.4	9097.77
1340.31	146.3	9129.13
1340.41	146.2	9168.1
1340.51	146.1	9198.77
1340.61	146	9078.54
1340.71	145.9	9118.14
1340.81	145.8	9094.49
1340.91	145.7	9066.35
1341.01	145.6	9083.13
1341.11	145.5	9112.75
1341.21	145.4	9128.29
1341.31	145.3	9139.98
1341.41	145.2	9115.57
1341.51	145.1	9057.64
1341.61	145	9035.74
1341.71	144.9	9150.81
1341.81	144.8	9110.83
1341.91	144.7	9057.24
1342.01	144.6	9127.02
1342.11	144.5	9122.1
1342.21	144.4	9180.55
1342.31	144.3	9084.26
1342.41	144.2	9099.41
1342.51	144.1	9129.63
1342.61	144	9122.26
1342.71	143.9	9160.05
1342.81	143.8	9122.33
1342.91	143.7	9160.19
