C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX322_CEC356_Au_Ag_Cu in H2_1.vms.vms
Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	0.9
KE_Au4f	BE_Au4f	CPS_Au4f
1311.61	175	9284.28
1311.71	174.9	9237.06
1311.81	174.8	9249.69
1311.91	174.7	9203.24
1312.01	174.6	9245.62
1312.11	174.5	9246.34
1312.21	174.4	9217.41
1312.31	174.3	9309.92
1312.41	174.2	9250.14
1312.51	174.1	9318.04
1312.61	174	9246.9
1312.71	173.9	9262.2
1312.81	173.8	9220.28
1312.91	173.7	9356.65
1313.01	173.6	9278.74
1313.11	173.5	9341.76
1313.21	173.4	9259.37
1313.31	173.3	9234.71
1313.41	173.2	9260.66
1313.51	173.1	9294.64
1313.61	173	9307.92
1313.71	172.9	9294.59
1313.81	172.8	9327.6
1313.91	172.7	9379.63
1314.01	172.6	9343.16
1314.11	172.5	9376.55
1314.21	172.4	9334.28
1314.31	172.3	9362.33
1314.41	172.2	9357.62
1314.51	172.1	9360.49
1314.61	172	9368.48
1314.71	171.9	9300.32
1314.81	171.8	9308.82
1314.91	171.7	9336.5
1315.01	171.6	9328.5
1315.11	171.5	9285.37
1315.21	171.4	9298.88
1315.31	171.3	9364.1
1315.41	171.2	9289.24
1315.51	171.1	9306.01
1315.61	171	9349.55
1315.71	170.9	9373.7
1315.81	170.8	9368.85
1315.91	170.7	9283.01
1316.01	170.6	9322.01
1316.11	170.5	9347.76
1316.21	170.4	9293.57
1316.31	170.3	9275.79
1316.41	170.2	9334.79
1316.51	170.1	9352.87
1316.61	170	9362.97
1316.71	169.9	9369.74
1316.81	169.8	9410.16
1316.91	169.7	9323.59
1317.01	169.6	9364.69
1317.11	169.5	9307.12
1317.21	169.4	9312.04
1317.31	169.3	9348.36
1317.41	169.2	9338.94
1317.51	169.1	9313.83
1317.61	169	9401.06
1317.71	168.9	9425.23
1317.81	168.8	9388.59
1317.91	168.7	9438.76
1318.01	168.6	9432.1
1318.11	168.5	9367.33
1318.21	168.4	9418.74
1318.31	168.3	9422.65
1318.41	168.2	9481.49
1318.51	168.1	9367.73
1318.61	168	9312.78
1318.71	167.9	9351.42
1318.81	167.8	9379.52
1318.91	167.7	9438.83
1319.01	167.6	9425.72
1319.11	167.5	9373.41
1319.21	167.4	9398.31
1319.31	167.3	9388.23
1319.41	167.2	9371.85
1319.51	167.1	9442.9
1319.61	167	9375.55
1319.71	166.9	9343.07
1319.81	166.8	9371.42
1319.91	166.7	9369.95
1320.01	166.6	9403.63
1320.11	166.5	9437.9
1320.21	166.4	9434.42
1320.31	166.3	9503.78
1320.41	166.2	9415.72
1320.51	166.1	9426.45
1320.61	166	9430.92
1320.71	165.9	9395.04
1320.81	165.8	9359.73
1320.91	165.7	9443.11
1321.01	165.6	9399.31
1321.11	165.5	9427.59
1321.21	165.4	9437.44
1321.31	165.3	9509.03
1321.41	165.2	9413.84
1321.51	165.1	9495.77
1321.61	165	9438.05
1321.71	164.9	9381.71
1321.81	164.8	9375.18
1321.91	164.7	9460.67
1322.01	164.6	9503.69
1322.11	164.5	9547.95
1322.21	164.4	9488.23
1322.31	164.3	9521.36
1322.41	164.2	9451.04
1322.51	164.1	9410.7
1322.61	164	9531.38
1322.71	163.9	9526.44
1322.81	163.8	9529.58
1322.91	163.7	9596.34
1323.01	163.6	9505.22
1323.11	163.5	9494.84
1323.21	163.4	9538.23
1323.31	163.3	9560.57
1323.41	163.2	9467.14
1323.51	163.1	9562.99
1323.61	163	9483.31
1323.71	162.9	9512.98
1323.81	162.8	9577.91
1323.91	162.7	9509.01
1324.01	162.6	9653.77
1324.11	162.5	9606.19
1324.21	162.4	9611.06
1324.31	162.3	9575.91
1324.41	162.2	9561.45
1324.51	162.1	9526.42
1324.61	162	9492.17
1324.71	161.9	9470.49
1324.81	161.8	9550.63
1324.91	161.7	9612.67
1325.01	161.6	9546.71
1325.11	161.5	9548.93
1325.21	161.4	9508.79
1325.31	161.3	9565.47
1325.41	161.2	9519.67
1325.51	161.1	9643.74
1325.61	161	9597.36
1325.71	160.9	9565.76
1325.81	160.8	9581.13
1325.91	160.7	9630.66
1326.01	160.6	9605.69
1326.11	160.5	9642.15
1326.21	160.4	9615.47
1326.31	160.3	9655.35
1326.41	160.2	9592.59
1326.51	160.1	9572.55
1326.61	160	9661.67
1326.71	159.9	9597.3
1326.81	159.8	9616.27
1326.91	159.7	9636.4
1327.01	159.6	9613.97
1327.11	159.5	9671.65
1327.21	159.4	9663.99
1327.31	159.3	9612.55
1327.41	159.2	9702.68
1327.51	159.1	9589.54
1327.61	159	9598.49
1327.71	158.9	9623.64
1327.81	158.8	9689.92
1327.91	158.7	9667.07
1328.01	158.6	9657.43
1328.11	158.5	9638.17
1328.21	158.4	9679.11
1328.31	158.3	9665.85
1328.41	158.2	9747.4
1328.51	158.1	9678.23
1328.61	158	9700.69
1328.71	157.9	9737.11
1328.81	157.8	9741.2
1328.91	157.7	9798.09
1329.01	157.6	9669.02
1329.11	157.5	9718
1329.21	157.4	9704.17
1329.31	157.3	9679.75
1329.41	157.2	9692.51
1329.51	157.1	9687.9
1329.61	157	9687.97
1329.71	156.9	9806.72
1329.81	156.8	9753.99
1329.91	156.7	9722.73
1330.01	156.6	9741.05
1330.11	156.5	9785.76
1330.21	156.4	9832.95
1330.31	156.3	9806.42
1330.41	156.2	9752.55
1330.51	156.1	9788.29
1330.61	156	9745.54
1330.71	155.9	9729.31
1330.81	155.8	9807.51
1330.91	155.7	9821.32
1331.01	155.6	9814.46
1331.11	155.5	9760.9
1331.21	155.4	9797.04
1331.31	155.3	9820.49
1331.41	155.2	9812.31
1331.51	155.1	9890.07
1331.61	155	9847.98
1331.71	154.9	9855.36
1331.81	154.8	9897.36
1331.91	154.7	9877.51
1332.01	154.6	9879.28
1332.11	154.5	9822.54
1332.21	154.4	9780.5
1332.31	154.3	9788.02
1332.41	154.2	9789.62
1332.51	154.1	9862.54
1332.61	154	9904.67
1332.71	153.9	9939.85
1332.81	153.8	9846.35
1332.91	153.7	9838.19
1333.01	153.6	9824.79
1333.11	153.5	9925.96
1333.21	153.4	9901.73
1333.31	153.3	9833.21
1333.41	153.2	9941.29
1333.51	153.1	9866.83
1333.61	153	9882.77
1333.71	152.9	9866.65
1333.81	152.8	9869.02
1333.91	152.7	9932.65
1334.01	152.6	9954.04
1334.11	152.5	9907.81
1334.21	152.4	9895.48
1334.31	152.3	9988.77
1334.41	152.2	9929.1
1334.51	152.1	9962.04
1334.61	152	9986.98
1334.71	151.9	9978.08
1334.81	151.8	9898.96
1334.91	151.7	10023.7
1335.01	151.6	10009
1335.11	151.5	10002.5
1335.21	151.4	9927.25
1335.31	151.3	9972.15
1335.41	151.2	9981.28
1335.51	151.1	10061.2
1335.61	151	10033.4
1335.71	150.9	10023
1335.81	150.8	9984.17
1335.91	150.7	10025.7
1336.01	150.6	10076
1336.11	150.5	10078.5
1336.21	150.4	10058.5
1336.31	150.3	10050.7
1336.41	150.2	10010.8
1336.51	150.1	10041
1336.61	150	9995.5
1336.71	149.9	9993.65
1336.81	149.8	10005.3
1336.91	149.7	9913.31
1337.01	149.6	10080.3
1337.11	149.5	10101.7
1337.21	149.4	10000.6
1337.31	149.3	10059.9
1337.41	149.2	10044.3
1337.51	149.1	10120.6
1337.61	149	10021.2
1337.71	148.9	9995.44
1337.81	148.8	10059.8
1337.91	148.7	10117.3
1338.01	148.6	10119.6
1338.11	148.5	10124.3
1338.21	148.4	10095.2
1338.31	148.3	10069.8
1338.41	148.2	10045
1338.51	148.1	10046.4
1338.61	148	10094.7
1338.71	147.9	10103.5
1338.81	147.8	10114
1338.91	147.7	10085.5
1339.01	147.6	10046.9
1339.11	147.5	10139.6
1339.21	147.4	10113.8
1339.31	147.3	10149.6
1339.41	147.2	10074.6
1339.51	147.1	10110.8
1339.61	147	10075.3
1339.71	146.9	10145.7
1339.81	146.8	10112.3
1339.91	146.7	10144.3
1340.01	146.6	10146.8
1340.11	146.5	10146.3
1340.21	146.4	10117.7
1340.31	146.3	10130.8
1340.41	146.2	10145.8
1340.51	146.1	10097.3
1340.61	146	10099
1340.71	145.9	10142.5
1340.81	145.8	10242.4
1340.91	145.7	10132.4
1341.01	145.6	10153
1341.11	145.5	10228.1
1341.21	145.4	10151.3
1341.31	145.3	10132.9
1341.41	145.2	10072.1
1341.51	145.1	10219.8
1341.61	145	10147.1
1341.71	144.9	10074.6
1341.81	144.8	10175.8
1341.91	144.7	10131.4
1342.01	144.6	10134.2
1342.11	144.5	10218.9
1342.21	144.4	10187.6
1342.31	144.3	10151.4
1342.41	144.2	10160.8
1342.51	144.1	10197.7
1342.61	144	10083.7
1342.71	143.9	10142.8
1342.81	143.8	10160.3
1342.91	143.7	10140.7
1343.01	143.6	10179.4
1343.11	143.5	10096.8
1343.21	143.4	10113
1343.31	143.3	10171.2
1343.41	143.2	10175.1
1343.51	143.1	10191.9
1343.61	143	10150.8
1343.71	142.9	10219.5
1343.81	142.8	10204.6
1343.91	142.7	10184.1
1344.01	142.6	10208.3
1344.11	142.5	10122.8
1344.21	142.4	10337.7
1344.31	142.3	10250.9
1344.41	142.2	10266.1
1344.51	142.1	10235.5
1344.61	142	10226.1
1344.71	141.9	10218
1344.81	141.8	10164.5
1344.91	141.7	10213.4
1345.01	141.6	10244.5
1345.11	141.5	10230.7
1345.21	141.4	10243.7
1345.31	141.3	10260.7
1345.41	141.2	10293.8
