EX322_CEC356_Au_Ag_Cu in H2_1.vms_vb_regions.vms
Pr:Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Pr:Survey	BE_Pr:Survey	CPS_Pr:Survey
531.11	955.5	6883.21
531.61	955	6846.64
532.11	954.5	6807.33
532.61	954	7108.5
533.11	953.5	7016
533.61	953	6743.6
534.11	952.5	7324.99
534.61	952	7122.24
535.11	951.5	7235.13
535.61	951	7216.23
536.11	950.5	7105.7
536.61	950	7134.56
537.11	949.5	7137.01
537.61	949	7068.39
538.11	948.5	7133.58
538.61	948	7222.62
539.11	947.5	7171.58
539.61	947	7198.79
540.11	946.5	7354.87
540.61	946	7345.26
541.11	945.5	7313.71
541.61	945	7439.9
542.11	944.5	7158.47
542.61	944	7198.76
543.11	943.5	7284.62
543.61	943	7270.57
544.11	942.5	7539.15
544.61	942	7712.42
545.11	941.5	7573.51
545.61	941	7564.88
546.11	940.5	7458.24
546.61	940	7473.71
547.11	939.5	7322.53
547.61	939	7487.89
548.11	938.5	7613.57
548.61	938	7635.48
549.11	937.5	7513.6
549.61	937	7492.35
550.11	936.5	7607.5
550.61	936	7499.98
551.11	935.5	7660.11
551.61	935	7505.92
552.11	934.5	7504.66
552.61	934	7343.74
553.11	933.5	7537.85
553.61	933	7531.63
554.11	932.5	7893.1
554.61	932	7617.2
555.11	931.5	7642.19
555.61	931	7515.95
556.11	930.5	7525.21
556.61	930	7433.86
557.11	929.5	7605.06
557.61	929	8039.9
558.11	928.5	7893.96
558.61	928	7494.9
559.11	927.5	7794.08
559.61	927	7770.39
560.11	926.5	7743.58
560.61	926	7878.04
561.11	925.5	7612.55
561.61	925	7847.05
562.11	924.5	7833.52
562.61	924	7983.97
563.11	923.5	7906.36
563.61	923	7868.28
564.11	922.5	7903.77
564.61	922	7706.74
565.11	921.5	7905.38
565.61	921	7885.52
566.11	920.5	7711.26
566.61	920	7699.08
567.11	919.5	7941.96
567.61	919	7979.78
568.11	918.5	8140.27
568.61	918	7855.65
569.11	917.5	8130.76
569.61	917	8070.86
570.11	916.5	7720.4
570.61	916	7836.85
571.11	915.5	7975.1
571.61	915	7974.9
572.11	914.5	8083.14
572.61	914	7768.35
573.11	913.5	7956.83
573.61	913	7763.68
574.11	912.5	8155.61
574.61	912	8138.32
575.11	911.5	8222.71
575.61	911	8213.04
576.11	910.5	8275.22
576.61	910	8346.57
577.11	909.5	8379.09
577.61	909	8044.3
578.11	908.5	8220.53
578.61	908	8032.1
579.11	907.5	8068.55
579.61	907	8290.69
580.11	906.5	8623.17
580.61	906	8467.9
581.11	905.5	8111.63
581.61	905	8271.45
582.11	904.5	8108.29
582.61	904	8298.11
583.11	903.5	8249.98
583.61	903	8066.35
584.11	902.5	7935.74
584.61	902	8115.12
585.11	901.5	8157.6
585.61	901	8156.38
586.11	900.5	8269.22
586.61	900	8123.44
587.11	899.5	8058.62
587.61	899	8081.91
588.11	898.5	8385.53
588.61	898	8392.02
589.11	897.5	8546.38
589.61	897	8574.15
590.11	896.5	8225.56
590.61	896	8388.66
591.11	895.5	8447.81
591.61	895	8126.51
592.11	894.5	8321.47
592.61	894	8389.33
593.11	893.5	8563.7
593.61	893	8416.53
594.11	892.5	8293.28
594.61	892	8408.48
595.11	891.5	8454.6
595.61	891	8660.01
596.11	890.5	8481.66
596.61	890	8580.46
597.11	889.5	8519.18
597.61	889	8600.69
598.11	888.5	8606.47
598.61	888	8439.3
599.11	887.5	8446.55
599.61	887	8885.52
600.11	886.5	8623.16
600.61	886	8813.69
601.11	885.5	8341.39
601.61	885	8433.62
602.11	884.5	8415.82
602.61	884	8361.34
603.11	883.5	8768.75
603.61	883	8796.19
604.11	882.5	8764.37
604.61	882	8953.33
605.11	881.5	8646.99
605.61	881	8438.68
606.11	880.5	8470.92
606.61	880	9017.88
607.11	879.5	9013.61
607.61	879	8836.43
608.11	878.5	9141.18
608.61	878	8915.52
609.11	877.5	9220.37
609.61	877	9100.1
610.11	876.5	9077.99
610.61	876	9183.67
611.11	875.5	9304.88
611.61	875	9025.27
612.11	874.5	9047.75
612.61	874	8892.72
613.11	873.5	9027.45
