EX322_CEC356_Au_Ag_Cu in H2_1.vms_vb_regions.vms
Pr:Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Pr:Survey	BE_Pr:Survey	CPS_Pr:Survey
531.11	955.5	9283.83
531.61	955	9265.59
532.11	954.5	9181.82
532.61	954	8923.38
533.11	953.5	9164.64
533.61	953	9254.33
534.11	952.5	9286.21
534.61	952	9388.07
535.11	951.5	9676.54
535.61	951	9088.82
536.11	950.5	9237.98
536.61	950	9456.42
537.11	949.5	9222.79
537.61	949	8971.08
538.11	948.5	9422.84
538.61	948	9315.59
539.11	947.5	9277.49
539.61	947	9507.46
540.11	946.5	9740.79
540.61	946	9712.05
541.11	945.5	9755.53
541.61	945	9525.13
542.11	944.5	9204.24
542.61	944	9365.4
543.11	943.5	9580.53
543.61	943	9386.85
544.11	942.5	9130.85
544.61	942	9397.21
545.11	941.5	9693.63
545.61	941	9684.87
546.11	940.5	9973.79
546.61	940	9721.4
547.11	939.5	9503.45
547.61	939	9901.77
548.11	938.5	9684.7
548.61	938	9659.17
549.11	937.5	9918.65
549.61	937	9672
550.11	936.5	9669.19
550.61	936	9586.56
551.11	935.5	9851.83
551.61	935	9697.53
552.11	934.5	9874.06
552.61	934	10300.2
553.11	933.5	10219.5
553.61	933	9919.27
554.11	932.5	9949.86
554.61	932	9843.72
555.11	931.5	9520.56
555.61	931	9750.06
556.11	930.5	9949.43
556.61	930	9986.88
557.11	929.5	9874.56
557.61	929	9926.06
558.11	928.5	9965.63
558.61	928	10130.8
559.11	927.5	9798.23
559.61	927	10074.3
560.11	926.5	9964.84
560.61	926	10160
561.11	925.5	10146.9
561.61	925	9858.46
562.11	924.5	10159.7
562.61	924	9981.65
563.11	923.5	9937.95
563.61	923	9994.41
564.11	922.5	10108
564.61	922	10128.2
565.11	921.5	10013.5
565.61	921	9900.27
566.11	920.5	9919.6
566.61	920	10018.5
567.11	919.5	10017.9
567.61	919	9968.04
568.11	918.5	10059.4
568.61	918	10450
569.11	917.5	10135.9
569.61	917	10006.9
