C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX322_CEC356_Au_Ag_Cu in H2_1.vms.vms
Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.9
KE_Cu2p	BE_Cu2p	CPS_Cu2p
456.61	1030	15075.3
456.71	1029.9	15124.1
456.81	1029.8	15143.4
456.91	1029.7	14992.4
457.01	1029.6	15055.6
457.11	1029.5	15162.3
457.21	1029.4	15023.8
457.31	1029.3	15099.4
457.41	1029.2	15108.2
457.51	1029.1	15139.1
457.61	1029	15126
457.71	1028.9	15185.4
457.81	1028.8	15185.6
457.91	1028.7	15123.8
458.01	1028.6	15276.8
458.11	1028.5	15167.6
458.21	1028.4	15159.8
458.31	1028.3	15186.6
458.41	1028.2	15258
458.51	1028.1	15222
458.61	1028	15084
458.71	1027.9	15090.9
458.81	1027.8	15219.6
458.91	1027.7	15174.2
459.01	1027.6	15200.9
459.11	1027.5	15285.4
459.21	1027.4	15254.5
459.31	1027.3	15245
459.41	1027.2	15237
459.51	1027.1	15154.1
459.61	1027	15129.4
459.71	1026.9	15225.8
459.81	1026.8	15120.6
459.91	1026.7	15164.9
460.01	1026.6	15258.9
460.11	1026.5	15119.2
460.21	1026.4	15278.3
460.31	1026.3	15343.8
460.41	1026.2	15351.9
460.51	1026.1	15281.7
460.61	1026	15257
460.71	1025.9	15233.5
460.81	1025.8	15265.8
460.91	1025.7	15271.2
461.01	1025.6	15386.6
461.11	1025.5	15273.1
461.21	1025.4	15292.9
461.31	1025.3	15272.4
461.41	1025.2	15305.3
461.51	1025.1	15343.6
461.61	1025	15328.6
461.71	1024.9	15366.3
461.81	1024.8	15324.5
461.91	1024.7	15299.4
462.01	1024.6	15446.2
462.11	1024.5	15456.8
462.21	1024.4	15303.3
462.31	1024.3	15410.9
462.41	1024.2	15296.2
462.51	1024.1	15364.4
462.61	1024	15435.6
462.71	1023.9	15429
462.81	1023.8	15310.3
462.91	1023.7	15386.8
463.01	1023.6	15434.4
463.11	1023.5	15491.1
463.21	1023.4	15413.7
463.31	1023.3	15426.1
463.41	1023.2	15463.6
463.51	1023.1	15470.8
463.61	1023	15646.5
463.71	1022.9	15523
463.81	1022.8	15434.6
463.91	1022.7	15248
464.01	1022.6	15340.7
464.11	1022.5	15427.3
464.21	1022.4	15416.3
464.31	1022.3	15470.2
464.41	1022.2	15455.3
464.51	1022.1	15468.9
464.61	1022	15494
464.71	1021.9	15509.2
464.81	1021.8	15426.9
464.91	1021.7	15573.7
465.01	1021.6	15536.6
465.11	1021.5	15556.4
465.21	1021.4	15540.4
465.31	1021.3	15576.2
465.41	1021.2	15520.9
465.51	1021.1	15499.5
465.61	1021	15479.1
465.71	1020.9	15473.2
465.81	1020.8	15483.3
465.91	1020.7	15540.7
466.01	1020.6	15652.1
466.11	1020.5	15544.1
466.21	1020.4	15550.8
466.31	1020.3	15597
466.41	1020.2	15613.1
466.51	1020.1	15757
466.61	1020	15524.7
466.71	1019.9	15575.7
466.81	1019.8	15616.2
466.91	1019.7	15578.2
467.01	1019.6	15562.8
467.11	1019.5	15665.8
467.21	1019.4	15645
467.31	1019.3	15596.5
467.41	1019.2	15564.1
467.51	1019.1	15630.4
467.61	1019	15546.1
467.71	1018.9	15568.4
467.81	1018.8	15685.7
467.91	1018.7	15708.4
468.01	1018.6	15688.3
468.11	1018.5	15684.5
468.21	1018.4	15637.8
468.31	1018.3	15652.9
468.41	1018.2	15674
468.51	1018.1	15590.2
468.61	1018	15740.9
468.71	1017.9	15795.1
468.81	1017.8	15785.9
468.91	1017.7	15812.6
469.01	1017.6	15749.3
469.11	1017.5	15672.9
469.21	1017.4	15744.9
469.31	1017.3	15800.4
469.41	1017.2	15697.2
469.51	1017.1	15769
469.61	1017	15835.9
469.71	1016.9	15687.6
469.81	1016.8	15696.6
469.91	1016.7	15791.9
470.01	1016.6	15793.7
470.11	1016.5	15798.2
470.21	1016.4	15859.1
470.31	1016.3	15817.4
470.41	1016.2	15850.1
470.51	1016.1	15799.2
470.61	1016	15956
470.71	1015.9	15880.9
470.81	1015.8	15917.2
470.91	1015.7	15794.5
471.01	1015.6	15896.3
471.11	1015.5	15925
471.21	1015.4	15849
471.31	1015.3	15857.7
471.41	1015.2	15834.2
471.51	1015.1	15959.4
471.61	1015	15977.7
471.71	1014.9	15886.7
471.81	1014.8	15973.9
471.91	1014.7	15907.9
472.01	1014.6	15922.7
472.11	1014.5	15993.7
472.21	1014.4	15964.3
472.31	1014.3	15927.1
472.41	1014.2	16005.4
472.51	1014.1	15924.6
472.61	1014	15970.7
472.71	1013.9	15937.8
472.81	1013.8	15921.1
472.91	1013.7	15919.4
473.01	1013.6	16061.5
473.11	1013.5	16065.2
473.21	1013.4	15927.4
473.31	1013.3	15922.3
473.41	1013.2	16041.3
473.51	1013.1	15956
473.61	1013	16112.9
473.71	1012.9	16002.6
473.81	1012.8	16095.5
473.91	1012.7	15993.5
474.01	1012.6	16043.2
474.11	1012.5	16039.3
474.21	1012.4	16049
474.31	1012.3	16068.9
474.41	1012.2	16113.6
474.51	1012.1	16129.3
474.61	1012	16024
474.71	1011.9	16104.8
474.81	1011.8	16230.2
474.91	1011.7	16098.6
475.01	1011.6	16137.5
475.11	1011.5	16044.4
475.21	1011.4	16099.9
475.31	1011.3	16159.2
475.41	1011.2	16143.5
475.51	1011.1	16172.8
475.61	1011	16113.2
475.71	1010.9	16271.3
475.81	1010.8	16189.3
475.91	1010.7	16262.5
476.01	1010.6	16211.3
476.11	1010.5	16153.1
476.21	1010.4	16241.5
476.31	1010.3	16179.4
476.41	1010.2	16149.1
476.51	1010.1	16247.9
476.61	1010	16362.1
476.71	1009.9	16235.8
476.81	1009.8	16191
476.91	1009.7	16232.7
477.01	1009.6	16291.6
477.11	1009.5	16270
477.21	1009.4	16395.5
477.31	1009.3	16241.4
477.41	1009.2	16295.5
477.51	1009.1	16361.6
477.61	1009	16339.7
477.71	1008.9	16236.4
477.81	1008.8	16298.3
477.91	1008.7	16319.4
478.01	1008.6	16228.1
478.11	1008.5	16266.8
478.21	1008.4	16422.7
478.31	1008.3	16254.7
478.41	1008.2	16303.8
478.51	1008.1	16296.1
478.61	1008	16350.8
478.71	1007.9	16337.6
478.81	1007.8	16413.4
478.91	1007.7	16382.3
479.01	1007.6	16322.2
479.11	1007.5	16313
479.21	1007.4	16364.8
479.31	1007.3	16407.2
479.41	1007.2	16382.4
479.51	1007.1	16407.7
479.61	1007	16379.3
479.71	1006.9	16367.9
479.81	1006.8	16393.9
479.91	1006.7	16450.5
480.01	1006.6	16539.3
480.11	1006.5	16573.3
480.21	1006.4	16464
480.31	1006.3	16400.4
480.41	1006.2	16492
480.51	1006.1	16351.8
480.61	1006	16373
480.71	1005.9	16434.4
480.81	1005.8	16590.1
480.91	1005.7	16620.7
481.01	1005.6	16508.6
481.11	1005.5	16499.8
481.21	1005.4	16576.9
481.31	1005.3	16578.2
481.41	1005.2	16635.2
481.51	1005.1	16554.3
481.61	1005	16471.2
481.71	1004.9	16533
481.81	1004.8	16605.6
481.91	1004.7	16592.8
482.01	1004.6	16640.2
482.11	1004.5	16561.3
482.21	1004.4	16563.4
482.31	1004.3	16519.9
482.41	1004.2	16674.6
482.51	1004.1	16561.9
482.61	1004	16591.9
482.71	1003.9	16702.6
482.81	1003.8	16688.7
482.91	1003.7	16676
483.01	1003.6	16715.3
483.11	1003.5	16654.7
483.21	1003.4	16653.6
483.31	1003.3	16674
483.41	1003.2	16666
483.51	1003.1	16604.4
483.61	1003	16640.5
483.71	1002.9	16740.5
483.81	1002.8	16556.2
483.91	1002.7	16688.4
484.01	1002.6	16736
484.11	1002.5	16718.2
484.21	1002.4	16710.9
484.31	1002.3	16629.4
484.41	1002.2	16679.4
484.51	1002.1	16742.4
484.61	1002	16676.4
484.71	1001.9	16749.3
484.81	1001.8	16774.9
484.91	1001.7	16774.5
485.01	1001.6	16742.6
485.11	1001.5	16875
485.21	1001.4	16930.5
485.31	1001.3	16836.8
485.41	1001.2	16755
485.51	1001.1	16848.9
485.61	1001	16979.1
485.71	1000.9	16771.8
485.81	1000.8	16786
485.91	1000.7	16863.8
486.01	1000.6	16933.3
486.11	1000.5	16900.3
486.21	1000.4	16832.4
486.31	1000.3	16881.1
486.41	1000.2	16980.1
486.51	1000.1	17050.9
486.61	1000	17055.3
486.71	999.9	16993.4
486.81	999.8	16913.8
486.91	999.7	16879.8
487.01	999.6	16989.4
487.11	999.5	17010.8
487.21	999.4	16961.7
487.31	999.3	16980.1
487.41	999.2	16959.7
487.51	999.1	17003.1
487.61	999	17008
487.71	998.9	16970.1
487.81	998.8	16940.4
487.91	998.7	16886.6
488.01	998.6	17041.9
488.11	998.5	17141.5
488.21	998.4	17166.2
488.31	998.3	17145.5
488.41	998.2	17160.4
488.51	998.1	17096.4
488.61	998	17044.4
488.71	997.9	17078.6
488.81	997.8	17217.9
488.91	997.7	17171.9
489.01	997.6	17207.8
489.11	997.5	17129.4
489.21	997.4	17138.6
489.31	997.3	17136
489.41	997.2	17060.4
489.51	997.1	17214.6
489.61	997	17107.4
489.71	996.9	17184.1
489.81	996.8	17216.9
489.91	996.7	17180.6
490.01	996.6	17156.4
490.11	996.5	17097.7
490.21	996.4	17168
490.31	996.3	17213.7
490.41	996.2	17245
490.51	996.1	17253.2
490.61	996	17288
490.71	995.9	17374.4
490.81	995.8	17342.4
490.91	995.7	17329.9
491.01	995.6	17341.2
491.11	995.5	17388.7
491.21	995.4	17384.2
491.31	995.3	17434.4
491.41	995.2	17342.3
491.51	995.1	17355.9
491.61	995	17398.3
491.71	994.9	17404.7
491.81	994.8	17385.2
491.91	994.7	17377
492.01	994.6	17308.9
492.11	994.5	17393.6
492.21	994.4	17470.1
492.31	994.3	17456
492.41	994.2	17466
492.51	994.1	17424.9
492.61	994	17379.6
492.71	993.9	17433.4
492.81	993.8	17372.7
492.91	993.7	17362.4
493.01	993.6	17395.7
493.11	993.5	17422.8
493.21	993.4	17352.9
493.31	993.3	17531.3
493.41	993.2	17401.6
493.51	993.1	17380.7
493.61	993	17562.8
493.71	992.9	17609.8
493.81	992.8	17501.6
493.91	992.7	17525
494.01	992.6	17475.7
494.11	992.5	17525.6
494.21	992.4	17679.5
494.31	992.3	17512.9
494.41	992.2	17500.7
494.51	992.1	17504.4
494.61	992	17530.2
494.71	991.9	17543.9
494.81	991.8	17642
494.91	991.7	17653.3
495.01	991.6	17588.5
495.11	991.5	17581
495.21	991.4	17592.6
495.31	991.3	17520.5
495.41	991.2	17458.2
495.51	991.1	17662
495.61	991	17555.7
495.71	990.9	17516.6
495.81	990.8	17591.5
495.91	990.7	17626.5
496.01	990.6	17636.3
496.11	990.5	17676.5
496.21	990.4	17663.7
496.31	990.3	17721.8
496.41	990.2	17601.7
496.51	990.1	17720.4
496.61	990	17683.9
496.71	989.9	17693.4
496.81	989.8	17688.5
496.91	989.7	17726.5
497.01	989.6	17772.1
497.11	989.5	17723
497.21	989.4	17655.2
497.31	989.3	17611.8
497.41	989.2	17668.8
497.51	989.1	17589.8
497.61	989	17729.2
497.71	988.9	17767.9
497.81	988.8	17770.2
497.91	988.7	17739.2
498.01	988.6	17893.3
498.11	988.5	17723.2
498.21	988.4	17793.1
498.31	988.3	17775.6
