C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX322_CEC356_Au_Ag_Cu in H2_1.vms.vms
Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	2.5
KE_Cu2p	BE_Cu2p	CPS_Cu2p
456.61	1030	21083.9
456.71	1029.9	21087.8
456.81	1029.8	21093.9
456.91	1029.7	21066
457.01	1029.6	21100.2
457.11	1029.5	21012.7
457.21	1029.4	21107.4
457.31	1029.3	21124
457.41	1029.2	21129
457.51	1029.1	21121.9
457.61	1029	21063.2
457.71	1028.9	21078.4
457.81	1028.8	21116.4
457.91	1028.7	21093
458.01	1028.6	21166.2
458.11	1028.5	21159
458.21	1028.4	21122.2
458.31	1028.3	21148.3
458.41	1028.2	21229
458.51	1028.1	21144.3
458.61	1028	21141.5
458.71	1027.9	21140.8
458.81	1027.8	21076.5
458.91	1027.7	21158.4
459.01	1027.6	21260.2
459.11	1027.5	21202.1
459.21	1027.4	21179.9
459.31	1027.3	21158.7
459.41	1027.2	21193.3
459.51	1027.1	21262.9
459.61	1027	21176.4
459.71	1026.9	21256.9
459.81	1026.8	21159.1
459.91	1026.7	21244.1
460.01	1026.6	21203.5
460.11	1026.5	21200.8
460.21	1026.4	21259.5
460.31	1026.3	21202.7
460.41	1026.2	21227.3
460.51	1026.1	21228.8
460.61	1026	21277.5
460.71	1025.9	21250.8
460.81	1025.8	21283.1
460.91	1025.7	21204.2
461.01	1025.6	21378.2
461.11	1025.5	21328.8
461.21	1025.4	21274.8
461.31	1025.3	21279.3
461.41	1025.2	21289.7
461.51	1025.1	21342.1
461.61	1025	21294.1
461.71	1024.9	21414.9
461.81	1024.8	21297.5
461.91	1024.7	21284.4
462.01	1024.6	21239.8
462.11	1024.5	21430.3
462.21	1024.4	21332
462.31	1024.3	21418.1
462.41	1024.2	21386.5
462.51	1024.1	21345.8
462.61	1024	21360.4
462.71	1023.9	21337.2
462.81	1023.8	21436.5
462.91	1023.7	21424.9
463.01	1023.6	21348.3
463.11	1023.5	21430.2
463.21	1023.4	21421.4
463.31	1023.3	21364.8
463.41	1023.2	21443
463.51	1023.1	21363.1
463.61	1023	21465.5
463.71	1022.9	21539.3
463.81	1022.8	21503.5
463.91	1022.7	21374.4
464.01	1022.6	21391.7
464.11	1022.5	21384
464.21	1022.4	21495.3
464.31	1022.3	21488.8
464.41	1022.2	21467.4
464.51	1022.1	21481.7
464.61	1022	21517.5
464.71	1021.9	21501.7
464.81	1021.8	21503.7
464.91	1021.7	21512
465.01	1021.6	21482.3
465.11	1021.5	21514.3
465.21	1021.4	21566.6
465.31	1021.3	21673.8
465.41	1021.2	21610.3
465.51	1021.1	21550
465.61	1021	21481.9
465.71	1020.9	21496.5
465.81	1020.8	21505.9
465.91	1020.7	21529.9
466.01	1020.6	21607.2
466.11	1020.5	21551.7
466.21	1020.4	21572.8
466.31	1020.3	21568.6
466.41	1020.2	21571.2
466.51	1020.1	21659.1
466.61	1020	21712.9
466.71	1019.9	21618.9
466.81	1019.8	21543.9
466.91	1019.7	21601.9
467.01	1019.6	21668
467.11	1019.5	21579.6
467.21	1019.4	21584.8
467.31	1019.3	21659.4
467.41	1019.2	21653.8
467.51	1019.1	21668.7
467.61	1019	21669.5
467.71	1018.9	21622.4
467.81	1018.8	21603.9
467.91	1018.7	21571.1
468.01	1018.6	21640.1
468.11	1018.5	21693.1
468.21	1018.4	21825.7
468.31	1018.3	21843.9
468.41	1018.2	21735.2
468.51	1018.1	21722.6
468.61	1018	21692.5
468.71	1017.9	21719.8
468.81	1017.8	21669.7
468.91	1017.7	21777
469.01	1017.6	21774
469.11	1017.5	21751.5
469.21	1017.4	21847.3
469.31	1017.3	21767
469.41	1017.2	21786
469.51	1017.1	21716
469.61	1017	21757.2
469.71	1016.9	21782
469.81	1016.8	21776
469.91	1016.7	21839
470.01	1016.6	21781.6
470.11	1016.5	21798.6
470.21	1016.4	21728.8
470.31	1016.3	21725
470.41	1016.2	21860
470.51	1016.1	21841.9
470.61	1016	21744.1
470.71	1015.9	21755.5
470.81	1015.8	21966.5
470.91	1015.7	21954.4
471.01	1015.6	21832.4
471.11	1015.5	21847.6
471.21	1015.4	21955.2
471.31	1015.3	21941.2
471.41	1015.2	21872.8
471.51	1015.1	21820.8
471.61	1015	21818.6
471.71	1014.9	21894.1
471.81	1014.8	21901.4
471.91	1014.7	21889.5
472.01	1014.6	21987.2
472.11	1014.5	21946.8
472.21	1014.4	21950.8
472.31	1014.3	21978.8
472.41	1014.2	21920.5
472.51	1014.1	21920.1
472.61	1014	22022.8
472.71	1013.9	21836.5
472.81	1013.8	21973.4
472.91	1013.7	22028
