EX322_CEC356_Au_Ag_Cu in H2_1.vms_vb_regions_vb_regions.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey	Background_Survey
299.61	1187	3992.18	3992.18
300.11	1186.5	3791.88	3791.88
300.61	1186	3451.47	3451.47
301.11	1185.5	3796	3796
301.61	1185	3585.88	3585.88
302.11	1184.5	3822.89	3822.89
302.61	1184	3639.18	3639.18
303.11	1183.5	3709.1	3709.1
303.61	1183	3475.58	3475.58
304.11	1182.5	3636.19	3636.19
304.61	1182	3650.7	3650.7
305.11	1181.5	3932.17	3932.17
305.61	1181	3570.97	3570.97
306.11	1180.5	3868.58	3868.58
306.61	1180	3856.25	3856.25
307.11	1179.5	4070.35	4070.35
307.61	1179	3805.78	3805.78
308.11	1178.5	3458.91	3458.91
308.61	1178	3849.03	3849.03
309.11	1177.5	3793.58	3793.58
309.61	1177	3327.31	3327.31
310.11	1176.5	3784.31	3784.31
310.61	1176	3863.96	3863.96
311.11	1175.5	3836.58	3836.58
311.61	1175	3803.85	3803.85
312.11	1174.5	3529.67	3529.67
312.61	1174	3448.8	3448.8
313.11	1173.5	3605.96	3605.96
313.61	1173	3603.03	3603.03
314.11	1172.5	3597.28	3597.28
314.61	1172	3784.56	3784.56
315.11	1171.5	3770.97	3770.97
315.61	1171	3540.39	3540.39
316.11	1170.5	3831.25	3831.25
316.61	1170	3492.73	3492.73
317.11	1169.5	3171.67	3171.67
317.61	1169	3719.67	3719.67
318.11	1168.5	3876.63	3876.63
318.61	1168	3788.09	3788.09
319.11	1167.5	4095.96	4095.96
319.61	1167	3915.98	3915.98
320.11	1166.5	3940.44	3940.44
320.61	1166	3687.99	3687.99
321.11	1165.5	3732.81	3732.81
321.61	1165	4027.33	4027.33
322.11	1164.5	3896.46	3896.46
322.61	1164	3975.8	3975.8
323.11	1163.5	3695.59	3695.59
323.61	1163	3770.39	3770.39
324.11	1162.5	3886.9	3886.9
324.61	1162	3902.07	3902.07
325.11	1161.5	3697.52	3697.52
325.61	1161	3620.41	3620.41
326.11	1160.5	3744.32	3744.32
326.61	1160	3803.73	3803.73
327.11	1159.5	4033.99	4033.99
327.61	1159	3992.79	3992.79
328.11	1158.5	4043.95	4043.95
328.61	1158	4284.78	4284.78
329.11	1157.5	4073.3	4073.3
329.61	1157	3974.01	3974.01
330.11	1156.5	4232.08	4232.08
330.61	1156	3957.36	3957.36
331.11	1155.5	3937.27	3937.27
331.61	1155	4037.35	4037.35
332.11	1154.5	4056.66	4056.66
332.61	1154	4235.14	4235.14
333.11	1153.5	3917.57	3917.57
333.61	1153	3998.21	3998.21
334.11	1152.5	4079.16	4079.16
334.61	1152	3952.42	3952.42
335.11	1151.5	4045.57	4045.57
335.61	1151	3904.47	3904.47
336.11	1150.5	4033.1	4033.1
336.61	1150	4294.88	4294.88
337.11	1149.5	4240.13	4240.13
337.61	1149	3970.06	3970.06
338.11	1148.5	4015.94	4015.94
338.61	1148	4087.73	4087.73
339.11	1147.5	4256.39	4256.39
339.61	1147	4371.48	4371.48
340.11	1146.5	4194.58	4194.58
340.61	1146	4533.87	4533.87
341.11	1145.5	4496.42	4496.42
341.61	1145	4528.14	4528.14
342.11	1144.5	4566.95	4566.95
342.61	1144	4493.38	4493.38
343.11	1143.5	4499.88	4499.88
343.61	1143	4427.28	4427.28
344.11	1142.5	4273.42	4273.42
344.61	1142	4422.6	4422.6
345.11	1141.5	4567.42	4567.42
345.61	1141	4089.58	4089.58
346.11	1140.5	4315.45	4315.45
346.61	1140	4582.85	4582.85
347.11	1139.5	4439.91	4439.91
347.61	1139	4802.7	4802.7
348.11	1138.5	5028.7	5028.7
348.61	1138	4656.9	4656.9
349.11	1137.5	4766.87	4766.87
349.61	1137	4810.94	4810.94
350.11	1136.5	5022.04	5022.04
350.61	1136	4644.92	4644.92
351.11	1135.5	4701	4701
351.61	1135	4808.63	4808.63
352.11	1134.5	4687.77	4687.77
352.61	1134	4787.55	4787.55
353.11	1133.5	5124.21	5124.21
353.61	1133	4794.31	4794.31
354.11	1132.5	4959.79	4959.79
354.61	1132	4964.56	4964.56
355.11	1131.5	4829.72	4829.72
355.61	1131	4993.84	4993.84
356.11	1130.5	5222.94	5222.94
356.61	1130	5110.31	5110.31
357.11	1129.5	4727.83	4727.83
357.61	1129	5400.25	5400.25
358.11	1128.5	4769.97	4769.97
358.61	1128	4881.53	4881.53
359.11	1127.5	4807.07	4807.07
359.61	1127	5179.8	5179.8
360.11	1126.5	5404.84	5404.84
360.61	1126	5401.88	5401.88
361.11	1125.5	5259.46	5259.46
361.61	1125	4972.21	4972.21
362.11	1124.5	5087.15	5087.15
362.61	1124	5387.6	5387.6
363.11	1123.5	5150.65	5150.65
363.61	1123	4988.12	4988.12
364.11	1122.5	5414.14	5414.14
364.61	1122	5746.39	5746.39
365.11	1121.5	5534.7	5534.7
365.61	1121	4990.71	4990.71
366.11	1120.5	5260.31	5260.31
366.61	1120	5599.59	5599.59
367.11	1119.5	5226.67	5226.67
367.61	1119	5471.51	5471.51
368.11	1118.5	5770.21	5770.21
368.61	1118	5488.3	5488.3
369.11	1117.5	5331.96	5331.96
369.61	1117	5782.04	5782.04
370.11	1116.5	5708.03	5708.03
370.61	1116	5475.91	5475.91
371.11	1115.5	5832.77	5832.77
371.61	1115	5815.23	5815.23
372.11	1114.5	5878.11	5878.11
372.61	1114	5795.37	5795.37
373.11	1113.5	6082.96	6082.96
373.61	1113	6050.76	6050.76
374.11	1112.5	5968.65	5968.65
374.61	1112	6262.79	6262.79
375.11	1111.5	6565.59	6565.59
375.61	1111	6776.09	6776.09
376.11	1110.5	6790.45	6790.45
376.61	1110	6452	6452
377.11	1109.5	6350.1	6350.1
377.61	1109	6235.15	6235.15
378.11	1108.5	6102.94	6102.94
378.61	1108	5442.96	5442.96
379.11	1107.5	5586.95	5586.95
379.61	1107	4989.08	4989.08
380.11	1106.5	4454.34	4454.34
380.61	1106	4564.06	4564.06
381.11	1105.5	4463.05	4463.05
381.61	1105	4269	4269
382.11	1104.5	3890.05	3890.05
382.61	1104	3926.52	3926.52
383.11	1103.5	4174.9	4174.9
383.61	1103	4053.43	4053.43
384.11	1102.5	4288.9	4288.9
384.61	1102	4252	4252
385.11	1101.5	4748.54	4748.54
385.61	1101	5046.55	5046.55
386.11	1100.5	5282.41	5282.41
386.61	1100	5539.61	5539.61
387.11	1099.5	6057.96	6057.96
387.61	1099	6955.38	6955.38
388.11	1098.5	7803.84	7803.84
388.61	1098	8089.34	8089.34
389.11	1097.5	8724.73	8724.73
389.61	1097	8789.72	8789.72
390.11	1096.5	8904.25	8904.25
390.61	1096	8713.66	8713.66
391.11	1095.5	8431.24	8431.24
391.61	1095	7329.26	7329.26
392.11	1094.5	6312.87	6312.87
392.61	1094	5832.55	5832.55
393.11	1093.5	4995.32	4995.32
393.61	1093	4686.51	4686.51
394.11	1092.5	3489.97	3489.97
394.61	1092	2928.21	2928.21
395.11	1091.5	2315.14	2315.14
395.61	1091	2365.33	2365.33
396.11	1090.5	1880.16	1880.16
396.61	1090	1685.46	1685.46
397.11	1089.5	1393.2	1393.2
397.61	1089	1387.72	1387.72
398.11	1088.5	887.846	887.846
398.61	1088	717.451	717.451
399.11	1087.5	1104.89	1104.89
399.61	1087	524.585	524.585
400.11	1086.5	292.508	292.508
400.61	1086	761.525	761.525
401.11	1085.5	296.921	296.921
401.61	1085	321.317	321.317
402.11	1084.5	23.3767	23.3767
402.61	1084	132.323	132.323
403.11	1083.5	220.632	220.632
403.61	1083	-171.474	-171.474
