EX322_CEC356_Au_Ag_Cu in H2_1.vms_vb_regions_vb_regions.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey	Background_Survey
299.61	1187	5911.82	5911.82
300.11	1186.5	5856.97	5856.97
300.61	1186	6093.07	6093.07
301.11	1185.5	5983.38	5983.38
301.61	1185	5549.37	5549.37
302.11	1184.5	5904.17	5904.17
302.61	1184	5927.87	5927.87
303.11	1183.5	6307.71	6307.71
303.61	1183	5879.87	5879.87
304.11	1182.5	5937.39	5937.39
304.61	1182	6090.45	6090.45
305.11	1181.5	5998.94	5998.94
305.61	1181	6173.28	6173.28
306.11	1180.5	5854.42	5854.42
306.61	1180	5970.04	5970.04
307.11	1179.5	6012.7	6012.7
307.61	1179	6208.6	6208.6
308.11	1178.5	5822.93	5822.93
308.61	1178	5851.4	5851.4
309.11	1177.5	5744.53	5744.53
309.61	1177	5952.48	5952.48
310.11	1176.5	6155.56	6155.56
310.61	1176	6226.21	6226.21
311.11	1175.5	5983.09	5983.09
311.61	1175	5496.59	5496.59
312.11	1174.5	5806.76	5806.76
312.61	1174	5909.74	5909.74
313.11	1173.5	5705.83	5705.83
313.61	1173	5565.08	5565.08
314.11	1172.5	6156.05	6156.05
314.61	1172	6089.91	6089.91
315.11	1171.5	5925.88	5925.88
315.61	1171	6005.37	6005.37
316.11	1170.5	6054.43	6054.43
316.61	1170	6053.01	6053.01
317.11	1169.5	5849.76	5849.76
317.61	1169	5813.89	5813.89
318.11	1168.5	5839.75	5839.75
318.61	1168	5659.55	5659.55
319.11	1167.5	5446.66	5446.66
319.61	1167	5610.13	5610.13
320.11	1166.5	5843.38	5843.38
320.61	1166	5794.49	5794.49
321.11	1165.5	5713.41	5713.41
321.61	1165	5722.99	5722.99
322.11	1164.5	6633.22	6633.22
322.61	1164	6071.83	6071.83
323.11	1163.5	5605.89	5605.89
323.61	1163	6102.87	6102.87
324.11	1162.5	6027.02	6027.02
324.61	1162	6068.41	6068.41
325.11	1161.5	5555.51	5555.51
325.61	1161	5964.9	5964.9
326.11	1160.5	6189.88	6189.88
326.61	1160	5898.65	5898.65
327.11	1159.5	5686.65	5686.65
327.61	1159	5676.56	5676.56
328.11	1158.5	6155.52	6155.52
328.61	1158	6324.14	6324.14
329.11	1157.5	6654.85	6654.85
329.61	1157	6731.08	6731.08
330.11	1156.5	6125.46	6125.46
330.61	1156	6027.24	6027.24
331.11	1155.5	6285.22	6285.22
331.61	1155	6022.4	6022.4
332.11	1154.5	6147.04	6147.04
332.61	1154	6457.84	6457.84
333.11	1153.5	6124.22	6124.22
333.61	1153	6472.8	6472.8
334.11	1152.5	6467.62	6467.62
334.61	1152	6141	6141
335.11	1151.5	6251.56	6251.56
335.61	1151	6361.66	6361.66
336.11	1150.5	6270.3	6270.3
336.61	1150	6108.84	6108.84
337.11	1149.5	6295.97	6295.97
337.61	1149	6512.46	6512.46
338.11	1148.5	6126.27	6126.27
338.61	1148	6759.2	6759.2
339.11	1147.5	6446.62	6446.62
339.61	1147	7248.68	7248.68
340.11	1146.5	6784.13	6784.13
340.61	1146	6354.55	6354.55
341.11	1145.5	6477.32	6477.32
341.61	1145	6166.46	6166.46
342.11	1144.5	6323.28	6323.28
342.61	1144	6783.07	6783.07
343.11	1143.5	6391.06	6391.06
343.61	1143	6708.06	6708.06
344.11	1142.5	7118.7	7118.7
344.61	1142	6879.11	6879.11
345.11	1141.5	6844.21	6844.21
345.61	1141	7126.88	7126.88
346.11	1140.5	6626.81	6626.81
346.61	1140	6711.04	6711.04
347.11	1139.5	6713.79	6713.79
347.61	1139	7105.87	7105.87
348.11	1138.5	7377.04	7377.04
348.61	1138	7337.33	7337.33
349.11	1137.5	7327.57	7327.57
349.61	1137	7685.57	7685.57
350.11	1136.5	7465.69	7465.69
350.61	1136	7652.03	7652.03
351.11	1135.5	7616.93	7616.93
351.61	1135	7620.11	7620.11
352.11	1134.5	7317.71	7317.71
352.61	1134	7487.57	7487.57
353.11	1133.5	7907.9	7907.9
353.61	1133	7766.65	7766.65
354.11	1132.5	7937.56	7937.56
354.61	1132	7913.23	7913.23
355.11	1131.5	8105.54	8105.54
355.61	1131	7868.54	7868.54
356.11	1130.5	8036.45	8036.45
356.61	1130	7786.45	7786.45
357.11	1129.5	8377.93	8377.93
357.61	1129	8046.44	8046.44
358.11	1128.5	8173.08	8173.08
358.61	1128	8407.24	8407.24
359.11	1127.5	8769.94	8769.94
359.61	1127	8549.27	8549.27
360.11	1126.5	8551.28	8551.28
360.61	1126	8327.27	8327.27
361.11	1125.5	8979.67	8979.67
361.61	1125	9220.43	9220.43
362.11	1124.5	8938.12	8938.12
362.61	1124	9076.98	9076.98
363.11	1123.5	8812.64	8812.64
363.61	1123	8976.1	8976.1
364.11	1122.5	9511.45	9511.45
364.61	1122	9178.07	9178.07
365.11	1121.5	9065.91	9065.91
365.61	1121	9499.24	9499.24
366.11	1120.5	9845.95	9845.95
366.61	1120	9539.09	9539.09
367.11	1119.5	9706.03	9706.03
367.61	1119	9978.25	9978.25
368.11	1118.5	9883.24	9883.24
368.61	1118	10196.6	10196.6
369.11	1117.5	10361	10361
369.61	1117	10420.7	10420.7
370.11	1116.5	10112.7	10112.7
370.61	1116	10696	10696
371.11	1115.5	10333.3	10333.3
371.61	1115	10878.3	10878.3
372.11	1114.5	10841.5	10841.5
372.61	1114	10492.9	10492.9
373.11	1113.5	10701.5	10701.5
373.61	1113	10971.3	10971.3
374.11	1112.5	10879.6	10879.6
374.61	1112	11030.9	11030.9
375.11	1111.5	10904	10904
375.61	1111	11039.3	11039.3
376.11	1110.5	11142.3	11142.3
376.61	1110	11580.5	11580.5
377.11	1109.5	11060.9	11060.9
377.61	1109	11439.5	11439.5
378.11	1108.5	11574.8	11574.8
378.61	1108	11613.1	11613.1
379.11	1107.5	10950.4	10950.4
379.61	1107	11242.2	11242.2
380.11	1106.5	11310	11310
380.61	1106	11006.8	11006.8
381.11	1105.5	10859.7	10859.7
381.61	1105	11018.9	11018.9
382.11	1104.5	10709.9	10709.9
382.61	1104	11139.7	11139.7
383.11	1103.5	12001.5	12001.5
383.61	1103	12573.5	12573.5
384.11	1102.5	12687.7	12687.7
384.61	1102	13441.6	13441.6
385.11	1101.5	14744.6	14744.6
385.61	1101	15585	15585
386.11	1100.5	16608.3	16608.3
386.61	1100	18618.2	18618.2
387.11	1099.5	19918.3	19918.3
387.61	1099	22474.3	22474.3
388.11	1098.5	23997.5	23997.5
388.61	1098	25921.3	25921.3
389.11	1097.5	27765.3	27765.3
