EX322_CEC356_Au_Ag_Cu in H2_1.vms_vb_regions.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey	Background_Survey
1256.61	230	18343.4	18343.4
1257.11	229.5	18426.4	18426.4
1257.61	229	18246.1	18246.1
1258.11	228.5	18184.7	18184.7
1258.61	228	18426.8	18426.8
1259.11	227.5	18282.9	18282.9
1259.61	227	18262.8	18262.8
1260.11	226.5	18286.8	18286.8
1260.61	226	18482.5	18482.5
1261.11	225.5	18531.5	18531.5
1261.61	225	18432.4	18432.4
1262.11	224.5	18384.7	18384.7
1262.61	224	18327.7	18327.7
1263.11	223.5	18398.6	18398.6
1263.61	223	18706.3	18706.3
1264.11	222.5	18543.4	18543.4
1264.61	222	18582.9	18582.9
1265.11	221.5	18520.8	18520.8
1265.61	221	18465.1	18465.1
1266.11	220.5	18527.8	18527.8
1266.61	220	18586.7	18586.7
1267.11	219.5	18723.4	18723.4
1267.61	219	18822.7	18822.7
1268.11	218.5	18899.5	18899.5
1268.61	218	18595.3	18595.3
1269.11	217.5	18601.3	18601.3
1269.61	217	18887.3	18887.3
1270.11	216.5	18700.4	18700.4
1270.61	216	18791.1	18791.1
1271.11	215.5	18742.6	18742.6
1271.61	215	18826.8	18826.8
1272.11	214.5	18902.1	18902.1
1272.61	214	18824.4	18824.4
1273.11	213.5	19032.4	19032.4
1273.61	213	19178.9	19178.9
1274.11	212.5	19043.5	19043.5
1274.61	212	19141.7	19141.7
1275.11	211.5	19129.7	19129.7
1275.61	211	18940.8	18940.8
1276.11	210.5	19117.1	19117.1
1276.61	210	19275.6	19275.6
1277.11	209.5	19232.3	19232.3
1277.61	209	19013.7	19013.7
1278.11	208.5	18959	18959
1278.61	208	19242.4	19242.4
1279.11	207.5	19356.7	19356.7
1279.61	207	19218.6	19218.6
1280.11	206.5	19258.9	19258.9
1280.61	206	19267.7	19267.7
1281.11	205.5	19434.6	19434.6
1281.61	205	19302.6	19302.6
1282.11	204.5	19328.2	19328.2
