EX322_CEC356_Au_Ag_Cu in H2_1.vms_vb_regions.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey	Background_Survey
1256.61	230	20748.4	20748.4
1257.11	229.5	20549.8	20549.8
1257.61	229	20738.6	20738.6
1258.11	228.5	20913.8	20913.8
1258.61	228	20851.7	20851.7
1259.11	227.5	21034.7	21034.7
1259.61	227	20914.6	20914.6
1260.11	226.5	20659.4	20659.4
1260.61	226	20833.9	20833.9
1261.11	225.5	20800.8	20800.8
1261.61	225	20986.1	20986.1
1262.11	224.5	20824.5	20824.5
1262.61	224	20736.4	20736.4
1263.11	223.5	21143.2	21143.2
1263.61	223	20873.7	20873.7
1264.11	222.5	20836.5	20836.5
1264.61	222	21132.8	21132.8
1265.11	221.5	21107.9	21107.9
1265.61	221	21063.5	21063.5
1266.11	220.5	21028.3	21028.3
1266.61	220	21074	21074
1267.11	219.5	21026.9	21026.9
1267.61	219	21022.8	21022.8
1268.11	218.5	21494.4	21494.4
1268.61	218	21373.3	21373.3
1269.11	217.5	21426.5	21426.5
1269.61	217	21140.2	21140.2
1270.11	216.5	21149.9	21149.9
1270.61	216	21225.6	21225.6
1271.11	215.5	21430.2	21430.2
1271.61	215	21367	21367
1272.11	214.5	21347.4	21347.4
1272.61	214	21336.1	21336.1
1273.11	213.5	21445.2	21445.2
1273.61	213	21362.1	21362.1
1274.11	212.5	21491.4	21491.4
1274.61	212	21514.6	21514.6
1275.11	211.5	21658.4	21658.4
1275.61	211	21348.7	21348.7
1276.11	210.5	21690.9	21690.9
1276.61	210	21530.8	21530.8
1277.11	209.5	21540.8	21540.8
1277.61	209	21523.5	21523.5
1278.11	208.5	21803	21803
1278.61	208	21720	21720
1279.11	207.5	21685.3	21685.3
1279.61	207	21508.3	21508.3
1280.11	206.5	21732.5	21732.5
1280.61	206	21904.5	21904.5
1281.11	205.5	21842.8	21842.8
1281.61	205	21706.2	21706.2
1282.11	204.5	21790.9	21790.9
1282.61	204	21917.7	21917.7
1283.11	203.5	21804.9	21804.9
1283.61	203	21949.9	21949.9
