EX322_CEC356_Au_Ag_Cu in H2_1.vms_vb_regions.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey	Background_Survey
875.61	611	60351.3	60351.3
876.11	610.5	60589.6	60589.6
876.61	610	60623.6	60623.6
877.11	609.5	61030.2	61030.2
877.61	609	61665.7	61665.7
878.11	608.5	61409.3	61409.3
878.61	608	61240.9	61240.9
879.11	607.5	61626.3	61626.3
879.61	607	61861.4	61861.4
880.11	606.5	62041.3	62041.3
880.61	606	62179.3	62179.3
881.11	605.5	62691.7	62691.7
881.61	605	63171.4	63171.4
882.11	604.5	63349	63349
882.61	604	63711.4	63711.4
883.11	603.5	63975.4	63975.4
883.61	603	64224.3	64224.3
884.11	602.5	64566.4	64566.4
884.61	602	64658.3	64658.3
885.11	601.5	65258.1	65258.1
885.61	601	65366	65366
886.11	600.5	65644.3	65644.3
886.61	600	66099.4	66099.4
887.11	599.5	66755.2	66755.2
887.61	599	66828.6	66828.6
888.11	598.5	67050.5	67050.5
888.61	598	67578.1	67578.1
889.11	597.5	67886.5	67886.5
889.61	597	68605.6	68605.6
890.11	596.5	68553.5	68553.5
890.61	596	68706.5	68706.5
891.11	595.5	69346.5	69346.5
891.61	595	69373.2	69373.2
892.11	594.5	69846.7	69846.7
892.61	594	70613.1	70613.1
893.11	593.5	70820.5	70820.5
893.61	593	71031	71031
894.11	592.5	71275.9	71275.9
894.61	592	72098.6	72098.6
895.11	591.5	72247.4	72247.4
895.61	591	72168.6	72168.6
896.11	590.5	72728.4	72728.4
896.61	590	73460.7	73460.7
897.11	589.5	73398.2	73398.2
897.61	589	73889.8	73889.8
898.11	588.5	74415.6	74415.6
898.61	588	75127.5	75127.5
899.11	587.5	75455.4	75455.4
899.61	587	76543.7	76543.7
900.11	586.5	76890.3	76890.3
900.61	586	77567.9	77567.9
901.11	585.5	77853	77853
901.61	585	78128.5	78128.5
902.11	584.5	78720.6	78720.6
902.61	584	78731.1	78731.1
903.11	583.5	78677	78677
903.61	583	78610.5	78610.5
904.11	582.5	79163.6	79163.6
904.61	582	80111.9	80111.9
905.11	581.5	80770.3	80770.3
905.61	581	81190.7	81190.7
906.11	580.5	81360	81360
906.61	580	80907.9	80907.9
907.11	579.5	79470.7	79470.7
907.61	579	78151.7	78151.7
908.11	578.5	77348.3	77348.3
908.61	578	76663	76663
909.11	577.5	76039.2	76039.2
909.61	577	76153.5	76153.5
910.11	576.5	76471.6	76471.6
910.61	576	76740	76740
911.11	575.5	77424.1	77424.1
911.61	575	78545.1	78545.1
912.11	574.5	80513.2	80513.2
912.61	574	83133.9	83133.9
913.11	573.5	86762.5	86762.5
913.61	573	90410.9	90410.9
914.11	572.5	92793.1	92793.1
914.61	572	93891.6	93891.6
915.11	571.5	95303.3	95303.3
915.61	571	96822.9	96822.9
916.11	570.5	99410	99410
916.61	570	103558	103558
917.11	569.5	111369	111369
917.61	569	123573	123573
918.11	568.5	138264	138264
918.61	568	146066	146066
919.11	567.5	140611	140611
919.61	567	123679	123679
920.11	566.5	102004	102004
920.61	566	85831.6	85831.6
921.11	565.5	77847.1	77847.1
921.61	565	71734.8	71734.8
922.11	564.5	64167.3	64167.3
922.61	564	56350.6	56350.6
923.11	563.5	49135.8	49135.8
923.61	563	44811.1	44811.1
924.11	562.5	43014.4	43014.4
924.61	562	42303.8	42303.8
925.11	561.5	41221.8	41221.8
925.61	561	40946.5	40946.5
926.11	560.5	39984.1	39984.1
926.61	560	38908.3	38908.3
927.11	559.5	37795.9	37795.9
927.61	559	36695.7	36695.7
928.11	558.5	35558	35558
928.61	558	34603.3	34603.3
929.11	557.5	33750.8	33750.8
929.61	557	32666.4	32666.4
930.11	556.5	31816.3	31816.3
930.61	556	31330.8	31330.8
931.11	555.5	30773.3	30773.3
931.61	555	30806.5	30806.5
932.11	554.5	30788.1	30788.1
932.61	554	31315.1	31315.1
933.11	553.5	31821.5	31821.5
933.61	553	32718	32718
934.11	552.5	33318.3	33318.3
934.61	552	33565.9	33565.9
935.11	551.5	32849.4	32849.4
935.61	551	31953.1	31953.1
936.11	550.5	30445.6	30445.6
936.61	550	30220.5	30220.5
937.11	549.5	31405.7	31405.7
937.61	549	33394.9	33394.9
938.11	548.5	35692.8	35692.8
938.61	548	36162.6	36162.6
939.11	547.5	34327.7	34327.7
939.61	547	31334.7	31334.7
940.11	546.5	27717	27717
940.61	546	24929.3	24929.3
941.11	545.5	23001	23001
941.61	545	21362.6	21362.6
942.11	544.5	20194.1	20194.1
942.61	544	18965.2	18965.2
943.11	543.5	17953	17953
943.61	543	17453.9	17453.9
944.11	542.5	16922.7	16922.7
944.61	542	16412.7	16412.7
945.11	541.5	16078.4	16078.4
945.61	541	15796.6	15796.6
946.11	540.5	15513.1	15513.1
946.61	540	15263.9	15263.9
947.11	539.5	15068.1	15068.1
947.61	539	14743.9	14743.9
948.11	538.5	14483	14483
948.61	538	14391.8	14391.8
949.11	537.5	14194.9	14194.9
949.61	537	13875.9	13875.9
950.11	536.5	13685.3	13685.3
950.61	536	13837.1	13837.1
951.11	535.5	13687.3	13687.3
951.61	535	13636.6	13636.6
952.11	534.5	13554.8	13554.8
952.61	534	13663.4	13663.4
953.11	533.5	13707.3	13707.3
953.61	533	13928.6	13928.6
954.11	532.5	14852.2	14852.2
954.61	532	15619.1	15619.1
955.11	531.5	16651.6	16651.6
955.61	531	17085.1	17085.1
956.11	530.5	16787.7	16787.7
956.61	530	15777.4	15777.4
957.11	529.5	14852.2	14852.2
957.61	529	14057.6	14057.6
958.11	528.5	13501.5	13501.5
958.61	528	12795.1	12795.1
959.11	527.5	12652.7	12652.7
959.61	527	12593.7	12593.7
960.11	526.5	12436	12436
960.61	526	12581.3	12581.3
961.11	525.5	12538.1	12538.1
961.61	525	12536.8	12536.8
962.11	524.5	12544.3	12544.3
962.61	524	12597.4	12597.4
963.11	523.5	12497.3	12497.3
963.61	523	12384.4	12384.4
964.11	522.5	12402.2	12402.2
964.61	522	12580.9	12580.9
965.11	521.5	12480.8	12480.8
965.61	521	12315.1	12315.1
966.11	520.5	12406.6	12406.6
966.61	520	12515.5	12515.5
967.11	519.5	12478.6	12478.6
967.61	519	12350.2	12350.2
968.11	518.5	12273.3	12273.3
968.61	518	12175.8	12175.8
969.11	517.5	12115.7	12115.7
969.61	517	12199.2	12199.2
970.11	516.5	12281.4	12281.4
970.61	516	12376	12376
971.11	515.5	12218.8	12218.8
971.61	515	12291	12291
972.11	514.5	12260.7	12260.7
972.61	514	12136.4	12136.4
973.11	513.5	12216.8	12216.8
973.61	513	12200	12200
974.11	512.5	12092.3	12092.3
974.61	512	12137.8	12137.8
975.11	511.5	12185.8	12185.8
975.61	511	12199.5	12199.5
976.11	510.5	12101.6	12101.6
976.61	510	12209.2	12209.2
