EX322_CEC356_Au_Ag_Cu in H2_1.vms_vb_regions.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Survey	BE_Survey	CPS_Survey	Background_Survey
875.61	611	68798.3	68798.3
876.11	610.5	69228.4	69228.4
876.61	610	69227.7	69227.7
877.11	609.5	69693.4	69693.4
877.61	609	69708.8	69708.8
878.11	608.5	70111.3	70111.3
878.61	608	70162.2	70162.2
879.11	607.5	70530.5	70530.5
879.61	607	70581.1	70581.1
880.11	606.5	71217.8	71217.8
880.61	606	71240.1	71240.1
881.11	605.5	71425.4	71425.4
881.61	605	71877.6	71877.6
882.11	604.5	72061.3	72061.3
882.61	604	72259.6	72259.6
883.11	603.5	72913.8	72913.8
883.61	603	73120.8	73120.8
884.11	602.5	73749.4	73749.4
884.61	602	74319.5	74319.5
885.11	601.5	74457.9	74457.9
885.61	601	74718.3	74718.3
886.11	600.5	75571.9	75571.9
886.61	600	75565	75565
887.11	599.5	76109.2	76109.2
887.61	599	76633.4	76633.4
888.11	598.5	77172.9	77172.9
888.61	598	77947	77947
889.11	597.5	78438.3	78438.3
889.61	597	78987.1	78987.1
890.11	596.5	79606.2	79606.2
890.61	596	79546.4	79546.4
891.11	595.5	80285.6	80285.6
891.61	595	81028.9	81028.9
892.11	594.5	81433.7	81433.7
892.61	594	81666.7	81666.7
893.11	593.5	82197.4	82197.4
893.61	593	82355.8	82355.8
894.11	592.5	83043.7	83043.7
894.61	592	83408.1	83408.1
895.11	591.5	83951.9	83951.9
895.61	591	84245.8	84245.8
896.11	590.5	84611.6	84611.6
896.61	590	85372.9	85372.9
897.11	589.5	86057.4	86057.4
897.61	589	86658.2	86658.2
898.11	588.5	87147.2	87147.2
898.61	588	87765.4	87765.4
899.11	587.5	88513.6	88513.6
899.61	587	88335	88335
900.11	586.5	89242.5	89242.5
900.61	586	90112.2	90112.2
901.11	585.5	90548.8	90548.8
901.61	585	90591.3	90591.3
902.11	584.5	91327.1	91327.1
902.61	584	92066.8	92066.8
903.11	583.5	92102	92102
903.61	583	93047.2	93047.2
904.11	582.5	93596.3	93596.3
904.61	582	94652.8	94652.8
905.11	581.5	95676.2	95676.2
905.61	581	96836	96836
906.11	580.5	98706.9	98706.9
906.61	580	100689	100689
907.11	579.5	102920	102920
907.61	579	104859	104859
908.11	578.5	107353	107353
908.61	578	108723	108723
909.11	577.5	110661	110661
909.61	577	112470	112470
910.11	576.5	114417	114417
910.61	576	116322	116322
911.11	575.5	118636	118636
911.61	575	121677	121677
912.11	574.5	125445	125445
912.61	574	130132	130132
913.11	573.5	137438	137438
913.61	573	143842	143842
914.11	572.5	148353	148353
914.61	572	150605	150605
915.11	571.5	152757	152757
915.61	571	155096	155096
916.11	570.5	159392	159392
916.61	570	166007	166007
917.11	569.5	180070	180070
917.61	569	202255	202255
918.11	568.5	229760	229760
918.61	568	246766	246766
919.11	567.5	239646	239646
919.61	567	209810	209810
920.11	566.5	169293	169293
920.61	566	139866	139866
921.11	565.5	124762	124762
921.61	565	113178	113178
922.11	564.5	100620	100620
922.61	564	85880.9	85880.9
923.11	563.5	73068.9	73068.9
923.61	563	65359.7	65359.7
924.11	562.5	62058.3	62058.3
924.61	562	59785.2	59785.2
925.11	561.5	58981.1	58981.1
925.61	561	58218.2	58218.2
926.11	560.5	57174.4	57174.4
926.61	560	56170.2	56170.2
927.11	559.5	55057	55057
927.61	559	53840.8	53840.8
928.11	558.5	52335	52335
928.61	558	51213.6	51213.6
929.11	557.5	50001.5	50001.5
929.61	557	48518.8	48518.8
930.11	556.5	47335.3	47335.3
930.61	556	46395.9	46395.9
931.11	555.5	45774.9	45774.9
931.61	555	45699.1	45699.1
932.11	554.5	46299.6	46299.6
932.61	554	46663	46663
933.11	553.5	47751.4	47751.4
933.61	553	49116.9	49116.9
934.11	552.5	50623.9	50623.9
934.61	552	50862	50862
935.11	551.5	50271.5	50271.5
935.61	551	48304.5	48304.5
936.11	550.5	45851.6	45851.6
936.61	550	44976.6	44976.6
937.11	549.5	46671.1	46671.1
937.61	549	50765.9	50765.9
938.11	548.5	54192.4	54192.4
938.61	548	55793.6	55793.6
939.11	547.5	53706.2	53706.2
939.61	547	47700.6	47700.6
940.11	546.5	41419.6	41419.6
940.61	546	36575.8	36575.8
941.11	545.5	32374.5	32374.5
941.61	545	29622.7	29622.7
942.11	544.5	27044.3	27044.3
942.61	544	25006.6	25006.6
943.11	543.5	23299.3	23299.3
943.61	543	22165	22165
944.11	542.5	21471.9	21471.9
944.61	542	21042.4	21042.4
945.11	541.5	20687.3	20687.3
945.61	541	20115.8	20115.8
946.11	540.5	19903.8	19903.8
946.61	540	19632.5	19632.5
947.11	539.5	19065.8	19065.8
947.61	539	18619.1	18619.1
948.11	538.5	18160.9	18160.9
948.61	538	17597.6	17597.6
949.11	537.5	17522.1	17522.1
949.61	537	17222.8	17222.8
950.11	536.5	17024.3	17024.3
950.61	536	16419.8	16419.8
951.11	535.5	16369.6	16369.6
951.61	535	16418.4	16418.4
952.11	534.5	16427.9	16427.9
952.61	534	16090.3	16090.3
953.11	533.5	15962.7	15962.7
953.61	533	16068.6	16068.6
954.11	532.5	16399.3	16399.3
954.61	532	16601.7	16601.7
955.11	531.5	16736.6	16736.6
955.61	531	16894.9	16894.9
956.11	530.5	16816.3	16816.3
956.61	530	16394	16394
957.11	529.5	15966.7	15966.7
957.61	529	15826.2	15826.2
958.11	528.5	15628.5	15628.5
958.61	528	15304.6	15304.6
959.11	527.5	15317.4	15317.4
959.61	527	15344.6	15344.6
960.11	526.5	15545.8	15545.8
960.61	526	15305.2	15305.2
961.11	525.5	15250.8	15250.8
961.61	525	15270	15270
962.11	524.5	15242.6	15242.6
962.61	524	15269.9	15269.9
963.11	523.5	15086.3	15086.3
963.61	523	15251.7	15251.7
964.11	522.5	15042.7	15042.7
964.61	522	15273.1	15273.1
965.11	521.5	15170.3	15170.3
965.61	521	15163.7	15163.7
966.11	520.5	14935.9	14935.9
966.61	520	14874.8	14874.8
967.11	519.5	14821.6	14821.6
967.61	519	14911.7	14911.7
968.11	518.5	14842.5	14842.5
968.61	518	14686.6	14686.6
969.11	517.5	14592.1	14592.1
969.61	517	14546.5	14546.5
970.11	516.5	14595.8	14595.8
970.61	516	14527.3	14527.3
971.11	515.5	14517.8	14517.8
971.61	515	14660.9	14660.9
972.11	514.5	14446.4	14446.4
972.61	514	14362.5	14362.5
973.11	513.5	14637.3	14637.3
973.61	513	14686.5	14686.5
974.11	512.5	14578.2	14578.2
974.61	512	14432.9	14432.9
975.11	511.5	14419.1	14419.1
975.61	511	14279.8	14279.8
976.11	510.5	14391.5	14391.5
976.61	510	14545.8	14545.8
