c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he arm22.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	2.7
KE_Survey	BE_Survey	CPS_Survey	Background_Survey
286.61	1200	4407.63	4407.63
287.11	1199.5	4400.93	4400.93
287.61	1199	4368.37	4368.37
288.11	1198.5	4393.74	4393.74
288.61	1198	4434.26	4434.26
289.11	1197.5	4405.37	4405.37
289.61	1197	4433.89	4433.89
290.11	1196.5	4479.93	4479.93
290.61	1196	4516.04	4516.04
291.11	1195.5	4451.74	4451.74
291.61	1195	4421.85	4421.85
292.11	1194.5	4438.44	4438.44
292.61	1194	4406.81	4406.81
293.11	1193.5	4388	4388
293.61	1193	4471.04	4471.04
294.11	1192.5	4465.89	4465.89
294.61	1192	4502.93	4502.93
295.11	1191.5	4467.11	4467.11
295.61	1191	4418.22	4418.22
296.11	1190.5	4407.37	4407.37
296.61	1190	4432.44	4432.44
297.11	1189.5	4455.78	4455.78
297.61	1189	4474.96	4474.96
298.11	1188.5	4471.41	4471.41
298.61	1188	4465	4465
299.11	1187.5	4347.37	4347.37
299.61	1187	4375.11	4375.11
300.11	1186.5	4361.89	4361.89
300.61	1186	4383.81	4383.81
301.11	1185.5	4375.41	4375.41
301.61	1185	4314.78	4314.78
302.11	1184.5	4292.56	4292.56
302.61	1184	4252.11	4252.11
303.11	1183.5	4275.89	4275.89
303.61	1183	4223.63	4223.63
304.11	1182.5	4140.59	4140.59
304.61	1182	4176.59	4176.59
305.11	1181.5	4076.78	4076.78
305.61	1181	4085.74	4085.74
306.11	1180.5	4000.96	4000.96
306.61	1180	4036.85	4036.85
307.11	1179.5	4003.48	4003.48
307.61	1179	3974.67	3974.67
308.11	1178.5	3951.67	3951.67
308.61	1178	3864.52	3864.52
309.11	1177.5	3842.07	3842.07
309.61	1177	3823.89	3823.89
310.11	1176.5	3823.26	3823.26
310.61	1176	3837.89	3837.89
311.11	1175.5	3811.63	3811.63
311.61	1175	3755.67	3755.67
312.11	1174.5	3739.96	3739.96
312.61	1174	3649.17	3649.17
313.11	1173.5	3683.64	3683.64
313.61	1173	3675.73	3675.73
314.11	1172.5	3723.37	3723.37
314.61	1172	3704.93	3704.93
315.11	1171.5	3704.85	3704.85
315.61	1171	3725.07	3725.07
316.11	1170.5	3734.44	3734.44
316.61	1170	3698.76	3698.76
317.11	1169.5	3725.93	3725.93
317.61	1169	3717.89	3717.89
318.11	1168.5	3712.22	3712.22
318.61	1168	3737.7	3737.7
319.11	1167.5	3735.26	3735.26
319.61	1167	3739.48	3739.48
320.11	1166.5	3723.37	3723.37
320.61	1166	3718.04	3718.04
321.11	1165.5	3767.44	3767.44
321.61	1165	3784.44	3784.44
322.11	1164.5	3750.74	3750.74
322.61	1164	3800.81	3800.81
323.11	1163.5	3840.74	3840.74
323.61	1163	3763.7	3763.7
324.11	1162.5	3825.41	3825.41
324.61	1162	3832	3832
325.11	1161.5	3810.22	3810.22
325.61	1161	3840.19	3840.19
326.11	1160.5	3855.52	3855.52
326.61	1160	3920.26	3920.26
327.11	1159.5	3908.67	3908.67
327.61	1159	3888	3888
328.11	1158.5	3852.07	3852.07
328.61	1158	3904.78	3904.78
329.11	1157.5	3871.07	3871.07
329.61	1157	3869.11	3869.11
330.11	1156.5	3958.11	3958.11
330.61	1156	3967.11	3967.11
331.11	1155.5	3951.74	3951.74
331.61	1155	3901.48	3901.48
332.11	1154.5	3914.93	3914.93
332.61	1154	3912.19	3912.19
333.11	1153.5	3801	3801
333.61	1153	3795	3795
334.11	1152.5	3787.52	3787.52
334.61	1152	3754.22	3754.22
335.11	1151.5	3732.7	3732.7
335.61	1151	3691.56	3691.56
336.11	1150.5	3779.41	3779.41
336.61	1150	3840.33	3840.33
337.11	1149.5	3715.74	3715.74
337.61	1149	3656.86	3656.86
338.11	1148.5	3599.61	3599.61
338.61	1148	3631.01	3631.01
339.11	1147.5	3608.49	3608.49
339.61	1147	3544.99	3544.99
340.11	1146.5	3530	3530
340.61	1146	3557.36	3557.36
341.11	1145.5	3620.74	3620.74
341.61	1145	3598.11	3598.11
342.11	1144.5	3587.06	3587.06
342.61	1144	3600.43	3600.43
343.11	1143.5	3642.45	3642.45
343.61	1143	3662.55	3662.55
344.11	1142.5	3657.08	3657.08
344.61	1142	3614.5	3614.5
345.11	1141.5	3731.63	3731.63
345.61	1141	3747	3747
346.11	1140.5	3813.37	3813.37
346.61	1140	3876.04	3876.04
347.11	1139.5	3920.78	3920.78
347.61	1139	3998.07	3998.07
348.11	1138.5	4095.33	4095.33
348.61	1138	4293.26	4293.26
349.11	1137.5	4290.81	4290.81
349.61	1137	4298.93	4298.93
350.11	1136.5	4389.37	4389.37
350.61	1136	4639.63	4639.63
351.11	1135.5	5232.93	5232.93
351.61	1135	6104.19	6104.19
352.11	1134.5	6113.07	6113.07
352.61	1134	5731.44	5731.44
353.11	1133.5	5509.67	5509.67
353.61	1133	5385.33	5385.33
354.11	1132.5	4960.11	4960.11
354.61	1132	4665.93	4665.93
355.11	1131.5	4403.59	4403.59
355.61	1131	4220.3	4220.3
356.11	1130.5	4231.81	4231.81
356.61	1130	4216.78	4216.78
357.11	1129.5	4634.74	4634.74
357.61	1129	5439.11	5439.11
358.11	1128.5	5284.44	5284.44
358.61	1128	4450.22	4450.22
359.11	1127.5	4102.11	4102.11
359.61	1127	3684.24	3684.24
360.11	1126.5	3296.92	3296.92
360.61	1126	3180.66	3180.66
361.11	1125.5	3121.06	3121.06
361.61	1125	3112.02	3112.02
362.11	1124.5	3058.76	3058.76
362.61	1124	3015.09	3015.09
363.11	1123.5	3006.11	3006.11
363.61	1123	2988.63	2988.63
364.11	1122.5	2915.46	2915.46
364.61	1122	2869.13	2869.13
365.11	1121.5	2887.79	2887.79
365.61	1121	2885.94	2885.94
366.11	1120.5	2801.11	2801.11
366.61	1120	2810.23	2810.23
367.11	1119.5	2814.07	2814.07
367.61	1119	2804.46	2804.46
368.11	1118.5	2783.02	2783.02
368.61	1118	2759.99	2759.99
369.11	1117.5	2773.59	2773.59
369.61	1117	2757.5	2757.5
370.11	1116.5	2732.46	2732.46
370.61	1116	2740.73	2740.73
371.11	1115.5	2735.66	2735.66
371.61	1115	2779.36	2779.36
372.11	1114.5	2751.86	2751.86
372.61	1114	2736.11	2736.11
373.11	1113.5	2732.84	2732.84
373.61	1113	2769.83	2769.83
374.11	1112.5	2752.53	2752.53
374.61	1112	2705.67	2705.67
375.11	1111.5	2748.7	2748.7
375.61	1111	2736.03	2736.03
376.11	1110.5	2800.27	2800.27
376.61	1110	2719.13	2719.13
377.11	1109.5	2726.49	2726.49
377.61	1109	2756.5	2756.5
378.11	1108.5	2741.06	2741.06
378.61	1108	2815.76	2815.76
379.11	1107.5	2768.34	2768.34
379.61	1107	2824.44	2824.44
380.11	1106.5	2800.68	2800.68
380.61	1106	2797.19	2797.19
381.11	1105.5	2827.75	2827.75
381.61	1105	2819.76	2819.76
382.11	1104.5	2847.48	2847.48
382.61	1104	2775.26	2775.26
383.11	1103.5	2785.47	2785.47
383.61	1103	2775.58	2775.58
384.11	1102.5	2812	2812
384.61	1102	2759.06	2759.06
385.11	1101.5	2767.58	2767.58
385.61	1101	2799.27	2799.27
386.11	1100.5	2825.36	2825.36
386.61	1100	2835.71	2835.71
387.11	1099.5	2803.79	2803.79
387.61	1099	2845.67	2845.67
388.11	1098.5	2863.12	2863.12
388.61	1098	2757.01	2757.01
389.11	1097.5	2767.85	2767.85
389.61	1097	2802.24	2802.24
390.11	1096.5	2839.56	2839.56
390.61	1096	2808.52	2808.52
391.11	1095.5	2829.54	2829.54
391.61	1095	2874.66	2874.66
392.11	1094.5	2907.37	2907.37
392.61	1094	2878.31	2878.31
393.11	1093.5	2863.63	2863.63
393.61	1093	2867.81	2867.81
394.11	1092.5	2904.81	2904.81
394.61	1092	2857.33	2857.33
395.11	1091.5	2892.8	2892.8
395.61	1091	2854.61	2854.61
396.11	1090.5	2906.04	2906.04
396.61	1090	2914.72	2914.72
397.11	1089.5	2920.43	2920.43
397.61	1089	2929.93	2929.93
398.11	1088.5	2899	2899
398.61	1088	2892.46	2892.46
399.11	1087.5	2928.45	2928.45
399.61	1087	2944.6	2944.6
400.11	1086.5	2912.39	2912.39
400.61	1086	2900.68	2900.68
401.11	1085.5	2945.42	2945.42
401.61	1085	2959.93	2959.93
402.11	1084.5	2975.95	2975.95
402.61	1084	2980.76	2980.76
403.11	1083.5	2974.39	2974.39
403.61	1083	2948.54	2948.54
404.11	1082.5	2956.67	2956.67
404.61	1082	2950.11	2950.11
405.11	1081.5	2953.97	2953.97
405.61	1081	2994.07	2994.07
406.11	1080.5	2964.83	2964.83
406.61	1080	2963.79	2963.79
407.11	1079.5	2978.23	2978.23
407.61	1079	2996.82	2996.82
408.11	1078.5	2983.06	2983.06
408.61	1078	2956.16	2956.16
409.11	1077.5	2969.67	2969.67
409.61	1077	3000.79	3000.79
410.11	1076.5	2977.04	2977.04
410.61	1076	2988.42	2988.42
411.11	1075.5	3059.88	3059.88
411.61	1075	3091.58	3091.58
412.11	1074.5	3001.01	3001.01
412.61	1074	3026.54	3026.54
