c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he arm22.vms
Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.9
KE_Survey	BE_Survey	CPS_Survey	Background_Survey
286.61	1200	9154.59	9154.59
287.11	1199.5	9231.64	9231.64
287.61	1199	9347.63	9347.63
288.11	1198.5	9409.28	9409.28
288.61	1198	9374.27	9374.27
289.11	1197.5	9401.3	9401.3
289.61	1197	9346.54	9346.54
290.11	1196.5	9270.29	9270.29
290.61	1196	9417.52	9417.52
291.11	1195.5	9291.17	9291.17
291.61	1195	9511.81	9511.81
292.11	1194.5	9433.04	9433.04
292.61	1194	9417.99	9417.99
293.11	1193.5	9596.26	9596.26
293.61	1193	9502.34	9502.34
294.11	1192.5	9552.11	9552.11
294.61	1192	9518.83	9518.83
295.11	1191.5	9488.71	9488.71
295.61	1191	9574.73	9574.73
296.11	1190.5	9471.12	9471.12
296.61	1190	9359.91	9359.91
297.11	1189.5	9503.76	9503.76
297.61	1189	9481.5	9481.5
298.11	1188.5	9389.06	9389.06
298.61	1188	9445.82	9445.82
299.11	1187.5	9206.98	9206.98
299.61	1187	9078.19	9078.19
300.11	1186.5	9000.16	9000.16
300.61	1186	8980	8980
301.11	1185.5	8962.94	8962.94
301.61	1185	8947.91	8947.91
302.11	1184.5	8761.74	8761.74
302.61	1184	8725.61	8725.61
303.11	1183.5	8676.42	8676.42
303.61	1183	8511.62	8511.62
304.11	1182.5	8200.66	8200.66
304.61	1182	8036.04	8036.04
305.11	1181.5	7985.04	7985.04
305.61	1181	7841.04	7841.04
306.11	1180.5	7764.43	7764.43
306.61	1180	7585.52	7585.52
307.11	1179.5	7395.18	7395.18
307.61	1179	7233.82	7233.82
308.11	1178.5	7201.94	7201.94
308.61	1178	7079.48	7079.48
309.11	1177.5	7008.06	7008.06
309.61	1177	6861.42	6861.42
310.11	1176.5	6759.04	6759.04
310.61	1176	6713.61	6713.61
311.11	1175.5	6561.74	6561.74
311.61	1175	6627.9	6627.9
312.11	1174.5	6548.83	6548.83
312.61	1174	6475.31	6475.31
313.11	1173.5	6452.76	6452.76
313.61	1173	6281.52	6281.52
314.11	1172.5	6489.61	6489.61
314.61	1172	6487.69	6487.69
315.11	1171.5	6445.59	6445.59
315.61	1171	6295.34	6295.34
316.11	1170.5	6222.93	6222.93
316.61	1170	6278.54	6278.54
317.11	1169.5	6271.48	6271.48
317.61	1169	6328.83	6328.83
318.11	1168.5	6329.41	6329.41
318.61	1168	6272.11	6272.11
319.11	1167.5	6347.93	6347.93
319.61	1167	6219.27	6219.27
320.11	1166.5	6197.58	6197.58
320.61	1166	6169.51	6169.51
321.11	1165.5	6187.86	6187.86
321.61	1165	6150.96	6150.96
322.11	1164.5	6359.84	6359.84
322.61	1164	6307.89	6307.89
323.11	1163.5	6237.27	6237.27
323.61	1163	6304.12	6304.12
324.11	1162.5	6341.06	6341.06
324.61	1162	6395.08	6395.08
325.11	1161.5	6512.46	6512.46
325.61	1161	6387.64	6387.64
326.11	1160.5	6400.24	6400.24
326.61	1160	6437.01	6437.01
327.11	1159.5	6392.72	6392.72
327.61	1159	6543.71	6543.71
328.11	1158.5	6426.7	6426.7
328.61	1158	6525.87	6525.87
329.11	1157.5	6510.96	6510.96
329.61	1157	6611.47	6611.47
330.11	1156.5	6497.69	6497.69
330.61	1156	6576.43	6576.43
331.11	1155.5	6463.29	6463.29
331.61	1155	6436.92	6436.92
332.11	1154.5	6558.06	6558.06
332.61	1154	6581.13	6581.13
333.11	1153.5	6693.9	6693.9
333.61	1153	6664.52	6664.52
334.11	1152.5	6531.81	6531.81
334.61	1152	6556	6556
335.11	1151.5	6644.52	6644.52
335.61	1151	6689.29	6689.29
336.11	1150.5	6753.68	6753.68
336.61	1150	6699.19	6699.19
337.11	1149.5	6663.58	6663.58
337.61	1149	6691.63	6691.63
338.11	1148.5	6702.97	6702.97
338.61	1148	6879.66	6879.66
339.11	1147.5	6895.11	6895.11
339.61	1147	6828.59	6828.59
340.11	1146.5	6863.12	6863.12
340.61	1146	6840.59	6840.59
341.11	1145.5	6884.92	6884.92
341.61	1145	7021.21	7021.21
342.11	1144.5	7076.18	7076.18
342.61	1144	6972.3	6972.3
343.11	1143.5	7138.28	7138.28
343.61	1143	7419.32	7419.32
344.11	1142.5	7495.58	7495.58
344.61	1142	7522.93	7522.93
345.11	1141.5	7724.3	7724.3
345.61	1141	7771.76	7771.76
346.11	1140.5	7994.74	7994.74
346.61	1140	7960.89	7960.89
347.11	1139.5	8278.99	8278.99
347.61	1139	8599.99	8599.99
348.11	1138.5	9055.02	9055.02
348.61	1138	9504.24	9504.24
349.11	1137.5	9515.07	9515.07
349.61	1137	9506.84	9506.84
350.11	1136.5	9855.36	9855.36
350.61	1136	10336.5	10336.5
351.11	1135.5	12286	12286
351.61	1135	14900.6	14900.6
352.11	1134.5	15258.7	15258.7
352.61	1134	14087	14087
353.11	1133.5	13449.2	13449.2
353.61	1133	12708.7	12708.7
354.11	1132.5	11544.9	11544.9
354.61	1132	10578.9	10578.9
355.11	1131.5	9824.42	9824.42
355.61	1131	9213.43	9213.43
356.11	1130.5	9118.72	9118.72
356.61	1130	9203.68	9203.68
357.11	1129.5	10150.7	10150.7
357.61	1129	12755.3	12755.3
358.11	1128.5	12526.7	12526.7
358.61	1128	10080.6	10080.6
359.11	1127.5	8636.18	8636.18
359.61	1127	7537.14	7537.14
360.11	1126.5	6499.22	6499.22
360.61	1126	5940.19	5940.19
361.11	1125.5	5772.06	5772.06
361.61	1125	5632.36	5632.36
362.11	1124.5	5545.77	5545.77
362.61	1124	5464.08	5464.08
363.11	1123.5	5267.26	5267.26
363.61	1123	5257.48	5257.48
364.11	1122.5	5138.81	5138.81
364.61	1122	5025.47	5025.47
365.11	1121.5	4955.72	4955.72
365.61	1121	4826.58	4826.58
366.11	1120.5	4753.12	4753.12
366.61	1120	4624.29	4624.29
367.11	1119.5	4516.38	4516.38
367.61	1119	4523.84	4523.84
368.11	1118.5	4550.06	4550.06
368.61	1118	4543.9	4543.9
369.11	1117.5	4436.63	4436.63
369.61	1117	4504.56	4504.56
370.11	1116.5	4338.92	4338.92
370.61	1116	4449.89	4449.89
371.11	1115.5	4362.46	4362.46
371.61	1115	4360.29	4360.29
372.11	1114.5	4331.16	4331.16
372.61	1114	4339.06	4339.06
373.11	1113.5	4343	4343
373.61	1113	4388.57	4388.57
374.11	1112.5	4282.41	4282.41
374.61	1112	4231.62	4231.62
375.11	1111.5	4342.58	4342.58
375.61	1111	4375.56	4375.56
376.11	1110.5	4302.89	4302.89
376.61	1110	4284.14	4284.14
377.11	1109.5	4364.22	4364.22
377.61	1109	4267.59	4267.59
378.11	1108.5	4295.87	4295.87
378.61	1108	4255.06	4255.06
379.11	1107.5	4223.2	4223.2
379.61	1107	4342.71	4342.71
380.11	1106.5	4357.2	4357.2
380.61	1106	4309.96	4309.96
381.11	1105.5	4298.37	4298.37
381.61	1105	4310.4	4310.4
382.11	1104.5	4334.69	4334.69
382.61	1104	4321.56	4321.56
383.11	1103.5	4339.5	4339.5
383.61	1103	4333.44	4333.44
384.11	1102.5	4440.33	4440.33
384.61	1102	4375.48	4375.48
385.11	1101.5	4346.63	4346.63
385.61	1101	4324.53	4324.53
386.11	1100.5	4361.66	4361.66
386.61	1100	4298.4	4298.4
387.11	1099.5	4292.7	4292.7
387.61	1099	4317.63	4317.63
388.11	1098.5	4360.09	4360.09
388.61	1098	4459.47	4459.47
389.11	1097.5	4389.26	4389.26
389.61	1097	4534.31	4534.31
390.11	1096.5	4369.84	4369.84
390.61	1096	4365.07	4365.07
391.11	1095.5	4259.88	4259.88
391.61	1095	4259.1	4259.1
392.11	1094.5	4336.58	4336.58
392.61	1094	4337.76	4337.76
393.11	1093.5	4436.69	4436.69
393.61	1093	4440.97	4440.97
394.11	1092.5	4410.88	4410.88
394.61	1092	4452.53	4452.53
395.11	1091.5	4335.31	4335.31
395.61	1091	4379.62	4379.62
396.11	1090.5	4467.07	4467.07
396.61	1090	4497.64	4497.64
397.11	1089.5	4506.69	4506.69
397.61	1089	4423.16	4423.16
398.11	1088.5	4465.34	4465.34
398.61	1088	4344.46	4344.46
399.11	1087.5	4522.18	4522.18
399.61	1087	4515	4515
400.11	1086.5	4539.36	4539.36
400.61	1086	4436.52	4436.52
401.11	1085.5	4477.37	4477.37
401.61	1085	4513	4513
402.11	1084.5	4505.94	4505.94
402.61	1084	4474.14	4474.14
403.11	1083.5	4418.87	4418.87
403.61	1083	4547.72	4547.72
404.11	1082.5	4396.58	4396.58
404.61	1082	4561.13	4561.13
405.11	1081.5	4506.58	4506.58
405.61	1081	4530.4	4530.4
406.11	1080.5	4478.99	4478.99
406.61	1080	4571.03	4571.03
407.11	1079.5	4493.72	4493.72
407.61	1079	4474.41	4474.41
408.11	1078.5	4541.43	4541.43
408.61	1078	4577.32	4577.32
409.11	1077.5	4696.01	4696.01
409.61	1077	4586.33	4586.33
410.11	1076.5	4560.79	4560.79
410.61	1076	4414.83	4414.83
411.11	1075.5	4615.5	4615.5
411.61	1075	4511.22	4511.22
412.11	1074.5	4578.92	4578.92
412.61	1074	4592.21	4592.21
413.11	1073.5	4649.06	4649.06
413.61	1073	4540.62	4540.62
414.11	1072.5	4575.01	4575.01
414.61	1072	4630.12	4630.12
415.11	1071.5	4628.21	4628.21
415.61	1071	4629.4	4629.4
416.11	1070.5	4635.2	4635.2
416.61	1070	4691.63	4691.63
417.11	1069.5	4743.31	4743.31
417.61	1069	4664.4	4664.4
418.11	1068.5	4625.52	4625.52
418.61	1068	4621.3	4621.3
419.11	1067.5	4595.03	4595.03
419.61	1067	4529.04	4529.04
420.11	1066.5	4603.88	4603.88
420.61	1066	4556.06	4556.06
421.11	1065.5	4663.28	4663.28
421.61	1065	4752.74	4752.74
422.11	1064.5	4675.66	4675.66
422.61	1064	4659.52	4659.52
423.11	1063.5	4761.61	4761.61
423.61	1063	4607.33	4607.33
424.11	1062.5	4636.09	4636.09
424.61	1062	4656.96	4656.96
425.11	1061.5	4810.57	4810.57
425.61	1061	4808.19	4808.19
426.11	1060.5	4726.4	4726.4
426.61	1060	4636.2	4636.2
427.11	1059.5	4813.78	4813.78
427.61	1059	4816.87	4816.87
428.11	1058.5	4752.77	4752.77
428.61	1058	4734.53	4734.53
429.11	1057.5	4724.86	4724.86
429.61	1057	4802.09	4802.09
430.11	1056.5	4717.21	4717.21
430.61	1056	4844.29	4844.29
431.11	1055.5	4663.62	4663.62
431.61	1055	4678.59	4678.59
432.11	1054.5	4749.01	4749.01
432.61	1054	4669.79	4669.79
433.11	1053.5	4730.81	4730.81
433.61	1053	4742.26	4742.26
434.11	1052.5	4785.46	4785.46
434.61	1052	4774.42	4774.42
435.11	1051.5	4797.21	4797.21
435.61	1051	4806.29	4806.29
436.11	1050.5	4846.16	4846.16
436.61	1050	4727.42	4727.42
437.11	1049.5	4800.83	4800.83
437.61	1049	4803	4803
438.11	1048.5	4881.64	4881.64
438.61	1048	4794.37	4794.37
439.11	1047.5	4835.31	4835.31
439.61	1047	4789.52	4789.52
440.11	1046.5	4874.3	4874.3
440.61	1046	4877.42	4877.42
441.11	1045.5	4915.13	4915.13
441.61	1045	4852.07	4852.07
442.11	1044.5	4849.6	4849.6
442.61	1044	4825.29	4825.29
443.11	1043.5	4857.67	4857.67
443.61	1043	4834.98	4834.98
444.11	1042.5	4817.7	4817.7
444.61	1042	4858.39	4858.39
445.11	1041.5	4732.67	4732.67
445.61	1041	4721.3	4721.3
446.11	1040.5	4959.8	4959.8
446.61	1040	4900.23	4900.23
447.11	1039.5	4814.97	4814.97
447.61	1039	4864.82	4864.82
448.11	1038.5	4903.84	4903.84
448.61	1038	4927.33	4927.33
449.11	1037.5	4943.86	4943.86
449.61	1037	4923.19	4923.19
450.11	1036.5	4951.11	4951.11
450.61	1036	4859.12	4859.12
451.11	1035.5	4949.61	4949.61
451.61	1035	4924.27	4924.27
452.11	1034.5	4922.48	4922.48
452.61	1034	4849.36	4849.36
453.11	1033.5	4938.92	4938.92
453.61	1033	4846.89	4846.89
454.11	1032.5	4948.86	4948.86
454.61	1032	4837.37	4837.37
455.11	1031.5	4804.63	4804.63
455.61	1031	4934.37	4934.37
456.11	1030.5	4864.62	4864.62
456.61	1030	4837.86	4837.86
457.11	1029.5	4833.36	4833.36
457.61	1029	4944.78	4944.78
458.11	1028.5	4994.17	4994.17
458.61	1028	4924.3	4924.3
459.11	1027.5	4906.02	4906.02
459.61	1027	4985.57	4985.57
460.11	1026.5	4839.66	4839.66
460.61	1026	4864.46	4864.46
461.11	1025.5	4877.39	4877.39
461.61	1025	4917.6	4917.6
462.11	1024.5	5007.74	5007.74
462.61	1024	5032.54	5032.54
463.11	1023.5	4915.92	4915.92
463.61	1023	4840.72	4840.72
464.11	1022.5	4899.79	4899.79
464.61	1022	4989.71	4989.71
465.11	1021.5	5025.61	5025.61
465.61	1021	5065.43	5065.43
466.11	1020.5	4935.98	4935.98
466.61	1020	4961.84	4961.84
467.11	1019.5	5023.33	5023.33
467.61	1019	5052.41	5052.41
468.11	1018.5	5003.31	5003.31
468.61	1018	4882.38	4882.38
469.11	1017.5	4907.47	4907.47
469.61	1017	4819.8	4819.8
470.11	1016.5	4890.43	4890.43
470.61	1016	4956.87	4956.87
471.11	1015.5	5008.2	5008.2
471.61	1015	4952.5	4952.5
472.11	1014.5	4902.42	4902.42
472.61	1014	5048.26	5048.26
473.11	1013.5	4998.72	4998.72
473.61	1013	5092.56	5092.56
474.11	1012.5	5046	5046
474.61	1012	5058.41	5058.41
475.11	1011.5	4884.11	4884.11
475.61	1011	4968.02	4968.02
476.11	1010.5	5151.4	5151.4
476.61	1010	5073.2	5073.2
477.11	1009.5	5107.71	5107.71
477.61	1009	4946.4	4946.4
478.11	1008.5	5024.81	5024.81
478.61	1008	5059.03	5059.03
479.11	1007.5	5045.54	5045.54
479.61	1007	5105.29	5105.29
480.11	1006.5	4985.63	4985.63
480.61	1006	4932.79	4932.79
481.11	1005.5	4991.49	4991.49
481.61	1005	4973.08	4973.08
482.11	1004.5	5011.64	5011.64
482.61	1004	5107.12	5107.12
483.11	1003.5	5057.16	5057.16
483.61	1003	5067.42	5067.42
484.11	1002.5	5020.74	5020.74
484.61	1002	5055.64	5055.64
485.11	1001.5	5124.84	5124.84
485.61	1001	5058.88	5058.88
486.11	1000.5	5144.96	5144.96
486.61	1000	4990.12	4990.12
487.11	999.5	5049.81	5049.81
487.61	999	5037.41	5037.41
488.11	998.5	5158.02	5158.02
488.61	998	5164.04	5164.04
489.11	997.5	5223.91	5223.91
489.61	997	5177.29	5177.29
490.11	996.5	5113.26	5113.26
490.61	996	5130.52	5130.52
491.11	995.5	5065.78	5065.78
491.61	995	5176.69	5176.69
492.11	994.5	5086.26	5086.26
492.61	994	5089.97	5089.97
493.11	993.5	5247.73	5247.73
493.61	993	5186.3	5186.3
494.11	992.5	5109.9	5109.9
494.61	992	5199.3	5199.3
495.11	991.5	5190.08	5190.08
495.61	991	5199.27	5199.27
496.11	990.5	5216.12	5216.12
496.61	990	5136.18	5136.18
497.11	989.5	5170.49	5170.49
497.61	989	5196.43	5196.43
498.11	988.5	5209.7	5209.7
498.61	988	5248.72	5248.72
499.11	987.5	5234.58	5234.58
499.61	987	5199.69	5199.69
500.11	986.5	5244.67	5244.67
500.61	986	5243.02	5243.02
501.11	985.5	5226.81	5226.81
501.61	985	5276.61	5276.61
502.11	984.5	5289.24	5289.24
502.61	984	5240.99	5240.99
503.11	983.5	5142.9	5142.9
503.61	983	5195	5195
504.11	982.5	5217.14	5217.14
504.61	982	5321.59	5321.59
505.11	981.5	5253.51	5253.51
505.61	981	5330.73	5330.73
506.11	980.5	5241.28	5241.28
506.61	980	5244.57	5244.57
507.11	979.5	5284.62	5284.62
507.61	979	5186.1	5186.1
508.11	978.5	5284.13	5284.13
508.61	978	5167.97	5167.97
509.11	977.5	5200.22	5200.22
509.61	977	5211.3	5211.3
510.11	976.5	5323.99	5323.99
510.61	976	5130.99	5130.99
511.11	975.5	5175.36	5175.36
511.61	975	5289.49	5289.49
512.11	974.5	5283.11	5283.11
512.61	974	5234.43	5234.43
513.11	973.5	5317.69	5317.69
513.61	973	5257.6	5257.6
514.11	972.5	5247.36	5247.36
514.61	972	5281.57	5281.57
515.11	971.5	5262.51	5262.51
515.61	971	5207.98	5207.98
516.11	970.5	5318.14	5318.14
516.61	970	5359.82	5359.82
517.11	969.5	5213.99	5213.99
517.61	969	5217.6	5217.6
518.11	968.5	5193.76	5193.76
518.61	968	5241.97	5241.97
519.11	967.5	5228.96	5228.96
519.61	967	5123.59	5123.59
520.11	966.5	5179.52	5179.52
520.61	966	5108.4	5108.4
521.11	965.5	5238.79	5238.79
521.61	965	5222.14	5222.14
522.11	964.5	5208.51	5208.51
522.61	964	5225.06	5225.06
523.11	963.5	5234.4	5234.4
523.61	963	5265.29	5265.29
524.11	962.5	5095.59	5095.59
524.61	962	5180.47	5180.47
525.11	961.5	5247.03	5247.03
525.61	961	5304.91	5304.91
526.11	960.5	5315.79	5315.79
526.61	960	5321.93	5321.93
527.11	959.5	5316.71	5316.71
527.61	959	5272.02	5272.02
528.11	958.5	5304.33	5304.33
