c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he arm22.vms
Ag3d
	Characteristic Energy eV	1486.61	Acquisition Time s	2.8
KE_Ag3d	BE_Ag3d	CPS_Ag3d
1036.61	450	6095.57
1036.71	449.9	6114.5
1036.81	449.8	6158.79
1036.91	449.7	6148.18
1037.01	449.6	6095.5
1037.11	449.5	6118.43
1037.21	449.4	6071.82
1037.31	449.3	6016.29
1037.41	449.2	6060.29
1037.51	449.1	6090.93
1037.61	449	6113.79
1037.71	448.9	6120.68
1037.81	448.8	6133.25
1037.91	448.7	6089.04
1038.01	448.6	6148.25
1038.11	448.5	6165.36
1038.21	448.4	6173.04
1038.31	448.3	6159.93
1038.41	448.2	6197.14
1038.51	448.1	6129
1038.61	448	6128.93
1038.71	447.9	6115.25
1038.81	447.8	6149.75
1038.91	447.7	6093.75
1039.01	447.6	6120.21
1039.11	447.5	6104.29
1039.21	447.4	6089.11
1039.31	447.3	6142.54
1039.41	447.2	6085.21
1039.51	447.1	6152.96
1039.61	447	6137
1039.71	446.9	6159.93
1039.81	446.8	6106.32
1039.91	446.7	6154.39
1040.01	446.6	6136.82
1040.11	446.5	6202.39
1040.21	446.4	6180.96
1040.31	446.3	6182.46
1040.41	446.2	6213.29
1040.51	446.1	6111.79
1040.61	446	6132
1040.71	445.9	6099.61
1040.81	445.8	6152
1040.91	445.7	6144.75
1041.01	445.6	6130.68
1041.11	445.5	6200.68
1041.21	445.4	6178.5
1041.31	445.3	6115.04
1041.41	445.2	6088.89
1041.51	445.1	6119.43
1041.61	445	6185.14
1041.71	444.9	6092.46
1041.81	444.8	6169.04
1041.91	444.7	6155.04
1042.01	444.6	6142.07
1042.11	444.5	6150.86
1042.21	444.4	6192.07
1042.31	444.3	6131.21
1042.41	444.2	6088.39
1042.51	444.1	6067.75
1042.61	444	6052.21
1042.71	443.9	6095.5
1042.81	443.8	6174.82
1042.91	443.7	6129.61
1043.01	443.6	6143.93
1043.11	443.5	6129.18
1043.21	443.4	6151.96
1043.31	443.3	6186.82
1043.41	443.2	6135.43
1043.51	443.1	6208.21
1043.61	443	6138
1043.71	442.9	6167.25
1043.81	442.8	6207.82
1043.91	442.7	6172.32
1044.01	442.6	6218.82
1044.11	442.5	6179.5
1044.21	442.4	6155.5
1044.31	442.3	6199.29
1044.41	442.2	6190.04
1044.51	442.1	6176.57
1044.61	442	6096.86
1044.71	441.9	6139.25
1044.81	441.8	6163.68
1044.91	441.7	6220.07
1045.01	441.6	6190.43
1045.11	441.5	6220.11
1045.21	441.4	6150.75
1045.31	441.3	6190.43
1045.41	441.2	6205.75
1045.51	441.1	6158.25
1045.61	441	6142.79
1045.71	440.9	6191
1045.81	440.8	6176.79
1045.91	440.7	6190.89
1046.01	440.6	6148.96
1046.11	440.5	6196.25
1046.21	440.4	6187.29
1046.31	440.3	6111.82
1046.41	440.2	6214.75
1046.51	440.1	6193.61
1046.61	440	6188.82
1046.71	439.9	6142.61
1046.81	439.8	6108.14
1046.91	439.7	6157.46
1047.01	439.6	6200.5
1047.11	439.5	6206
1047.21	439.4	6220.07
1047.31	439.3	6181.29
1047.41	439.2	6147.46
1047.51	439.1	6107.36
1047.61	439	6108.57
1047.71	438.9	6212
1047.81	438.8	6224.11
1047.91	438.7	6236.64
1048.01	438.6	6178.25
1048.11	438.5	6247.57
1048.21	438.4	6107
1048.31	438.3	6172.18
1048.41	438.2	6206.93
1048.51	438.1	6254.21
1048.61	438	6222.07
1048.71	437.9	6227.46
1048.81	437.8	6263.64
1048.91	437.7	6170
1049.01	437.6	6174.18
1049.11	437.5	6196.04
1049.21	437.4	6254.93
1049.31	437.3	6257.64
1049.41	437.2	6307.36
1049.51	437.1	6249.14
1049.61	437	6228.82
1049.71	436.9	6156.36
1049.81	436.8	6130.21
1049.91	436.7	6240.5
1050.01	436.6	6207.43
1050.11	436.5	6185.32
1050.21	436.4	6198.54
1050.31	436.3	6112.21
1050.41	436.2	6145.61
1050.51	436.1	6210.86
1050.61	436	6341.86
1050.71	435.9	6265.61
1050.81	435.8	6239.36
1050.91	435.7	6179.36
1051.01	435.6	6214.79
1051.11	435.5	6215.21
1051.21	435.4	6140.29
1051.31	435.3	6198.04
1051.41	435.2	6206.93
1051.51	435.1	6219.89
1051.61	435	6221.46
1051.71	434.9	6229.96
1051.81	434.8	6214.46
1051.91	434.7	6225.04
1052.01	434.6	6250.64
1052.11	434.5	6165.86
1052.21	434.4	6147.32
1052.31	434.3	6208.5
1052.41	434.2	6138.32
1052.51	434.1	6166.86
1052.61	434	6230.68
1052.71	433.9	6229.32
1052.81	433.8	6229.39
1052.91	433.7	6208.96
1053.01	433.6	6228.36
1053.11	433.5	6240.82
1053.21	433.4	6268.46
1053.31	433.3	6352.07
1053.41	433.2	6283.96
1053.51	433.1	6207.43
1053.61	433	6271.68
1053.71	432.9	6224.82
1053.81	432.8	6131.57
1053.91	432.7	6262.86
1054.01	432.6	6267.07
1054.11	432.5	6208.82
1054.21	432.4	6241.93
1054.31	432.3	6219.96
1054.41	432.2	6215.36
1054.51	432.1	6317.25
1054.61	432	6299.25
1054.71	431.9	6239.46
1054.81	431.8	6290
1054.91	431.7	6267
1055.01	431.6	6238.36
1055.11	431.5	6246.14
1055.21	431.4	6239.54
1055.31	431.3	6230.93
1055.41	431.2	6320.54
1055.51	431.1	6222.43
1055.61	431	6313.18
1055.71	430.9	6276.89
1055.81	430.8	6249.36
1055.91	430.7	6209.43
1056.01	430.6	6231.79
1056.11	430.5	6326.11
1056.21	430.4	6354.5
1056.31	430.3	6264.04
1056.41	430.2	6268.89
1056.51	430.1	6284.96
1056.61	430	6305.21
1056.71	429.9	6327.64
1056.81	429.8	6366.25
1056.91	429.7	6313.61
1057.01	429.6	6213.18
1057.11	429.5	6215.21
1057.21	429.4	6287.71
1057.31	429.3	6316.14
1057.41	429.2	6294.39
1057.51	429.1	6282.64
1057.61	429	6282.71
1057.71	428.9	6267.89
1057.81	428.8	6231.89
1057.91	428.7	6269.82
1058.01	428.6	6301.68
1058.11	428.5	6341.21
1058.21	428.4	6396.36
1058.31	428.3	6389.25
1058.41	428.2	6278.07
1058.51	428.1	6287.61
1058.61	428	6369.36
1058.71	427.9	6355.39
1058.81	427.8	6342.14
1058.91	427.7	6321.61
1059.01	427.6	6383.46
1059.11	427.5	6294.86
1059.21	427.4	6333.39
1059.31	427.3	6371.64
1059.41	427.2	6320.07
1059.51	427.1	6349.75
1059.61	427	6360.18
1059.71	426.9	6336.68
1059.81	426.8	6397.54
1059.91	426.7	6369.86
1060.01	426.6	6290.18
1060.11	426.5	6356.36
1060.21	426.4	6358
1060.31	426.3	6353.86
1060.41	426.2	6301.89
1060.51	426.1	6331.25
1060.61	426	6349.18
1060.71	425.9	6337
1060.81	425.8	6364.46
1060.91	425.7	6324.11
1061.01	425.6	6359.54
1061.11	425.5	6367.32
1061.21	425.4	6348.07
1061.31	425.3	6345.18
1061.41	425.2	6395.71
1061.51	425.1	6340.79
1061.61	425	6412.14
1061.71	424.9	6412.5
1061.81	424.8	6359.46
1061.91	424.7	6434.07
1062.01	424.6	6427.89
1062.11	424.5	6443.82
1062.21	424.4	6436.43
1062.31	424.3	6384.57
1062.41	424.2	6370
1062.51	424.1	6373.18
1062.61	424	6360.11
1062.71	423.9	6408.18
1062.81	423.8	6387.11
1062.91	423.7	6435.39
1063.01	423.6	6369.96
1063.11	423.5	6387.96
1063.21	423.4	6435.82
1063.31	423.3	6487.82
1063.41	423.2	6425.43
1063.51	423.1	6404.32
1063.61	423	6415.61
1063.71	422.9	6513.32
1063.81	422.8	6493.71
1063.91	422.7	6379.61
1064.01	422.6	6421.14
1064.11	422.5	6425.71
1064.21	422.4	6447.39
1064.31	422.3	6473.96
1064.41	422.2	6452.29
1064.51	422.1	6470.46
1064.61	422	6443.43
1064.71	421.9	6476.39
1064.81	421.8	6386.46
1064.91	421.7	6414.89
1065.01	421.6	6413.39
1065.11	421.5	6435.32
1065.21	421.4	6433.43
1065.31	421.3	6389.5
1065.41	421.2	6358.75
1065.51	421.1	6415.39
1065.61	421	6403.71
1065.71	420.9	6502.25
1065.81	420.8	6481.21
1065.91	420.7	6474.21
1066.01	420.6	6491.93
1066.11	420.5	6496.68
1066.21	420.4	6478.11
1066.31	420.3	6454.21
1066.41	420.2	6506.68
1066.51	420.1	6416.04
1066.61	420	6417.36
1066.71	419.9	6418.89
1066.81	419.8	6473.79
1066.91	419.7	6417.43
1067.01	419.6	6390
1067.11	419.5	6473.86
1067.21	419.4	6411.75
1067.31	419.3	6471.71
1067.41	419.2	6419.93
1067.51	419.1	6388.57
1067.61	419	6373.39
1067.71	418.9	6385.32
1067.81	418.8	6393.71
1067.91	418.7	6422.43
1068.01	418.6	6510.61
1068.11	418.5	6497.75
1068.21	418.4	6401.32
1068.31	418.3	6422.96
1068.41	418.2	6459.21
1068.51	418.1	6395.54
1068.61	418	6383.11
1068.71	417.9	6390.68
1068.81	417.8	6436.36
1068.91	417.7	6418.57
1069.01	417.6	6405.96
1069.11	417.5	6423.36
1069.21	417.4	6410.18
1069.31	417.3	6425.54
1069.41	417.2	6469.07
1069.51	417.1	6440.07
1069.61	417	6422.18
1069.71	416.9	6432.04
1069.81	416.8	6516.25
1069.91	416.7	6523.07
1070.01	416.6	6470.64
1070.11	416.5	6535.36
1070.21	416.4	6527.75
1070.31	416.3	6459.32
1070.41	416.2	6454.36
1070.51	416.1	6457.25
1070.61	416	6472.68
1070.71	415.9	6499.86
1070.81	415.8	6448.75
1070.91	415.7	6458.82
1071.01	415.6	6474.21
1071.11	415.5	6414.32
1071.21	415.4	6492.25
1071.31	415.3	6481.57
1071.41	415.2	6526.11
1071.51	415.1	6429.5
1071.61	415	6437.79
1071.71	414.9	6510.39
1071.81	414.8	6523.79
1071.91	414.7	6465.18
1072.01	414.6	6462.25
1072.11	414.5	6493.25
1072.21	414.4	6489.14
1072.31	414.3	6476.07
1072.41	414.2	6498.79
1072.51	414.1	6481.11
1072.61	414	6467.14
1072.71	413.9	6515.39
1072.81	413.8	6451
1072.91	413.7	6531.5
1073.01	413.6	6552.04
1073.11	413.5	6488
1073.21	413.4	6488.11
1073.31	413.3	6466.57
1073.41	413.2	6503.86
1073.51	413.1	6476.43
1073.61	413	6473.79
1073.71	412.9	6507.36
1073.81	412.8	6479.79
1073.91	412.7	6460.18
1074.01	412.6	6480.39
1074.11	412.5	6442.11
1074.21	412.4	6554.04
1074.31	412.3	6505.32
1074.41	412.2	6460.64
1074.51	412.1	6523.68
1074.61	412	6461.89
1074.71	411.9	6456.36
1074.81	411.8	6466.93
1074.91	411.7	6416.64
1075.01	411.6	6476.82
1075.11	411.5	6617.75
1075.21	411.4	6534.71
