c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he arm22.vms
Ag3d
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Ag3d	BE_Ag3d	CPS_Ag3d
1036.61	450	7550.33
1036.71	449.9	7524.33
1036.81	449.8	7561.45
1036.91	449.7	7468.94
1037.01	449.6	7521.72
1037.11	449.5	7380.55
1037.21	449.4	7557.73
1037.31	449.3	7427.09
1037.41	449.2	7357.28
1037.51	449.1	7505.29
1037.61	449	7535.48
1037.71	448.9	7378.91
1037.81	448.8	7574.84
1037.91	448.7	7573.37
1038.01	448.6	7388.35
1038.11	448.5	7431.96
1038.21	448.4	7487.44
1038.31	448.3	7435.91
1038.41	448.2	7494.92
1038.51	448.1	7471.49
1038.61	448	7513.07
1038.71	447.9	7463.02
1038.81	447.8	7486.65
1038.91	447.7	7577.33
1039.01	447.6	7477.28
1039.11	447.5	7481.62
1039.21	447.4	7488.93
1039.31	447.3	7517.83
1039.41	447.2	7564.08
1039.51	447.1	7527.95
1039.61	447	7491.64
1039.71	446.9	7510.11
1039.81	446.8	7637.17
1039.91	446.7	7702.92
1040.01	446.6	7563.49
1040.11	446.5	7532.57
1040.21	446.4	7575.38
1040.31	446.3	7492.33
1040.41	446.2	7475.71
1040.51	446.1	7320.74
1040.61	446	7485.58
1040.71	445.9	7539.34
1040.81	445.8	7593.44
1040.91	445.7	7501.05
1041.01	445.6	7513.78
1041.11	445.5	7531.48
1041.21	445.4	7548.63
1041.31	445.3	7506.52
1041.41	445.2	7399.83
1041.51	445.1	7503.73
1041.61	445	7406.77
1041.71	444.9	7618.05
1041.81	444.8	7450.23
1041.91	444.7	7548.87
1042.01	444.6	7638.73
1042.11	444.5	7486.15
1042.21	444.4	7498.71
1042.31	444.3	7486.84
1042.41	444.2	7575.41
1042.51	444.1	7544.12
1042.61	444	7549.54
1042.71	443.9	7487.2
1042.81	443.8	7454.97
1042.91	443.7	7388.86
1043.01	443.6	7533.4
1043.11	443.5	7409.43
1043.21	443.4	7488.15
1043.31	443.3	7526.9
1043.41	443.2	7518.78
1043.51	443.1	7474.75
1043.61	443	7505.28
1043.71	442.9	7514.5
1043.81	442.8	7422.04
1043.91	442.7	7568.79
1044.01	442.6	7473.13
1044.11	442.5	7608.38
1044.21	442.4	7419.19
1044.31	442.3	7460.57
1044.41	442.2	7386.02
1044.51	442.1	7394.61
1044.61	442	7489.14
1044.71	441.9	7582.32
1044.81	441.8	7596.41
1044.91	441.7	7550.49
1045.01	441.6	7497
1045.11	441.5	7532.09
1045.21	441.4	7651.95
1045.31	441.3	7609.13
1045.41	441.2	7570.24
1045.51	441.1	7620.26
1045.61	441	7537.45
1045.71	440.9	7527.11
1045.81	440.8	7594.86
1045.91	440.7	7581
1046.01	440.6	7571.02
1046.11	440.5	7599.53
1046.21	440.4	7603.53
1046.31	440.3	7586.23
1046.41	440.2	7611.08
1046.51	440.1	7531.48
1046.61	440	7567.04
1046.71	439.9	7648.06
1046.81	439.8	7462.02
1046.91	439.7	7508.68
1047.01	439.6	7597.86
1047.11	439.5	7596
1047.21	439.4	7556
1047.31	439.3	7586.52
1047.41	439.2	7569.38
1047.51	439.1	7631.53
1047.61	439	7488.43
1047.71	438.9	7535.14
1047.81	438.8	7633.15
1047.91	438.7	7571.98
1048.01	438.6	7548.48
1048.11	438.5	7514.77
1048.21	438.4	7528.64
1048.31	438.3	7647.3
1048.41	438.2	7545.78
1048.51	438.1	7569.82
1048.61	438	7478.62
1048.71	437.9	7423.57
1048.81	437.8	7440.67
1048.91	437.7	7623.69
1049.01	437.6	7576.15
1049.11	437.5	7622.58
1049.21	437.4	7738.82
1049.31	437.3	7617.72
1049.41	437.2	7505.57
1049.51	437.1	7439.41
1049.61	437	7536.56
1049.71	436.9	7498.9
1049.81	436.8	7514.04
1049.91	436.7	7555.59
1050.01	436.6	7538.83
1050.11	436.5	7643.28
1050.21	436.4	7553.58
1050.31	436.3	7492.36
1050.41	436.2	7458.28
1050.51	436.1	7544.03
1050.61	436	7561.09
1050.71	435.9	7612.53
1050.81	435.8	7545.28
1050.91	435.7	7475.85
1051.01	435.6	7549.56
1051.11	435.5	7556.29
1051.21	435.4	7655.93
1051.31	435.3	7510.34
1051.41	435.2	7636.78
1051.51	435.1	7565.02
1051.61	435	7495.96
1051.71	434.9	7463.73
1051.81	434.8	7403.81
1051.91	434.7	7551.41
1052.01	434.6	7621.51
1052.11	434.5	7485.8
1052.21	434.4	7489.85
1052.31	434.3	7541.28
1052.41	434.2	7560.75
1052.51	434.1	7518.13
1052.61	434	7472.24
1052.71	433.9	7515.75
1052.81	433.8	7476.02
1052.91	433.7	7552.67
1053.01	433.6	7475.96
1053.11	433.5	7413.16
1053.21	433.4	7481.16
1053.31	433.3	7450.42
1053.41	433.2	7542.99
1053.51	433.1	7575.73
1053.61	433	7582.17
1053.71	432.9	7525.62
1053.81	432.8	7541.67
1053.91	432.7	7582.16
1054.01	432.6	7508.38
1054.11	432.5	7581.27
1054.21	432.4	7528.9
1054.31	432.3	7577.55
1054.41	432.2	7579.91
1054.51	432.1	7583.6
1054.61	432	7557.34
1054.71	431.9	7555.5
1054.81	431.8	7699.12
1054.91	431.7	7575.43
1055.01	431.6	7504.91
1055.11	431.5	7450.21
1055.21	431.4	7602.27
1055.31	431.3	7779.64
1055.41	431.2	7649.55
1055.51	431.1	7670.95
1055.61	431	7600.07
1055.71	430.9	7664.18
1055.81	430.8	7680
1055.91	430.7	7635.65
1056.01	430.6	7483.36
1056.11	430.5	7551.89
1056.21	430.4	7617.61
1056.31	430.3	7741.13
1056.41	430.2	7615.85
1056.51	430.1	7596.49
1056.61	430	7662.54
1056.71	429.9	7565.26
1056.81	429.8	7622.91
1056.91	429.7	7593.72
1057.01	429.6	7587.88
1057.11	429.5	7635.83
1057.21	429.4	7643.21
1057.31	429.3	7645.28
1057.41	429.2	7731.44
1057.51	429.1	7623.48
1057.61	429	7579.36
1057.71	428.9	7578.47
1057.81	428.8	7473.24
1057.91	428.7	7545.27
1058.01	428.6	7552.9
1058.11	428.5	7648.95
1058.21	428.4	7672.3
1058.31	428.3	7623.31
1058.41	428.2	7605.77
1058.51	428.1	7621.51
1058.61	428	7707.78
1058.71	427.9	7643.66
1058.81	427.8	7586.72
1058.91	427.7	7688.08
1059.01	427.6	7673.05
1059.11	427.5	7737.23
1059.21	427.4	7541.3
1059.31	427.3	7533.5
1059.41	427.2	7697.83
1059.51	427.1	7671.09
1059.61	427	7805.41
1059.71	426.9	7653.16
1059.81	426.8	7593.62
1059.91	426.7	7646.61
1060.01	426.6	7657.64
1060.11	426.5	7569.18
1060.21	426.4	7542.53
1060.31	426.3	7684.82
1060.41	426.2	7638.33
1060.51	426.1	7590.94
1060.61	426	7674.93
1060.71	425.9	7734.49
1060.81	425.8	7654.55
1060.91	425.7	7729.16
1061.01	425.6	7592.92
1061.11	425.5	7625.79
1061.21	425.4	7558.64
1061.31	425.3	7588.04
1061.41	425.2	7707.69
1061.51	425.1	7628.35
1061.61	425	7642.93
1061.71	424.9	7787.13
1061.81	424.8	7682.74
1061.91	424.7	7666.61
1062.01	424.6	7590.38
1062.11	424.5	7814.39
1062.21	424.4	7868.14
1062.31	424.3	7664.88
1062.41	424.2	7607.26
1062.51	424.1	7720.64
1062.61	424	7679.23
1062.71	423.9	7770.78
1062.81	423.8	7651.3
1062.91	423.7	7669.57
1063.01	423.6	7731.26
1063.11	423.5	7774.79
1063.21	423.4	7666.08
1063.31	423.3	7747.18
1063.41	423.2	7745.99
1063.51	423.1	7687.46
1063.61	423	7755.15
1063.71	422.9	7789.08
1063.81	422.8	7724.08
1063.91	422.7	7703.2
1064.01	422.6	7651.8
1064.11	422.5	7689.63
1064.21	422.4	7855.76
1064.31	422.3	7912.54
1064.41	422.2	7753.81
1064.51	422.1	7695
1064.61	422	7649.45
1064.71	421.9	7621.01
1064.81	421.8	7675
1064.91	421.7	7831.37
1065.01	421.6	7853.38
1065.11	421.5	7808.62
1065.21	421.4	7778.37
1065.31	421.3	7675.01
1065.41	421.2	7691.67
1065.51	421.1	7777.05
1065.61	421	7720.31
1065.71	420.9	7811.66
1065.81	420.8	7819.09
1065.91	420.7	7727.62
1066.01	420.6	7698.16
1066.11	420.5	7780.85
1066.21	420.4	7745.72
1066.31	420.3	7656.95
1066.41	420.2	7612.61
1066.51	420.1	7682.95
1066.61	420	7592.43
1066.71	419.9	7629.26
1066.81	419.8	7618.13
1066.91	419.7	7627.03
1067.01	419.6	7680.31
1067.11	419.5	7695.22
1067.21	419.4	7821.65
1067.31	419.3	7593.65
1067.41	419.2	7626.37
1067.51	419.1	7663.08
1067.61	419	7629.01
1067.71	418.9	7640.27
1067.81	418.8	7654.73
1067.91	418.7	7693
1068.01	418.6	7751.26
1068.11	418.5	7669.85
1068.21	418.4	7629.23
1068.31	418.3	7661.63
1068.41	418.2	7720.46
1068.51	418.1	7620.04
1068.61	418	7657.92
1068.71	417.9	7651.82
1068.81	417.8	7715.37
1068.91	417.7	7718.56
1069.01	417.6	7605.36
1069.11	417.5	7716.56
1069.21	417.4	7727.35
1069.31	417.3	7545.97
1069.41	417.2	7643.75
1069.51	417.1	7798.61
1069.61	417	7598.45
1069.71	416.9	7659.19
1069.81	416.8	7757.08
1069.91	416.7	7638.31
1070.01	416.6	7733.85
1070.11	416.5	7602.22
1070.21	416.4	7746.59
1070.31	416.3	7667.11
1070.41	416.2	7627.95
1070.51	416.1	7655.54
1070.61	416	7713.04
1070.71	415.9	7831.69
1070.81	415.8	7738.13
1070.91	415.7	7625.18
1071.01	415.6	7691.46
1071.11	415.5	7629
1071.21	415.4	7601.42
1071.31	415.3	7606
1071.41	415.2	7823.21
1071.51	415.1	7835.58
1071.61	415	7745.59
1071.71	414.9	7821.71
1071.81	414.8	7832.15
1071.91	414.7	7770
1072.01	414.6	7871.61
1072.11	414.5	7681.6
1072.21	414.4	7682.4
1072.31	414.3	7751.47
1072.41	414.2	7730.67
1072.51	414.1	7613.29
1072.61	414	7682.92
1072.71	413.9	7750.56
1072.81	413.8	7690.19
1072.91	413.7	7726.78
1073.01	413.6	7836.42
1073.11	413.5	7776.85
1073.21	413.4	7808.69
1073.31	413.3	7850.22
1073.41	413.2	7725.77
1073.51	413.1	7720.69
1073.61	413	7788.87
1073.71	412.9	7884.04
1073.81	412.8	7789.73
1073.91	412.7	7774.81
1074.01	412.6	7824.04
1074.11	412.5	7816.1
1074.21	412.4	7819.23
1074.31	412.3	7721.75
1074.41	412.2	7921.15
1074.51	412.1	7777.21
1074.61	412	7960.22
1074.71	411.9	7820.27
1074.81	411.8	7788.61
1074.91	411.7	7780.91
1075.01	411.6	7851.41
1075.11	411.5	7820.99
1075.21	411.4	7815.07
1075.31	411.3	7837.69
1075.41	411.2	7799.79
1075.51	411.1	7785.4
1075.61	411	7818.05
1075.71	410.9	7886.19
1075.81	410.8	7755.26
1075.91	410.7	7886.55
1076.01	410.6	7898.82
1076.11	410.5	7893.34
1076.21	410.4	7911.67
1076.31	410.3	7889.58
1076.41	410.2	7879.08
1076.51	410.1	7942.15
1076.61	410	7942.98
1076.71	409.9	7898.77
1076.81	409.8	7841.06
1076.91	409.7	7908.48
1077.01	409.6	7853.42
1077.11	409.5	7940.75
1077.21	409.4	7977.24
1077.31	409.3	8008.38
1077.41	409.2	7890.55
1077.51	409.1	8073.06
1077.61	409	8054.52
1077.71	408.9	8026.02
1077.81	408.8	7900.11
1077.91	408.7	7989.8
1078.01	408.6	8077.44
1078.11	408.5	8060.57
1078.21	408.4	8038.8
1078.31	408.3	7987.43
1078.41	408.2	8115.08
1078.51	408.1	7970.81
1078.61	408	7944.58
1078.71	407.9	8070.12
1078.81	407.8	7944.78
1078.91	407.7	7924.64
1079.01	407.6	8037.73
1079.11	407.5	8039.54
1079.21	407.4	8044.6
1079.31	407.3	8085.47
1079.41	407.2	8062.91
1079.51	407.1	8011.27
1079.61	407	8103.01
1079.71	406.9	8069.95
1079.81	406.8	8156.31
1079.91	406.7	8073.07
1080.01	406.6	8089.66
1080.11	406.5	8195
1080.21	406.4	8089.74
1080.31	406.3	8153.22
1080.41	406.2	8077.11
1080.51	406.1	8106.63
1080.61	406	8142.59
1080.71	405.9	8171.88
1080.81	405.8	8195.39
1080.91	405.7	8098.36
1081.01	405.6	8158.7
1081.11	405.5	8040.65
1081.21	405.4	8194.26
1081.31	405.3	8161.41
1081.41	405.2	8166.95
1081.51	405.1	8224.34
1081.61	405	8098.12
1081.71	404.9	8280.45
1081.81	404.8	8349.79
1081.91	404.7	8374.88
1082.01	404.6	8233.13
1082.11	404.5	8178.14
1082.21	404.4	8250.43
1082.31	404.3	8156.03
1082.41	404.2	8284.58
1082.51	404.1	8193.22
1082.61	404	8301.77
1082.71	403.9	8231.18
1082.81	403.8	8147.43
1082.91	403.7	8146.37
1083.01	403.6	8214.81
1083.11	403.5	8390.45
1083.21	403.4	8402.16
1083.31	403.3	8323.41
1083.41	403.2	8254.77
1083.51	403.1	8365.65
1083.61	403	8229.29
1083.71	402.9	8464.92
1083.81	402.8	8253.23
1083.91	402.7	8387.98
1084.01	402.6	8453.38
1084.11	402.5	8254.03
1084.21	402.4	8286.22
1084.31	402.3	8387.56
1084.41	402.2	8381.29
1084.51	402.1	8499.68
1084.61	402	8432.03
1084.71	401.9	8523.92
1084.81	401.8	8551.52
1084.91	401.7	8413.04
1085.01	401.6	8554.97
1085.11	401.5	8553.91
1085.21	401.4	8483.46
1085.31	401.3	8723.7
1085.41	401.2	8643.1
1085.51	401.1	8586.18
1085.61	401	8537.29
1085.71	400.9	8380.75
1085.81	400.8	8605.22
1085.91	400.7	8538.23
1086.01	400.6	8612.4
1086.11	400.5	8650.69
1086.21	400.4	8740.32
1086.31	400.3	8781.84
1086.41	400.2	8780.2
1086.51	400.1	8774.44
1086.61	400	8883.85
1086.71	399.9	8704.38
1086.81	399.8	8745.68
1086.91	399.7	8795.91
1087.01	399.6	8775.55
1087.11	399.5	8842.04
1087.21	399.4	8852.45
1087.31	399.3	8702.6
1087.41	399.2	8799.03
1087.51	399.1	8871.9
1087.61	399	8787.44
1087.71	398.9	8746.5
1087.81	398.8	8783.72
1087.91	398.7	8773.47
1088.01	398.6	8838.56
1088.11	398.5	8919.71
1088.21	398.4	8845.45
1088.31	398.3	8728
1088.41	398.2	8776.76
1088.51	398.1	8860.8
1088.61	398	8769.23
1088.71	397.9	8685.12
1088.81	397.8	8809.54
1088.91	397.7	8821.62
1089.01	397.6	8768.09
1089.11	397.5	8759.74
1089.21	397.4	8800.42
1089.31	397.3	8752.7
1089.41	397.2	8793.08
1089.51	397.1	8730.99
1089.61	397	8681.83
1089.71	396.9	8749.16
1089.81	396.8	8648.21
1089.91	396.7	8566.71
1090.01	396.6	8667.96
1090.11	396.5	8707.63
1090.21	396.4	8639.34
1090.31	396.3	8762.15
1090.41	396.2	8702.76
1090.51	396.1	8662.29
1090.61	396	8663.65
1090.71	395.9	8532.91
1090.81	395.8	8702.12
1090.91	395.7	8731.91
1091.01	395.6	8562.86
1091.11	395.5	8688.48
1091.21	395.4	8707.91
1091.31	395.3	8711.78
1091.41	395.2	8915.89
1091.51	395.1	9045.22
1091.61	395	9003.76
1091.71	394.9	9019.16
1091.81	394.8	9087.74
1091.91	394.7	9010.51
1092.01	394.6	9098.37
1092.11	394.5	9187.21
1092.21	394.4	9131.87
1092.31	394.3	9094.56
1092.41	394.2	9246.69
1092.51	394.1	9279.23
1092.61	394	9234.82
1092.71	393.9	9184.53
1092.81	393.8	9200.49
1092.91	393.7	9226.37
1093.01	393.6	9148.44
1093.11	393.5	9261.78
1093.21	393.4	9176.3
1093.31	393.3	9184.58
1093.41	393.2	9116.02
1093.51	393.1	9222.41
1093.61	393	9240.52
1093.71	392.9	9186.83
1093.81	392.8	9214.4
