c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he arm22.vms
Pr:Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	2.7
KE_Pr:Ag3p	BE_Pr:Ag3p	CPS_Pr:Ag3p
686.61	800	0
686.71	799.9	0
686.81	799.8	0
686.91	799.7	0
687.01	799.6	0
687.11	799.5	2142.93
687.21	799.4	2102.95
687.31	799.3	2220.44
687.41	799.2	2216.13
687.51	799.1	2174.74
687.61	799	2171.57
687.71	798.9	2135.99
687.81	798.8	2147.45
687.91	798.7	2138.25
688.01	798.6	2231.38
688.11	798.5	2173.76
688.21	798.4	2167.34
688.31	798.3	2161.2
688.41	798.2	2176.18
688.51	798.1	2231.24
688.61	798	2224.33
688.71	797.9	2195.86
688.81	797.8	2143.96
688.91	797.7	2124.45
689.01	797.6	2151.8
689.11	797.5	2120.75
689.21	797.4	2154.91
689.31	797.3	2203.3
689.41	797.2	2256.2
689.51	797.1	2235.48
689.61	797	2203.16
689.71	796.9	2165.88
689.81	796.8	2211.49
689.91	796.7	2174.1
690.01	796.6	2224.94
690.11	796.5	2214.88
690.21	796.4	2270.75
690.31	796.3	2192.28
690.41	796.2	2201.78
690.51	796.1	2245.02
690.61	796	2270.15
690.71	795.9	2168.98
690.81	795.8	2182.51
690.91	795.7	2241.46
691.01	795.6	2220.73
691.11	795.5	2193.56
691.21	795.4	2181.77
691.31	795.3	2193.67
691.41	795.2	2228.28
691.51	795.1	2207.52
691.61	795	2135.02
691.71	794.9	2153.26
691.81	794.8	2193.94
691.91	794.7	2188.99
692.01	794.6	2231.16
692.11	794.5	2194.51
692.21	794.4	2170.71
692.31	794.3	2278.76
692.41	794.2	2197.97
692.51	794.1	2213.83
692.61	794	2237.74
692.71	793.9	2254.2
692.81	793.8	2212.96
692.91	793.7	2206.31
693.01	793.6	2252.1
693.11	793.5	2261.38
693.21	793.4	2249.77
693.31	793.3	2222.12
693.41	793.2	2246.72
693.51	793.1	2194.67
693.61	793	2245.65
693.71	792.9	2207.66
693.81	792.8	2211.72
693.91	792.7	2240.25
694.01	792.6	2286.53
694.11	792.5	2246.32
694.21	792.4	2202.01
694.31	792.3	2235.95
694.41	792.2	2222.78
694.51	792.1	2198.76
694.61	792	2211.96
694.71	791.9	2193.98
694.81	791.8	2223.84
694.91	791.7	2227.56
695.01	791.6	2275.95
695.11	791.5	2250.3
695.21	791.4	2279.61
695.31	791.3	2213.78
695.41	791.2	2256.35
695.51	791.1	2176.96
695.61	791	2221.27
695.71	790.9	2234.36
695.81	790.8	2295.04
695.91	790.7	2250.51
696.01	790.6	2221.37
696.11	790.5	2266.69
696.21	790.4	2288.18
696.31	790.3	2267.53
696.41	790.2	2249.36
696.51	790.1	2265.9
696.61	790	2226.32
696.71	789.9	2267.08
696.81	789.8	2213.24
696.91	789.7	2189
697.01	789.6	2274.5
697.11	789.5	2231.77
697.21	789.4	2264.97
697.31	789.3	2275.03
697.41	789.2	2257.64
697.51	789.1	2264.61
697.61	789	2269.11
697.71	788.9	2270.35
697.81	788.8	2302.7
697.91	788.7	2288.57
698.01	788.6	2255.03
698.11	788.5	2225.67
698.21	788.4	2189.62
698.31	788.3	2216.26
698.41	788.2	2221.35
698.51	788.1	2240.7
698.61	788	2250.42
698.71	787.9	2221.84
698.81	787.8	2272.52
698.91	787.7	2300.8
699.01	787.6	2289.74
699.11	787.5	2252.79
699.21	787.4	2292.55
699.31	787.3	2295.97
699.41	787.2	2285.32
699.51	787.1	2265.41
699.61	787	2287.06
699.71	786.9	2168.67
699.81	786.8	2195.94
699.91	786.7	2291.33
700.01	786.6	2266.49
700.11	786.5	2243.1
700.21	786.4	2251.74
700.31	786.3	2326.65
700.41	786.2	2283
700.51	786.1	2244.72
700.61	786	2319.77
700.71	785.9	2284.23
700.81	785.8	2317.87
700.91	785.7	2339.59
701.01	785.6	2310.53
701.11	785.5	2318.66
701.21	785.4	2310.75
701.31	785.3	2230.47
701.41	785.2	2217.04
701.51	785.1	2290.61
701.61	785	2303.18
701.71	784.9	2286.94
701.81	784.8	2299.47
701.91	784.7	2278.63
702.01	784.6	2265.02
702.11	784.5	2314.18
702.21	784.4	2221.83
702.31	784.3	2261.58
702.41	784.2	2233.78
702.51	784.1	2264.28
702.61	784	2261
702.71	783.9	2216.79
702.81	783.8	2269.95
702.91	783.7	2244.71
703.01	783.6	2280.8
703.11	783.5	2273.63
703.21	783.4	2355.64
703.31	783.3	2351.84
703.41	783.2	2359.93
703.51	783.1	2340.35
703.61	783	2340.33
703.71	782.9	2293.6
703.81	782.8	2284.77
703.91	782.7	2316.37
704.01	782.6	2304.35
704.11	782.5	2287.59
704.21	782.4	2311.23
704.31	782.3	2294.73
704.41	782.2	2318.11
704.51	782.1	2325.76
704.61	782	2355.77
704.71	781.9	2290.34
704.81	781.8	2338.13
704.91	781.7	2335.41
705.01	781.6	2350.72
705.11	781.5	2309.32
705.21	781.4	2333.82
705.31	781.3	2351.09
705.41	781.2	2375.48
705.51	781.1	2333.23
705.61	781	2302.28
705.71	780.9	2254.37
705.81	780.8	2288.16
705.91	780.7	2314.62
706.01	780.6	2290.41
706.11	780.5	2326.69
706.21	780.4	2336.59
706.31	780.3	2303.23
706.41	780.2	2298.58
706.51	780.1	2350.85
706.61	780	2372.05
706.71	779.9	2350.14
706.81	779.8	2362.63
706.91	779.7	2434.94
707.01	779.6	2407.07
707.11	779.5	2338.79
707.21	779.4	2330.65
707.31	779.3	2261
707.41	779.2	2317.94
707.51	779.1	2355.21
707.61	779	2335.85
707.71	778.9	2310.75
707.81	778.8	2372.32
707.91	778.7	2441.11
708.01	778.6	2407.98
708.11	778.5	2344.62
708.21	778.4	2337.93
708.31	778.3	2240.65
708.41	778.2	2360.48
708.51	778.1	2413.71
708.61	778	2342.8
708.71	777.9	2338.96
708.81	777.8	2317.57
708.91	777.7	2291.28
709.01	777.6	2317.3
709.11	777.5	2334.31
709.21	777.4	2351.8
709.31	777.3	2451.63
709.41	777.2	2417.27
709.51	777.1	2351.17
709.61	777	2379.3
709.71	776.9	2470.16
709.81	776.8	2364.55
709.91	776.7	2256.78
710.01	776.6	2327.16
710.11	776.5	2426.06
710.21	776.4	2344.82
710.31	776.3	2372.94
710.41	776.2	2347.92
710.51	776.1	2345.15
710.61	776	2315.46
710.71	775.9	2355.47
710.81	775.8	2353.34
710.91	775.7	2397.35
711.01	775.6	2324.03
711.11	775.5	2333.19
711.21	775.4	2324.98
711.31	775.3	2341.69
711.41	775.2	2368.78
711.51	775.1	2435.98
711.61	775	2424.77
711.71	774.9	2368.19
711.81	774.8	2367.46
711.91	774.7	2392.95
712.01	774.6	2400.78
712.11	774.5	2382.94
712.21	774.4	2308.87
712.31	774.3	2355.74
712.41	774.2	2392.42
712.51	774.1	2352.61
712.61	774	2334.51
712.71	773.9	2334.01
712.81	773.8	2348.39
712.91	773.7	2403.81
713.01	773.6	2366.48
713.11	773.5	2315.24
713.21	773.4	2333.77
713.31	773.3	2387.48
713.41	773.2	2441.64
713.51	773.1	2454.39
713.61	773	2381.44
713.71	772.9	2397.53
713.81	772.8	2350.54
713.91	772.7	2326.47
714.01	772.6	2382.45
714.11	772.5	2384.75
714.21	772.4	2412.84
714.31	772.3	2314.52
714.41	772.2	2424.27
714.51	772.1	2430.06
714.61	772	2358.73
714.71	771.9	2365.86
714.81	771.8	2418.94
714.91	771.7	2403.58
715.01	771.6	2396.22
715.11	771.5	2377.16
715.21	771.4	2443.09
715.31	771.3	2472.29
715.41	771.2	2473.22
715.51	771.1	2392.2
715.61	771	2376.43
715.71	770.9	2385.25
715.81	770.8	2358.89
715.91	770.7	2338.65
716.01	770.6	2377.8
716.11	770.5	2437.22
716.21	770.4	2406.86
