c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he arm22.vms
Pr:Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Ag3p	BE_Pr:Ag3p	CPS_Pr:Ag3p
686.61	800	2827.91
686.71	799.9	2708.85
686.81	799.8	2754.35
686.91	799.7	2651.43
687.01	799.6	2657.99
687.11	799.5	2748.22
687.21	799.4	2715.06
687.31	799.3	2642.9
687.41	799.2	2662.39
687.51	799.1	2681.56
687.61	799	2717.13
687.71	798.9	2771.34
687.81	798.8	2755.07
687.91	798.7	2661.45
688.01	798.6	2607.62
688.11	798.5	2698.37
688.21	798.4	2732.58
688.31	798.3	2739.79
688.41	798.2	2675.08
688.51	798.1	2683.65
688.61	798	2632.96
688.71	797.9	2611.65
688.81	797.8	2766.66
688.91	797.7	2597.48
689.01	797.6	2654.26
689.11	797.5	2657.74
689.21	797.4	2692.76
689.31	797.3	2746.79
689.41	797.2	2559.41
689.51	797.1	2558.58
689.61	797	2912.26
689.71	796.9	2647.19
689.81	796.8	2623.66
689.91	796.7	2653.79
690.01	796.6	2691.28
690.11	796.5	2599.03
690.21	796.4	2657.54
690.31	796.3	2642.85
690.41	796.2	2699.74
690.51	796.1	2811.11
690.61	796	2744.48
690.71	795.9	2592.82
690.81	795.8	2626.83
690.91	795.7	2631.56
691.01	795.6	2672.09
691.11	795.5	2574.42
691.21	795.4	2678.74
691.31	795.3	2772.32
691.41	795.2	2671.79
691.51	795.1	2666.85
691.61	795	2670.71
691.71	794.9	2594.86
691.81	794.8	2690.46
691.91	794.7	2642.48
692.01	794.6	2572.66
692.11	794.5	2739.02
692.21	794.4	2658.57
692.31	794.3	2821.6
692.41	794.2	2767.9
692.51	794.1	2766.08
692.61	794	2797.16
692.71	793.9	2784.86
692.81	793.8	2681.97
692.91	793.7	2759.54
693.01	793.6	2653.99
693.11	793.5	2703.75
693.21	793.4	2640.13
693.31	793.3	2745.5
693.41	793.2	2771.59
693.51	793.1	2777.06
693.61	793	2694.13
693.71	792.9	2714.97
693.81	792.8	2595.11
693.91	792.7	2766.53
694.01	792.6	2686.02
694.11	792.5	2664.76
694.21	792.4	2675.54
694.31	792.3	2646.18
694.41	792.2	2750.29
694.51	792.1	2804.72
694.61	792	2637.13
694.71	791.9	2733.41
694.81	791.8	2765.1
694.91	791.7	2908.52
695.01	791.6	2690.81
695.11	791.5	2747.84
695.21	791.4	2792.67
695.31	791.3	2783.25
695.41	791.2	2812.16
695.51	791.1	2781.24
695.61	791	2839.25
695.71	790.9	2734.56
695.81	790.8	2781.93
695.91	790.7	2867.23
696.01	790.6	2781.29
696.11	790.5	2836.88
696.21	790.4	2819.77
696.31	790.3	2741.72
696.41	790.2	2751.63
696.51	790.1	2685.16
696.61	790	2794.8
696.71	789.9	2753.03
696.81	789.8	2651.11
